date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,3,0,0,0
2020-03-05,3,0,0,0
2020-03-06,3,0,0,0
2020-03-07,3,0,0,0
2020-03-08,3,0,0,0
2020-03-09,3,0,0,0
2020-03-10,3,0,0,0
2020-03-11,3,0,0,0
2020-03-12,3,0,0,0
2020-03-13,3,0,0,0
2020-03-14,4,0,0,0
2020-03-15,4,0,0,0
2020-03-16,11,0,0,0
2020-03-17,16,0,0,0
2020-03-18,23,0,0,0
2020-03-19,23,0,0,0
2020-03-20,26,0,0,0
2020-03-21,28,0,0,0
2020-03-22,30,0,0,0
2020-03-23,31,0,0,0
2020-03-24,57,1,0,0
2020-03-25,86,1,0,0
2020-03-26,86,1,0,0
2020-03-27,91,1,0,0
2020-03-28,107,3,0,0
2020-03-29,107,8,0,0
2020-03-30,116,8,0,0
2020-03-31,116,10,1,0
2020-04-01,130,10,1,0
2020-04-02,130,11,1,1
2020-04-03,144,11,1,1
2020-04-04,174,18,1,1
2020-04-05,192,18,1,1
2020-04-06,205,19,1,1
2020-04-07,232,20,1,1
2020-04-08,251,21,8,1
2020-04-09,367,24,8,1
2020-04-10,382,24,8,1
2020-04-11,398,24,8,1
2020-04-12,409,25,9,1
2020-04-13,418,26,9,1
2020-04-14,434,35,9,1
2020-04-15,483,48,9,1
2020-04-16,547,49,11,1
2020-04-17,611,49,11,1
2020-04-18,619,49,11,1
2020-04-19,644,51,11,1
2020-04-20,702,51,15,1
2020-04-21,785,51,15,1
2020-04-22,882,59,15,1
2020-04-23,1038,60,15,2
2020-04-24,1120,61,18,2
2020-04-25,1162,61,18,2
2020-04-26,1324,61,18,2
2020-04-27,1406,61,18,2
2020-04-28,1503,61,18,2
2020-04-29,1558,61,18,2
2020-04-30,1650,61,18,3
2020-05-01,1798,63,18,3
2020-05-02,1856,63,22,3
2020-05-03,1903,63,22,3
2020-05-04,2039,63,23,3
2020-05-05,2207,63,23,3
2020-05-06,2461,64,24,3
2020-05-07,2529,64,24,3
2020-05-08,2673,64,24,3
2020-05-09,2794,64,24,3
2020-05-10,2871,64,24,3
2020-05-11,2954,64,28,3
2020-05-12,3054,64,28,3
2020-05-13,3174,64,28,3
2020-05-14,3230,64,28,3
2020-05-15,3325,64,28,3
2020-05-16,3381,65,28,3
2020-05-17,3424,65,35,3
2020-05-18,3602,65,35,3
2020-05-19,3802,68,35,3
2020-05-20,4043,69,35,3
2020-05-21,4369,71,35,3
2020-05-22,4607,72,38,3
2020-05-23,4759,75,39,3
2020-05-24,5172,75,39,3
2020-05-25,5295,75,40,3
2020-05-26,5361,77,40,3
2020-05-27,5694,99,40,4
2020-05-28,5963,105,41,5
2020-05-29,6386,118,41,5
2020-05-30,6708,130,50,5
2020-05-31,7183,156,52,5
2020-06-01,7841,168,52,5
2020-06-02,8345,182,52,5
2020-06-03,8957,196,52,5
2020-06-04,9605,209,52,5
2020-06-05,10240,239,52,5
2020-06-06,10636,256,52,5
2020-06-07,11006,256,52,5
2020-06-08,11893,332,57,5
2020-06-09,12433,359,58,5
2020-06-10,13116,378,59,5
2020-06-11,14256,393,59,5
2020-06-12,14943,409,59,6
2020-06-13,15773,418,62,8
2020-06-14,16880,454,63,10
2020-06-15,17551,467,70,10
2020-06-16,18589,484,76,10
2020-06-17,19160,500,78,10
2020-06-18,20518,510,81,10
2020-06-19,21343,520,83,10
2020-06-20,22317,544,98,10
2020-06-21,23021,571,103,10
2020-06-22,24076,595,116,10
2020-06-23,24851,639,132,17
2020-06-24,25856,670,138,18
2020-06-25,26642,698,140,18
2020-06-26,27118,713,142,18
2020-06-27,28180,727,171,18
2020-06-28,29102,762,196,21
2020-06-29,29806,802,206,23
2020-06-30,30286,824,209,24
2020-07-01,31074,874,223,25
2020-07-02,31861,891,224,26
2020-07-03,32313,918,230,27
2020-07-04,32810,989,258,27
2020-07-05,33442,1046,261,32
2020-07-06,34114,1117,269,34
2020-07-07,34739,1182,295,35
2020-07-08,35944,1268,306,36
2020-07-09,36708,1342,307,38
2020-07-10,37337,1342,307,38
2020-07-11,38581,1389,340,38
2020-07-12,39813,1433,341,39
2020-07-13,40642,1512,367,40
2020-07-14,40642,1563,370,42
2020-07-15,41594,1589,373,43
2020-07-16,41594,1652,379,46
2020-07-17,42778,1704,380,47
2020-07-18,43714,1791,385,48
2020-07-19,44628,1866,418,48
2020-07-20,45807,1980,441,49
2020-07-21,46924,2088,479,50
2020-07-22,48656,2176,489,53
2020-07-23,49960,2314,501,56
2020-07-24,51433,2424,504,57
2020-07-25,52507,2547,510,58
2020-07-26,54415,2669,553,60
2020-07-27,56346,2827,577,64
2020-07-28,58205,3017,579,67
2020-07-29,59458,3222,596,76
2020-07-30,60391,3438,604,73
2020-07-31,61543,3621,618,74
2020-08-01,62472,3691,619,80
2020-08-02,63379,3837,623,83
2020-08-03,64536,4063,625,93
2020-08-04,65626,4224,633,96
2020-08-05,67244,4475,640,99
2020-08-06,69388,4879,652,107
2020-08-07,70761,5079,660,108
2020-08-08,71764,5232,691,113
2020-08-09,72919,5451,701,119
2020-08-10,75264,5929,724,125
2020-08-11,77890,6302,740,132
2020-08-12,80562,6611,778,132
2020-08-13,82900,7050,816,135
2020-08-14,85501,7327,848,139
2020-08-15,88711,7738,894,145
2020-08-16,91634,8172,933,153
2020-08-17,94629,8579,969,157
2020-08-18,98061,9068,1003,164
2020-08-19,101063,9463,1018,169
2020-08-20,103860,9707,1047,173
2020-08-21,106422,10121,1053,180
2020-08-22,108762,10437,1085,188
2020-08-23,111435,10437,1085,188
2020-08-24,113823,11009,1096,199
2020-08-25,116470,11281,1112,203
2020-08-26,118921,11834,1152,210
2020-08-27,122035,12274,1209,219
2020-08-28,123516,12629,1310,226
2020-08-29,125757,12958,1333,231
2020-08-30,128748,13423,1410,232
2020-08-31,131626,13966,1459,237
2020-09-01,134881,14624,1676,242
2020-09-02,138487,15156,1746,250
2020-09-03,142299,15773,1856,254
2020-09-04,145681,16445,1910,262
2020-09-05,148437,17094,2025,272
2020-09-06,152728,17749,2081,285
2020-09-07,156544,18834,2126,296
2020-09-08,160462,19583,2247,314
2020-09-09,163157,20462,2329,324
2020-09-10,167166,20939,2420,339
2020-09-11,169165,21908,2506,352
2020-09-12,171890,22348,12100,354
2020-09-13,175384,22781,12183,362
2020-09-14,178521,23515,12762,368
2020-09-15,183608,24144,13252,383
2020-09-16,187579,24936,13498,394
2020-09-17,190796,25822,13908,409
2020-09-18,194114,26438,14207,418
2020-09-19,197575,27234,14679,436
2020-09-20,197575,27949,15068,444
2020-09-21,197575,28796,15384,450
2020-09-22,197575,29446,15913,460
2020-09-23,197575,30097,16430,469
2020-09-24,197575,30632,16842,474
2020-09-25,197575,31290,17508,491
2020-09-26,197575,31828,17832,499
2020-09-27,197575,32364,18128,520
2020-09-28,197575,33213,18518,527
2020-09-29,197575,34014,18902,540
2020-09-30,197575,34525,19361,551
2020-10-01,197575,35208,19894,559
2020-10-02,197575,35717,20334,570
2020-10-03,197575,36087,20889,578
2020-10-04,197575,36809,21429,592
2020-10-05,197575,37437,22076,596
2020-10-06,197575,38468,22410,602
2020-10-07,197575,39513,22831,608
2020-10-08,197575,39513,22831,608
