date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,3,0,0,0
2020-02-28,3,0,0,0
2020-02-29,3,0,0,0
2020-03-01,3,0,0,0
2020-03-02,3,0,0,0
2020-03-03,14,1,0,0
2020-03-04,16,1,0,0
2020-03-05,18,1,0,0
2020-03-06,22,1,0,0
2020-03-07,22,1,0,0
2020-03-08,22,1,0,0
2020-03-09,24,1,0,0
2020-03-10,37,1,0,0
2020-03-11,50,3,0,0
2020-03-12,57,4,1,0
2020-03-13,57,5,1,0
2020-03-14,99,7,1,0
2020-03-15,99,7,1,0
2020-03-16,99,12,1,0
2020-03-17,99,19,1,0
2020-03-18,99,28,1,0
2020-03-19,99,28,1,0
2020-03-20,99,37,1,0
2020-03-21,99,44,4,0
2020-03-22,99,46,4,0
2020-03-23,99,51,5,0
2020-03-24,99,51,7,0
2020-03-25,99,53,7,0
2020-03-26,900,56,12,0
2020-03-27,900,60,19,0
2020-03-28,900,61,28,0
2020-03-29,900,62,28,0
2020-03-30,900,64,37,0
2020-03-31,900,68,44,0
2020-04-01,900,72,46,0
2020-04-02,900,75,50,0
2020-04-03,900,76,51,0
2020-04-04,900,77,55,1
2020-04-05,900,77,56,1
2020-04-06,900,77,58,1
2020-04-07,900,78,61,1
2020-04-08,900,78,61,1
2020-04-09,900,79,66,1
2020-04-10,900,79,70,1
2020-04-11,900,79,72,1
2020-04-12,900,80,77,1
2020-04-13,900,80,77,1
2020-04-14,900,80,77,1
2020-04-15,900,80,77,1
2020-04-16,900,80,77,1
2020-04-17,900,81,77,1
2020-04-18,900,81,77,1
2020-04-19,900,81,78,1
2020-04-20,900,81,78,1
2020-04-21,900,81,78,1
2020-04-22,900,81,79,1
2020-04-23,900,81,79,1
2020-04-24,900,82,79,1
2020-04-25,900,82,79,1
2020-04-26,900,82,79,1
2020-04-27,900,82,79,1
2020-04-28,900,82,80,1
2020-04-29,900,82,80,1
2020-04-30,900,82,80,1
2020-05-01,900,82,80,1
2020-05-02,900,82,80,1
2020-05-03,900,82,80,1
2020-05-04,900,82,80,1
2020-05-05,900,82,80,1
2020-05-06,900,82,81,1
2020-05-07,900,82,81,1
2020-05-08,900,82,81,1
2020-05-09,900,82,81,1
2020-05-10,900,82,81,1
2020-05-11,900,82,81,1
2020-05-12,900,82,81,1
2020-05-13,900,82,81,1
2020-05-14,900,82,81,1
2020-05-15,900,82,81,1
2020-05-16,900,82,81,1
2020-05-17,900,82,81,1
2020-05-18,900,82,81,1
2020-05-19,900,82,81,1
2020-05-20,900,82,81,1
2020-05-21,900,82,81,1
2020-05-22,900,82,81,1
2020-05-23,900,82,81,1
2020-05-24,900,82,81,1
2020-05-25,900,82,81,1
2020-05-26,900,82,81,1
2020-05-27,900,82,81,1
2020-05-28,900,82,81,1
2020-05-29,900,82,81,1
2020-05-30,900,82,81,1
2020-05-31,900,82,81,1
2020-06-01,900,82,81,1
2020-06-02,900,82,81,1
2020-06-03,900,82,81,1
2020-06-04,900,82,81,1
2020-06-05,900,82,81,1
2020-06-06,900,82,81,1
2020-06-07,900,82,81,1
2020-06-08,900,82,81,1
2020-06-09,900,82,81,1
2020-06-10,900,82,81,1
2020-06-11,900,82,81,1
2020-06-12,900,82,81,1
2020-06-13,900,82,81,1
2020-06-14,900,82,81,1
2020-06-15,900,82,81,1
2020-06-16,900,82,81,1
2020-06-17,900,82,81,1
2020-06-18,900,82,81,1
2020-06-19,900,82,81,1
2020-06-20,900,82,81,1
2020-06-21,900,82,81,1
2020-06-22,900,82,81,1
2020-06-23,900,82,81,1
2020-06-24,900,82,81,1
2020-06-25,900,82,81,1
2020-06-26,900,82,81,1
2020-06-27,900,82,81,1
2020-06-28,900,82,81,1
2020-06-29,900,82,81,1
2020-06-30,900,82,81,1
2020-07-01,900,82,81,1
2020-07-02,900,83,81,1
2020-07-03,900,83,81,1
2020-07-04,900,83,81,1
2020-07-05,900,84,81,1
2020-07-06,900,84,81,1
2020-07-07,900,84,81,1
2020-07-08,900,84,81,1
2020-07-09,900,84,81,1
2020-07-10,900,84,81,1
2020-07-11,900,84,81,1
2020-07-12,900,84,82,1
2020-07-13,900,84,82,1
2020-07-14,900,84,82,1
2020-07-15,900,84,83,1
2020-07-16,900,85,83,1
2020-07-17,900,85,83,1
2020-07-18,900,86,83,1
2020-07-19,900,86,83,1
2020-07-20,900,86,83,1
2020-07-21,900,86,83,1
2020-07-22,900,86,83,1
2020-07-23,900,86,83,1
2020-07-24,900,86,83,1
2020-07-25,900,86,83,1
2020-07-26,900,86,84,1
2020-07-27,900,86,85,1
2020-07-28,900,87,85,1
2020-07-29,900,88,85,1
2020-07-30,900,88,85,1
2020-07-31,900,88,85,1
2020-08-01,900,88,85,1
2020-08-02,900,88,85,1
2020-08-03,900,88,85,1
2020-08-04,900,88,86,1
2020-08-05,900,88,86,1
2020-08-06,900,88,86,1
2020-08-07,900,88,87,1
2020-08-08,900,88,87,1
2020-08-09,900,88,87,1
2020-08-10,900,88,87,1
2020-08-11,900,89,87,1
2020-08-12,900,90,87,1
2020-08-13,900,90,87,1
2020-08-14,900,91,87,1
2020-08-15,900,91,87,1
2020-08-16,900,91,87,1
2020-08-17,900,94,87,1
2020-08-18,900,97,88,1
2020-08-19,900,98,88,1
2020-08-20,900,99,88,1
2020-08-21,900,99,88,1
2020-08-22,900,99,88,1
2020-08-23,900,99,90,1
2020-08-24,900,100,90,1
2020-08-25,900,102,94,1
2020-08-26,900,104,96,1
2020-08-27,900,105,96,1
2020-08-28,900,106,96,1
2020-08-29,900,107,97,1
2020-08-30,900,107,97,1
2020-08-31,900,107,97,1
2020-09-01,900,107,99,1
2020-09-02,900,107,99,1
2020-09-03,900,107,101,1
2020-09-04,900,107,104,1
2020-09-05,900,107,104,1
2020-09-06,900,107,105,1
2020-09-07,900,107,105,1
2020-09-08,900,107,105,1
2020-09-09,900,108,105,1
2020-09-10,900,109,105,1
2020-09-11,900,109,105,1
2020-09-12,900,111,105,1
2020-09-13,900,111,105,1
2020-09-14,900,111,106,1
2020-09-15,900,111,106,1
2020-09-16,900,111,106,1
2020-09-17,900,112,108,1
2020-09-18,900,112,108,1
2020-09-19,900,113,109,1
2020-09-20,900,113,110,1
2020-09-21,900,114,110,1
2020-09-22,900,115,110,1
2020-09-23,900,116,110,1
2020-09-24,900,116,110,1
2020-09-25,900,117,110,1
2020-09-26,900,117,112,1
2020-09-27,900,117,112,1
2020-09-28,900,117,113,1
2020-09-29,900,118,113,1
2020-09-30,900,118,114,1
2020-10-01,900,119,116,1
2020-10-02,900,120,116,1
2020-10-03,900,123,116,1
2020-10-04,900,126,116,1
2020-10-05,900,127,116,1
2020-10-06,900,130,116,1
2020-10-07,900,130,116,1
