date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,76,1,0,0
2020-02-29,76,1,0,0
2020-03-01,76,1,0,0
2020-03-02,76,1,0,0
2020-03-03,76,1,0,0
2020-03-04,226,1,0,0
2020-03-05,226,1,0,0
2020-03-06,226,1,0,0
2020-03-07,226,1,0,0
2020-03-08,226,1,0,0
2020-03-09,226,1,0,0
2020-03-10,226,1,0,0
2020-03-11,226,3,0,0
2020-03-12,226,3,0,0
2020-03-13,366,6,0,0
2020-03-14,366,8,0,0
2020-03-15,366,12,1,0
2020-03-16,624,17,1,0
2020-03-17,742,25,1,0
2020-03-18,935,27,1,0
2020-03-19,935,36,1,0
2020-03-20,935,49,1,0
2020-03-21,935,83,1,1
2020-03-22,2086,143,1,1
2020-03-23,2086,179,1,1
2020-03-24,2086,209,1,2
2020-03-25,3471,274,1,4
2020-03-26,3471,299,1,4
2020-03-27,5495,358,1,5
2020-03-28,6900,394,1,7
2020-03-29,8424,460,1,7
2020-03-30,9891,491,7,7
2020-03-31,9891,537,7,8
2020-04-01,12574,581,7,8
2020-04-02,15623,649,7,9
2020-04-03,18432,696,7,9
2020-04-04,21376,771,7,11
2020-04-05,23645,811,7,13
2020-04-06,25599,843,8,15
2020-04-07,27807,880,8,15
2020-04-08,27807,912,8,15
2020-04-09,32809,955,8,16
2020-04-10,36051,999,54,22
2020-04-11,38472,1026,54,23
2020-04-12,38472,1053,97,23
2020-04-13,41503,1062,101,24
2020-04-14,42690,1070,101,29
2020-04-15,44677,1091,138,30
2020-04-16,48537,1128,178,32
2020-04-17,53101,1149,210,33
2020-04-18,58816,1239,228,33
2020-04-19,64035,1298,242,35
2020-04-20,66352,1326,242,37
2020-04-21,70753,1350,298,38
2020-04-22,76793,1370,357,38
2020-04-23,83591,1398,399,40
2020-04-24,90992,1410,430,40
2020-04-25,98948,1426,460,41
2020-04-26,104488,1438,467,41
2020-04-27,106775,1449,474,41
2020-04-28,111809,1344,536,44
2020-04-29,118201,1375,563,45
2020-04-30,125555,1385,589,45
2020-05-01,132768,1399,594,45
2020-05-02,138270,1406,632,46
2020-05-03,141678,1410,635,46
2020-05-04,144029,1419,638,46
2020-05-05,149106,1423,678,46
2020-05-06,156493,1428,718,48
2020-05-07,164088,1433,739,49
2020-05-08,172191,1436,765,49
2020-05-09,180332,1444,828,49
2020-05-10,183913,1479,828,50
2020-05-11,186565,1485,833,50
2020-05-12,192386,1491,850,50
2020-05-13,200264,1505,908,54
2020-05-14,208253,1511,934,54
2020-05-15,216247,1523,965,54
2020-05-16,224040,1534,988,55
2020-05-17,228726,1541,997,56
2020-05-18,228726,1547,997,59
2020-05-19,237600,1562,1025,60
2020-05-20,245580,1577,1049,60
2020-05-21,245580,1593,1049,61
2020-05-22,259043,1604,1111,61
2020-05-23,264882,1616,1135,63
2020-05-24,264882,1623,1138,63
2020-05-25,269889,1635,1138,63
2020-05-26,275058,1639,1165,65
2020-05-27,281232,1647,1184,66
2020-05-28,287982,1656,1193,68
2020-05-29,294091,1662,1216,68
2020-05-30,294091,1670,1229,70
2020-05-31,302859,1675,1236,70
2020-06-01,304854,1678,1236,70
2020-06-02,309725,1682,1249,71
2020-06-03,315112,1684,1260,71
2020-06-04,321040,1687,1273,71
2020-06-05,326294,1694,1302,71
2020-06-06,326294,1705,1321,71
2020-06-07,326294,1714,1328,71
2020-06-08,335686,1720,1331,71
2020-06-09,340073,1727,1338,72
2020-06-10,345392,1733,1369,74
2020-06-11,350788,1752,1372,74
2020-06-12,356062,1756,1400,74
2020-06-13,360670,1763,1416,75
2020-06-14,363528,1768,1427,75
2020-06-15,365136,1773,1429,76
2020-06-16,369546,1776,1441,76
2020-06-17,375572,1778,1447,76
2020-06-18,381225,1784,1449,76
2020-06-19,386194,1792,1462,76
2020-06-20,390457,1795,1470,76
2020-06-21,392553,1798,1475,76
2020-06-22,394465,1801,1475,76
2020-06-23,398417,1803,1483,77
2020-06-24,403841,1804,1484,78
2020-06-25,406557,1806,1494,78
2020-06-26,410867,1808,1501,78
2020-06-27,414792,1813,1503,78
2020-06-28,416739,1815,1503,78
2020-06-29,418368,1816,1512,78
2020-06-30,422840,1817,1515,78
2020-07-01,428238,1818,1524,78
2020-07-02,432457,1825,1536,78
2020-07-03,436679,1828,1539,79
2020-07-04,436679,1831,1545,79
2020-07-05,436679,1836,1545,79
2020-07-06,436679,1841,1547,79
2020-07-07,444407,1844,1547,79
2020-07-08,447994,1854,1552,79
2020-07-09,451987,1857,1564,79
2020-07-10,455833,1861,1569,79
2020-07-11,455833,1865,1579,79
2020-07-12,455833,1869,1571,79
2020-07-13,461666,1874,1571,79
2020-07-14,465396,1875,1571,79
2020-07-15,465396,1882,1582,79
2020-07-16,472804,1902,1593,79
2020-07-17,476121,1908,1595,79
2020-07-18,476121,1915,1600,80
2020-07-19,476121,1932,1600,80
2020-07-20,482607,1947,1601,80
2020-07-21,486224,1949,1601,80
2020-07-22,489869,1951,1607,80
2020-07-23,493865,1960,1611,80
2020-07-24,497245,1986,1616,80
2020-07-25,497245,2001,1616,80
2020-07-26,497245,2008,1616,80
2020-07-27,507420,2019,1620,80
2020-07-28,511462,2027,1623,80
2020-07-29,515797,2043,1643,80
2020-07-30,519929,2062,1643,80
2020-07-31,519929,2075,1644,80
2020-08-01,519929,2093,1644,80
2020-08-02,527729,2110,1644,80
2020-08-03,531518,2120,1645,80
2020-08-04,536377,2137,1647,80
2020-08-05,536377,2147,1650,81
2020-08-06,540784,2171,1656,81
2020-08-07,545362,2194,1658,81
2020-08-08,545362,2231,1668,81
2020-08-09,545362,2252,1670,81
2020-08-10,553388,2265,1670,81
2020-08-11,553388,2283,1679,81
2020-08-12,561555,2309,1683,81
2020-08-13,565782,2330,1689,81
2020-08-14,570657,2352,1691,81
2020-08-15,570657,2386,1704,81
2020-08-16,570657,2416,1704,81
2020-08-17,580453,2436,1705,81
2020-08-18,584641,2474,1733,81
2020-08-19,589505,2496,1739,81
2020-08-20,594478,2528,1747,82
2020-08-21,599513,2564,1755,83
2020-08-22,599513,2594,1766,84
2020-08-23,599513,2635,1766,84
2020-08-24,608767,2673,1766,85
2020-08-25,613324,2694,1785,85
2020-08-26,618405,2726,1794,85
2020-08-27,623841,2762,1802,85
2020-08-28,629443,2810,1816,86
2020-08-29,629443,2839,1833,86
2020-08-30,629443,2874,1837,86
2020-08-31,639044,2906,1840,86
2020-09-01,643704,2929,1857,86
2020-09-02,648863,2958,1874,86
2020-09-03,653744,2978,1901,86
2020-09-04,658662,3004,1920,86
2020-09-05,658662,3040,1952,86
2020-09-06,658662,3083,1954,86
2020-09-07,666930,3100,1955,86
2020-09-08,671297,3131,1994,86
2020-09-09,676600,3163,2008,86
2020-09-10,682097,3199,2030,86
2020-09-11,687118,3243,2049,86
2020-09-12,687118,3296,2070,86
2020-09-13,687118,3335,2070,87
2020-09-14,695521,3386,2071,87
2020-09-15,700140,3397,2094,87
2020-09-16,706219,3442,2125,87
2020-09-17,711108,3504,2149,87
2020-09-18,716972,3565,2181,87
2020-09-19,716972,3664,2197,87
2020-09-20,716972,3744,2198,87
2020-09-21,726496,3814,2199,87
2020-09-22,731912,3859,2225,87
2020-09-23,737561,3932,2246,87
2020-09-24,744174,4070,2253,89
2020-09-25,750202,4184,2298,89
2020-09-26,750202,4295,2319,89
2020-09-27,750202,4385,2327,91
2020-09-28,761616,4490,2327,92
2020-09-29,767994,4587,2349,92
2020-09-30,774987,4693,2365,92
2020-10-01,781960,4784,2424,92
2020-10-02,788384,4956,2466,93
2020-10-03,788384,5081,2494,94
2020-10-04,788384,5185,2495,94
2020-10-05,801362,5285,2497,94
2020-10-06,807983,5366,2546,99
2020-10-07,807983,5366,2546,99
