date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,2,0,0,0
2020-02-25,9,0,0,0
2020-02-26,11,0,0,0
2020-02-27,12,0,0,0
2020-02-28,16,0,0,0
2020-02-29,17,1,0,0
2020-03-01,17,1,0,0
2020-03-02,21,1,0,0
2020-03-03,23,1,0,0
2020-03-04,24,1,0,0
2020-03-05,29,1,0,0
2020-03-06,35,2,0,0
2020-03-07,41,2,0,0
2020-03-08,41,3,0,0
2020-03-09,56,3,0,0
2020-03-10,77,5,0,0
2020-03-11,111,7,0,0
2020-03-12,282,19,0,0
2020-03-13,465,34,0,0
2020-03-14,557,51,0,1
2020-03-15,575,59,0,1
2020-03-16,933,77,0,1
2020-03-17,1512,140,0,1
2020-03-18,2394,203,0,2
2020-03-19,3295,335,0,4
2020-03-20,4290,484,0,4
2020-03-21,4728,670,0,8
2020-03-22,4749,798,6,8
2020-03-23,5853,875,6,8
2020-03-24,6738,1099,6,8
2020-03-25,7638,1333,6,8
2020-03-26,12235,1453,6,9
2020-03-27,13317,1605,40,15
2020-03-28,14141,1831,40,18
2020-03-29,14414,1950,40,21
2020-03-30,15490,1988,40,22
2020-03-31,16426,2178,80,23
2020-04-01,17606,2319,80,29
2020-04-02,18947,2487,80,30
2020-04-03,20160,2612,500,31
2020-04-04,20984,2729,500,31
2020-04-05,21535,2804,500,36
2020-04-06,22585,2843,500,41
2020-04-07,23605,2970,500,44
2020-04-08,24537,3034,500,46
2020-04-09,25400,3115,500,52
2020-04-10,26091,3223,500,54
2020-04-11,26400,3270,500,62
2020-04-12,26608,3281,500,66
2020-04-13,26690,3292,500,69
2020-04-14,28063,3307,500,67
2020-04-15,28907,3373,526,69
2020-04-16,29865,3444,552,69
2020-04-17,30897,3480,579,72
2020-04-18,31425,3537,601,72
2020-04-19,31616,3550,627,73
2020-04-20,32548,3558,637,75
2020-04-21,33300,3618,670,78
2020-04-22,34440,3654,711,80
2020-04-23,35230,3665,728,83
2020-04-24,36542,3695,3007,85
2020-04-25,37149,3711,3088,85
2020-04-26,37281,3723,3104,88
2020-04-27,38041,3729,3123,88
2020-04-28,39765,3741,3123,89
2020-04-29,41651,3769,3134,89
2020-04-30,43619,3784,3213,90
2020-05-01,45012,3802,3213,92
2020-05-02,45708,3812,3318,92
2020-05-03,45945,3824,3379,96
2020-05-04,46982,3828,3405,96
2020-05-05,48260,3840,3412,96
2020-05-06,49693,3851,3452,98
2020-05-07,51012,3859,3505,100
2020-05-08,52330,3871,3526,100
2020-05-09,53061,3877,3550,101
2020-05-10,53273,3886,3586,101
2020-05-11,54323,3888,3602,101
2020-05-12,55716,3894,3610,102
2020-05-13,56923,3904,3629,103
2020-05-14,58216,3915,3665,103
2020-05-15,59491,3923,3682,104
2020-05-16,60508,3930,3699,104
2020-05-17,60658,3945,3702,107
2020-05-18,61653,3947,3715,107
2020-05-19,62723,3958,3718,109
2020-05-20,64236,3971,3728,109
2020-05-21,65024,3980,3741,109
2020-05-22,66225,3981,3748,109
2020-05-23,67437,3990,3758,109
2020-05-24,67531,3992,3767,110
2020-05-25,68476,3993,3781,110
2020-05-26,69806,3995,3783,110
2020-05-27,71011,4001,3791,110
2020-05-28,73011,4008,3803,110
2020-05-29,75215,4012,3815,110
2020-05-30,77231,4016,3815,110
2020-05-31,77423,4018,3833,110
2020-06-01,77844,4019,3845,110
2020-06-02,79435,4020,3848,110
2020-06-03,81179,4024,3861,110
2020-06-04,82854,4027,3874,110
2020-06-05,85726,4032,3885,110
2020-06-06,87548,4035,3888,110
2020-06-07,88054,4039,3899,110
2020-06-08,90299,4040,3901,110
2020-06-09,92903,4046,3902,110
2020-06-10,97393,4049,3904,110
2020-06-11,101420,4052,3910,110
2020-06-12,107370,4055,3918,110
2020-06-13,110741,4063,3922,110
2020-06-14,111408,4070,3929,110
2020-06-15,116192,4072,3931,110
2020-06-16,121033,4075,3933,110
2020-06-17,127278,4085,3935,110
2020-06-18,133439,4091,3940,110
2020-06-19,140239,4099,3944,110
2020-06-20,145642,4105,3951,110
2020-06-21,146146,4120,3956,110
2020-06-22,152208,4121,3959,110
2020-06-23,152347,4133,3959,110
2020-06-24,157028,4140,3965,110
2020-06-25,162311,4151,3968,110
2020-06-26,168459,4173,3968,110
2020-06-27,173990,4217,3978,110
2020-06-28,174921,4242,3978,110
2020-06-29,183562,4256,3997,110
2020-06-30,191298,4299,3998,110
2020-07-01,201469,4345,4003,110
2020-07-02,212561,4395,4012,110
2020-07-03,223103,4447,4016,110
2020-07-04,230902,4476,4016,110
2020-07-05,231914,4522,4016,110
2020-07-06,241895,4542,4016,110
2020-07-07,251405,4603,4056,110
2020-07-08,262735,4650,4056,110
2020-07-09,273770,4719,4056,110
2020-07-10,279129,4777,4086,110
2020-07-11,286841,4842,4086,110
2020-07-12,291368,4925,4086,111
2020-07-13,301765,4956,4183,111
2020-07-14,313291,5056,4195,111
2020-07-15,327576,5122,4247,111
2020-07-16,340926,5285,4275,111
2020-07-17,355264,5409,4333,111
2020-07-18,367891,5483,4333,111
2020-07-19,370951,5605,4333,111
2020-07-20,380624,5639,4464,111
2020-07-21,396856,5725,4479,111
2020-07-22,403922,5854,4530,111
2020-07-23,419069,5952,4591,112
2020-07-24,429562,6056,4647,112
2020-07-25,435617,6189,4647,112
2020-07-26,436667,6272,4647,112
2020-07-27,450953,6321,4825,112
2020-07-28,459341,6375,4855,113
2020-07-29,465995,6533,4959,114
2020-07-30,475685,6616,5027,114
2020-07-31,484322,6695,5192,114
2020-08-01,490467,6793,5192,116
2020-08-02,491327,6855,5192,117
2020-08-03,497515,6864,5498,118
2020-08-04,505274,6917,5537,118
2020-08-05,515271,7007,5623,118
2020-08-06,521442,7073,5750,119
2020-08-07,528322,7113,5848,119
2020-08-08,534190,7169,5848,120
2020-08-09,534535,7205,5848,120
2020-08-10,540050,7216,6170,121
2020-08-11,546617,7242,6222,122
2020-08-12,551353,7300,6262,122
2020-08-13,555975,7368,6414,122
2020-08-14,564371,7405,6500,122
2020-08-15,566905,7439,6500,123
2020-08-16,567388,7458,6500,123
2020-08-17,570802,7469,6739,124
2020-08-18,576388,7499,6753,124
2020-08-19,584969,7566,6813,124
2020-08-20,589929,7637,6903,124
2020-08-21,597759,7704,6969,124
2020-08-22,603319,7762,6969,124
2020-08-23,604308,7775,6969,124
2020-08-24,607084,7794,7106,124
2020-08-25,613786,7838,7114,124
2020-08-26,619729,7928,7140,124
2020-08-27,627834,7928,5854,124
2020-08-28,634711,6580,5909,124
2020-08-29,641336,6625,5942,124
2020-08-30,642279,6625,5967,124
2020-08-31,647533,6625,5984,124
2020-09-01,657556,6625,5990,124
2020-09-02,665126,6745,6015,124
2020-09-03,672528,6811,6074,124
2020-09-04,681758,6854,6126,124
2020-09-05,689131,6896,6126,124
2020-09-06,690273,6950,6126,124
2020-09-07,695427,6960,6126,124
2020-09-08,705443,6974,6266,124
2020-09-09,713192,7023,6292,124
2020-09-10,722059,7088,6367,124
2020-09-11,732049,7088,6367,124
2020-09-12,739898,7159,6421,124
2020-09-13,741294,7159,6421,124
2020-09-14,749038,7244,6555,124
2020-09-15,759591,7284,6561,124
2020-09-16,768580,7394,6593,124
2020-09-17,772780,7541,6641,124
2020-09-18,777466,7718,6703,124
2020-09-19,781140,7718,6703,124
2020-09-20,781973,7718,6703,124
2020-09-21,788403,7916,6839,124
2020-09-22,794550,8016,6848,124
2020-09-23,800666,8090,6862,124
2020-09-24,806737,8158,6910,124
2020-09-25,812833,8233,6976,124
2020-09-26,818149,8233,6976,124
2020-09-27,818855,8233,6976,124
2020-09-28,824296,8376,7128,124
2020-09-29,831404,8431,7136,124
2020-09-30,837460,8509,7174,124
2020-10-01,844544,8595,7280,125
2020-10-02,850972,8709,7428,125
2020-10-03,856487,8709,7428,125
2020-10-04,857494,8709,7428,125
2020-10-05,862757,8925,7793,127
2020-10-06,862757,8979,7793,128
2020-10-07,862757,8979,7793,128
