date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,3,0,0
2020-03-07,0,3,0,0
2020-03-08,0,3,0,0
2020-03-09,0,3,0,0
2020-03-10,0,7,0,0
2020-03-11,0,7,0,0
2020-03-12,0,7,0,0
2020-03-13,0,14,1,0
2020-03-14,0,14,1,0
2020-03-15,0,14,1,0
2020-03-16,0,18,1,0
2020-03-17,0,26,1,0
2020-03-18,0,35,1,0
2020-03-19,0,48,1,0
2020-03-20,0,67,1,0
2020-03-21,0,85,1,0
2020-03-22,0,115,1,1
2020-03-23,0,136,1,2
2020-03-24,0,148,1,2
2020-03-25,0,177,1,3
2020-03-26,0,201,3,3
2020-03-27,0,219,3,3
2020-03-28,0,241,3,4
2020-03-29,0,259,3,6
2020-03-30,0,285,12,7
2020-03-31,0,329,12,9
2020-04-01,0,354,17,11
2020-04-02,0,384,17,11
2020-04-03,0,430,20,12
2020-04-04,0,483,20,17
2020-04-05,0,555,23,18
2020-04-06,0,570,30,23
2020-04-07,0,599,30,26
2020-04-08,0,617,35,29
2020-04-09,0,663,37,30
2020-04-10,0,711,41,32
2020-04-11,0,760,41,34
2020-04-12,0,828,41,34
2020-04-13,0,854,44,38
2020-04-14,0,908,86,44
2020-04-15,0,974,98,45
2020-04-16,0,1081,121,46
2020-04-17,0,1117,139,49
2020-04-18,0,1170,164,49
2020-04-19,0,1207,179,51
2020-04-20,0,1225,200,54
2020-04-21,0,1231,224,55
2020-04-22,0,1259,272,56
2020-04-23,0,1300,301,56
2020-04-24,0,1326,337,57
2020-04-25,0,1367,374,59
2020-04-26,0,1386,500,61
2020-04-27,0,1399,553,65
2020-04-28,0,1421,589,71
2020-04-29,0,1442,627,73
2020-04-30,0,1465,738,77
2020-05-01,0,1494,807,81
2020-05-02,0,1506,852,82
2020-05-03,0,1511,945,84
2020-05-04,0,1518,992,85
2020-05-05,0,1526,1013,86
2020-05-06,0,1539,1057,88
2020-05-07,0,1572,1079,89
2020-05-08,0,1586,1099,90
2020-05-09,0,1622,1112,91
2020-05-10,0,1642,1136,91
2020-05-11,0,1664,1200,91
2020-05-12,0,1674,1205,92
2020-05-13,0,1694,1229,95
2020-05-14,0,1723,1235,95
2020-05-15,0,1740,1251,97
2020-05-16,0,1762,1267,98
2020-05-17,0,1792,1293,101
2020-05-18,0,1817,1301,104
2020-05-19,0,1839,1351,106
2020-05-20,0,1858,1367,110
2020-05-21,0,1898,1378,111
2020-05-22,0,1921,1387,112
2020-05-23,0,1941,1411,113
2020-05-24,0,1978,1422,113
2020-05-25,0,1999,1439,113
2020-05-26,0,2014,1453,116
2020-05-27,0,2039,1470,119
2020-05-28,0,2077,1486,121
2020-05-29,0,2129,1516,126
2020-05-30,0,2164,1535,131
2020-05-31,0,2226,1552,133
2020-06-01,0,2315,1569,140
2020-06-02,0,2391,1595,141
2020-06-03,0,2492,1605,145
2020-06-04,0,2611,1621,147
2020-06-05,0,2790,1632,149
2020-06-06,0,2915,1640,151
2020-06-07,0,3025,1646,153
2020-06-08,0,3152,1653,156
2020-06-09,0,3239,1658,157
2020-06-10,0,3364,1664,164
2020-06-11,0,3538,1682,169
2020-06-12,0,3701,1694,171
2020-06-13,0,3895,1705,179
2020-06-14,0,4057,1710,188
2020-06-15,0,4157,1723,193
2020-06-16,0,4299,1757,201
2020-06-17,0,4482,1803,210
2020-06-18,0,4664,1836,216
2020-06-19,0,4820,1863,222
2020-06-20,0,5005,1904,233
2020-06-21,0,5106,1926,238
2020-06-22,0,5196,1974,247
2020-06-23,0,5311,2048,251
2020-06-24,0,5445,2091,259
2020-06-25,0,5595,2166,265
2020-06-26,0,5758,2206,268
2020-06-27,0,5906,2236,277
2020-06-28,0,6080,2315,286
2020-06-29,0,6209,2427,298
2020-06-30,0,6334,2475,302
2020-07-01,0,6454,2598,306
2020-07-02,0,6625,2748,321
2020-07-03,0,6787,2876,328
2020-07-04,0,6932,2987,334
2020-07-05,0,7046,3027,341
2020-07-06,0,7124,3199,346
2020-07-07,0,7244,3324,351
2020-07-08,0,7406,3554,359
2020-07-09,0,7572,3624,362
2020-07-10,0,7777,3960,368
2020-07-11,0,7975,4080,376
2020-07-12,0,8111,4203,382
2020-07-13,0,8197,4326,385
2020-07-14,0,8332,4468,389
2020-07-15,0,8530,4565,393
2020-07-16,0,8623,4565,401
2020-07-17,0,8786,4676,406
2020-07-18,0,9026,4727,414
2020-07-19,0,9153,4810,422
2020-07-20,0,9249,4871,432
2020-07-21,0,9412,4940,432
2020-07-22,0,9547,5071,442
2020-07-23,0,9669,5071,445
2020-07-24,0,9797,5254,451
2020-07-25,0,9934,5357,460
2020-07-26,0,10086,5427,460
2020-07-27,0,10213,5564,466
2020-07-28,0,10315,5663,471
2020-07-29,0,10503,5931,476
2020-07-30,0,10617,6020,480
2020-07-31,0,10754,6554,486
2020-08-01,0,10891,6698,493
2020-08-02,0,11054,6882,497
2020-08-03,0,11128,6972,500
2020-08-04,0,11202,7108,505
2020-08-05,0,11289,7221,511
2020-08-06,0,11399,7480,517
2020-08-07,0,11554,7607,519
2020-08-08,0,11754,7622,523
2020-08-09,0,11839,7664,527
2020-08-10,0,11942,8087,528
2020-08-11,0,12083,8248,529
2020-08-12,0,12217,8487,530
2020-08-13,0,12357,8662,532
2020-08-14,0,12515,9030,535
2020-08-15,0,12653,9123,539
2020-08-16,0,12739,9174,544
2020-08-17,0,12840,9174,547
2020-08-18,0,12970,9513,549
2020-08-19,0,13076,9625,551
2020-08-20,0,13194,9752,554
2020-08-21,0,13308,9977,557
2020-08-22,0,13458,10052,563
2020-08-23,0,13595,10110,564
2020-08-24,0,13673,10150,568
2020-08-25,0,13799,10210,573
2020-08-26,0,13914,10507,578
2020-08-27,0,14004,10722,585
2020-08-28,0,14163,10933,590
2020-08-29,0,14293,11014,596
2020-08-30,0,14330,11062,600
2020-08-31,0,14341,11157,603
2020-09-01,0,14455,11525,604
2020-09-02,0,14600,11741,606
2020-09-03,0,14762,11965,606
2020-09-04,0,14871,12054,609
2020-09-05,0,14998,12149,614
2020-09-06,0,15090,12235,617
2020-09-07,0,15127,12486,623
2020-09-08,0,15226,12700,631
2020-09-09,0,15293,12754,634
2020-09-10,0,15414,12896,637
2020-09-11,0,15555,12994,642
2020-09-12,0,15694,13128,646
2020-09-13,0,15791,13184,648
2020-09-14,0,15827,13315,652
2020-09-15,0,15925,13418,661
2020-09-16,0,16088,13550,668
2020-09-17,0,16274,13635,675
2020-09-18,0,16417,13732,683
2020-09-19,0,16557,13792,689
2020-09-20,0,16735,13863,693
2020-09-21,0,16780,13949,700
2020-09-22,0,16867,14084,705
2020-09-23,0,17049,14186,710
2020-09-24,0,17200,14312,712
2020-09-25,0,17343,14422,721
2020-09-26,0,17483,14516,722
2020-09-27,0,17629,14581,725
2020-09-28,0,17674,14642,729
2020-09-29,0,17786,14801,737
2020-09-30,0,17977,14959,739
2020-10-01,0,18138,15068,743
2020-10-02,0,18363,15164,749
2020-10-03,0,18602,15264,753
2020-10-04,0,18790,15341,756
2020-10-05,0,18873,15487,760
2020-10-06,0,19096,15645,768
2020-10-07,0,19096,15645,768
