date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,3,0,0
2020-03-21,0,3,0,0
2020-03-22,0,3,0,0
2020-03-23,0,12,0,0
2020-03-24,0,17,0,0
2020-03-25,0,19,0,0
2020-03-26,0,23,0,0
2020-03-27,0,26,0,0
2020-03-28,0,26,0,0
2020-03-29,0,39,0,0
2020-03-30,0,43,0,0
2020-03-31,0,57,0,0
2020-04-01,0,57,0,0
2020-04-02,0,59,0,0
2020-04-03,0,70,0,0
2020-04-04,0,70,0,0
2020-04-05,0,72,2,0
2020-04-06,0,82,2,0
2020-04-07,0,88,7,0
2020-04-08,0,93,11,0
2020-04-09,0,93,11,0
2020-04-10,0,93,11,0
2020-04-11,0,102,11,0
2020-04-12,0,106,20,0
2020-04-13,0,106,21,0
2020-04-14,0,108,23,0
2020-04-15,0,110,29,0
2020-04-16,0,111,33,0
2020-04-17,0,117,33,0
2020-04-18,0,120,35,0
2020-04-19,0,121,39,0
2020-04-20,0,121,41,0
2020-04-21,0,121,44,0
2020-04-22,0,121,52,0
2020-04-23,0,121,58,0
2020-04-24,0,122,61,0
2020-04-25,0,123,62,0
2020-04-26,0,124,71,0
2020-04-27,0,128,75,0
2020-04-28,3065,128,82,0
2020-04-29,3107,128,90,0
2020-04-30,3228,128,92,0
2020-05-01,3300,132,94,0
2020-05-02,3300,135,97,0
2020-05-03,3300,149,98,0
2020-05-04,3300,149,99,0
2020-05-05,3861,151,101,0
2020-05-06,3861,158,101,0
2020-05-07,3968,193,101,0
2020-05-08,3968,193,101,0
2020-05-09,3968,193,101,0
2020-05-10,4481,193,101,0
2020-05-11,5465,186,101,0
2020-05-12,5465,186,101,0
2020-05-13,5465,212,107,0
2020-05-14,5465,230,108,0
2020-05-15,5465,238,112,0
2020-05-16,5465,283,114,0
2020-05-17,5465,304,114,1
2020-05-18,5465,322,119,1
2020-05-19,5465,326,119,2
2020-05-20,5465,371,131,2
2020-05-21,5465,405,131,2
2020-05-22,5465,448,135,2
2020-05-23,5465,488,138,2
2020-05-24,5465,527,142,2
2020-05-25,5465,542,147,2
2020-05-26,5465,586,147,2
2020-05-27,9681,612,151,2
2020-05-28,9848,656,154,2
2020-05-29,10249,698,164,5
2020-05-30,10249,758,165,6
2020-05-31,11311,771,168,6
2020-06-01,11311,826,174,6
2020-06-02,11954,845,185,6
2020-06-03,11954,908,195,6
2020-06-04,11954,957,200,7
2020-06-05,11954,975,201,7
2020-06-06,11954,1026,212,8
2020-06-07,13608,1052,233,9
2020-06-08,13608,1094,254,9
2020-06-09,13608,1138,274,9
2020-06-10,13608,1162,296,10
2020-06-11,13608,1203,312,10
2020-06-12,13608,1240,344,10
2020-06-13,13608,1252,362,10
2020-06-14,13608,1272,367,10
2020-06-15,15981,1290,384,10
2020-06-16,15981,1317,417,12
2020-06-17,16402,1378,450,12
2020-06-18,16402,1403,463,13
2020-06-19,17905,1443,498,13
2020-06-20,17905,1503,618,13
2020-06-21,18119,1596,655,14
2020-06-22,18741,1640,692,15
2020-06-23,18741,1724,732,15
2020-06-24,19392,1787,779,16
2020-06-25,19392,1829,823,16
2020-06-26,20066,1922,862,16
2020-06-27,20066,2005,907,16
2020-06-28,20964,2078,944,18
2020-06-29,21444,2138,966,20
2020-06-30,21444,2214,994,20
2020-07-01,21444,2303,1006,22
2020-07-02,21444,2403,1040,24
2020-07-03,23244,2512,1057,26
2020-07-04,23244,2728,1078,29
2020-07-05,23244,2941,1108,32
2020-07-06,25286,3250,1135,33
2020-07-07,25286,3472,1187,33
2020-07-08,25286,3573,1761,33
2020-07-09,25286,3782,1950,33
2020-07-10,27504,4143,2183,34
2020-07-11,27504,4578,2287,34
2020-07-12,27504,4867,2378,35
2020-07-13,27504,5080,2494,37
2020-07-14,27504,5343,2646,39
2020-07-15,30530,5605,2811,43
2020-07-16,31296,6089,2951,53
2020-07-17,31296,6467,3108,54
2020-07-18,31296,6849,3339,55
2020-07-19,32851,7049,3498,59
2020-07-20,32851,7153,3788,62
2020-07-21,32851,7548,4286,65
2020-07-22,32851,8162,4662,69
2020-07-23,32851,8381,5160,70
2020-07-24,36773,8741,5522,76
2020-07-25,37145,8866,5579,78
2020-07-26,37921,9295,5579,85
2020-07-27,37921,9690,6260,91
2020-07-28,37921,10104,6613,93
2020-07-29,39864,10317,7117,99
2020-07-30,40769,10748,7461,105
2020-07-31,40769,10868,7807,106
2020-08-01,40769,11273,8109,107
2020-08-02,40769,11528,8444,114
2020-08-03,40769,11660,8825,118
2020-08-04,44805,11895,9286,123
2020-08-05,45634,12222,9798,127
2020-08-06,46301,12526,10148,134
2020-08-07,47022,12708,10412,135
2020-08-08,47759,12922,10604,141
2020-08-09,48498,13086,10816,148
2020-08-10,49228,13202,11011,151
2020-08-11,49742,13317,11276,152
2020-08-12,49957,13397,11529,156
2020-08-13,50493,13522,11780,162
2020-08-14,50969,13643,12011,164
2020-08-15,51559,13724,12232,166
2020-08-16,52321,13827,12424,170
2020-08-17,52657,13886,12603,171
2020-08-18,53278,14009,12767,173
2020-08-19,53542,14074,12921,173
2020-08-20,53954,14154,13038,177
2020-08-21,54432,14218,13206,178
2020-08-22,54691,14277,13332,178
2020-08-23,55018,14327,13355,178
2020-08-24,55375,14402,13436,178
2020-08-25,55726,14475,13492,178
2020-08-26,56065,14554,13582,181
2020-08-27,56203,14592,13686,184
2020-08-28,56617,14696,13709,187
2020-08-29,57254,14791,13753,190
2020-08-30,57736,14843,13802,191
2020-08-31,57927,14863,13832,192
2020-09-01,58459,14957,13915,195
2020-09-02,58459,15023,13965,196
2020-09-03,58459,15106,14031,197
2020-09-04,58459,15187,14075,198
2020-09-05,60482,15269,14113,199
2020-09-06,60895,15319,14139,200
2020-09-07,60895,15352,14184,202
2020-09-08,60895,15435,14219,206
2020-09-09,62150,15520,14243,206
2020-09-10,62150,15624,14295,208
2020-09-11,63222,15669,14320,209
2020-09-12,63738,15737,14349,210
2020-09-13,64174,15757,14368,211
2020-09-14,64676,15769,14411,213
2020-09-15,65145,15803,14452,214
2020-09-16,65514,15871,14482,215
2020-09-17,65514,15925,14547,216
2020-09-18,66460,15971,14587,217
2020-09-19,67031,16020,14630,219
2020-09-20,67396,16053,14646,223
2020-09-21,67835,16073,14682,225
2020-09-22,68375,16136,14743,226
2020-09-23,68564,16167,14788,226
2020-09-24,68787,16191,14833,227
2020-09-25,69025,16221,14867,228
2020-09-26,69025,16257,14922,229
2020-09-27,69988,16285,14922,229
2020-09-28,70281,16348,14947,229
2020-09-29,70578,16377,15139,229
2020-09-30,70950,16408,15301,230
2020-10-01,71089,16454,15430,232
2020-10-02,71834,16493,15467,232
2020-10-03,72228,16529,15480,232
2020-10-04,72572,16558,15486,232
2020-10-05,73053,16570,15601,233
2020-10-06,73437,16600,15698,234
2020-10-07,73437,16633,15808,235
2020-10-08,73437,16633,15808,235
