date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,18,0,0,0
2020-03-30,35,0,0,0
2020-03-31,35,0,0,0
2020-04-01,86,0,0,0
2020-04-02,88,3,0,0
2020-04-03,93,3,0,0
2020-04-04,122,4,0,0
2020-04-05,123,4,0,0
2020-04-06,143,5,0,0
2020-04-07,145,8,0,1
2020-04-08,224,8,0,1
2020-04-09,231,8,0,1
2020-04-10,287,9,0,1
2020-04-11,314,12,0,2
2020-04-12,314,13,0,2
2020-04-13,343,16,0,2
2020-04-14,343,16,0,2
2020-04-15,353,16,0,2
2020-04-16,417,16,0,2
2020-04-17,424,17,3,2
2020-04-18,429,17,3,2
2020-04-19,429,17,3,2
2020-04-20,460,17,3,2
2020-04-21,519,18,3,2
2020-04-22,553,23,3,3
2020-04-23,566,33,3,3
2020-04-24,617,33,4,3
2020-04-25,664,33,4,3
2020-04-26,690,34,4,3
2020-04-27,703,36,4,3
2020-04-28,744,36,5,3
2020-04-29,774,36,7,3
2020-04-30,831,37,7,3
2020-05-01,898,37,9,3
2020-05-02,907,38,9,3
2020-05-03,915,39,9,3
2020-05-04,961,41,9,3
2020-05-05,1032,41,9,3
2020-05-06,1073,43,9,3
2020-05-07,1152,43,14,3
2020-05-08,1231,43,14,3
2020-05-09,1287,56,14,3
2020-05-10,1337,56,14,3
2020-05-11,1363,57,24,3
2020-05-12,1363,57,24,3
2020-05-13,1621,63,24,3
2020-05-14,1696,63,24,3
2020-05-15,1762,63,24,3
2020-05-16,1803,65,24,3
2020-05-17,1922,70,27,3
2020-05-18,1973,70,27,3
2020-05-19,2095,70,27,3
2020-05-20,2276,71,27,3
2020-05-21,2411,72,27,3
2020-05-22,2604,82,28,3
2020-05-23,2974,82,28,3
2020-05-24,2974,83,33,4
2020-05-25,3372,101,33,4
2020-05-26,3372,101,37,4
2020-05-27,3975,101,37,4
2020-05-28,4311,203,37,4
2020-05-29,4490,273,42,4
2020-05-30,4590,279,42,4
2020-05-31,5147,284,42,4
2020-06-01,5505,336,42,4
2020-06-02,5746,358,42,4
2020-06-03,5900,369,51,4
2020-06-04,6172,393,51,4
2020-06-05,6288,409,55,4
2020-06-06,6423,409,55,4
2020-06-07,6546,438,55,4
2020-06-08,6690,443,55,4
2020-06-09,6785,455,55,4
2020-06-10,7009,455,55,4
2020-06-11,7081,481,55,4
2020-06-12,8003,481,65,4
2020-06-13,8351,529,66,5
2020-06-14,8438,547,69,6
2020-06-15,8642,555,69,6
2020-06-16,8904,564,73,6
2020-06-17,9029,572,73,6
2020-06-18,9475,592,74,8
2020-06-19,9475,620,91,8
2020-06-20,9475,620,91,8
2020-06-21,9475,730,258,11
2020-06-22,11114,749,258,11
2020-06-23,11883,803,258,11
2020-06-24,12118,941,259,11
2020-06-25,12578,960,260,12
2020-06-26,12950,1005,260,13
2020-06-27,13369,1038,260,13
2020-06-28,13918,1146,260,13
2020-06-29,14173,1152,260,13
2020-06-30,14683,1224,260,14
2020-07-01,15177,1265,260,16
2020-07-02,15724,1342,271,16
2020-07-03,16281,1498,317,16
2020-07-04,16281,1613,317,17
2020-07-05,17406,1613,317,17
2020-07-06,17693,1742,317,19
2020-07-07,17693,1818,317,19
2020-07-08,18814,1864,345,24
2020-07-09,19296,1942,369,25
2020-07-10,20098,2069,379,31
2020-07-11,20657,2261,517,33
2020-07-12,20974,2364,557,38
2020-07-13,21532,2430,747,39
2020-07-14,21953,2497,795,40
2020-07-15,22296,2614,1005,43
2020-07-16,23230,2712,1073,51
2020-07-17,23230,2805,1107,55
2020-07-18,23733,2810,1111,55
2020-07-19,24192,2907,1135,59
2020-07-20,24475,2992,1153,62
2020-07-21,24822,3045,1180,64
2020-07-22,25281,3302,1282,76
2020-07-23,25756,3302,1282,76
2020-07-24,26213,3453,1373,87
2020-07-25,26602,3453,1373,87
2020-07-26,27147,3640,1639,99
2020-07-27,27390,3664,1645,99
2020-07-28,27514,3709,1667,103
2020-07-29,28688,3738,1728,103
2020-07-30,29599,3858,1760,107
2020-07-31,30267,4078,1875,114
2020-08-01,30930,4186,1914,120
2020-08-02,31302,4231,1919,123
2020-08-03,31645,4272,1945,123
2020-08-04,32144,4361,2047,128
2020-08-05,32680,4426,2078,136
2020-08-06,33466,4491,2137,137
2020-08-07,34051,4575,2184,137
2020-08-08,34443,4624,2329,143
2020-08-09,34763,4658,2375,146
2020-08-10,34877,4674,2430,146
2020-08-11,35337,4714,2477,152
2020-08-12,35751,4752,2529,152
2020-08-13,37746,4912,2550,153
2020-08-14,38451,4988,2576,156
2020-08-15,38798,5026,2623,157
2020-08-16,39214,5072,2626,161
2020-08-17,39764,5125,2690,162
2020-08-18,40106,5193,2716,163
2020-08-19,40640,5240,2857,164
2020-08-20,41026,5282,2883,165
2020-08-21,41474,5322,2929,166
2020-08-22,42015,5382,2998,168
2020-08-23,42607,5414,3012,168
2020-08-24,42827,5419,3059,169
2020-08-25,42902,5423,3066,170
2020-08-26,43503,5474,3085,173
2020-08-27,43798,5496,3121,173
2020-08-28,44219,5523,3143,174
2020-08-29,44296,5528,3143,174
2020-08-30,44511,5536,3147,174
2020-08-31,45505,5566,3160,175
2020-09-01,45622,5576,3420,175
2020-09-02,45789,5579,3500,175
2020-09-03,46036,5593,3516,175
2020-09-04,46411,5608,3533,175
2020-09-05,46484,5611,3551,175
2020-09-06,46636,5614,3551,175
2020-09-07,46750,5621,3590,176
2020-09-08,46857,5630,3630,176
2020-09-09,47351,5653,3630,176
2020-09-10,47351,5655,3683,176
2020-09-11,47820,5669,3720,177
2020-09-12,48113,5678,3724,177
2020-09-13,48556,5690,3731,177
2020-09-14,48556,5697,3742,178
2020-09-15,48816,5701,3762,178
2020-09-16,48963,5704,3764,178
2020-09-17,49341,5711,4000,179
2020-09-18,49341,5716,4026,179
2020-09-19,50051,5718,4030,179
2020-09-20,50583,5731,4040,179
2020-09-21,50620,5733,4053,179
2020-09-22,50989,5739,4065,179
2020-09-23,50989,5746,4140,179
2020-09-24,50989,5747,4163,179
2020-09-25,50989,5764,4178,179
2020-09-26,50989,5766,4185,179
2020-09-27,52730,5768,4206,179
2020-09-28,52730,5770,4243,179
2020-09-29,52852,5772,4245,179
2020-09-30,53057,5773,4263,179
2020-10-01,53057,5779,4514,179
2020-10-02,54015,5783,4535,179
2020-10-03,54246,5783,4539,179
2020-10-04,54351,5786,4541,179
2020-10-05,54472,5794,4541,180
2020-10-06,54566,5796,4549,180
2020-10-07,54566,5803,4575,180
2020-10-08,54566,5803,4575,180
