date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,4,0,0
2020-03-09,0,4,0,0
2020-03-10,0,6,0,0
2020-03-11,0,8,0,0
2020-03-12,0,8,0,0
2020-03-13,0,9,0,0
2020-03-14,0,10,0,0
2020-03-15,0,13,0,0
2020-03-16,221,13,0,0
2020-03-17,254,13,0,0
2020-03-18,463,13,0,0
2020-03-19,519,13,0,0
2020-03-20,563,13,0,0
2020-03-21,593,13,0,0
2020-03-22,643,13,0,0
2020-03-23,673,13,0,0
2020-03-24,673,13,5,0
2020-03-25,776,13,8,0
2020-03-26,799,13,8,0
2020-03-27,823,16,9,0
2020-03-28,880,16,9,0
2020-03-29,916,17,13,0
2020-03-30,916,17,13,0
2020-03-31,1132,18,13,0
2020-04-01,1199,19,13,0
2020-04-02,1291,19,13,0
2020-04-03,1383,19,13,0
2020-04-04,1486,19,13,0
2020-04-05,1508,19,13,0
2020-04-06,1793,19,13,0
2020-04-07,1793,19,13,0
2020-04-08,1793,19,13,0
2020-04-09,2434,19,13,0
2020-04-10,2434,19,13,0
2020-04-11,2434,19,13,0
2020-04-12,2632,20,14,0
2020-04-13,2692,20,14,0
2020-04-14,2716,20,16,0
2020-04-15,3090,22,16,0
2020-04-16,3178,25,16,0
2020-04-17,3178,28,16,0
2020-04-18,3178,35,16,0
2020-04-19,3178,52,16,0
2020-04-20,3178,69,16,0
2020-04-21,3178,83,16,0
2020-04-22,3178,86,16,0
2020-04-23,4650,108,16,0
2020-04-24,5199,129,16,0
2020-04-25,5462,177,17,0
2020-04-26,5890,214,17,0
2020-04-27,6216,226,17,0
2020-04-28,6636,250,17,0
2020-04-29,6636,278,17,1
2020-04-30,7311,468,17,1
2020-05-01,7754,491,17,1
2020-05-02,8219,519,18,1
2020-05-03,8601,527,18,1
2020-05-04,8889,541,18,1
2020-05-05,9386,573,20,2
2020-05-06,9868,617,20,2
2020-05-07,10275,648,20,3
2020-05-08,10749,744,20,3
2020-05-09,11337,790,29,3
2020-05-10,11816,835,29,3
2020-05-11,12246,897,29,3
2020-05-12,12401,904,29,3
2020-05-13,12401,955,40,4
2020-05-14,13291,982,45,4
2020-05-15,13689,1031,49,4
2020-05-16,14476,1078,58,4
2020-05-17,14854,1094,58,4
2020-05-18,15280,1106,58,4
2020-05-19,15827,1143,91,4
2020-05-20,16351,1186,91,4
2020-05-21,16846,1216,91,4
2020-05-22,17174,1274,109,4
2020-05-23,17772,1313,128,4
2020-05-24,18483,1371,144,4
2020-05-25,19159,1395,155,4
2020-05-26,20020,1438,197,5
2020-05-27,20842,1457,197,5
2020-05-28,21639,1513,197,5
2020-05-29,22319,1591,197,5
2020-05-30,23127,1672,406,5
2020-05-31,23825,1773,453,5
2020-06-01,24784,1829,488,6
2020-06-02,25591,1841,608,7
2020-06-03,26243,1850,644,7
2020-06-04,27044,1872,648,7
2020-06-05,27977,1883,717,7
2020-06-06,28707,1901,763,8
2020-06-07,29582,1903,827,8
2020-06-08,29582,1916,925,8
2020-06-09,31355,1942,1010,8
2020-06-10,32127,1962,1121,8
2020-06-11,32784,1976,1153,8
2020-06-12,33348,2003,1193,8
2020-06-13,34112,2013,1217,8
2020-06-14,34741,2035,1311,8
2020-06-15,34741,2065,1540,8
2020-06-16,36857,2094,1670,8
2020-06-17,37491,2120,1677,8
2020-06-18,38623,2137,1677,8
2020-06-19,38623,2150,1769,8
2020-06-20,40848,2187,1788,8
2020-06-21,41554,2203,1803,8
2020-06-22,42830,2217,1813,8
2020-06-23,43998,2238,1813,8
2020-06-24,45185,2261,1839,8
2020-06-25,46182,2277,1848,8
2020-06-26,46891,2283,1863,8
2020-06-27,47741,2305,1875,8
2020-06-28,48603,2324,1911,8
2020-06-29,49338,2337,1927,8
2020-06-30,50336,2361,1944,9
2020-07-01,51576,2382,1954,9
2020-07-02,52962,2400,1969,10
2020-07-03,53867,2410,1976,10
2020-07-04,55245,2435,1976,10
2020-07-05,56138,2468,2049,11
2020-07-06,56916,2491,2113,12
2020-07-07,57611,2501,2158,12
2020-07-08,58583,2517,2180,13
2020-07-09,59530,2553,2227,13
2020-07-10,59981,2617,2238,13
2020-07-11,60217,2664,2268,13
2020-07-12,61819,2731,2284,13
2020-07-13,62767,2762,2290,13
2020-07-14,63559,2801,2302,14
2020-07-15,64239,2831,2321,14
2020-07-16,65176,2899,2339,15
2020-07-17,65799,2913,2340,15
2020-07-18,66606,2930,2354,15
2020-07-19,67264,2966,2362,15
2020-07-20,67985,2999,2369,15
2020-07-21,68696,3044,2397,15
2020-07-22,69370,3103,2397,15
2020-07-23,70050,3120,2428,15
2020-07-24,70845,3175,2498,15
2020-07-25,71974,3252,2498,15
2020-07-26,72961,3302,2528,15
2020-07-27,74107,3369,2547,15
2020-07-28,75550,3506,2547,15
2020-07-29,76937,3567,2554,15
2020-07-30,78040,3719,2568,16
2020-07-31,78900,3793,2607,16
2020-08-01,79817,3949,2613,17
2020-08-02,80999,4164,2643,18
2020-08-03,82208,4293,2670,18
2020-08-04,83115,4446,2693,19
2020-08-05,84144,4594,2703,19
2020-08-06,85587,4680,2725,19
2020-08-07,86651,4769,2754,19
2020-08-08,87632,4898,2791,19
2020-08-09,88392,5041,2804,19
2020-08-10,89555,5157,2835,19
2020-08-11,90704,5223,2849,20
2020-08-12,91903,5366,2884,21
2020-08-13,93098,5494,2920,21
2020-08-14,94047,5572,3010,22
2020-08-15,94865,5679,3208,22
2020-08-16,96175,5785,3349,22
2020-08-17,97211,5909,3488,23
2020-08-18,98175,6079,3648,24
2020-08-19,99300,6225,3788,24
2020-08-20,100233,6370,3915,24
2020-08-21,101730,6564,4012,26
2020-08-22,102682,6660,4113,26
2020-08-23,103654,6779,4222,26
2020-08-24,104631,6912,4297,27
2020-08-25,105855,7047,4439,28
2020-08-26,106909,7225,4561,28
2020-08-27,108099,7329,4691,28
2020-08-28,109120,7469,4873,28
2020-08-29,110249,7578,4925,28
2020-08-30,111738,7667,5036,28
2020-08-31,112927,7804,5155,28
2020-09-01,113885,8003,5265,29
2020-09-02,115727,8140,5338,29
2020-09-03,117064,8281,5483,29
2020-09-04,118384,8361,5642,29
2020-09-05,119460,8486,5822,29
2020-09-06,120999,8584,5936,29
2020-09-07,122148,8667,6052,29
2020-09-08,123472,8741,6157,29
2020-09-09,124966,8834,6288,31
2020-09-10,126675,8900,6559,31
2020-09-11,127961,8990,6846,31
2020-09-12,129055,9052,7055,31
2020-09-13,130356,9173,7326,32
2020-09-14,131623,9243,7536,33
2020-09-15,132880,9328,7729,33
2020-09-16,134520,9427,7903,33
2020-09-17,135958,9494,8033,33
2020-09-18,137200,9568,8077,33
2020-09-19,138608,9649,8188,33
2020-09-20,139812,9724,8261,33
2020-09-21,141184,9770,8390,34
2020-09-22,142374,9818,8438,34
2020-09-23,143472,9885,8530,34
2020-09-24,144928,9939,8597,34
2020-09-25,146417,10014,8673,34
2020-09-26,147681,10045,8754,34
2020-09-27,149135,10098,8847,34
2020-09-28,150718,10157,8950,34
2020-09-29,152145,10194,9037,34
2020-09-30,153822,10291,9108,34
2020-10-01,155450,10354,9187,34
2020-10-02,156969,10398,9213,34
2020-10-03,158524,10465,9310,34
2020-10-04,160107,10530,9364,34
2020-10-05,161715,10567,9427,34
2020-10-06,163203,10621,9466,34
2020-10-07,163203,10621,9466,34
