date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,2,0,0
2020-03-26,0,4,0,0
2020-03-27,0,11,0,0
2020-03-28,0,18,0,0
2020-03-29,0,18,0,1
2020-03-30,0,25,0,2
2020-03-31,0,28,0,2
2020-04-01,0,31,0,3
2020-04-02,0,36,0,3
2020-04-03,0,39,0,3
2020-04-04,0,41,1,3
2020-04-05,0,45,1,5
2020-04-06,0,47,9,5
2020-04-07,0,56,12,5
2020-04-08,0,59,16,7
2020-04-09,0,74,22,7
2020-04-10,0,87,22,7
2020-04-11,0,87,22,7
2020-04-12,0,105,22,9
2020-04-13,0,123,26,10
2020-04-14,0,144,34,13
2020-04-15,0,148,34,13
2020-04-16,0,171,34,13
2020-04-17,0,171,34,13
2020-04-18,0,216,41,13
2020-04-19,0,224,42,14
2020-04-20,0,246,56,14
2020-04-21,0,258,57,14
2020-04-22,0,293,73,17
2020-04-23,0,309,77,21
2020-04-24,0,325,87,21
2020-04-25,0,370,91,21
2020-04-26,0,389,112,23
2020-04-27,0,408,113,23
2020-04-28,0,424,122,24
2020-04-29,0,482,129,25
2020-04-30,0,490,135,26
2020-05-01,0,508,196,26
2020-05-02,0,544,206,26
2020-05-03,0,563,213,27
2020-05-04,0,580,223,29
2020-05-05,0,612,228,32
2020-05-06,0,631,261,32
2020-05-07,0,650,271,32
2020-05-08,0,668,285,35
2020-05-09,0,692,298,37
2020-05-10,0,704,351,38
2020-05-11,0,712,377,39
2020-05-12,0,730,398,40
2020-05-13,0,758,412,44
2020-05-14,0,779,436,46
2020-05-15,0,806,455,46
2020-05-16,0,835,479,48
2020-05-17,0,860,494,52
2020-05-18,0,874,512,52
2020-05-19,0,901,529,53
2020-05-20,0,931,543,55
2020-05-21,0,947,558,60
2020-05-22,0,969,560,62
2020-05-23,0,1015,574,63
2020-05-24,0,1030,597,65
2020-05-25,0,1059,604,67
2020-05-26,0,1077,617,70
2020-05-27,0,1116,632,70
2020-05-28,0,1194,652,72
2020-05-29,0,1226,669,73
2020-05-30,0,1250,696,76
2020-05-31,0,1265,716,77
2020-06-01,0,1315,744,78
2020-06-02,0,1351,769,78
2020-06-03,0,1386,788,79
2020-06-04,0,1461,806,85
2020-06-05,0,1485,816,87
2020-06-06,0,1523,845,90
2020-06-07,0,1533,873,90
2020-06-08,0,1547,916,92
2020-06-09,0,1586,931,94
2020-06-10,0,1667,948,96
2020-06-11,0,1722,989,97
2020-06-12,0,1752,1023,101
2020-06-13,0,1776,1058,104
2020-06-14,0,1809,1088,104
2020-06-15,0,1860,1125,104
2020-06-16,0,1885,1145,104
2020-06-17,0,1890,1168,107
2020-06-18,0,1906,1192,107
2020-06-19,0,1923,1217,108
2020-06-20,0,1933,1255,109
2020-06-21,0,1933,1255,109
2020-06-22,0,1961,1266,111
2020-06-23,0,1978,1302,111
2020-06-24,0,2005,1354,112
2020-06-25,0,2039,1383,113
2020-06-26,0,2060,1387,113
2020-06-27,0,2118,1398,113
2020-06-28,0,2147,1432,114
2020-06-29,0,2173,1447,115
2020-06-30,0,2181,1474,116
2020-07-01,0,2202,1483,116
2020-07-02,0,2260,1502,117
2020-07-03,0,2285,1507,117
2020-07-04,0,2303,1516,118
2020-07-05,0,2330,1527,119
2020-07-06,0,2331,1547,119
2020-07-07,0,2348,1556,119
2020-07-08,0,2358,1597,120
2020-07-09,0,2370,1621,120
2020-07-10,0,2404,1650,121
2020-07-11,0,2406,1683,121
2020-07-12,0,2411,1694,121
2020-07-13,0,2412,1730,121
2020-07-14,0,2423,1748,121
2020-07-15,0,2433,1764,121
2020-07-16,0,2440,1777,121
2020-07-17,0,2467,1791,121
2020-07-18,0,2472,1809,121
2020-07-19,0,2475,1828,121
2020-07-20,0,2475,1851,121
2020-07-21,0,2477,1856,122
2020-07-22,0,2494,1869,123
2020-07-23,0,2494,1889,123
2020-07-24,0,2503,1901,123
2020-07-25,0,2503,1907,123
2020-07-26,0,2510,1911,123
2020-07-27,0,2513,1913,124
2020-07-28,0,2520,1919,124
2020-07-29,0,2521,1927,124
2020-07-30,0,2522,1931,124
2020-07-31,0,2535,1937,124
2020-08-01,0,2535,1937,124
2020-08-02,0,2541,1943,124
2020-08-03,0,2543,1943,124
2020-08-04,0,2543,1946,124
2020-08-05,0,2546,1950,124
2020-08-06,0,2552,1954,124
2020-08-07,0,2561,1956,125
2020-08-08,0,2565,1960,125
2020-08-09,0,2567,1962,125
2020-08-10,0,2573,1969,125
2020-08-11,0,2577,1973,125
2020-08-12,0,2582,1977,125
2020-08-13,0,2597,1979,125
2020-08-14,0,2597,1979,125
2020-08-15,0,2614,1986,125
2020-08-16,0,2640,1987,125
2020-08-17,0,2640,1987,125
2020-08-18,0,2666,1990,125
2020-08-19,0,2667,1993,125
2020-08-20,0,2667,1993,125
2020-08-21,0,2688,2007,125
2020-08-22,0,2699,2010,125
2020-08-23,0,2705,2018,125
2020-08-24,0,2708,2025,125
2020-08-25,0,2713,2041,125
2020-08-26,0,2717,2052,126
2020-08-27,0,2730,2054,126
2020-08-28,0,2736,2055,126
2020-08-29,0,2757,2121,126
2020-08-30,0,2773,2169,126
2020-08-31,0,2776,2169,126
2020-09-01,0,2777,2178,126
2020-09-02,0,2802,2185,126
2020-09-03,0,2807,2203,126
2020-09-04,0,2814,2220,126
2020-09-05,0,2833,2233,126
2020-09-06,0,2842,2238,127
2020-09-07,0,2870,2246,127
2020-09-08,0,2882,2258,127
2020-09-09,0,2898,2267,128
2020-09-10,0,2909,2269,128
2020-09-11,0,2912,2271,128
2020-09-12,0,2916,2276,128
2020-09-13,0,2924,2285,128
2020-09-14,0,2935,2289,128
2020-09-15,0,2940,2302,128
2020-09-16,0,2966,2311,128
2020-09-17,0,2966,2311,128
2020-09-18,0,2991,2332,128
2020-09-19,0,3006,2349,128
2020-09-20,0,3013,2372,128
2020-09-21,0,3024,2377,128
2020-09-22,0,3030,2380,129
2020-09-23,0,3034,2382,130
2020-09-24,0,3041,2391,130
2020-09-25,0,3064,2402,130
2020-09-26,0,3080,2410,130
2020-09-27,0,3086,2420,130
2020-09-28,0,3090,2439,130
2020-09-29,0,3101,2443,131
2020-09-30,0,3118,2453,131
2020-10-01,0,3131,2460,131
2020-10-02,0,3156,2467,131
2020-10-03,0,3170,2476,131
2020-10-04,0,3184,2479,131
2020-10-05,0,3189,2482,131
2020-10-06,0,3195,2494,131
2020-10-07,0,3195,2494,131
