date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,1,0,0,0
2020-02-07,1,0,0,0
2020-02-08,1,0,0,0
2020-02-09,1,0,0,0
2020-02-10,1,0,0,0
2020-02-11,1,0,0,0
2020-02-12,1,0,0,0
2020-02-13,1,0,0,0
2020-02-14,1,0,0,0
2020-02-15,1,0,0,0
2020-02-16,1,0,0,0
2020-02-17,1,0,0,0
2020-02-18,1,0,0,0
2020-02-19,1,0,0,0
2020-02-20,1,0,0,0
2020-02-21,1,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,46,0,0,0
2020-02-25,75,0,0,0
2020-02-26,125,0,0,0
2020-02-27,139,0,0,0
2020-02-28,149,0,0,0
2020-02-29,156,0,0,0
2020-03-01,164,0,0,0
2020-03-02,169,0,0,0
2020-03-03,191,0,0,0
2020-03-04,233,0,0,0
2020-03-05,264,0,0,0
2020-03-06,327,0,0,0
2020-03-07,425,3,0,0
2020-03-08,543,3,0,0
2020-03-09,626,3,0,0
2020-03-10,691,5,0,0
2020-03-11,853,6,0,0
2020-03-12,1041,6,0,0
2020-03-13,1189,12,1,0
2020-03-14,1343,18,1,0
2020-03-15,1473,21,1,0
2020-03-16,1614,30,2,0
2020-03-17,1774,38,2,0
2020-03-18,2076,38,2,0
2020-03-19,2352,53,2,0
2020-03-20,2611,64,2,0
2020-03-21,2907,73,2,0
2020-03-22,3216,90,2,0
2020-03-23,3527,107,2,0
2020-03-24,4015,110,2,0
2020-03-25,4420,129,2,0
2020-03-26,4874,134,2,0
2020-03-27,5392,139,2,0
2020-03-28,5991,149,2,0
2020-03-29,6622,151,2,0
2020-03-30,7186,156,2,0
2020-03-31,7811,169,2,0
2020-04-01,8548,188,2,0
2020-04-02,9295,196,2,0
2020-04-03,9955,202,2,0
2020-04-04,10609,213,2,0
2020-04-05,11164,227,5,0
2020-04-06,11981,241,5,0
2020-04-07,12972,293,5,0
2020-04-08,13973,299,16,1
2020-04-09,14968,337,16,2
2020-04-10,16168,350,16,2
2020-04-11,17192,370,16,3
2020-04-12,18140,378,44,3
2020-04-13,19187,384,44,3
2020-04-14,20249,393,44,3
2020-04-15,21278,399,44,3
2020-04-16,22354,412,82,3
2020-04-17,23333,422,91,3
2020-04-18,24116,426,99,3
2020-04-19,24688,427,118,3
2020-04-20,25393,431,126,3
2020-04-21,26203,443,150,3
2020-04-22,26843,444,165,3
2020-04-23,27452,445,204,3
2020-04-24,28007,447,223,3
2020-04-25,28621,448,249,4
2020-04-26,29319,448,282,4
2020-04-27,30387,450,286,4
2020-04-28,31594,458,303,4
2020-04-29,32837,463,339,4
2020-04-30,34018,465,351,4
2020-05-01,35026,467,383,4
2020-05-02,36096,468,379,4
2020-05-03,36827,477,392,4
2020-05-04,38041,480,399,4
2020-05-05,39435,482,403,5
2020-05-06,40444,484,407,5
2020-05-07,41579,486,413,5
2020-05-08,42584,489,419,5
2020-05-09,43691,490,427,5
2020-05-10,44466,496,433,5
2020-05-11,45704,503,434,5
2020-05-12,46836,506,434,5
2020-05-13,48152,508,436,6
2020-05-14,49647,522,443,6
2020-05-15,51366,532,458,6
2020-05-16,52791,546,450,6
2020-05-17,53802,553,454,6
2020-05-18,55316,558,456,6
2020-05-19,56977,569,460,6
2020-05-20,58344,584,465,6
2020-05-21,59890,599,468,6
2020-05-22,61607,600,469,6
2020-05-23,62893,609,473,6
2020-05-24,63709,610,476,6
2020-05-25,65176,611,485,6
2020-05-26,66424,611,485,6
2020-05-27,67648,612,491,7
2020-05-28,68840,616,501,7
2020-05-29,70207,616,514,9
2020-05-30,71192,618,525,9
2020-05-31,71785,618,534,9
2020-06-01,72800,619,537,9
2020-06-02,73745,620,554,9
2020-06-03,74650,622,562,9
2020-06-04,75627,622,576,9
2020-06-05,76504,625,583,9
2020-06-06,77409,627,596,9
2020-06-07,77916,629,596,9
2020-06-08,79068,630,596,9
2020-06-09,79919,632,597,9
2020-06-10,80821,635,597,9
2020-06-11,81951,640,600,9
2020-06-12,82993,645,600,9
2020-06-13,84303,646,601,9
2020-06-14,84857,649,603,9
2020-06-15,86093,650,603,9
2020-06-16,87004,656,608,9
2020-06-17,87864,662,610,9
2020-06-18,88716,663,610,9
2020-06-19,89502,663,613,9
2020-06-20,90270,664,616,9
2020-06-21,90734,665,616,9
2020-06-22,91661,665,617,9
2020-06-23,92584,665,618,9
2020-06-24,93611,665,624,9
2020-06-25,94557,668,627,9
2020-06-26,95427,670,632,9
2020-06-27,96088,670,635,9
2020-06-28,96604,670,636,9
2020-06-29,97171,670,639,9
2020-06-30,98306,670,640,9
2020-07-01,99198,671,647,9
2020-07-02,100179,671,649,9
2020-07-03,101166,672,650,9
2020-07-04,101937,672,651,9
2020-07-05,102394,672,652,9
2020-07-06,103324,672,652,9
2020-07-07,104099,673,653,9
2020-07-08,104908,673,654,9
2020-07-09,105683,674,656,9
2020-07-10,106425,674,658,9
2020-07-11,107166,674,658,9
2020-07-12,107622,674,660,9
2020-07-13,108553,674,660,9
2020-07-14,109538,674,660,9
2020-07-15,110625,674,661,9
2020-07-16,111555,674,661,9
2020-07-17,112403,674,662,9
2020-07-18,113237,675,662,9
2020-07-19,113820,677,662,9
2020-07-20,114779,677,664,9
2020-07-21,115795,677,664,9
2020-07-22,116909,679,665,9
2020-07-23,117840,680,665,9
2020-07-24,118925,686,665,9
2020-07-25,120145,686,665,9
2020-07-26,120995,700,665,9
2020-07-27,122348,701,665,9
2020-07-28,123963,708,665,9
2020-07-29,125685,720,665,9
2020-07-30,126999,814,665,9
2020-07-31,128747,824,665,9
2020-08-01,130163,845,665,9
2020-08-02,131600,860,666,9
2020-08-03,133101,874,666,9
2020-08-04,134940,890,666,9
2020-08-05,136709,926,668,9
2020-08-06,138426,946,670,9
2020-08-07,139974,995,675,9
2020-08-08,141763,1035,675,9
2020-08-09,143380,1089,684,9
2020-08-10,145261,1112,688,9
2020-08-11,147405,1141,692,9
2020-08-12,149888,1190,695,9
2020-08-13,152079,1245,708,9
2020-08-14,154513,1276,762,9
2020-08-15,156653,1348,782,9
2020-08-16,158923,1306,749,9
2020-08-17,161046,1375,759,9
2020-08-18,163306,1423,766,9
2020-08-19,166335,1470,784,9
2020-08-20,168780,1510,802,9
2020-08-21,171090,1546,854,10
2020-08-22,173263,1577,901,10
2020-08-23,175457,1612,934,10
2020-08-24,177504,1667,977,10
2020-08-25,179689,1705,1029,10
2020-08-26,182231,1751,1077,10
2020-08-27,184340,1788,1121,10
2020-08-28,186630,1820,1186,10
2020-08-29,188539,1847,1244,10
2020-08-30,190579,1862,1313,12
2020-08-31,192494,1883,1400,12
2020-09-01,194561,1909,1453,12
2020-09-02,196999,1931,1490,13
2020-09-03,198868,1965,1528,13
2020-09-04,200571,1984,1565,13
2020-09-05,202122,2014,1601,14
2020-09-06,203762,2039,1627,14
2020-09-07,205125,2076,1690,14
2020-09-08,207168,2099,1729,14
2020-09-09,209125,2162,1760,14
2020-09-10,211219,2204,1803,14
2020-09-11,212866,2247,1833,15
2020-09-12,215270,2274,1850,15
2020-09-13,217006,2352,1872,15
2020-09-14,218671,2405,1890,16
2020-09-15,221141,2454,1931,16
2020-09-16,223676,2560,1953,16
2020-09-17,226308,2595,1978,16
2020-09-18,229230,2634,1996,17
2020-09-19,231426,2699,2017,19
2020-09-20,233209,2731,2047,20
2020-09-21,235618,2776,2079,23
2020-09-22,238061,2814,2113,23
2020-09-23,240362,2856,2173,25
2020-09-24,242906,2898,2191,27
2020-09-25,245002,2929,2261,29
2020-09-26,247328,2958,2304,31
2020-09-27,249630,2979,2358,31
2020-09-28,251746,3006,2399,32
2020-09-29,251746,3035,2484,34
2020-09-30,251746,3058,2562,35
2020-10-01,251746,3095,2605,35
2020-10-02,251746,3139,2668,37
2020-10-03,251746,3204,2711,38
2020-10-04,251746,3270,2758,39
2020-10-05,251746,3327,2770,39
2020-10-06,251746,3374,2812,40
2020-10-07,251746,3374,2812,40
