date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,678,0,0,0
2020-01-23,724,0,0,0
2020-01-24,770,0,0,0
2020-01-25,785,0,0,0
2020-01-26,819,0,0,0
2020-01-27,862,0,0,0
2020-01-28,912,0,0,0
2020-01-29,943,0,0,0
2020-01-30,982,0,0,0
2020-01-31,1014,0,0,0
2020-02-01,1022,0,0,0
2020-02-02,1034,0,0,0
2020-02-03,1048,0,0,0
2020-02-04,1099,0,0,0
2020-02-05,1144,0,0,0
2020-02-06,1189,0,0,0
2020-02-07,1217,0,0,0
2020-02-08,1224,0,0,0
2020-02-09,1240,0,0,0
2020-02-10,1311,0,0,0
2020-02-11,1360,0,0,0
2020-02-12,1400,0,0,0
2020-02-13,1436,0,0,0
2020-02-14,1468,0,0,0
2020-02-15,1477,0,0,0
2020-02-16,1493,0,0,0
2020-02-17,1521,0,0,0
2020-02-18,1551,0,0,0
2020-02-19,1582,0,0,0
2020-02-20,1604,0,0,0
2020-02-21,1626,0,0,0
2020-02-22,1638,0,0,0
2020-02-23,1647,0,0,0
2020-02-24,1681,0,0,0
2020-02-25,1712,0,0,0
2020-02-26,1752,0,0,0
2020-02-27,1798,0,0,0
2020-02-28,1863,1,0,0
2020-02-29,1889,4,0,0
2020-03-01,1917,5,0,0
2020-03-02,1995,5,0,0
2020-03-03,2070,5,1,0
2020-03-04,2141,5,1,0
2020-03-05,2207,5,1,0
2020-03-06,2262,6,1,0
2020-03-07,2288,6,1,0
2020-03-08,2323,7,1,0
2020-03-09,2403,7,1,0
2020-03-10,2511,7,4,0
2020-03-11,2644,8,4,0
2020-03-12,2848,12,4,0
2020-03-13,3132,26,4,0
2020-03-14,3295,41,4,0
2020-03-15,3466,53,4,0
2020-03-16,3729,82,4,0
2020-03-17,4191,93,4,0
2020-03-18,4711,118,4,0
2020-03-19,5301,164,4,1
2020-03-20,5876,203,4,2
2020-03-21,6276,251,4,2
2020-03-22,6590,316,4,3
2020-03-23,7431,367,4,4
2020-03-24,8569,405,4,5
2020-03-25,9824,475,4,6
2020-03-26,11050,585,4,8
2020-03-27,12510,717,4,12
2020-03-28,13275,848,4,16
2020-03-29,14019,993,4,20
2020-03-30,15690,1094,35,28
2020-03-31,17175,1215,35,29
2020-04-01,18759,1378,35,37
2020-04-02,20453,1510,35,50
2020-04-03,22182,1688,633,60
2020-04-04,23260,1890,633,79
2020-04-05,24066,2143,633,94
2020-04-06,26071,2439,633,125
2020-04-07,28066,2785,633,141
2020-04-08,30238,3181,633,174
2020-04-09,31877,3441,633,194
2020-04-10,33800,3844,633,233
2020-04-11,35183,4219,633,273
2020-04-12,36374,4661,1772,296
2020-04-13,39179,5014,1843,332
2020-04-14,42069,5399,1964,406
2020-04-15,44858,5847,2125,449
2020-04-16,47546,6297,2125,486
2020-04-17,50576,6875,2125,546
2020-04-18,52199,7497,2125,650
2020-04-19,53676,8261,2627,686
2020-04-20,57268,8772,2627,712
2020-04-21,60587,9501,2627,857
2020-04-22,63776,10544,2627,970
2020-04-23,67269,11633,2627,1069
2020-04-24,71199,12872,2627,1221
2020-04-25,73375,13842,7149,1305
2020-04-26,75279,14677,8354,1351
2020-04-27,79551,15529,9086,1434
2020-04-28,83927,16752,11423,1569
2020-04-29,88599,17799,11423,1732
2020-04-30,93665,19224,11423,1859
2020-05-01,96726,20739,12377,1972
2020-05-02,99524,22088,12377,2061
2020-05-03,102255,23471,13447,2154
2020-05-04,108135,24905,13447,2271
2020-05-05,113164,26025,16810,2507
2020-05-06,118811,27634,17781,2704
2020-05-07,124561,29616,17781,2961
2020-05-08,130662,31522,20314,3160
2020-05-09,134103,33460,21824,3353
2020-05-10,136821,35022,21824,3465
2020-05-11,143634,36327,23100,3573
2020-05-12,150590,38324,25935,3926
2020-05-13,157497,40186,26990,4220
2020-05-14,164677,42595,28475,4477
2020-05-15,172366,45032,30451,4767
2020-05-16,176537,47144,31848,5045
2020-05-17,179402,49219,33329,5177
2020-05-18,187849,51633,35388,5332
2020-05-19,195519,54346,37325,5666
2020-05-20,203808,56594,38419,6090
2020-05-21,212040,59567,40152,6510
2020-05-22,220565,62527,42191,6989
2020-05-23,224955,65856,44424,7179
2020-05-24,228510,68620,46979,7394
2020-05-25,237939,71105,49452,7633
2020-05-26,247043,74560,51708,8134
2020-05-27,256433,78023,53834,8597
2020-05-28,265341,81400,56041,9044
2020-05-29,274580,84627,59003,9415
2020-05-30,279782,87512,61247,9779
2020-05-31,283550,90664,63772,9930
2020-06-01,293980,93435,66965,10167
2020-06-02,303759,97326,69749,10637
2020-06-03,314052,101238,72680,11729
2020-06-04,324176,105680,74758,12545
2020-06-05,334751,110026,77841,13170
2020-06-06,340266,113619,80830,13511
2020-06-07,344357,117103,83775,13699
2020-06-08,356048,120102,87633,14053
2020-06-09,367732,124301,90748,14649
2020-06-10,379411,129184,93930,15357
2020-06-11,390760,133974,97198,15944
2020-06-12,402564,139196,100876,16448
2020-06-13,408120,142690,104078,16872
2020-06-14,412602,146837,107298,17141
2020-06-15,425779,150264,112292,17580
2020-06-16,438468,154863,115394,18310
2020-06-17,450585,159793,118504,19080
2020-06-18,462415,165455,122180,19747
2020-06-19,474279,170485,126438,20394
2020-06-20,480483,175202,130854,20781
2020-06-21,484466,180545,134495,21825
2020-06-22,496902,185122,139383,22584
2020-06-23,509766,191410,143646,23377
2020-06-24,521991,196847,148487,24324
2020-06-25,534551,202951,152362,25060
2020-06-26,547537,208392,156827,25779
2020-06-27,554144,212802,160721,26381
2020-06-28,559057,216852,164646,26648
2020-06-29,573620,220657,170147,27121
2020-06-30,587612,226089,174538,27769
2020-07-01,602231,231770,178526,28510
2020-07-02,615685,238511,183757,29189
2020-07-03,629523,245251,189345,29843
2020-07-04,635832,252165,195724,30366
2020-07-05,640821,256848,199914,30639
2020-07-06,655907,261750,204826,31119
2020-07-07,671001,268008,209437,32014
2020-07-08,685369,275003,214316,32796
2020-07-09,699129,282283,219628,33526
2020-07-10,712847,289174,225356,34191
2020-07-11,719469,295268,229856,34730
2020-07-12,724557,299750,234905,35006
2020-07-13,740286,304435,240101,35491
2020-07-14,755382,311486,245830,36327
2020-07-15,771638,317635,252368,36906
2020-07-16,787161,324041,257681,37574
2020-07-17,802708,331298,264202,38310
2020-07-18,810431,338913,271239,38888
2020-07-19,815553,344224,254941,39184
2020-07-20,832343,349396,263091,39485
2020-07-21,848328,356255,267407,40400
2020-07-22,864092,362274,270147,41190
2020-07-23,879370,370712,275454,41908
2020-07-24,894420,378285,283382,42645
2020-07-25,901407,385036,288819,43374
2020-07-26,906279,390516,295222,43680
2020-07-27,921773,395489,303810,44022
2020-07-28,937282,402697,308142,44876
2020-07-29,952054,408449,314538,45361
2020-07-30,966761,416179,320100,46000
2020-07-31,980494,424637,327115,46688
2020-08-01,987467,434193,334867,47472
2020-08-02,991726,439046,342527,47746
2020-08-03,1006070,443813,353442,48012
2020-08-04,1020885,449961,357444,48869
2020-08-05,1035252,456100,361764,49698
2020-08-06,1049081,462690,365311,50517
2020-08-07,1062952,469407,370098,51311
2020-08-08,1069519,475902,377125,52006
2020-08-09,1073625,480278,384432,52298
2020-08-10,1088271,485836,393160,53003
2020-08-11,1102845,492522,397278,53929
2020-08-12,1116788,498380,401182,54666
2020-08-13,1130605,505751,406583,55293
2020-08-14,1144152,511369,410479,55908
2020-08-15,1150466,517714,418164,56543
2020-08-16,1154580,522162,424298,56757
2020-08-17,1168778,525733,430840,57023
2020-08-18,1183245,531239,433809,57774
2020-08-19,1197144,537031,438375,58481
2020-08-20,1209733,543806,442782,59106
2020-08-21,1223456,549734,448344,59610
2020-08-22,1229722,556216,453104,60254
2020-08-23,1233798,560164,458123,60480
2020-08-24,1248056,563705,466209,60800
2020-08-25,1262248,568621,469206,61450
2020-08-26,1278074,573888,472197,62076
2020-08-27,1293331,579914,475532,62594
2020-08-28,1308395,585738,479770,63146
2020-08-29,1315523,591712,484283,63819
2020-08-30,1319654,595841,489724,64158
2020-08-31,1334307,599560,496222,64414
2020-09-01,1349956,606036,501722,65241
2020-09-02,1365782,610957,504541,65816
2020-09-03,1381002,616894,510626,66329
2020-09-04,1395929,623090,514663,66851
2020-09-05,1402305,629409,518844,67326
2020-09-06,1406210,634023,524669,67558
2020-09-07,1420535,637509,531334,67781
2020-09-08,1435724,642860,535141,68484
2020-09-09,1450496,647321,538514,69049
2020-09-10,1464834,652364,541804,69649
2020-09-11,1478581,658299,547088,70183
2020-09-12,1484620,663973,551113,70604
2020-09-13,1488255,668381,557381,70821
2020-09-14,1502481,671716,564053,71049
2020-09-15,1512920,676487,569546,71678
2020-09-16,1517122,680931,574203,71978
2020-09-17,1531179,684113,579145,72179
2020-09-18,1545123,688954,582109,72803
2020-09-19,1551012,694121,586154,73258
2020-09-20,1554450,697663,590459,73493
2020-09-21,1568118,700580,596317,73697
2020-09-22,1582516,705263,598953,74348
2020-09-23,1595957,710049,601611,74949
2020-09-24,1608793,715457,605796,75439
2020-09-25,1621822,720858,609041,75844
