date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,1,0,0
2020-03-07,0,1,0,0
2020-03-08,0,1,0,0
2020-03-09,0,1,0,0
2020-03-10,0,1,0,0
2020-03-11,0,1,0,0
2020-03-12,0,2,0,0
2020-03-13,0,2,0,0
2020-03-14,0,2,0,0
2020-03-15,0,2,0,0
2020-03-16,0,7,0,0
2020-03-17,0,7,0,0
2020-03-18,0,7,0,0
2020-03-19,0,7,0,0
2020-03-20,0,11,0,0
2020-03-21,0,11,0,0
2020-03-22,0,23,1,0
2020-03-23,0,23,1,0
2020-03-24,0,23,1,0
2020-03-25,0,31,1,0
2020-03-26,0,33,1,0
2020-03-27,0,42,1,0
2020-03-28,0,42,1,0
2020-03-29,0,46,1,1
2020-03-30,0,49,1,1
2020-03-31,0,52,2,1
2020-04-01,0,55,2,1
2020-04-02,0,60,2,1
2020-04-03,0,64,3,1
2020-04-04,0,66,3,1
2020-04-05,0,73,3,1
2020-04-06,0,77,4,1
2020-04-07,0,79,4,1
2020-04-08,0,81,4,1
2020-04-09,0,84,5,1
2020-04-10,0,90,5,1
2020-04-11,0,92,5,1
2020-04-12,0,93,6,1
2020-04-13,0,93,6,1
2020-04-14,0,93,6,1
2020-04-15,0,93,12,3
2020-04-16,0,93,12,3
2020-04-17,0,94,20,3
2020-04-18,0,94,22,3
2020-04-19,0,94,22,3
2020-04-20,0,94,23,3
2020-04-21,0,94,26,3
2020-04-22,0,94,26,3
2020-04-23,0,94,35,4
2020-04-24,0,94,41,4
2020-04-25,0,94,42,4
2020-04-26,0,94,42,4
2020-04-27,0,95,42,4
2020-04-28,0,95,50,4
2020-04-29,0,95,58,4
2020-04-30,0,95,64,4
2020-05-01,0,95,73,4
2020-05-02,0,95,78,4
2020-05-03,0,95,78,4
2020-05-04,0,95,78,4
2020-05-05,0,95,81,4
2020-05-06,0,95,82,4
2020-05-07,0,95,82,4
2020-05-08,0,95,82,4
2020-05-09,0,96,82,4
2020-05-10,0,96,82,4
2020-05-11,0,96,85,4
2020-05-12,0,96,85,4
2020-05-13,0,96,87,4
2020-05-14,0,96,87,4
2020-05-15,0,96,87,4
2020-05-16,0,96,87,4
2020-05-17,0,96,87,4
2020-05-18,0,97,87,4
2020-05-19,0,97,87,4
2020-05-20,0,97,90,4
2020-05-21,0,97,90,4
2020-05-22,0,97,90,4
2020-05-23,0,98,90,4
2020-05-24,0,98,90,4
2020-05-25,0,98,90,4
2020-05-26,0,98,90,4
2020-05-27,0,98,90,4
2020-05-28,0,98,90,4
2020-05-29,0,98,90,4
2020-05-30,0,99,90,4
2020-05-31,0,99,90,4
2020-06-01,0,99,90,4
2020-06-02,0,99,90,4
2020-06-03,0,99,90,4
2020-06-04,0,99,92,4
2020-06-05,0,99,93,4
2020-06-06,0,99,93,4
2020-06-07,0,99,93,4
2020-06-08,0,99,93,4
2020-06-09,0,99,93,4
2020-06-10,0,99,93,4
2020-06-11,0,99,93,4
2020-06-12,0,99,93,4
2020-06-13,0,99,93,4
2020-06-14,0,99,93,4
2020-06-15,0,99,93,4
2020-06-16,0,99,94,4
2020-06-17,0,99,94,4
2020-06-18,0,99,94,4
2020-06-19,0,99,94,4
2020-06-20,0,99,94,4
2020-06-21,0,100,94,4
2020-06-22,0,101,95,4
2020-06-23,0,101,95,4
2020-06-24,0,102,95,4
2020-06-25,0,102,95,4
2020-06-26,0,102,95,4
2020-06-27,0,103,95,4
2020-06-28,0,103,95,4
2020-06-29,0,103,95,4
2020-06-30,0,103,95,4
2020-07-01,0,103,95,4
2020-07-02,0,106,95,4
2020-07-03,0,106,95,4
2020-07-04,0,106,95,4
2020-07-05,0,108,95,4
2020-07-06,0,108,95,4
2020-07-07,0,108,95,4
2020-07-08,0,108,95,4
2020-07-09,0,108,96,4
2020-07-10,0,108,96,4
2020-07-11,0,109,96,4
2020-07-12,0,109,97,4
2020-07-13,0,109,97,4
2020-07-14,0,109,97,4
2020-07-15,0,109,97,4
2020-07-16,0,109,98,4
2020-07-17,0,109,98,4
2020-07-18,0,109,98,4
2020-07-19,0,109,98,4
2020-07-20,0,109,100,4
2020-07-21,0,111,100,4
2020-07-22,0,112,100,4
2020-07-23,0,114,100,4
2020-07-24,0,116,100,4
2020-07-25,0,116,104,4
2020-07-26,0,116,104,4
2020-07-27,0,116,104,4
2020-07-28,0,117,104,4
2020-07-29,0,120,105,4
2020-07-30,0,120,105,4
2020-07-31,0,120,105,4
2020-08-01,0,120,105,4
2020-08-02,0,120,105,4
2020-08-03,0,121,105,4
2020-08-04,0,123,105,4
2020-08-05,0,125,105,4
2020-08-06,0,125,105,4
2020-08-07,0,128,105,4
2020-08-08,0,131,112,4
2020-08-09,0,133,113,4
2020-08-10,0,133,113,4
2020-08-11,0,138,113,4
2020-08-12,0,141,114,4
2020-08-13,0,144,114,4
2020-08-14,0,146,114,4
2020-08-15,0,146,114,4
2020-08-16,0,146,114,4
2020-08-17,0,148,114,4
2020-08-18,0,148,114,4
2020-08-19,0,148,114,4
2020-08-20,0,150,115,4
2020-08-21,0,154,116,4
2020-08-22,0,154,116,4
2020-08-23,0,154,116,4
2020-08-24,0,154,116,4
2020-08-25,0,154,116,4
2020-08-26,0,154,116,4
2020-08-27,0,154,116,4
2020-08-28,0,154,116,4
2020-08-29,0,154,116,4
2020-08-30,0,154,116,4
2020-08-31,0,154,116,4
2020-09-01,0,154,116,4
2020-09-02,0,142,91,1
2020-09-03,0,143,94,1
2020-09-04,0,147,97,1
2020-09-05,0,147,102,1
2020-09-06,0,147,102,1
2020-09-07,0,153,102,1
2020-09-08,0,156,107,1
2020-09-09,0,161,107,1
2020-09-10,0,165,107,1
2020-09-11,0,168,123,1
2020-09-12,0,169,123,1
2020-09-13,0,171,128,1
2020-09-14,0,177,132,1
2020-09-15,0,178,133,1
2020-09-16,0,181,137,1
2020-09-17,0,186,147,1
2020-09-18,0,191,152,1
2020-09-19,0,192,152,1
2020-09-20,0,193,153,1
2020-09-21,0,195,159,1
2020-09-22,0,197,163,1
2020-09-23,0,199,165,1
2020-09-24,0,205,166,1
2020-09-25,0,208,167,2
2020-09-26,0,210,169,2
2020-09-27,0,210,169,2
2020-09-28,0,212,174,2
2020-09-29,0,214,178,2
2020-09-30,0,218,181,2
2020-10-01,0,219,187,2
2020-10-02,0,221,188,2
2020-10-03,0,222,188,2
2020-10-04,0,222,189,2
2020-10-05,0,223,193,2
2020-10-06,0,224,198,2
2020-10-07,0,224,198,2
