date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,2,0,0
2020-03-18,0,2,0,0
2020-03-19,0,3,0,0
2020-03-20,0,14,0,0
2020-03-21,0,14,0,0
2020-03-22,0,21,0,0
2020-03-23,0,27,0,1
2020-03-24,0,47,0,1
2020-03-25,0,52,0,1
2020-03-26,0,69,0,1
2020-03-27,0,82,0,1
2020-03-28,0,84,0,1
2020-03-29,0,85,0,1
2020-03-30,0,91,0,1
2020-03-31,0,109,0,2
2020-04-01,0,123,0,2
2020-04-02,0,144,0,2
2020-04-03,0,174,1,2
2020-04-04,0,201,1,2
2020-04-05,0,214,1,2
2020-04-06,0,233,1,2
2020-04-07,0,241,4,2
2020-04-08,0,248,4,2
2020-04-09,0,252,4,2
2020-04-10,0,255,4,2
2020-04-11,0,263,5,2
2020-04-12,0,272,5,3
2020-04-13,0,274,5,3
2020-04-14,0,283,46,4
2020-04-15,0,288,55,4
2020-04-16,0,303,55,4
2020-04-17,0,303,55,5
2020-04-18,0,307,55,5
2020-04-19,0,308,55,5
2020-04-20,0,312,88,5
2020-04-21,0,313,101,5
2020-04-22,0,315,116,5
2020-04-23,0,316,123,5
2020-04-24,0,319,123,6
2020-04-25,0,320,153,6
2020-04-26,0,321,153,7
2020-04-27,0,321,189,7
2020-04-28,0,321,199,7
2020-04-29,0,322,203,7
2020-04-30,0,322,214,7
2020-05-01,0,322,233,7
2020-05-02,0,322,245,8
2020-05-03,0,322,249,8
2020-05-04,0,323,253,8
2020-05-05,0,324,253,8
2020-05-06,0,324,261,8
2020-05-07,0,324,265,8
2020-05-08,0,324,267,8
2020-05-09,0,324,274,8
2020-05-10,0,324,290,9
2020-05-11,0,324,294,9
2020-05-12,0,324,298,9
2020-05-13,0,324,307,9
2020-05-14,0,324,309,9
2020-05-15,0,324,311,9
2020-05-16,0,324,311,9
2020-05-17,0,324,311,9
2020-05-18,0,324,311,9
2020-05-19,0,324,312,9
2020-05-20,0,324,312,9
2020-05-21,0,324,314,9
2020-05-22,0,324,314,9
2020-05-23,0,324,314,9
2020-05-24,0,324,315,9
2020-05-25,0,324,315,9
2020-05-26,0,324,315,9
2020-05-27,0,324,315,9
2020-05-28,0,324,315,9
2020-05-29,0,324,315,9
2020-05-30,0,324,315,9
2020-05-31,0,324,315,9
2020-06-01,0,324,315,9
2020-06-02,0,324,315,9
2020-06-03,0,324,315,9
2020-06-04,0,324,315,9
2020-06-05,0,324,315,9
2020-06-06,0,324,315,9
2020-06-07,0,324,315,9
2020-06-08,0,324,315,9
2020-06-09,0,324,315,9
2020-06-10,0,324,315,9
2020-06-11,0,324,315,9
2020-06-12,0,324,315,9
2020-06-13,0,324,315,9
2020-06-14,0,325,315,9
2020-06-15,0,326,315,9
2020-06-16,0,326,315,9
2020-06-17,0,333,315,9
2020-06-18,0,337,315,9
2020-06-19,0,355,315,9
2020-06-20,0,359,315,9
2020-06-21,0,362,315,9
2020-06-22,0,367,315,9
2020-06-23,0,378,315,9
2020-06-24,0,389,315,9
2020-06-25,0,414,315,9
2020-06-26,0,439,315,9
2020-06-27,0,469,315,9
2020-06-28,0,481,315,11
2020-06-29,0,501,315,11
2020-06-30,0,548,315,12
2020-07-01,0,576,315,12
2020-07-02,0,616,315,12
2020-07-03,0,663,315,13
2020-07-04,0,720,315,14
2020-07-05,0,781,315,14
2020-07-06,0,841,315,14
2020-07-07,0,907,320,17
2020-07-08,0,960,320,17
2020-07-09,0,1019,320,19
2020-07-10,0,1019,320,19
2020-07-11,0,1164,325,23
2020-07-12,0,1221,325,23
2020-07-13,0,1287,330,24
2020-07-14,0,1287,330,24
2020-07-15,0,1287,330,24
2020-07-16,0,1287,330,24
2020-07-17,0,1965,357,26
2020-07-18,0,2072,378,30
2020-07-19,0,2188,385,32
2020-07-20,0,2188,385,32
2020-07-21,0,2381,426,35
2020-07-22,0,2472,426,39
2020-07-23,0,2569,538,40
2020-07-24,0,2665,643,43
2020-07-25,0,2747,664,43
2020-07-26,0,2799,739,43
2020-07-27,0,2893,809,45
2020-07-28,0,2949,839,45
2020-07-29,0,3016,931,47
2020-07-30,0,3016,931,47
2020-07-31,0,3073,1005,48
2020-08-01,0,3198,1293,50
2020-08-02,0,3258,1445,51
2020-08-03,0,3301,1445,52
2020-08-04,0,3361,1869,53
2020-08-05,0,3411,2032,57
2020-08-06,0,3480,2178,60
2020-08-07,0,3549,2296,61
2020-08-08,0,3588,2407,62
2020-08-09,0,3618,2452,64
2020-08-10,0,3696,2521,68
2020-08-11,0,3748,2558,71
2020-08-12,0,3813,2638,73
2020-08-13,0,3857,2680,73
2020-08-14,0,3930,2752,73
2020-08-15,0,3960,2830,75
2020-08-16,0,4035,2910,77
2020-08-17,0,4085,2986,80
2020-08-18,0,4132,3035,80
2020-08-19,0,4174,3127,80
2020-08-20,0,4229,3186,81
2020-08-21,0,4277,3281,82
2020-08-22,0,4313,3333,84
2020-08-23,0,4343,3356,84
2020-08-24,0,4378,3420,84
2020-08-25,0,4444,3480,87
2020-08-26,0,4499,3558,88
2020-08-27,0,4558,3606,89
2020-08-28,0,4663,3731,92
2020-08-29,0,4727,3839,93
2020-08-30,0,4790,3963,98
2020-08-31,0,4835,4021,100
2020-09-01,0,4917,4058,102
2020-09-02,0,5019,4104,104
2020-09-03,0,5165,4164,104
2020-09-04,0,5275,4203,106
2020-09-05,0,5422,4224,107
2020-09-06,0,5553,4231,108
2020-09-07,0,5659,4272,109
2020-09-08,0,5875,4312,112
2020-09-09,0,6094,4350,114
2020-09-10,0,6222,4393,114
2020-09-11,0,6385,4460,115
2020-09-12,0,6530,4491,118
2020-09-13,0,6712,4507,120
2020-09-14,0,6900,4589,121
2020-09-15,0,7061,4692,123
2020-09-16,0,7291,4764,126
2020-09-17,0,7503,4892,129
2020-09-18,0,7711,4997,133
2020-09-19,0,7898,5129,134
2020-09-20,0,8612,5268,136
2020-09-21,0,8842,5425,138
2020-09-22,0,9138,5544,146
2020-09-23,0,9428,5728,151
2020-09-24,0,9717,5917,154
2020-09-25,0,9962,6177,155
2020-09-26,0,10197,6368,158
2020-09-27,0,10313,6456,158
2020-09-28,0,10441,6720,163
2020-09-29,0,10575,7002,164
2020-09-30,0,10772,7192,169
2020-10-01,0,10987,7397,170
2020-10-02,0,11690,7618,172
2020-10-03,0,11934,7803,174
2020-10-04,0,12127,7953,179
2020-10-05,0,12359,8308,182
2020-10-06,0,12584,8557,188
2020-10-07,0,12794,8907,190
2020-10-08,0,12794,8907,190
