date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,9,0,0,0
2020-02-08,9,0,0,0
2020-02-09,9,0,0,0
2020-02-10,9,0,0,0
2020-02-11,9,0,0,0
2020-02-12,9,0,0,0
2020-02-13,9,0,0,0
2020-02-14,9,0,0,0
2020-02-15,10,0,0,0
2020-02-16,10,0,0,0
2020-02-17,10,0,0,0
2020-02-18,10,0,0,0
2020-02-19,11,0,0,0
2020-02-20,11,0,0,0
2020-02-21,11,0,0,0
2020-02-22,12,0,0,0
2020-02-23,13,0,0,0
2020-02-24,14,0,0,0
2020-02-25,15,0,0,0
2020-02-26,17,0,0,0
2020-02-27,19,0,0,0
2020-02-28,19,0,0,0
2020-02-29,25,0,0,0
2020-03-01,25,0,0,0
2020-03-02,29,1,0,0
2020-03-03,33,1,0,0
2020-03-04,35,1,0,0
2020-03-05,42,2,0,0
2020-03-06,52,2,0,0
2020-03-07,57,2,0,0
2020-03-08,57,2,0,0
2020-03-09,62,2,0,0
2020-03-10,66,3,0,1
2020-03-11,84,5,0,1
2020-03-12,97,6,0,1
2020-03-13,101,7,1,1
2020-03-14,130,17,1,1
2020-03-15,150,28,1,1
2020-03-16,189,29,1,1
2020-03-17,227,38,1,2
2020-03-18,317,49,1,2
2020-03-19,370,63,1,2
2020-03-20,464,77,1,3
2020-03-21,537,96,3,3
2020-03-22,627,115,3,4
2020-03-23,786,143,3,4
2020-03-24,855,170,6,5
2020-03-25,995,225,7,6
2020-03-26,1206,275,8,11
2020-03-27,1768,345,11,23
2020-03-28,1976,402,11,25
2020-03-29,2273,479,13,26
2020-03-30,2751,556,15,33
2020-03-31,2900,617,24,36
2020-04-01,3345,654,29,39
2020-04-02,3624,708,31,44
2020-04-03,3910,791,57,48
2020-04-04,4321,919,66,59
2020-04-05,4848,1021,76,70
2020-04-06,5104,1120,81,80
2020-04-07,5437,1184,93,90
2020-04-08,5752,1275,97,93
2020-04-09,6383,1374,109,97
2020-04-10,7239,1448,122,107
2020-04-11,7948,1545,146,111
2020-04-12,8604,1661,177,118
2020-04-13,9128,1763,203,126
2020-04-14,9922,1888,217,126
2020-04-15,10650,2024,229,127
2020-04-16,11996,2283,249,130
2020-04-17,12952,2564,281,135
2020-04-18,13689,2685,314,137
2020-04-19,15123,2855,327,141
2020-04-20,16386,3046,350,143
2020-04-21,18100,3209,393,145
2020-04-22,19885,3446,417,149
2020-04-23,21947,3568,456,155
2020-04-24,23933,3758,486,158
2020-04-25,25443,3897,537,159
2020-04-26,27399,4065,593,161
2020-04-27,29254,4120,695,162
2020-04-28,31250,4252,778,165
2020-04-29,32930,4321,928,168
2020-04-30,34841,4423,984,170
2020-05-01,37006,4569,1083,171
2020-05-02,39367,4729,1256,173
2020-05-03,42112,4903,1438,174
2020-05-04,45302,5053,1653,179
2020-05-05,49570,5219,1838,181
2020-05-06,52958,5408,2017,183
2020-05-07,56492,5548,2179,183
2020-05-08,59871,5711,2324,186
2020-05-09,63059,5910,2461,186
2020-05-10,65924,6063,2554,188
2020-05-11,68980,6281,2811,188
2020-05-12,71815,6418,2991,188
2020-05-13,75870,6512,3131,188
2020-05-14,77922,6607,3310,190
2020-05-15,81616,6652,3400,190
2020-05-16,85004,6741,3487,192
2020-05-17,89957,6870,3660,192
2020-05-18,95536,6952,3758,192
2020-05-19,100367,7023,3901,193
2020-05-20,106004,7133,4098,194
2020-05-21,112997,7211,4280,196
2020-05-22,123402,7332,4377,197
2020-05-23,133561,7406,4638,198
2020-05-24,142882,7433,4703,199
2020-05-25,152203,7532,4774,200
2020-05-26,161365,7577,4881,202
2020-05-27,170713,7601,4978,202
2020-05-28,180189,7643,5195,202
2020-05-29,190061,7714,5271,202
2020-05-30,199998,7780,5401,204
2020-05-31,209139,7807,5459,205
2020-06-01,221554,7833,5893,205
2020-06-02,234651,7866,6410,206
2020-06-03,247824,7922,6866,206
2020-06-04,261010,8003,7195,208
2020-06-05,275349,8071,7268,208
2020-06-06,289457,8151,7315,208
2020-06-07,305953,8224,7364,208
2020-06-08,322703,8302,7408,208
2020-06-09,339571,8437,7493,210
2020-06-10,356051,8508,7565,211
2020-06-11,372591,8537,7583,211
2020-06-12,389142,8610,7618,212
2020-06-13,405898,8692,7696,212
2020-06-14,422520,8793,7765,212
2020-06-15,439272,8885,7828,212
2020-06-16,455768,8931,7937,212
2020-06-17,471736,8997,7993,213
2020-06-18,488947,9074,8041,213
2020-06-19,505636,9613,8117,213
2020-06-20,522166,9839,8223,213
2020-06-21,538191,9977,8284,214
2020-06-22,556695,10172,8366,214
2020-06-23,575176,10344,8407,214
2020-06-24,591757,10907,8468,216
2020-06-25,591757,11338,8500,217
2020-06-26,620435,11633,8656,218
2020-06-27,633494,11877,8723,220
2020-06-28,646195,12052,8740,221
2020-06-29,662814,12290,8833,225
2020-06-30,681191,12533,8920,228
2020-07-01,698128,12636,9026,228
2020-07-02,715853,12969,9090,229
2020-07-03,732494,13288,9160,230
2020-07-04,748449,13822,9329,232
2020-07-05,765580,14215,9725,235
2020-07-06,783639,14379,10173,237
2020-07-07,801329,14607,10639,240
2020-07-08,819124,14771,11316,242
2020-07-09,835264,15079,11447,242
2020-07-10,849097,15328,11827,243
2020-07-11,864594,15542,12065,245
2020-07-12,878626,15745,12283,250
2020-07-13,896638,15936,12934,255
2020-07-14,915140,16097,13442,257
2020-07-15,934048,16262,13821,259
2020-07-16,953715,16545,13965,263
2020-07-17,973404,16726,14360,264
2020-07-18,990514,17015,14620,269
2020-07-19,1009326,17236,14921,273
2020-07-20,1027773,17562,15132,276
2020-07-21,1046806,17742,15389,280
2020-07-22,1065833,17962,15636,285
2020-07-23,1085490,18264,15872,292
2020-07-24,1105271,18834,16100,299
2020-07-25,1126213,19645,16282,305
2020-07-26,1147173,20278,16438,313
2020-07-27,1168113,20887,16553,316
2020-07-28,1188801,21387,17066,327
2020-07-29,1210035,22213,17125,334
2020-07-30,1231195,23259,17311,346
2020-07-31,1252365,24322,17658,353
2020-08-01,1273939,25015,17960,367
2020-08-02,1295194,25537,18435,382
2020-08-03,1316861,26196,18968,401
2020-08-04,1338989,27217,19629,417
2020-08-05,1361550,28500,19994,435
2020-08-06,1383816,29644,20553,449
2020-08-07,1405159,30662,21548,461
2020-08-08,1427635,32007,22190,480
2020-08-09,1449968,33237,23347,498
2020-08-10,1472095,34063,24524,516
2020-08-11,1494096,35195,25385,533
2020-08-12,1516402,36694,25677,556
2020-08-13,1538520,37935,26687,584
2020-08-14,1560527,39241,27644,611
2020-08-15,1583234,41017,28566,632
2020-08-16,1605613,42489,29344,658
2020-08-17,1626810,43558,29941,681
2020-08-18,1648728,44803,31002,714
2020-08-19,1670569,46313,31576,743
2020-08-20,1692405,47638,32806,775
2020-08-21,1714583,49247,34199,817
2020-08-22,1736976,50812,35040,858
2020-08-23,1758870,52349,36343,888
2020-08-24,1779980,53252,37478,920
2020-08-25,1802170,54528,38293,955
2020-08-26,1824251,55864,40586,984
2020-08-27,1846260,57085,41901,1011
2020-08-28,1868545,58489,43049,1052
2020-08-29,1890964,60056,44618,1078
2020-08-30,1912965,61399,46355,1111
2020-08-31,1934334,62590,47595,1141
2020-09-01,1956416,63781,48922,1184
2020-09-02,1978840,65453,50357,1216
2020-09-03,2001124,66855,51223,1253
2020-09-04,2023926,68605,52483,1292
2020-09-05,2046496,70160,53929,1329
2020-09-06,2070053,72394,55274,1361
2020-09-07,2092291,73780,56096,1394
2020-09-08,2115390,75721,57239,1427
2020-09-09,2138164,77878,59723,1453
2020-09-10,2160798,79767,61850,1491
2020-09-11,2184266,82197,64194,1524
2020-09-12,2207396,84435,65867,1553
2020-09-13,2230069,86686,67528,1578
2020-09-14,2251763,88203,68970,1614
2020-09-15,2274042,90324,71047,1648
2020-09-16,2295811,92016,72968,1686
2020-09-17,2295811,94504,74930,1714
2020-09-18,2342307,97264,76690,1755
2020-09-19,2366181,99816,79008,1795
2020-09-20,2389115,101743,80732,1830
2020-09-21,2410576,103119,84158,1855
2020-09-22,2433869,105346,85883,1889
2020-09-23,2457373,107743,88244,1918
2020-09-24,2481151,110099,90186,1956
2020-09-25,2505151,112522,91932,1998
2020-09-26,2529397,115241,94150,2041
2020-09-27,2553350,117685,95591,2069
2020-09-28,2575657,119107,97468,2113
2020-09-29,2598486,121183,100253,2152
2020-09-30,2621314,123653,102715,2194
2020-10-01,2643860,126044,104136,2229
2020-10-02,2666458,128565,106044,2263
2020-10-03,2689136,131228,108687,2293
2020-10-04,2711203,133272,111036,2330
2020-10-05,2731907,134695,113336,2369
