date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,2,0,0
2020-03-25,0,3,0,0
2020-03-26,0,3,0,0
2020-03-27,0,8,0,0
2020-03-28,0,8,0,0
2020-03-29,0,10,0,0
2020-03-30,0,14,0,0
2020-03-31,0,15,0,1
2020-04-01,0,15,0,1
2020-04-02,0,20,0,1
2020-04-03,1183,20,0,1
2020-04-04,1246,21,0,1
2020-04-05,1246,21,0,1
2020-04-06,1340,22,0,1
2020-04-07,1340,22,0,1
2020-04-08,1406,22,0,3
2020-04-09,1543,23,2,3
2020-04-10,1619,27,2,3
2020-04-11,1849,38,2,3
2020-04-12,2134,41,2,4
2020-04-13,2443,62,2,4
2020-04-14,2803,63,2,4
2020-04-15,3236,74,2,4
2020-04-16,3236,85,2,4
2020-04-17,3880,88,5,4
2020-04-18,4147,98,5,5
2020-04-19,4517,111,7,5
2020-04-20,4919,119,7,5
2020-04-21,5195,121,7,5
2020-04-22,5446,123,7,5
2020-04-23,5774,139,9,5
2020-04-24,6115,144,9,5
2020-04-25,6531,146,10,5
2020-04-26,6531,146,10,5
2020-04-27,7215,146,16,5
2020-04-28,7608,150,16,5
2020-04-29,7890,150,27,6
2020-04-30,8085,151,27,6
2020-05-01,8240,151,31,6
2020-05-02,8580,151,37,6
2020-05-03,8794,155,43,6
2020-05-04,9038,161,49,6
2020-05-05,9295,161,49,6
2020-05-06,10042,161,50,6
2020-05-07,10266,176,62,6
2020-05-08,10832,177,67,6
2020-05-09,11222,178,68,6
2020-05-10,11482,180,72,6
2020-05-11,11822,180,74,6
2020-05-12,12062,180,76,6
2020-05-13,12482,181,79,6
2020-05-14,12995,181,84,6
2020-05-15,13634,182,89,6
2020-05-16,13999,182,96,6
2020-05-17,14561,184,97,6
2020-05-18,15137,191,101,6
2020-05-19,15838,193,104,6
2020-05-20,16550,199,108,6
2020-05-21,17674,199,108,6
2020-05-22,17875,199,116,6
2020-05-23,18644,201,120,6
2020-05-24,19549,201,122,6
2020-05-25,20312,203,123,6
2020-05-26,21442,206,124,6
2020-05-27,22464,206,126,6
2020-05-28,23490,206,126,6
2020-05-29,24413,207,130,6
2020-05-30,25640,224,130,6
2020-05-31,27077,224,138,6
2020-06-01,28251,228,138,6
2020-06-02,29923,232,143,6
2020-06-03,31701,233,145,6
2020-06-04,33587,236,148,6
2020-06-05,35432,236,151,6
2020-06-06,37319,240,156,6
2020-06-07,39211,242,156,6
2020-06-08,40600,244,159,6
2020-06-09,42416,246,159,6
2020-06-10,43936,248,165,6
2020-06-11,45926,260,165,6
2020-06-12,47710,261,165,6
2020-06-13,49729,261,167,6
2020-06-14,51451,261,167,6
2020-06-15,53351,262,175,6
2020-06-16,55412,262,179,6
2020-06-17,56726,262,185,6
2020-06-18,58630,286,187,6
2020-06-19,60128,286,192,6
2020-06-20,62070,287,196,6
2020-06-21,63418,290,200,6
2020-06-22,64532,291,200,6
2020-06-23,66353,292,204,6
2020-06-24,68404,293,208,6
2020-06-25,70266,293,211,6
2020-06-26,71692,293,215,6
2020-06-27,73218,296,216,6
2020-06-28,74978,299,218,6
2020-06-29,76315,299,221,6
2020-06-30,77766,299,222,6
2020-07-01,79072,303,222,6
2020-07-02,80607,304,223,6
2020-07-03,81977,306,237,6
2020-07-04,83539,313,240,6
2020-07-05,84473,313,241,6
2020-07-06,84473,316,245,6
2020-07-07,86821,316,245,6
2020-07-08,88234,317,250,6
2020-07-09,89913,321,254,6
2020-07-10,91479,326,256,6
2020-07-11,93176,330,260,6
2020-07-12,94168,331,261,6
2020-07-13,94872,336,261,6
2020-07-14,96324,337,261,6
2020-07-15,97651,337,266,6
2020-07-16,99302,339,270,6
2020-07-17,100951,339,271,6
2020-07-18,102499,340,273,6
2020-07-19,103888,341,276,6
2020-07-20,104874,341,278,6
2020-07-21,105635,341,280,6
2020-07-22,106673,343,280,6
2020-07-23,107928,343,280,6
2020-07-24,109334,346,286,6
2020-07-25,110526,348,288,6
2020-07-26,111425,350,290,6
2020-07-27,112381,350,292,6
2020-07-28,113498,351,293,6
2020-07-29,115701,351,294,6
2020-07-30,116520,353,295,6
2020-07-31,117219,353,296,6
2020-08-01,118127,353,297,6
2020-08-02,119142,353,298,6
2020-08-03,120292,355,302,6
2020-08-04,120832,356,302,6
2020-08-05,122290,357,305,6
2020-08-06,123441,357,308,6
2020-08-07,124765,359,309,6
2020-08-08,125827,359,311,6
2020-08-09,126828,360,312,6
2020-08-10,127726,360,312,6
2020-08-11,128801,360,313,6
2020-08-12,130539,361,318,6
2020-08-13,132299,369,321,6
2020-08-14,134035,374,322,6
2020-08-15,135402,374,324,6
2020-08-16,136153,375,329,6
2020-08-17,137749,376,331,6
2020-08-18,139514,376,331,6
2020-08-19,141044,394,333,6
2020-08-20,142516,399,333,6
2020-08-21,144054,435,337,6
2020-08-22,145167,441,338,6
2020-08-23,146037,450,341,6
2020-08-24,147820,474,341,6
2020-08-25,149861,504,341,6
2020-08-26,151939,580,345,6
2020-08-27,153821,602,349,6
2020-08-28,156042,643,349,6
2020-08-29,157843,749,351,6
2020-08-30,160256,775,352,6
2020-08-31,162168,882,354,6
2020-09-01,164266,919,357,6
2020-09-02,166433,995,358,6
2020-09-03,168901,1111,359,6
2020-09-04,171731,1171,359,7
2020-09-05,174710,1319,371,8
2020-09-06,176942,1419,385,8
2020-09-07,179471,1518,388,8
2020-09-08,182323,1807,460,12
2020-09-09,185474,2009,553,14
2020-09-10,188372,2150,625,14
2020-09-11,191696,2422,625,14
2020-09-12,194732,2796,676,16
2020-09-13,197794,3015,699,24
2020-09-14,201366,3195,790,32
2020-09-15,205160,3636,832,39
2020-09-16,208837,3894,908,46
2020-09-17,212826,4299,944,61
2020-09-18,216210,4621,1130,75
2020-09-19,220187,5263,1188,81
2020-09-20,224383,5805,1260,94
2020-09-21,228837,6471,1445,100
2020-09-22,233426,6959,1951,116
2020-09-23,238238,7827,2085,133
2020-09-24,242457,8515,2381,155
2020-09-25,245154,9112,2381,174
2020-09-26,249730,9991,2681,198
2020-09-27,253704,10734,2862,226
2020-09-28,258601,11631,3073,256
2020-09-29,263863,12425,3391,284
2020-09-30,267294,13373,3755,310
2020-10-01,271881,14383,4156,321
2020-10-02,278076,15525,4378,353
2020-10-03,285571,16503,4795,371
2020-10-04,291484,17794,5195,412
2020-10-05,298056,18781,5548,444
2020-10-06,298056,20033,5782,471
2020-10-07,298056,21433,6084,510
2020-10-08,298056,21433,6084,510
