date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,1,0,0
2020-01-26,0,1,0,0
2020-01-27,0,1,0,0
2020-01-28,3,1,0,0
2020-01-29,4,1,0,0
2020-01-30,5,1,0,0
2020-01-31,5,1,0,0
2020-02-01,5,1,0,0
2020-02-02,5,1,0,0
2020-02-03,5,1,0,0
2020-02-04,14,1,0,0
2020-02-05,14,1,0,0
2020-02-06,18,1,0,0
2020-02-07,18,1,0,0
2020-02-08,18,1,0,0
2020-02-09,18,1,0,0
2020-02-10,18,1,0,0
2020-02-11,18,1,0,0
2020-02-12,20,1,1,0
2020-02-13,24,1,1,0
2020-02-14,24,1,1,0
2020-02-15,24,1,1,0
2020-02-16,34,1,1,0
2020-02-17,34,1,1,0
2020-02-18,35,1,1,0
2020-02-19,210,1,1,0
2020-02-20,212,1,1,0
2020-02-21,212,1,1,0
2020-02-22,212,1,1,0
2020-02-23,216,1,1,0
2020-02-24,217,1,1,0
2020-02-25,221,1,1,0
2020-02-26,222,1,1,0
2020-02-27,222,1,1,0
2020-02-28,224,1,1,0
2020-02-29,224,1,1,0
2020-03-01,243,1,1,0
2020-03-02,425,1,1,0
2020-03-03,433,1,1,0
2020-03-04,433,1,1,0
2020-03-05,433,1,1,0
2020-03-06,437,1,1,0
2020-03-07,437,1,1,0
2020-03-08,437,1,1,0
2020-03-09,437,1,1,0
2020-03-10,445,1,1,0
2020-03-11,447,1,1,0
2020-03-12,450,1,1,0
2020-03-13,456,1,1,0
2020-03-14,456,1,1,0
2020-03-15,467,1,1,0
2020-03-16,478,1,1,0
2020-03-17,496,1,1,0
2020-03-18,512,1,1,0
2020-03-19,529,1,1,0
2020-03-20,546,1,1,0
2020-03-21,546,1,1,0
2020-03-22,572,1,1,0
2020-03-23,609,2,1,0
2020-03-24,610,2,1,0
2020-03-25,687,3,1,0
2020-03-26,758,3,1,0
2020-03-27,802,4,1,0
2020-03-28,875,5,1,0
2020-03-29,917,5,1,0
2020-03-30,993,5,1,0
2020-03-31,1060,5,1,0
2020-04-01,1145,5,1,0
2020-04-02,1185,6,1,0
2020-04-03,1308,6,1,0
2020-04-04,1521,9,1,0
2020-04-05,1642,9,1,0
2020-04-06,1890,9,1,0
2020-04-07,2122,9,1,0
2020-04-08,2366,9,1,0
2020-04-09,2895,9,1,0
2020-04-10,3525,9,1,0
2020-04-11,4426,9,1,0
2020-04-12,5184,12,1,0
2020-04-13,5691,14,1,0
2020-04-14,6299,16,1,0
2020-04-15,6871,16,1,0
2020-04-16,7240,16,2,0
2020-04-17,7458,30,2,0
2020-04-18,8013,31,2,0
2020-04-19,8081,31,4,0
2020-04-20,8414,31,4,0
2020-04-21,8763,43,4,0
2020-04-22,9014,45,7,0
2020-04-23,9200,48,10,0
2020-04-24,9402,49,11,0
2020-04-25,9666,49,12,0
2020-04-26,9931,52,16,0
2020-04-27,10471,52,16,0
2020-04-28,10807,54,16,0
2020-04-29,11524,57,16,0
2020-04-30,12011,57,16,0
2020-05-01,12577,59,16,0
2020-05-02,13098,59,16,0
2020-05-03,13424,75,16,0
2020-05-04,13640,75,16,0
2020-05-05,13850,82,16,0
2020-05-06,14096,99,22,0
2020-05-07,14511,101,22,0
2020-05-08,15492,102,31,0
2020-05-09,16309,110,31,0
2020-05-10,16898,110,31,0
2020-05-11,17809,134,33,0
2020-05-12,18964,217,33,0
2020-05-13,21340,250,35,0
2020-05-14,22664,249,35,0
2020-05-15,23914,267,36,0
2020-05-16,26691,291,36,1
2020-05-17,28161,295,36,2
2020-05-18,30724,375,36,2
2020-05-19,33006,402,37,2
2020-05-20,35494,427,45,2
2020-05-21,38737,457,49,3
2020-05-22,42517,516,70,3
2020-05-23,45959,584,70,3
2020-05-24,48815,603,87,3
2020-05-25,51642,682,112,4
2020-05-26,54697,772,155,4
2020-05-27,58277,886,183,4
2020-05-28,60916,1042,187,5
2020-05-29,64154,1212,206,6
2020-05-30,66729,1401,219,6
2020-05-31,69587,1572,220,8
2020-06-01,71903,1811,221,8
2020-06-02,75343,2099,266,8
2020-06-03,80267,2300,278,9
2020-06-04,84134,2634,290,10
2020-06-05,88366,2912,333,11
2020-06-06,92477,3235,365,13
2020-06-07,96205,3448,467,13
2020-06-08,100971,3762,488,14
2020-06-09,106330,4086,584,15
2020-06-10,110744,4364,674,15
2020-06-11,115937,4614,861,15
2020-06-12,121862,5062,877,16
2020-06-13,127288,5335,913,18
2020-06-14,133377,5760,974,19
2020-06-15,138683,6211,1041,19
2020-06-16,143738,6591,1158,19
2020-06-17,149772,7177,1167,20
2020-06-18,155518,7848,1186,22
2020-06-19,161749,8274,1402,22
2020-06-20,169165,8605,1578,22
2020-06-21,175173,9026,1772,23
2020-06-22,181371,9561,2148,23
2020-06-23,186366,10099,2224,24
2020-06-24,193194,10728,2338,24
2020-06-25,199737,11162,2650,26
2020-06-26,206271,11755,2698,27
2020-06-27,210877,12309,2834,28
2020-06-28,215839,12772,3013,28
2020-06-29,223630,13248,3134,29
2020-06-30,228341,13564,3194,29
2020-07-01,233227,14046,4656,30
2020-07-02,237764,14519,5320,31
2020-07-03,242247,15259,6143,32
2020-07-04,246297,15491,6415,34
2020-07-05,251007,15784,6547,34
2020-07-06,255728,15964,6811,35
2020-07-07,261861,16168,7499,35
2020-07-08,266557,16423,7752,35
2020-07-09,271145,16531,7891,35
2020-07-10,275951,16649,8011,35
2020-07-11,279599,16719,8442,38
2020-07-12,283515,16801,8589,38
2020-07-13,289317,16945,10294,38
2020-07-14,293739,17061,10328,38
2020-07-15,298829,17177,11025,39
2020-07-16,303810,17344,11249,39
2020-07-17,308498,17445,11534,40
2020-07-18,311829,17502,11637,40
2020-07-19,315570,17658,11695,40
2020-07-20,319872,17844,11868,40
2020-07-21,323416,17994,12477,40
2020-07-22,327614,18094,12684,42
2020-07-23,331095,18241,12840,43
2020-07-24,335082,18374,12947,44
2020-07-25,339157,18483,13053,45
2020-07-26,342457,18613,13128,45
2020-07-27,347275,18752,13754,48
2020-07-28,352307,19063,13875,49
2020-07-29,358344,19273,14021,49
2020-07-30,364648,19547,14248,52
2020-07-31,375416,19771,14399,56
2020-08-01,382409,20086,14492,56
2020-08-02,391270,20332,14603,57
2020-08-03,398907,20750,14961,57
2020-08-04,406594,21009,15026,58
2020-08-05,412953,21390,15156,60
2020-08-06,419575,21750,15389,65
2020-08-07,427501,22214,15814,70
2020-08-08,435289,22592,16313,73
2020-08-09,443804,22972,16353,75
2020-08-10,452236,23310,16493,79
2020-08-11,462698,23948,16664,83
2020-08-12,473179,24432,16728,91
2020-08-13,483038,24957,16837,95
2020-08-14,494613,25551,17077,99
2020-08-15,505660,26019,17201,102
2020-08-16,517907,26660,17335,104
2020-08-17,529427,27241,17495,107
2020-08-18,542866,28257,17580,114
2020-08-19,554388,28938,17700,120
2020-08-20,566220,29645,17964,126
2020-08-21,579899,30483,18214,137
2020-08-22,592418,31117,18350,146
2020-08-23,600444,31935,18631,149
2020-08-24,610678,32678,18806,157
2020-08-25,621999,33533,19119,164
2020-08-26,635252,34418,19504,175
2020-08-27,647881,35529,20073,183
2020-08-28,658110,36456,20242,195
2020-08-29,669626,37340,20555,207
2020-08-30,682343,38561,20822,221
2020-08-31,693472,39460,21410,228
2020-09-01,705560,40529,22178,239
2020-09-02,718439,41649,23290,251
2020-09-03,731852,42877,24207,257
2020-09-04,745490,44236,25561,271
2020-09-05,757963,45277,27127,280
2020-09-06,768345,46257,28941,289
2020-09-07,777563,47236,30677,300
2020-09-08,788174,48138,32964,306
2020-09-09,799341,49219,33882,312
2020-09-10,810485,50465,35700,317
2020-09-11,821186,51919,36672,322
2020-09-12,831362,53120,37524,336
2020-09-13,840527,54159,38697,345
2020-09-14,851405,55329,39576,360
2020-09-15,861780,56788,40638,371
2020-09-16,872274,58327,41706,379
2020-09-17,882915,59573,42949,383
2020-09-18,894373,61593,43820,390
2020-09-19,904706,62797,45267,401
2020-09-20,914290,64122,46233,411
2020-09-21,923823,65276,47238,427
2020-09-22,934977,66632,48061,429
2020-09-23,944474,67804,49954,436
2020-09-24,955923,69301,50411,453
2020-09-25,968185,70614,51866,459
2020-09-26,978204,71821,53013,467
2020-09-27,988327,73394,53898,477
2020-09-28,998407,74745,54640,481
2020-09-29,1009298,76258,55371,491
2020-09-30,1021503,77817,56428,498
2020-10-01,1033947,79728,57389,509
2020-10-02,1048686,82450,60696,520
2020-10-03,1061664,84570,62740,528
2020-10-04,1074448,86823,64069,535
2020-10-05,1088229,89263,65202,554
2020-10-06,1099276,90814,67542,563
2020-10-07,1099276,90814,67542,563
