date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,6,0,0
2020-03-01,0,10,0,0
2020-03-02,0,18,0,0
2020-03-03,0,24,0,0
2020-03-04,0,38,0,0
2020-03-05,0,82,0,0
2020-03-06,0,128,0,1
2020-03-07,0,188,0,1
2020-03-08,0,265,0,3
2020-03-09,0,321,0,3
2020-03-10,0,382,0,4
2020-03-11,0,503,0,5
2020-03-12,0,503,0,5
2020-03-13,0,804,0,10
2020-03-14,0,959,0,12
2020-03-15,17080,1135,0,20
2020-03-16,17080,1413,0,24
2020-03-17,17080,1705,0,43
2020-03-18,17080,2051,0,58
2020-03-19,17080,2460,0,76
2020-03-20,17080,2994,0,106
2020-03-21,17080,3631,0,136
2020-03-22,38418,4204,0,179
2020-03-23,38418,4749,0,213
2020-03-24,38418,5560,0,276
2020-03-25,38418,6412,0,356
2020-03-26,38418,7431,0,434
2020-03-27,38418,8603,0,546
2020-03-28,38418,9762,0,639
2020-03-29,63163,10866,0,771
2020-03-30,63163,11750,0,864
2020-03-31,63163,12595,0,1039
2020-04-01,63163,13614,0,1173
2020-04-02,63163,14697,0,1339
2020-04-03,63163,15723,0,1487
2020-04-04,63163,16627,0,1651
2020-04-05,92261,17851,0,1766
2020-04-06,92261,18803,0,1867
2020-04-07,92261,19580,0,2101
2020-04-08,92261,20549,0,2248
2020-04-09,92261,21762,0,2396
2020-04-10,92261,23097,0,2511
2020-04-11,92261,24413,0,2643
2020-04-12,131221,25587,0,2737
2020-04-13,131221,26551,0,2823
2020-04-14,131221,27419,0,2945
2020-04-15,131221,28153,0,3134
2020-04-16,131221,29214,0,3315
2020-04-17,131221,30449,0,3459
2020-04-18,131221,31589,0,3601
2020-04-19,171323,32655,0,3684
2020-04-20,171323,33405,0,3751
2020-04-21,171323,34134,0,3916
2020-04-22,171323,34842,0,4054
2020-04-23,171323,35729,0,4177
2020-04-24,171323,36535,0,4289
2020-04-25,171323,37190,0,4409
2020-04-26,209718,37845,0,4475
2020-04-27,209718,38245,0,4518
2020-04-28,209718,38416,0,4566
2020-04-29,209718,38802,0,4711
2020-04-30,209718,39316,0,4795
2020-05-01,209718,39791,0,4893
2020-05-02,209718,40236,0,4987
2020-05-03,238672,40571,0,5056
2020-05-04,238672,40770,0,5082
2020-05-05,238672,41087,0,5168
2020-05-06,238672,41319,0,5204
2020-05-07,238672,41774,0,5288
2020-05-08,238672,42093,0,5359
2020-05-09,238672,42382,0,5422
2020-05-10,267678,42627,0,5440
2020-05-11,267678,42788,0,5456
2020-05-12,267678,42984,0,5510
2020-05-13,267678,43211,0,5562
2020-05-14,267678,43481,0,5590
2020-05-15,267678,43681,0,5643
2020-05-16,267678,43870,0,5670
2020-05-17,300365,43995,0,5680
2020-05-18,300365,44141,0,5694
2020-05-19,300365,44249,0,5715
2020-05-20,300365,44447,0,5748
2020-05-21,300365,44700,0,5775
2020-05-22,300365,44888,0,5788
2020-05-23,300365,45064,0,5811
2020-05-24,329704,45236,0,5822
2020-05-25,329704,45445,0,5830
2020-05-26,329704,45578,0,5856
2020-05-27,329704,45768,0,5871
2020-05-28,329704,45950,0,5903
2020-05-29,329704,46126,0,5931
2020-05-30,329704,46257,0,5951
2020-05-31,363575,46442,0,5956
2020-06-01,363575,46545,0,5962
2020-06-02,363575,46647,0,5967
2020-06-03,363575,46733,0,5977
2020-06-04,363575,46942,0,5990
2020-06-05,363575,47152,0,6005
2020-06-06,363575,47335,0,6011
2020-06-07,422531,47574,0,6013
2020-06-08,422531,47739,0,6016
2020-06-09,422531,47903,0,6031
2020-06-10,422531,48087,0,6042
2020-06-11,422531,48251,0,6044
2020-06-12,422531,48461,0,6053
2020-06-13,422531,48640,0,6057
2020-06-14,486309,48783,0,6059
2020-06-15,486309,48948,0,6065
2020-06-16,486309,49087,0,6070
2020-06-17,486309,49204,0,6074
2020-06-18,486309,49319,0,6078
2020-06-19,486309,49426,0,6081
2020-06-20,486309,49502,0,6089
2020-06-21,551850,49593,0,6090
2020-06-22,551850,49658,0,6090
2020-06-23,551850,49722,0,6095
2020-06-24,551850,49804,0,6097
2020-06-25,551850,49914,0,6100
2020-06-26,551850,50005,0,6103
2020-06-27,551850,50074,0,6105
2020-06-28,615990,50147,0,6105
2020-06-29,615990,50223,0,6107
2020-06-30,615990,50273,0,6113
2020-07-01,615990,50335,0,6115
2020-07-02,615990,50412,0,6118
2020-07-03,615990,50487,0,6120
2020-07-04,615990,50548,0,6126
2020-07-05,685648,50621,0,6127
2020-07-06,685648,50657,0,6128
2020-07-07,685648,50694,0,6132
2020-07-08,685648,50746,0,6135
2020-07-09,685648,50798,0,6137
2020-07-10,685648,50840,0,6136
2020-07-11,685648,50921,0,6137
2020-07-12,764957,51022,0,6137
2020-07-13,764957,51093,0,6137
2020-07-14,764957,51146,0,6135
2020-07-15,764957,51252,0,6136
2020-07-16,764957,51351,0,6137
2020-07-17,764957,51454,0,6138
2020-07-18,764957,51581,0,6136
2020-07-19,854740,51725,0,6136
2020-07-20,854740,51910,0,6136
2020-07-21,854740,52073,0,6136
2020-07-22,854740,52241,0,6139
2020-07-23,854740,52404,0,6139
2020-07-24,854740,52595,0,6139
2020-07-25,854740,52732,0,6140
2020-07-26,968484,53005,0,6159
2020-07-27,968484,53151,0,6141
2020-07-28,968484,53374,0,6145
2020-07-29,968484,53621,0,6147
2020-07-30,968484,53963,0,6147
2020-07-31,968484,54301,0,6147
2020-08-01,968484,54732,0,6148
2020-08-02,1090505,55098,0,6149
2020-08-03,1090505,55470,0,6149
2020-08-04,1090505,55955,0,6150
2020-08-05,1090505,56381,0,6153
2020-08-06,1090505,56982,0,6153
2020-08-07,1090505,57501,0,6154
2020-08-08,1090505,57987,0,6157
2020-08-09,1208563,58564,0,6157
2020-08-10,1208563,59194,0,6157
2020-08-11,1208563,59424,0,6141
2020-08-12,1208563,60627,0,6161
2020-08-13,1208563,61204,0,6165
2020-08-14,1208563,61840,0,6167
2020-08-15,1208563,62495,0,6169
2020-08-16,1329929,63002,0,6172
2020-08-17,1329929,63484,0,6172
2020-08-18,1329929,63973,0,6175
2020-08-19,1329929,64525,0,6181
2020-08-20,1329929,65054,0,6191
2020-08-21,1329929,65589,0,6195
2020-08-22,1329929,66097,0,6200
2020-08-23,1491335,66554,0,6200
2020-08-24,1491335,67128,0,6202
2020-08-25,1491335,67543,0,6207
2020-08-26,1491335,68114,0,6215
2020-08-27,1491335,68624,0,6218
2020-08-28,1491335,69131,0,6220
2020-08-29,1491335,69632,0,6224
2020-08-30,1676502,70140,0,6224
2020-08-31,1676502,70667,0,6224
2020-09-01,1676502,71129,0,6230
2020-09-02,1676502,71863,0,6235
2020-09-03,1676502,72464,0,6235
2020-09-04,1676502,73208,0,6237
2020-09-05,1676502,73862,0,6241
2020-09-06,1861263,74787,0,6243
2020-09-07,1861263,75584,0,6243
2020-09-08,1861263,76548,0,6244
2020-09-09,1861263,77688,0,6246
2020-09-10,1861263,78511,0,6249
2020-09-11,1861263,79781,0,6252
2020-09-12,1861263,81012,0,6253
2020-09-13,2059186,82099,0,6254
2020-09-14,2059186,83399,0,6256
2020-09-15,2059186,84778,0,6258
2020-09-16,2059186,86320,0,6260
2020-09-17,2059186,88073,0,6266
2020-09-18,2059186,90047,0,6273
2020-09-19,2059186,91934,0,6275
2020-09-20,2260756,93778,0,6279
2020-09-21,2260756,95995,0,6281
2020-09-22,2260756,98240,0,6291
2020-09-23,2260756,100597,0,6296
2020-09-24,2260756,103141,0,6312
2020-09-25,2260756,105918,0,6328
2020-09-26,2260756,108631,0,6366
2020-09-27,2469954,111626,0,6374
2020-09-28,2469954,114540,0,6380
2020-09-29,2469954,117551,0,6393
2020-09-30,2469954,120845,0,6406
2020-10-01,2469954,124097,0,6419
2020-10-02,2469954,127922,0,6428
2020-10-03,2469954,131889,0,6449
2020-10-04,2656731,135892,0,6454
