date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,1,0,0
2020-03-03,0,1,0,0
2020-03-04,0,3,0,0
2020-03-05,0,3,0,0
2020-03-06,0,4,0,0
2020-03-07,0,5,0,0
2020-03-08,0,5,0,0
2020-03-09,312,5,0,0
2020-03-10,401,5,0,0
2020-03-11,484,5,0,0
2020-03-12,515,5,0,0
2020-03-13,550,5,0,0
2020-03-14,584,6,0,0
2020-03-15,726,8,0,0
2020-03-16,1051,8,0,0
2020-03-17,1710,12,0,0
2020-03-18,2919,20,0,0
2020-03-19,4210,28,0,0
2020-03-20,5764,39,0,0
2020-03-21,6940,52,0,0
2020-03-22,8196,102,0,0
2020-03-23,9246,102,0,0
2020-03-24,10790,155,12,0
2020-03-25,13382,205,22,0
2020-03-26,15499,283,27,0
2020-03-27,17566,368,37,0
2020-03-28,19375,451,50,0
2020-03-29,20293,514,56,1
2020-03-30,21684,589,63,1
2020-03-31,23777,647,74,1
2020-04-01,26339,708,83,1
2020-04-02,29785,797,92,1
2020-04-03,33416,868,103,1
2020-04-04,36509,950,127,1
2020-04-05,40218,1039,156,1
2020-04-06,43126,1106,176,1
2020-04-07,47175,1160,241,1
2020-04-08,51165,1210,282,1
2020-04-09,55685,1239,317,1
2020-04-10,58746,1283,373,2
2020-04-11,61167,1312,422,4
2020-04-12,62827,1330,471,4
2020-04-13,64399,1349,546,5
2020-04-14,66499,1366,628,9
2020-04-15,70160,1386,728,9
2020-04-16,74401,1401,770,9
2020-04-17,79078,1409,816,11
2020-04-18,83224,1422,867,11
2020-04-19,86305,1431,912,12
2020-04-20,89508,1440,974,12
2020-04-21,94797,1445,1006,13
2020-04-22,101277,1451,1036,14
2020-04-23,108238,1456,1095,17
2020-04-24,115015,1461,1118,18
2020-04-25,120981,1470,1142,18
2020-04-26,123920,1469,1180,19
2020-04-27,126066,1472,1214,19
2020-04-28,128703,1474,1229,19
2020-04-29,134570,1476,1241,19
2020-04-30,139898,1479,1252,19
2020-05-01,145589,1485,1263,20
2020-05-02,150223,1487,1266,20
2020-05-03,152696,1487,1276,20
2020-05-04,155928,1486,1302,20
2020-05-05,160700,1488,1316,21
2020-05-06,168023,1489,1332,21
2020-05-07,175835,1490,1347,21
2020-05-08,183039,1492,1368,21
2020-05-09,190326,1494,1371,21
2020-05-10,194191,1497,1386,21
2020-05-11,197084,1497,1398,21
2020-05-12,203045,1497,1402,21
2020-05-13,210064,1497,1411,21
2020-05-14,216787,1498,1421,21
2020-05-15,223937,1498,1428,21
2020-05-16,228148,1499,1433,21
2020-05-17,230718,1499,1433,21
2020-05-18,233843,1499,1433,21
2020-05-19,238725,1503,1447,21
2020-05-20,244838,1503,1452,21
2020-05-21,250246,1504,1455,21
2020-05-22,255850,1504,1455,21
2020-05-23,259152,1504,1456,21
2020-05-24,261315,1504,1456,21
2020-05-25,263156,1504,1461,21
2020-05-26,267435,1504,1462,21
2020-05-27,271690,1504,1474,22
2020-05-28,275852,1504,1481,22
2020-05-29,278872,1504,1481,22
2020-05-30,280983,1504,1481,22
2020-05-31,281609,1504,1481,22
2020-06-01,282263,1504,1481,22
2020-06-02,283525,1504,1481,22
2020-06-03,286174,1504,1481,22
2020-06-04,288987,1504,1481,22
2020-06-05,291994,1504,1481,22
2020-06-06,294048,1504,1481,22
2020-06-07,294848,1504,1482,22
2020-06-08,295901,1504,1482,22
2020-06-09,298532,1504,1482,22
2020-06-10,301882,1504,1482,22
2020-06-11,304832,1504,1482,22
2020-06-12,307810,1504,1482,22
2020-06-13,310297,1504,1482,22
2020-06-14,311121,1504,1482,22
2020-06-15,312648,1506,1482,22
2020-06-16,316251,1506,1482,22
2020-06-17,321187,1507,1482,22
2020-06-18,327460,1507,1482,22
2020-06-19,335167,1509,1482,22
2020-06-20,341117,1511,1482,22
2020-06-21,344519,1513,1482,22
2020-06-22,348822,1515,1483,22
2020-06-23,357996,1516,1483,22
2020-06-24,368432,1519,1484,22
2020-06-25,378257,1520,1484,22
2020-06-26,387435,1522,1484,22
2020-06-27,392756,1526,1484,22
2020-06-28,395510,1528,1484,22
2020-06-29,397470,1528,1484,22
2020-06-30,402000,1528,1484,22
2020-07-01,405329,1530,1490,22
2020-07-02,409032,1530,1490,22
2020-07-03,411932,1530,1490,22
2020-07-04,414226,1533,1490,22
2020-07-05,415283,1534,1490,22
2020-07-06,416924,1536,1492,22
2020-07-07,419055,1537,1492,22
2020-07-08,422144,1540,1494,22
2020-07-09,424719,1542,1497,22
2020-07-10,426776,1543,1497,22
2020-07-11,428600,1544,1497,22
2020-07-12,429643,1544,1497,22
2020-07-13,431263,1545,1498,22
2020-07-14,433324,1547,1498,22
2020-07-15,436223,1548,1499,22
2020-07-16,438720,1549,1506,22
2020-07-17,441123,1550,1506,22
2020-07-18,442488,1553,1506,22
2020-07-19,443169,1554,1506,22
2020-07-20,444176,1555,1506,22
2020-07-21,446367,1555,1506,22
2020-07-22,448786,1555,1511,22
2020-07-23,451616,1556,1513,22
2020-07-24,453923,1556,1513,22
2020-07-25,455677,1556,1513,22
2020-07-26,456227,1556,1513,22
2020-07-27,457334,1557,1514,22
2020-07-28,460067,1559,1514,22
2020-07-29,462590,1560,1514,22
2020-07-30,465066,1560,1518,22
2020-07-31,468068,1562,1518,22
2020-08-01,470469,1565,1518,22
2020-08-02,472161,1567,1518,22
2020-08-03,473769,1567,1523,22
2020-08-04,477909,1569,1523,22
2020-08-05,482929,1569,1524,22
2020-08-06,486943,1569,1524,22
2020-08-07,490232,1569,1524,22
2020-08-08,494481,1569,1524,22
2020-08-09,496606,1569,1526,22
2020-08-10,498480,1570,1526,22
2020-08-11,502705,1570,1526,22
2020-08-12,508711,1589,1531,22
2020-08-13,524414,1602,1531,22
2020-08-14,548260,1609,1531,22
2020-08-15,571942,1622,1531,22
2020-08-16,597956,1631,1531,22
2020-08-17,616377,1643,1531,22
2020-08-18,639415,1649,1531,22
2020-08-19,657506,1654,1531,22
2020-08-20,673220,1665,1538,22
2020-08-21,685476,1671,1538,22
2020-08-22,692481,1674,1538,22
2020-08-23,697070,1683,1538,22
2020-08-24,701504,1690,1539,22
2020-08-25,710063,1695,1539,22
2020-08-26,719320,1702,1554,22
2020-08-27,730330,1714,1561,22
2020-08-28,740321,1727,1568,22
2020-08-29,750808,1729,1570,22
2020-08-30,758027,1738,1585,22
2020-08-31,766626,1752,1598,22
2020-09-01,777560,1757,1606,22
2020-09-02,788081,1759,1622,22
2020-09-03,797990,1764,1630,22
2020-09-04,807460,1767,1631,24
2020-09-05,814638,1772,1632,24
2020-09-06,818629,1776,1634,24
2020-09-07,823154,1782,1635,24
2020-09-08,831517,1788,1639,24
2020-09-09,839467,1792,1648,24
2020-09-10,848420,1793,1655,24
2020-09-11,857258,1795,1663,24
2020-09-12,864469,1797,1676,24
2020-09-13,868042,1798,1678,24
2020-09-14,872444,1801,1694,24
2020-09-15,881532,1802,1698,25
2020-09-16,889717,1809,1707,25
2020-09-17,897077,1809,1714,25
2020-09-18,905436,1811,1719,25
2020-09-19,910853,1815,1719,25
2020-09-20,914421,1815,1728,25
2020-09-21,917699,1815,1729,25
2020-09-22,924637,1824,1737,25
2020-09-23,930779,1827,1737,25
2020-09-24,937244,1829,1744,25
2020-09-25,943196,1831,1745,25
2020-09-26,948415,1833,1749,25
2020-09-27,951954,1833,1753,25
2020-09-28,955590,1835,1755,25
2020-09-29,960559,1836,1767,25
2020-09-30,966238,1848,1770,25
2020-10-01,970641,1848,1780,25
2020-10-02,976369,1849,1783,25
2020-10-03,979985,1854,1788,25
2020-10-04,982819,1855,1790,25
2020-10-05,985639,1858,1790,25
2020-10-06,990973,1861,1799,25
2020-10-07,990973,1861,1799,25
