date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,12,0,0,0
2020-02-25,74,0,0,0
2020-02-26,222,1,0,0
2020-02-27,471,1,0,0
2020-02-28,761,6,0,0
2020-02-29,970,15,0,0
2020-03-01,1205,19,0,0
2020-03-02,1596,25,0,0
2020-03-03,1976,32,0,0
2020-03-04,2317,56,0,0
2020-03-05,2691,87,0,0
2020-03-06,3056,108,0,0
2020-03-07,3371,147,0,0
2020-03-08,3779,176,0,0
2020-03-09,5263,205,1,0
2020-03-10,6949,400,1,0
2020-03-11,9034,598,1,0
2020-03-12,12051,702,1,0
2020-03-13,16105,996,1,1
2020-03-14,18866,1090,1,3
2020-03-15,21736,1221,1,3
2020-03-16,27999,1333,1,3
2020-03-17,34585,1463,1,3
2020-03-18,41412,1550,1,6
2020-03-19,47395,1746,1,7
2020-03-20,52514,1914,1,7
2020-03-21,55021,2118,1,7
2020-03-22,56309,2385,1,7
2020-03-23,59873,2621,1,10
2020-03-24,63401,2863,6,12
2020-03-25,66745,3084,6,14
2020-03-26,69930,3369,6,14
2020-03-27,73221,3755,6,19
2020-03-28,75022,4015,7,23
2020-03-29,76265,4284,7,25
2020-03-30,79437,4445,12,32
2020-03-31,82883,4641,13,39
2020-04-01,86596,4863,13,44
2020-04-02,89903,5147,32,50
2020-04-03,93228,5370,32,59
2020-04-04,94538,5550,32,62
2020-04-05,95588,5687,32,71
2020-04-06,98850,5865,32,76
2020-04-07,101591,6086,32,89
2020-04-08,103675,6086,32,101
2020-04-09,104885,6211,32,108
2020-04-10,106120,6314,32,113
2020-04-11,107417,6409,32,119
2020-04-12,108545,6525,32,128
2020-04-13,109705,6603,32,134
2020-04-14,112676,6623,32,139
2020-04-15,115716,6740,32,150
2020-04-16,118483,6896,32,152
2020-04-17,121281,6937,32,161
2020-04-18,122315,7036,32,164
2020-04-19,123335,7078,32,165
2020-04-20,126723,7156,32,181
2020-04-21,129979,7191,32,182
2020-04-22,132954,7338,32,187
2020-04-23,135588,7401,32,194
2020-04-24,138503,7463,32,199
2020-04-25,139487,7499,32,201
2020-04-26,140338,7527,32,201
2020-04-27,143975,7599,32,205
2020-04-28,147623,7660,32,206
2020-04-29,151090,7710,32,207
2020-04-30,155108,7738,32,210
2020-05-01,156427,7783,32,210
2020-05-02,157797,7809,32,211
2020-05-03,158900,7847,32,211
2020-05-04,163133,7904,32,214
2020-05-05,167026,7955,32,215
2020-05-06,170845,7996,32,216
2020-05-07,174226,8034,32,217
2020-05-08,177620,8070,32,218
2020-05-09,178781,8099,32,219
2020-05-10,179630,8105,32,219
2020-05-11,183573,8132,32,224
2020-05-12,187395,8157,32,228
2020-05-13,191060,8175,32,229
2020-05-14,194826,8196,32,232
2020-05-15,198544,8219,32,232
2020-05-16,199676,8237,32,232
2020-05-17,200234,8249,32,232
2020-05-18,204164,8257,32,233
2020-05-19,207985,8267,32,233
2020-05-20,211509,8281,32,234
2020-05-21,212486,8309,32,235
2020-05-22,215423,8332,7727,235
2020-05-23,216292,8346,7727,235
2020-05-24,217030,8352,7727,235
2020-05-25,220586,8364,7727,235
2020-05-26,223577,8383,7727,235
2020-05-27,226395,8401,7727,235
2020-05-28,228851,8411,7727,236
2020-05-29,231096,8422,7727,236
2020-05-30,231765,8437,7727,236
2020-05-31,232274,8440,7727,236
2020-06-01,232877,8446,7727,236
2020-06-02,235664,8455,7727,237
2020-06-03,238151,8477,7727,237
2020-06-04,240693,8504,8138,238
2020-06-05,243211,8522,8138,238
2020-06-06,244007,8531,8138,238
2020-06-07,244770,8547,8138,238
2020-06-08,249987,8561,8138,239
2020-06-09,254785,8576,8138,239
2020-06-10,258838,8594,8138,239
2020-06-11,263205,8608,8138,242
2020-06-12,267338,8620,8138,242
2020-06-13,268395,8628,8138,242
2020-06-14,269365,8631,8138,242
2020-06-15,274572,8647,8138,242
2020-06-16,279485,8660,8138,242
2020-06-17,283974,8692,8138,243
2020-06-18,287999,8708,8138,244
2020-06-19,291331,8726,8138,244
2020-06-20,292211,8742,8138,244
2020-06-21,293060,8745,8138,244
2020-06-22,297505,8751,8138,248
2020-06-23,301586,8772,8138,248
2020-06-24,305658,8788,8138,249
2020-06-25,309282,8788,8138,249
2020-06-26,312704,8832,8138,249
2020-06-27,313603,8846,8138,249
2020-06-28,314411,8855,8138,249
2020-06-29,319545,8862,8138,249
2020-06-30,323928,8879,8138,250
2020-07-01,328361,8896,8138,251
2020-07-02,332449,8902,8138,251
2020-07-03,336317,8921,8138,251
2020-07-04,337493,8926,8138,251
2020-07-05,338477,8930,8138,251
2020-07-06,343897,8936,8138,251
2020-07-07,348524,8947,8138,251
2020-07-08,353047,8950,8138,251
2020-07-09,357143,8965,8138,252
2020-07-10,361162,8974,8138,252
2020-07-11,362325,8977,8138,252
2020-07-12,363301,8981,8138,252
2020-07-13,368732,8984,8138,253
2020-07-14,373284,9001,8138,253
2020-07-15,377943,9011,8138,253
2020-07-16,381852,9015,8138,254
2020-07-17,385379,9025,8138,255
2020-07-18,386551,9028,8138,255
2020-07-19,387646,9028,8138,255
2020-07-20,392817,9034,8138,255
2020-07-21,396935,9053,8138,255
2020-07-22,401008,9059,8138,255
2020-07-23,404778,9085,8674,255
2020-07-24,408568,9092,8674,255
2020-07-25,409987,9111,8674,255
2020-07-26,411154,9117,8752,255
2020-07-27,416932,9132,8752,255
2020-07-28,421853,9150,8752,255
2020-07-29,426807,9172,8752,255
2020-07-30,431437,9208,8752,255
2020-07-31,436029,9240,8752,255
2020-08-01,437794,9253,8752,255
2020-08-02,439305,9268,8752,255
2020-08-03,447028,9334,8752,256
2020-08-04,454112,9362,8752,256
2020-08-05,461391,9409,8752,256
2020-08-06,468658,9468,8857,256
2020-08-07,475740,9551,8857,256
2020-08-08,478478,9599,8857,256
2020-08-09,481082,9638,8857,256
2020-08-10,492174,9684,8857,256
2020-08-11,503039,9751,8857,256
2020-08-12,514355,9783,8857,256
2020-08-13,525472,9851,8857,257
2020-08-14,537062,9908,8857,261
2020-08-15,542146,9965,8857,261
2020-08-16,546547,10005,8857,261
2020-08-17,561767,10060,8857,261
2020-08-18,575915,10111,8857,262
2020-08-19,589661,10162,8857,262
2020-08-20,602799,10197,9150,264
2020-08-21,615310,10275,9150,264
2020-08-22,620974,10299,9150,264
2020-08-23,626735,10323,9150,264
2020-08-24,644130,10395,9150,264
2020-08-25,660087,10454,9150,264
2020-08-26,675616,10504,9150,264
2020-08-27,689876,10542,9348,264
2020-08-28,703376,10582,9348,264
2020-08-29,708600,10611,9348,264
2020-08-30,714170,10643,9348,264
2020-08-31,732555,10782,9348,264
2020-09-01,749334,10871,9348,264
2020-09-02,764905,11034,9348,264
2020-09-03,779179,11120,9348,264
2020-09-04,791588,11231,9348,264
2020-09-05,796464,11296,9348,264
2020-09-06,801519,11388,9348,264
2020-09-07,818084,11521,9348,264
2020-09-08,833290,11623,9348,264
2020-09-09,847408,11746,9348,264
2020-09-10,859752,11867,9348,265
2020-09-11,871236,12003,10371,265
2020-09-12,876713,12079,10371,265
2020-09-13,881808,12154,10371,265
2020-09-14,898231,12276,10371,265
2020-09-15,912878,12393,10371,265
2020-09-16,926446,12498,10371,265
2020-09-17,938089,12644,10371,266
2020-09-18,948557,12769,10371,267
2020-09-19,952914,12858,10371,267
2020-09-20,957061,12897,10371,267
2020-09-21,972265,13005,10371,267
2020-09-22,984605,13153,10371,267
2020-09-23,996666,13277,10371,267
2020-09-24,1007219,13406,10371,270
2020-09-25,1017233,13545,10371,270
2020-09-26,1021634,13627,11190,270
2020-09-27,1025660,13698,11190,270
2020-09-28,1039041,13788,11190,274
2020-09-29,1049930,13915,11190,274
2020-09-30,1060407,14027,11190,274
2020-10-01,1069434,14149,11190,274
2020-10-02,1078492,14284,11190,275
2020-10-03,1082377,14362,11190,275
2020-10-04,1085587,14457,11190,275
2020-10-05,1088252,14605,11190,275
2020-10-06,1088252,14784,11190,275
2020-10-07,1088252,14784,11190,275
