date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,2,0,0
2020-02-25,0,2,0,0
2020-02-26,0,4,0,0
2020-02-27,0,4,0,0
2020-02-28,0,4,0,0
2020-02-29,0,6,1,0
2020-03-01,0,6,1,0
2020-03-02,0,6,1,0
2020-03-03,0,12,2,0
2020-03-04,0,15,2,0
2020-03-05,0,16,2,0
2020-03-06,0,16,2,0
2020-03-07,0,16,2,0
2020-03-08,0,16,2,0
2020-03-09,0,16,2,0
2020-03-10,0,18,9,0
2020-03-11,0,18,9,0
2020-03-12,0,18,9,0
2020-03-13,0,19,9,0
2020-03-14,0,19,9,0
2020-03-15,0,22,9,0
2020-03-16,0,22,9,0
2020-03-17,0,24,9,0
2020-03-18,0,39,12,0
2020-03-19,0,48,12,0
2020-03-20,0,48,12,0
2020-03-21,0,52,12,0
2020-03-22,0,55,17,0
2020-03-23,0,66,17,0
2020-03-24,0,84,17,0
2020-03-25,0,99,17,0
2020-03-26,0,109,23,0
2020-03-27,0,131,23,0
2020-03-28,0,152,23,0
2020-03-29,0,167,23,0
2020-03-30,0,179,29,0
2020-03-31,0,192,34,1
2020-04-01,0,210,34,1
2020-04-02,0,231,57,1
2020-04-03,0,252,57,1
2020-04-04,0,277,61,2
2020-04-05,0,298,61,2
2020-04-06,0,331,61,2
2020-04-07,0,371,67,2
2020-04-08,0,419,72,2
2020-04-09,0,457,109,3
2020-04-10,0,484,109,3
2020-04-11,0,546,109,3
2020-04-12,0,599,109,4
2020-04-13,0,727,124,4
2020-04-14,0,813,130,4
2020-04-15,0,910,131,4
2020-04-16,0,1019,176,4
2020-04-17,0,1069,176,6
2020-04-18,0,1180,176,6
2020-04-19,0,1266,233,7
2020-04-20,0,1410,238,7
2020-04-21,0,1508,238,8
2020-04-22,0,1614,238,8
2020-04-23,0,1716,307,9
2020-04-24,0,1790,325,10
2020-04-25,0,1905,329,10
2020-04-26,0,1998,333,10
2020-04-27,0,2049,364,10
2020-04-28,0,2131,364,10
2020-04-29,0,2274,364,10
2020-04-30,0,2348,495,11
2020-05-01,0,2447,495,11
2020-05-02,0,2483,750,12
2020-05-03,0,2568,750,12
2020-05-04,0,2637,816,12
2020-05-05,0,2735,858,13
2020-05-06,0,2903,888,13
2020-05-07,0,2958,980,15
2020-05-08,0,3112,1025,16
2020-05-09,0,3224,1068,17
2020-05-10,0,3399,1117,17
2020-05-11,0,3573,1250,17
2020-05-12,0,3721,1250,17
2020-05-13,0,4019,1289,17
2020-05-14,0,4341,1303,18
2020-05-15,0,4625,1350,20
2020-05-16,0,5029,1436,21
2020-05-17,0,5186,1465,22
2020-05-18,0,5379,1496,25
2020-05-19,0,5671,1574,27
2020-05-20,0,6043,1661,30
2020-05-21,0,6370,1821,31
2020-05-22,0,6794,1821,34
2020-05-23,0,7257,1848,36
2020-05-24,0,7770,1933,37
2020-05-25,0,7770,1933,37
2020-05-26,0,8118,2067,37
2020-05-27,0,8373,2177,39
2020-05-28,0,9009,2177,40
2020-05-29,0,9820,2396,40
2020-05-30,0,10423,2396,42
2020-05-31,0,11437,2682,49
2020-06-01,0,12223,2682,50
2020-06-02,0,12799,2812,59
2020-06-03,0,13537,2845,67
2020-06-04,0,14316,3451,67
2020-06-05,0,15086,3451,72
2020-06-06,0,16016,3451,72
2020-06-07,0,16882,3451,75
2020-06-08,0,17486,3793,81
2020-06-09,0,18198,4152,83
2020-06-10,0,18887,5640,84
2020-06-11,0,19954,6623,89
2020-06-12,0,21071,7489,96
2020-06-13,0,22077,7530,99
2020-06-14,0,23481,8454,104
2020-06-15,0,24524,9533,108
2020-06-16,0,25269,11089,114
2020-06-17,0,26079,11797,116
2020-06-18,0,26818,13264,119
2020-06-19,0,27670,13974,125
2020-06-20,0,28566,14780,128
2020-06-21,0,29471,15552,131
2020-06-22,0,31076,16408,137
2020-06-23,0,32394,17279,140
2020-06-24,0,33536,17972,142
2020-06-25,0,34902,18520,144
2020-06-26,0,36034,19482,153
2020-06-27,0,36953,20363,159
2020-06-28,0,38150,21200,163
2020-06-29,0,39060,22422,169
2020-06-30,0,40070,23425,176
2020-07-01,0,41194,24162,185
2020-07-02,0,42555,25318,188
2020-07-03,0,43929,26169,193
2020-07-04,0,45106,26968,203
2020-07-05,0,46178,27917,213
2020-07-06,0,47735,29146,218
2020-07-07,0,48997,31000,224
2020-07-08,0,50207,32005,233
2020-07-09,0,51725,33021,236
2020-07-10,0,53614,34225,244
2020-07-11,0,54697,35255,248
2020-07-12,0,56015,36098,257
2020-07-13,0,58179,37257,259
2020-07-14,0,59568,37987,273
2020-07-15,0,61247,39038,281
2020-07-16,0,62574,40090,290
2020-07-17,0,64193,41450,298
2020-07-18,0,65504,42772,308
2020-07-19,0,66661,44004,318
2020-07-20,0,68400,45150,326
2020-07-21,0,69887,46608,337
2020-07-22,0,71547,47922,349
2020-07-23,0,72646,51349,355
2020-07-24,0,73791,53007,359
2020-07-25,0,74858,54061,371
2020-07-26,0,76005,55299,384
2020-07-27,0,77058,57028,393
2020-07-28,0,77904,58587,402
2020-07-29,0,78569,60240,412
2020-07-30,0,79159,61421,421
2020-07-31,0,79159,61421,421
2020-08-01,0,79159,61421,421
2020-08-02,0,79159,61421,421
2020-08-03,0,79159,61421,421
2020-08-04,0,79159,61421,421
2020-08-05,0,80286,69803,488
2020-08-06,0,80713,70910,492
2020-08-07,0,81067,72263,502
2020-08-08,0,81357,73481,509
2020-08-09,0,81580,74691,513
2020-08-10,0,81787,76124,521
2020-08-11,0,82050,76720,533
2020-08-12,0,82299,77072,539
2020-08-13,0,82531,77278,551
2020-08-14,0,82743,77427,557
2020-08-15,0,82924,77550,562
2020-08-16,0,83086,77680,572
2020-08-17,0,83226,77812,588
2020-08-18,0,83418,77977,597
2020-08-19,0,83606,78188,603
2020-08-20,0,83769,78386,609
2020-08-21,0,83769,78386,609
2020-08-22,0,83769,78386,609
2020-08-23,0,83769,78386,609
2020-08-24,0,84509,78912,637
2020-08-25,0,84652,79147,642
2020-08-26,0,84818,79409,646
2020-08-27,0,85005,79608,650
2020-08-28,0,85005,79608,650
2020-08-29,0,85005,79608,650
2020-08-30,0,85544,80459,677
2020-08-31,0,85722,80810,685
2020-09-01,0,85928,81024,689
2020-09-02,0,85928,81024,689
2020-09-03,0,86380,81828,705
2020-09-04,0,86380,81828,705
2020-09-05,0,86380,81828,705
2020-09-06,0,87072,82406,728
2020-09-07,0,87328,82805,734
2020-09-08,0,87590,82973,742
2020-09-09,0,87939,83115,751
2020-09-10,0,88337,83325,762
2020-09-11,0,88337,83325,762
2020-09-12,0,88337,83325,762
2020-09-13,0,89746,83771,780
2020-09-14,0,90222,83928,790
2020-09-15,0,90660,84113,797
2020-09-16,0,91196,84363,805
2020-09-17,0,91753,84648,818
2020-09-18,0,91753,84648,818
2020-09-19,0,91753,84648,818
2020-09-20,0,93475,85418,846
2020-09-21,0,94051,85781,853
2020-09-22,0,94711,86195,865
2020-09-23,0,95339,86482,875
2020-09-24,0,95907,86765,885
2020-09-25,0,95907,86765,885
2020-09-26,0,95907,86765,885
2020-09-27,0,97450,87801,909
2020-09-28,0,98057,88234,924
2020-09-29,0,98585,88528,935
2020-09-30,0,98585,88528,935
2020-10-01,0,98585,88528,935
2020-10-02,0,98585,88528,935
2020-10-03,0,98585,88528,935
2020-10-04,0,101270,90296,977
2020-10-05,0,101814,90600,985
2020-10-06,0,102648,91275,990
2020-10-07,0,103465,91329,1000
2020-10-08,0,103465,91329,1000
