date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,2,0,0
2020-02-26,0,2,0,0
2020-02-27,0,2,0,0
2020-02-28,0,4,0,0
2020-02-29,0,4,0,0
2020-03-01,0,4,0,0
2020-03-02,0,5,0,0
2020-03-03,0,5,0,0
2020-03-04,0,5,0,0
2020-03-05,0,6,0,0
2020-03-06,0,6,0,0
2020-03-07,0,6,1,0
2020-03-08,0,6,1,0
2020-03-09,0,16,1,0
2020-03-10,0,19,2,0
2020-03-11,471,20,2,0
2020-03-12,531,28,2,0
2020-03-13,609,31,2,0
2020-03-14,684,53,2,0
2020-03-15,833,136,2,0
2020-03-16,1125,236,2,0
2020-03-17,1141,299,2,0
2020-03-18,2163,454,13,2
2020-03-19,3410,501,13,3
2020-03-20,4001,730,13,3
2020-03-21,5225,776,5,5
2020-03-22,5444,875,5,6
2020-03-23,5857,972,18,7
2020-03-24,6123,1063,21,8
2020-03-25,6449,1201,21,9
2020-03-26,7835,1373,23,11
2020-03-27,13231,1495,29,12
2020-03-28,14336,1597,29,14
2020-03-29,14748,1717,76,21
2020-03-30,15683,1938,76,26
2020-03-31,15967,2118,94,27
2020-04-01,17324,2421,125,34
2020-04-02,30308,2686,126,40
2020-04-03,32930,2818,131,41
2020-04-04,34885,3157,211,47
2020-04-05,35875,3766,259,53
2020-04-06,39183,4035,429,57
2020-04-07,42159,4263,467,61
2020-04-08,44896,4489,572,65
2020-04-09,54706,4695,727,66
2020-04-10,57836,5011,762,86
2020-04-11,61801,5230,1028,91
2020-04-12,65114,5496,1095,93
2020-04-13,69928,5837,1378,96
2020-04-14,73439,6383,1446,111
2020-04-15,78979,6919,1645,128
2020-04-16,84704,7025,1765,135
2020-04-17,92548,7638,1832,143
2020-04-18,98522,8348,1868,168
2020-04-19,104302,8418,1970,176
2020-04-20,104302,9565,2073,201
2020-04-21,111806,10076,2156,212
2020-04-22,118020,11155,2527,237
2020-04-23,124549,11940,2755,253
2020-04-24,131365,12723,2866,269
2020-04-25,138147,13328,2936,281
2020-04-26,144365,13915,3029,292
2020-04-27,150756,14612,3233,312
2020-04-28,157223,15525,3425,343
2020-04-29,165911,16817,4315,385
2020-04-30,174160,18114,4715,417
2020-05-01,182131,19103,4817,440
2020-05-02,193859,20084,5114,457
2020-05-03,203025,20941,5635,476
2020-05-04,212511,22049,5801,514
2020-05-05,222404,24073,6464,564
2020-05-06,232582,24644,6464,585
2020-05-07,244778,26435,7530,599
2020-05-08,257247,28736,7809,636
2020-05-09,270025,30334,8063,659
2020-05-10,283517,32081,8555,706
2020-05-11,294894,34336,8812,737
2020-05-12,305851,35298,8899,761
2020-05-13,317699,35788,9695,770
2020-05-14,330750,38799,10880,834
2020-05-15,344450,38799,10880,834
2020-05-16,359264,40151,11341,873
2020-05-17,373410,42125,11922,903
2020-05-18,387335,43966,12489,939
2020-05-19,400292,45898,13101,985
2020-05-20,414254,48091,14155,1017
2020-05-21,429600,50694,15201,1067
2020-05-22,445987,52437,16653,1101
2020-05-23,460692,54601,17198,1133
2020-05-24,473607,56349,17482,1167
2020-05-25,483656,57705,18314,1197
2020-05-26,490908,59151,19142,1225
2020-05-27,499399,61227,20231,1260
2020-05-28,508086,64028,22305,1317
2020-05-29,520017,66457,24131,1395
2020-05-30,532037,69496,25271,1483
2020-05-31,547030,72460,26083,1543
2020-06-01,561136,76398,27110,1621
2020-06-02,577974,80463,28923,1688
2020-06-03,595344,85264,30128,1770
2020-06-04,615511,89249,31198,1838
2020-06-05,638323,93983,32581,1935
2020-06-06,660508,98943,33465,2002
2020-06-07,683608,103671,34355,2067
2020-06-08,705833,108317,35018,2172
2020-06-09,730453,113702,36308,2255
2020-06-10,754252,119536,36308,2356
2020-06-11,780825,125933,40247,2463
2020-06-12,809169,125933,40247,2463
2020-06-13,839019,132405,50056,2551
2020-06-14,868565,144478,53721,2729
2020-06-15,897650,148921,56390,2839
2020-06-16,922665,154760,58437,2975
2020-06-17,950782,160118,59215,3093
2020-06-18,982012,165062,61383,3229
2020-06-19,1011106,171666,63504,3382
2020-06-20,1042787,176617,67892,3501
2020-06-21,1071642,181088,71458,3590
2020-06-22,1102162,185034,73471,3695
2020-06-23,1126761,188926,77754,3755
2020-06-24,1150141,192970,81307,3903
2020-06-25,1171976,195745,84168,3962
2020-06-26,1193017,198883,86906,4035
2020-06-27,1214140,202955,92624,4118
2020-06-28,1239153,206512,95407,4167
2020-06-29,1262162,209337,98503,4304
2020-06-30,1283092,213470,100802,4395
2020-07-01,1305510,217809,104694,4473
2020-07-02,1327638,221896,113623,4551
2020-07-03,1350773,221896,113623,4551
2020-07-04,1372825,225283,125094,4619
2020-07-05,1398352,231818,131649,4762
2020-07-06,1420623,234509,134957,4839
2020-07-07,1445153,237489,140965,4922
2020-07-08,1467104,240848,145311,4983
2020-07-09,1491437,243599,149092,5058
2020-07-10,1514858,246351,153134,5123
2020-07-11,1538427,248872,156700,5197
2020-07-12,1562638,251625,161917,5266
2020-07-13,1585170,253604,170656,5320
2020-07-14,1606190,255769,172810,5386
2020-07-15,1627939,257914,178737,5426
2020-07-16,1652183,257914,178737,5426
2020-07-17,1676090,261917,198509,5522
2020-07-18,1699101,263496,204276,5568
2020-07-19,1721660,265083,205929,5599
2020-07-20,1740768,266096,208030,5639
2020-07-21,1758551,267428,210468,5677
2020-07-22,1776882,269191,213175,5709
2020-07-23,1799290,270400,219783,5763
2020-07-24,1821296,271887,236596,5787
2020-07-25,1844926,273113,237434,5822
2020-07-26,1868180,273113,237434,5822
2020-07-27,1909846,274289,241026,5842
2020-07-28,1931102,275225,242436,5865
2020-07-29,1952730,276288,244883,5892
2020-07-30,1973237,277402,246131,5924
2020-07-31,1973237,278305,247177,5951
2020-08-01,2010170,278305,247177,5951
2020-08-02,2021196,279699,248577,5976
2020-08-03,2031955,280461,249397,5999
2020-08-04,2043870,280461,249397,5999
2020-08-05,2043870,281136,254286,6014
2020-08-06,2058872,281863,256058,6035
2020-08-07,2079333,282645,258099,6052
2020-08-08,2103699,283487,259604,6068
2020-08-09,2127089,284121,260248,6082
2020-08-10,2147584,284660,260764,6097
2020-08-11,2165811,285191,261246,6112
2020-08-12,2186442,285921,263193,6129
2020-08-13,2205664,286674,264060,6139
2020-08-14,2229409,287300,265215,6153
2020-08-15,2253131,288047,265624,6162
2020-08-16,2277153,289215,269087,6175
2020-08-17,2299601,289215,269087,6175
2020-08-18,2317213,289832,269989,6190
2020-08-19,2340072,290445,272128,6201
2020-08-20,2363752,290958,272804,6209
2020-08-21,2389365,291588,273579,6219
2020-08-22,2414902,292174,275317,6231
2020-08-23,2439858,293261,276829,6244
2020-08-24,2463513,293261,276829,6244
2020-08-25,2487744,293711,278425,6255
2020-08-26,2512337,294193,278939,6267
2020-08-27,2535778,294638,279561,6274
2020-08-28,2559261,295053,279937,6283
2020-08-29,2581695,295372,280340,6284
2020-08-30,2603129,295636,280547,6288
2020-08-31,2621146,295849,280682,6294
2020-09-01,2642068,296149,280970,6298
2020-09-02,2662508,297014,281925,6328
2020-09-03,2684252,297512,282268,6335
2020-09-04,2707470,298025,282553,6340
2020-09-05,2732325,298025,282553,6340
2020-09-06,2757709,298903,286016,6345
2020-09-07,2778689,299233,286157,6350
2020-09-08,2802210,299659,286506,6359
2020-09-09,2825040,300030,287658,6365
2020-09-10,2850121,300371,288206,6370
2020-09-11,2879655,300955,288536,6373
2020-09-12,2908379,301481,289429,6379
2020-09-13,2939790,302020,289806,6383
2020-09-14,2968613,302424,290261,6389
2020-09-15,2995890,303089,290760,6393
2020-09-16,3024987,303634,291169,6399
2020-09-17,3056795,304386,291683,6408
2020-09-18,3090660,305031,292044,6415
2020-09-19,3126380,305671,292303,6416
2020-09-20,3160924,306304,292869,6420
2020-09-21,3194317,306886,293159,6424
2020-09-22,3230472,307418,293916,6432
2020-09-23,3264216,308217,294392,6437
2020-09-24,3306515,309015,294740,6444
2020-09-25,3344019,309581,295333,6451
2020-09-26,3384186,310275,295613,6457
