date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,4,0,0
2020-03-06,0,7,0,0
2020-03-07,0,16,0,0
2020-03-08,0,16,0,0
2020-03-09,0,19,0,0
2020-03-10,0,26,0,0
2020-03-11,0,30,0,0
2020-03-12,0,30,0,0
2020-03-13,0,31,0,0
2020-03-14,0,35,0,0
2020-03-15,0,38,0,0
2020-03-16,0,38,0,0
2020-03-17,0,39,0,0
2020-03-18,0,41,0,0
2020-03-19,0,44,0,0
2020-03-20,0,47,17,0
2020-03-21,0,48,17,0
2020-03-22,0,52,17,0
2020-03-23,0,59,17,0
2020-03-24,0,59,17,0
2020-03-25,0,59,17,0
2020-03-26,0,84,17,1
2020-03-27,0,91,17,1
2020-03-28,0,98,18,1
2020-03-29,0,109,18,1
2020-03-30,0,116,18,1
2020-03-31,0,119,18,1
2020-04-01,0,134,18,1
2020-04-02,0,161,18,1
2020-04-03,0,194,21,1
2020-04-04,0,217,21,1
2020-04-05,0,237,25,1
2020-04-06,0,254,24,1
2020-04-07,0,261,42,1
2020-04-08,0,263,44,1
2020-04-09,0,263,44,1
2020-04-10,0,267,45,2
2020-04-11,0,268,57,2
2020-04-12,0,271,58,2
2020-04-13,0,273,58,2
2020-04-14,0,284,62,2
2020-04-15,0,291,63,2
2020-04-16,0,294,63,2
2020-04-17,0,307,69,2
2020-04-18,0,313,69,2
2020-04-19,0,319,71,2
2020-04-20,0,329,71,2
2020-04-21,0,329,71,2
2020-04-22,0,335,71,2
2020-04-23,0,336,74,2
2020-04-24,0,340,81,2
2020-04-25,0,342,83,2
2020-04-26,0,342,83,2
2020-04-27,0,342,83,2
2020-04-28,0,343,71,2
2020-04-29,0,344,71,2
2020-04-30,0,344,76,2
2020-05-01,0,353,76,2
2020-05-02,0,353,76,2
2020-05-03,0,353,77,2
2020-05-04,0,362,102,2
2020-05-05,0,371,127,2
2020-05-06,0,374,174,2
2020-05-07,0,375,176,2
2020-05-08,0,375,228,2
2020-05-09,0,375,228,2
2020-05-10,0,375,263,2
2020-05-11,0,375,301,2
2020-05-12,0,375,308,2
2020-05-13,0,375,310,2
2020-05-14,0,375,310,2
2020-05-15,0,375,315,2
2020-05-16,0,376,329,2
2020-05-17,0,381,335,2
2020-05-18,0,388,337,2
2020-05-19,0,391,346,2
2020-05-20,0,398,346,2
2020-05-21,0,423,346,2
2020-05-22,0,423,346,2
2020-05-23,0,423,348,3
2020-05-24,0,423,357,3
2020-05-25,0,423,357,3
2020-05-26,0,429,365,3
2020-05-27,0,434,365,3
2020-05-28,0,446,368,3
2020-05-29,0,446,368,3
2020-05-30,0,447,368,3
2020-05-31,0,448,372,3
2020-06-01,0,449,372,3
2020-06-02,0,451,372,3
2020-06-03,0,457,372,3
2020-06-04,0,464,377,3
2020-06-05,0,464,377,3
2020-06-06,0,464,400,3
2020-06-07,0,472,403,3
2020-06-08,0,473,404,3
2020-06-09,0,481,404,3
2020-06-10,0,485,410,3
2020-06-11,0,487,410,3
2020-06-12,0,489,414,3
2020-06-13,0,489,415,3
2020-06-14,0,492,415,3
2020-06-15,0,505,415,3
2020-06-16,0,514,415,3
2020-06-17,0,555,415,3
2020-06-18,0,600,415,3
2020-06-19,0,675,437,3
2020-06-20,0,784,437,3
2020-06-21,0,833,439,3
2020-06-22,0,1001,442,3
2020-06-23,0,1169,442,3
2020-06-24,0,1328,442,3
2020-06-25,0,1382,446,3
2020-06-26,0,1557,446,3
2020-06-27,0,1815,446,4
2020-06-28,0,1990,447,4
2020-06-29,0,2185,447,5
2020-06-30,0,2428,451,8
2020-07-01,0,2758,460,8
2020-07-02,0,3080,460,9
2020-07-03,0,3334,463,11
2020-07-04,0,3835,463,13
2020-07-05,0,4277,491,16
2020-07-06,0,4341,491,17
2020-07-07,0,4647,494,18
2020-07-08,0,5029,494,20
2020-07-09,0,5220,525,24
2020-07-10,0,5551,536,27
2020-07-11,0,5931,536,33
2020-07-12,0,6230,942,36
2020-07-13,0,6566,1084,39
2020-07-14,0,6764,1084,44
2020-07-15,0,7064,1084,44
2020-07-16,0,7412,1313,51
2020-07-17,0,7764,1492,53
2020-07-18,0,8204,1596,59
2020-07-19,0,8549,1921,62
2020-07-20,0,8916,1921,63
2020-07-21,0,9228,1932,64
2020-07-22,0,9398,1950,66
2020-07-23,0,9744,2720,67
2020-07-24,0,10093,2720,70
2020-07-25,0,10306,3282,75
2020-07-26,0,10469,3752,76
2020-07-27,0,10621,3752,78
2020-07-28,0,10938,3752,79
2020-07-29,0,11284,4833,80
2020-07-30,0,11548,5016,81
2020-07-31,0,11837,5077,82
2020-08-01,0,12160,5324,83
2020-08-02,0,12297,5390,84
2020-08-03,0,12541,5390,84
2020-08-04,0,12770,6419,86
2020-08-05,0,13065,6618,89
2020-08-06,0,13398,6907,92
2020-08-07,0,13722,7210,94
2020-08-08,0,13928,7706,96
2020-08-09,0,14208,7945,97
2020-08-10,0,14510,8045,100
2020-08-11,0,14875,8181,104
2020-08-12,0,15184,8369,105
2020-08-13,0,15491,9186,106
2020-08-14,0,15834,9382,106
2020-08-15,0,16153,9388,108
2020-08-16,0,16534,9838,110
2020-08-17,0,16844,9906,113
2020-08-18,0,17306,9939,113
2020-08-19,0,17606,10312,119
2020-08-20,0,17989,10682,120
2020-08-21,0,18313,11102,122
2020-08-22,0,18476,11103,125
2020-08-23,0,18802,11843,128
2020-08-24,0,19213,11870,133
2020-08-25,0,19678,13162,133
2020-08-26,0,20155,13929,137
2020-08-27,0,20677,14194,141
2020-08-28,0,21251,14291,145
2020-08-29,0,21668,14631,147
2020-08-30,0,22204,14787,152
2020-08-31,0,22729,15056,152
2020-09-01,0,23281,15338,159
2020-09-02,0,23875,15483,162
2020-09-03,0,24471,16095,167
2020-09-04,0,25142,16437,170
2020-09-05,0,25575,16661,177
2020-09-06,0,26127,16843,181
2020-09-07,0,26779,17270,184
2020-09-08,0,27363,17779,190
2020-09-09,0,27919,18466,192
2020-09-10,0,28664,18821,198
2020-09-11,0,29256,19788,204
2020-09-12,0,29906,19979,210
2020-09-13,0,30574,20082,221
2020-09-14,0,31362,21406,226
2020-09-15,0,32250,21804,229
2020-09-16,0,33006,22209,243
2020-09-17,0,33843,23060,244
2020-09-18,0,34401,23333,250
2020-09-19,0,35003,23446,253
2020-09-20,0,35686,23700,262
2020-09-21,0,36151,24428,265
2020-09-22,0,36580,25469,269
2020-09-23,0,37083,26288,272
2020-09-24,0,37591,26934,274
2020-09-25,0,37963,27183,278
2020-09-26,0,38253,27704,285
2020-09-27,0,38703,29068,291
2020-09-28,0,39121,30220,299
2020-09-29,0,39541,31047,306
2020-09-30,0,39899,31743,311
2020-10-01,0,40322,32577,318
2020-10-02,0,40766,32944,321
2020-10-03,0,41078,33442,329
2020-10-04,0,41498,34698,330
2020-10-05,0,41957,35182,339
2020-10-06,0,42432,35599,349
2020-10-07,0,42432,35599,349
