date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,1,0,0,0
2020-03-08,1,1,0,0
2020-03-09,1,1,0,0
2020-03-10,9,1,0,0
2020-03-11,16,5,0,0
2020-03-12,22,5,0,0
2020-03-13,39,6,0,0
2020-03-14,54,6,0,0
2020-03-15,87,6,0,0
2020-03-16,114,8,0,0
2020-03-17,140,9,0,0
2020-03-18,164,11,0,0
2020-03-19,196,11,0,0
2020-03-20,240,13,0,0
2020-03-21,308,18,0,1
2020-03-22,345,22,0,1
2020-03-23,434,22,0,1
2020-03-24,525,27,0,2
2020-03-25,576,37,0,3
2020-03-26,654,41,0,3
2020-03-27,755,52,1,3
2020-03-28,815,56,1,3
2020-03-29,920,59,1,3
2020-03-30,988,64,1,3
2020-03-31,1078,65,1,3
2020-04-01,1173,69,1,3
2020-04-02,1289,77,2,3
2020-04-03,1454,92,6,3
2020-04-04,1646,96,12,3
2020-04-05,1846,104,12,3
2020-04-06,2008,113,12,5
2020-04-07,2220,115,15,5
2020-04-08,2462,119,15,5
2020-04-09,2685,124,18,5
2020-04-10,2905,129,18,6
2020-04-11,3135,133,18,6
2020-04-12,3394,134,22,6
2020-04-13,3642,147,22,6
2020-04-14,3888,159,22,7
2020-04-15,4267,161,23,8
2020-04-16,4612,174,30,8
2020-04-17,4950,199,30,8
2020-04-18,5254,202,35,8
2020-04-19,5501,206,41,8
2020-04-20,5878,208,46,8
2020-04-21,6292,208,53,8
2020-04-22,6598,213,62,9
2020-04-23,6917,213,67,9
2020-04-24,7322,223,78,9
2020-04-25,7630,228,85,9
2020-04-26,7925,228,85,9
2020-04-27,8444,228,93,9
2020-04-28,8891,239,102,9
2020-04-29,9454,239,102,9
2020-04-30,9903,266,113,10
2020-05-01,10342,333,115,10
2020-05-02,10766,370,119,10
2020-05-03,11106,396,126,10
2020-05-04,11455,415,130,10
2020-05-05,11913,431,135,10
2020-05-06,12497,440,142,10
2020-05-07,13096,462,148,10
2020-05-08,13846,563,152,10
2020-05-09,14646,689,155,10
2020-05-10,15446,713,165,10
2020-05-11,16155,724,170,10
2020-05-12,16917,737,173,10
2020-05-13,17589,740,182,11
2020-05-14,18184,754,184,11
2020-05-15,18856,759,193,11
2020-05-16,19308,778,198,11
2020-05-17,20124,786,202,11
2020-05-18,20429,788,219,11
2020-05-19,21121,829,230,11
2020-05-20,21542,833,242,11
2020-05-21,21987,836,256,11
2020-05-22,22868,838,264,11
2020-05-23,23805,850,298,11
2020-05-24,24812,862,307,11
2020-05-25,25216,865,344,11
2020-05-26,26169,877,382,11
2020-05-27,26760,884,392,11
2020-05-28,27425,900,402,11
2020-05-29,28337,917,413,11
2020-05-30,29153,964,466,11
2020-05-31,30004,986,477,11
2020-06-01,30834,995,488,11
2020-06-02,32106,1013,498,11
2020-06-03,33081,1070,511,11
2020-06-04,34240,1086,511,11
2020-06-05,35258,1087,516,11
2020-06-06,36373,1090,532,11
2020-06-07,37532,1135,575,11
2020-06-08,38942,1145,603,11
2020-06-09,40032,1187,604,11
2020-06-10,41702,1202,619,11
2020-06-11,43292,1230,624,11
2020-06-12,45132,1254,633,11
2020-06-13,46608,1261,647,11
2020-06-14,48081,1289,650,11
2020-06-15,48729,1296,673,12
2020-06-16,49978,1303,699,13
2020-06-17,51178,1308,711,13
2020-06-18,52649,1330,717,13
2020-06-19,54278,1336,741,13
2020-06-20,55827,1362,791,13
2020-06-21,56992,1379,871,13
2020-06-22,57895,1392,903,13
2020-06-23,59454,1422,926,13
2020-06-24,60811,1528,944,13
2020-06-25,62384,1569,976,13
2020-06-26,63974,1711,1013,13
2020-06-27,65605,1942,1045,15
2020-06-28,66966,2127,1065,15
2020-06-29,68027,2191,1080,16
2020-06-30,69343,2221,1089,17
2020-07-01,70690,2260,1102,19
2020-07-02,72319,2303,1108,19
2020-07-03,74088,2349,1113,19
2020-07-04,76077,2385,1134,20
2020-07-05,77879,2427,1166,20
2020-07-06,79365,2456,1180,20
2020-07-07,81441,2502,1193,20
2020-07-08,82974,2554,1212,20
2020-07-09,84991,2638,1229,20
2020-07-10,87203,2736,1256,20
2020-07-11,89344,2820,1261,21
2020-07-12,91281,2948,1275,22
2020-07-13,92442,2980,1293,25
2020-07-14,94328,3074,1308,25
2020-07-15,96060,3198,1338,25
2020-07-16,98088,3342,1379,27
2020-07-17,100315,3457,1481,28
2020-07-18,102784,3629,1643,29
2020-07-19,105122,3721,1918,31
2020-07-20,106345,3748,2171,33
2020-07-21,108033,3817,2307,35
2020-07-22,109874,4000,2391,36
2020-07-23,112039,4113,2487,36
2020-07-24,114045,4224,2596,38
2020-07-25,115906,4328,2679,40
2020-07-26,117562,4444,2794,41
2020-07-27,119256,4548,2905,43
2020-07-28,120943,4674,3039,45
2020-07-29,122829,4866,3169,46
2020-07-30,125361,5207,3250,47
2020-07-31,127610,5338,3548,49
2020-08-01,128709,5485,3786,52
2020-08-02,129724,5644,3966,52
2020-08-03,130786,5724,4249,55
2020-08-04,132111,5852,4645,59
2020-08-05,133822,6060,4839,61
2020-08-06,135277,6375,4974,66
2020-08-07,136279,6508,5123,69
2020-08-08,137300,6705,5181,72
2020-08-09,138415,6907,5222,75
2020-08-10,140236,7234,5276,82
2020-08-11,142394,7519,5326,86
2020-08-12,144517,8018,5384,93
2020-08-13,146284,8389,5516,97
2020-08-14,149349,9022,5657,108
2020-08-15,151427,9381,5841,127
2020-08-16,154392,9791,6034,138
2020-08-17,156611,10135,6210,145
2020-08-18,159666,10606,6402,161
2020-08-19,162323,11133,6582,165
2020-08-20,166110,11817,6783,170
2020-08-21,169260,12536,7007,182
2020-08-22,171552,12974,7197,192
2020-08-23,173340,13233,7417,205
2020-08-24,175652,13602,7649,219
2020-08-25,177771,14228,7883,231
2020-08-26,180606,14872,8134,247
2020-08-27,182791,15290,8348,265
2020-08-28,185921,15873,8595,280
2020-08-29,188559,16474,8854,294
2020-08-30,190169,17105,9146,308
2020-08-31,192465,17662,9421,326
2020-09-01,195554,18338,9721,348
2020-09-02,198620,19138,9981,358
2020-09-03,201750,19959,10251,373
2020-09-04,204220,20654,10523,398
2020-09-05,206483,21871,10810,412
2020-09-06,209202,22486,11133,435
2020-09-07,211956,23353,11524,449
2020-09-08,214976,24214,11920,463
2020-09-09,217643,25026,12309,474
2020-09-10,220293,25631,12729,485
2020-09-11,223303,26512,13181,496
2020-09-12,227011,27324,13679,514
2020-09-13,229992,27817,14288,525
2020-09-14,232515,28367,14814,539
2020-09-15,235620,29298,15261,552
2020-09-16,239172,30419,15740,566
2020-09-17,241837,31113,16313,584
2020-09-18,245271,32127,16921,611
2020-09-19,248376,33015,17535,636
2020-09-20,250882,33520,18117,659
2020-09-21,252943,34260,18629,676
2020-09-22,255851,34828,19257,705
2020-09-23,258828,35571,19867,727
2020-09-24,261563,36404,20502,743
2020-09-25,264031,37226,21117,761
2020-09-26,267062,37922,21757,782
2020-09-27,269710,38684,22419,803
2020-09-28,272494,39432,23063,818
2020-09-29,274555,40101,23748,841
2020-09-30,277492,40758,24449,857
2020-10-01,280909,41799,25167,869
2020-10-02,283537,42684,25803,890
2020-10-03,286262,43452,26512,913
2020-10-04,288502,44182,27203,929
2020-10-05,288502,44715,27887,947
2020-10-06,288502,45647,28546,966
2020-10-07,288502,46435,29270,989
2020-10-08,288502,46435,29270,989
