date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,1,0,0
2020-03-07,0,6,0,0
2020-03-08,0,6,0,0
2020-03-09,0,9,0,0
2020-03-10,0,11,0,0
2020-03-11,0,17,0,0
2020-03-12,0,22,0,0
2020-03-13,0,38,0,0
2020-03-14,0,43,0,0
2020-03-15,0,71,0,0
2020-03-16,0,86,1,0
2020-03-17,0,117,1,0
2020-03-18,0,145,1,0
2020-03-19,0,234,1,3
2020-03-20,0,263,1,4
2020-03-21,0,318,1,5
2020-03-22,0,361,1,5
2020-03-23,0,395,1,5
2020-03-24,0,416,1,7
2020-03-25,0,480,1,9
2020-03-26,0,580,14,9
2020-03-27,0,635,16,11
2020-03-28,0,671,16,16
2020-03-29,0,852,16,18
2020-03-30,0,950,269,24
2020-03-31,0,1065,394,30
2020-04-01,0,1323,447,47
2020-04-02,0,1414,537,55
2020-04-03,0,1595,627,61
2020-04-04,0,1746,914,73
2020-04-05,0,2281,989,83
2020-04-06,0,2561,997,92
2020-04-07,0,2954,1231,107
2020-04-08,39599,4342,1333,121
2020-04-09,48465,5256,1438,138
2020-04-10,56681,5897,1569,169
2020-04-11,65712,6848,1739,181
2020-04-12,76322,7519,1798,193
2020-04-13,87166,9784,2642,216
2020-04-14,101985,10303,2869,230
2020-04-15,109385,11475,3108,254
2020-04-16,121468,12491,6120,274
2020-04-17,127513,13489,6541,300
2020-04-18,135895,14420,6684,348
2020-04-19,143745,15628,6811,400
2020-04-20,148011,16325,6968,445
2020-04-21,156208,17837,6982,484
2020-04-22,170400,19250,7027,530
2020-04-23,185238,20914,7422,572
2020-04-24,198349,21648,7496,634
2020-04-25,218195,25331,7797,700
2020-04-26,232747,27517,8088,728
2020-04-27,239563,28699,8425,782
2020-04-28,267612,31190,9179,854
2020-04-29,296262,33931,10037,943
2020-04-30,318252,36976,10405,1051
2020-05-01,342498,40459,11129,1124
2020-05-02,355604,42534,12434,1200
2020-05-03,375096,45928,13550,1286
2020-05-04,389309,47372,14427,1344
2020-05-05,406579,51189,15413,1444
2020-05-06,429458,54817,17527,1533
2020-05-07,448020,58526,18388,1627
2020-05-08,473190,61847,19012,1714
2020-05-09,494250,65015,20246,1814
2020-05-10,504930,67307,21349,1889
2020-05-11,512869,68822,22406,1961
2020-05-12,532169,72059,23324,2057
2020-05-13,553302,76306,24324,2169
2020-05-14,587292,80604,25151,2267
2020-05-15,605383,84495,27147,2392
2020-05-16,630482,88541,28272,2523
2020-05-17,650613,92273,28621,2648
2020-05-18,661132,94933,30306,2789
2020-05-19,679582,99483,36524,2914
2020-05-20,715423,104020,41968,3024
2020-05-21,736500,108769,43587,3148
2020-05-22,750526,111698,44848,3244
2020-05-23,788341,115754,47915,3373
2020-05-24,820967,119959,49795,3456
2020-05-25,840922,123979,50949,3629
2020-05-26,875721,129751,52906,3788
2020-05-27,905278,135905,56169,3983
2020-05-28,928797,141779,59442,4099
2020-05-29,963617,148285,62791,4230
2020-05-30,1012708,155671,66447,4371
2020-05-31,1058874,164476,67208,4506
2020-06-01,1076659,170039,68507,4634
2020-06-02,1109052,178165,69257,4767
2020-06-03,1115615,178914,72319,4894
2020-06-04,1135831,183198,76288,5031
2020-06-05,1154468,187400,79214,5162
2020-06-06,1173003,191758,82731,5301
2020-06-07,1191956,196515,86219,5465
2020-06-08,1203985,199696,89556,5571
2020-06-09,1227691,203736,92929,5738
2020-06-10,1255756,208823,98031,5903
2020-06-11,1282478,214788,102429,6109
2020-06-12,1315417,220749,107133,6308
2020-06-13,1338477,225132,111724,6498
2020-06-14,1360839,229736,115579,6688
2020-06-15,1376478,232992,119409,6860
2020-06-16,1396605,237156,125205,7056
2020-06-17,1417911,240908,128622,7257
2020-06-18,1439767,244388,131190,7461
2020-06-19,1461266,247925,135520,7660
2020-06-20,1482563,251338,138763,7861
2020-06-21,1504209,254936,141967,8045
2020-06-22,1517930,257447,145320,8223
2020-06-23,1539746,260810,148437,8404
2020-06-24,1561653,264689,151589,8586
2020-06-25,1583605,268602,156074,8761
2020-06-26,1604521,272364,159806,8939
2020-06-27,1625135,275989,164024,9135
2020-06-28,1645112,279419,167998,9317
2020-06-29,1661324,282365,171159,9504
2020-06-30,1679386,285213,174535,9677
2020-07-01,1699369,288477,178245,9860
2020-07-02,1720261,292004,182097,10045
2020-07-03,1740969,295599,185852,10226
2020-07-04,1761910,299080,189621,10412
2020-07-05,1782846,302718,193957,10589
2020-07-06,1800690,305703,197619,10772
2020-07-07,1821328,309278,200938,10952
2020-07-08,1842316,312911,204748,11133
2020-07-09,1863278,316448,207802,11314
2020-07-10,1883326,319646,210638,11500
2020-07-11,1904242,322710,214152,11682
2020-07-12,1925231,326326,217111,11870
2020-07-13,1943679,330123,221008,12054
2020-07-14,1963921,333867,223261,12229
2020-07-15,1983932,337751,226400,12417
2020-07-16,2003963,341586,230994,12615
2020-07-17,2023996,345537,233982,12799
2020-07-18,2042218,349500,238086,12998
2020-07-19,2063240,353590,241955,13187
2020-07-20,2084311,357681,245081,13384
2020-07-21,2109202,362087,248746,13579
2020-07-22,2133775,366550,252246,13767
2020-07-23,2158770,371096,255945,17654
2020-07-24,2183763,375961,259423,17843
2020-07-25,2206105,379884,263130,18030
2020-07-26,2230247,384797,267850,18229
2020-07-27,2250256,389717,272547,18418
2020-07-28,2270717,395005,276452,18612
2020-07-29,2293612,400683,280044,18816
2020-07-30,2318254,407492,283915,19021
2020-07-31,2348396,414735,287127,19217
2020-08-01,2377948,422183,290835,19408
2020-08-02,2404046,428850,294187,19614
2020-08-03,2417857,433100,298091,19811
2020-08-04,2440184,439890,302457,20007
2020-08-05,2466745,447624,306430,20228
2020-08-06,2493429,455409,310337,20424
2020-08-07,2522993,463875,314332,20649
2020-08-08,2548439,471012,319171,20844
2020-08-09,2573691,478024,324020,21072
2020-08-10,2590078,483133,329404,21276
2020-08-11,2612599,489680,335756,21501
2020-08-12,2643464,498555,341938,21713
2020-08-13,2677014,507996,348006,25648
2020-08-14,2705122,516296,354232,25856
2020-08-15,2738229,525803,359781,26075
2020-08-16,2773412,535946,365367,26281
2020-08-17,2793614,541493,370717,26481
2020-08-18,2818943,549321,374019,26658
2020-08-19,2852011,558420,377453,26834
2020-08-20,2883862,567059,380730,27034
2020-08-21,2915372,576067,384908,27245
2020-08-22,2950589,585236,391144,27453
2020-08-23,2985782,594326,399357,27663
2020-08-24,3006993,600438,407301,27813
2020-08-25,3032744,607382,414577,28001
2020-08-26,3055850,613378,421877,28124
2020-08-27,3089459,621997,429662,28277
2020-08-28,3124076,629961,438017,28471
2020-08-29,3156679,639435,446675,28607
2020-08-30,3191850,647166,455457,28788
2020-08-31,3215842,652037,462329,28944
2020-09-01,3233034,657129,471599,29068
2020-09-02,3256711,663437,480177,29259
2020-09-03,3286526,670145,489886,29405
2020-09-04,3320012,676848,498523,29554
2020-09-05,3353435,683702,506422,29687
2020-09-06,3379580,689977,515039,29838
2020-09-07,3386625,691575,522251,29976
2020-09-08,3403397,696190,529751,30123
2020-09-09,3428910,702776,536959,30236
2020-09-10,3457205,710067,544745,30344
2020-09-11,3482894,716670,552214,30470
2020-09-12,3509997,722832,559321,30526
2020-09-13,3534937,729619,566796,30710
2020-09-14,3552710,733860,573364,30812
2020-09-15,3567927,738020,580753,30927
2020-09-16,3592221,744400,587717,31051
2020-09-17,3614738,750098,594513,31146
2020-09-18,3640863,756412,600795,31283
2020-09-19,3667968,762865,607837,31369
2020-09-20,3693813,768895,615255,31369
2020-09-21,3710694,772896,622418,31474
2020-09-22,3724872,776546,629094,31568
2020-09-23,3751583,782695,636489,31870
2020-09-24,3778648,788930,644345,31938
2020-09-25,3804340,794584,650948,32037
