date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,1,0,0
2020-03-05,0,1,0,0
2020-03-06,0,5,0,0
2020-03-07,0,5,0,0
2020-03-08,0,11,0,0
2020-03-09,0,16,0,0
2020-03-10,0,22,0,0
2020-03-11,0,31,0,0
2020-03-12,0,49,0,1
2020-03-13,0,68,0,2
2020-03-14,0,103,0,3
2020-03-15,0,119,0,3
2020-03-16,0,177,13,4
2020-03-17,0,238,13,5
2020-03-18,0,251,13,5
2020-03-19,0,355,1,5
2020-03-20,0,425,1,5
2020-03-21,0,536,1,5
2020-03-22,0,634,1,7
2020-03-23,0,749,1,8
2020-03-24,0,901,1,10
2020-03-25,0,1051,7,14
2020-03-26,0,1221,7,16
2020-03-27,0,1389,7,16
2020-03-28,0,1638,7,18
2020-03-29,0,1862,7,22
2020-03-30,0,2055,7,31
2020-03-31,0,2311,7,33
2020-04-01,0,2554,47,43
2020-04-02,0,2946,56,57
2020-04-03,0,3383,56,71
2020-04-04,0,3627,116,79
2020-04-05,0,4102,134,94
2020-04-06,0,4413,162,107
2020-04-07,0,4848,191,129
2020-04-08,0,5205,222,159
2020-04-09,0,5575,284,174
2020-04-10,0,5955,318,181
2020-04-11,0,6356,375,208
2020-04-12,0,6674,439,232
2020-04-13,0,6934,487,245
2020-04-14,0,7202,618,263
2020-04-15,0,7582,668,286
2020-04-16,0,7918,774,314
2020-04-17,0,8379,866,332
2020-04-18,0,8742,981,347
2020-04-19,0,9287,1040,360
2020-04-20,0,9593,1133,380
2020-04-21,0,9856,1297,401
2020-04-22,0,10169,1513,426
2020-04-23,0,10511,1740,454
2020-04-24,0,10892,1944,494
2020-04-25,0,11273,2126,524
2020-04-26,0,11617,2265,535
2020-04-27,0,11902,2466,562
2020-04-28,281787,12218,2655,596
2020-04-29,294589,12640,3025,624
2020-04-30,307098,12877,3236,644
2020-05-01,322749,13105,3491,651
2020-05-02,333362,13375,3762,664
2020-05-03,342744,13693,3945,678
2020-05-04,350048,14006,4095,698
2020-05-05,359690,14431,4280,716
2020-05-06,374694,14740,4655,733
2020-05-07,389076,15047,4862,755
2020-05-08,405282,15366,5184,776
2020-05-09,421168,15651,5437,785
2020-05-10,436641,15996,5698,800
2020-05-11,450254,16326,5816,811
2020-05-12,465976,16921,6131,839
2020-05-13,485169,17204,6410,861
2020-05-14,506733,17615,6696,883
2020-05-15,526895,18016,6918,907
2020-05-16,549792,18257,7175,915
2020-05-17,567055,18529,7451,925
2020-05-18,581471,18885,7628,936
2020-05-19,597725,19268,7903,948
2020-05-20,617967,19739,8183,962
2020-05-21,639523,20143,8452,972
2020-05-22,660800,20619,8731,982
2020-05-23,687080,20931,8977,993
2020-05-24,701969,21326,9194,996
2020-05-25,712675,21631,9276,1007
2020-05-26,733701,22074,10020,1024
2020-05-27,753675,22473,10330,1028
2020-05-28,773625,22825,10560,1038
2020-05-29,798476,23155,10692,1051
2020-05-30,821811,23571,11016,1061
2020-05-31,836298,23786,11271,1064
2020-06-01,850417,24165,11449,1074
2020-06-02,862883,24395,11726,1092
2020-06-03,881907,24687,12014,1115
2020-06-04,903486,25048,12227,1117
2020-06-05,924896,25410,12410,1137
2020-06-06,945648,25986,12641,1153
2020-06-07,961312,26561,12855,1157
2020-06-08,973553,27160,12998,1166
2020-06-09,988351,27560,13196,1183
2020-06-10,1007719,27842,13411,1206
2020-06-11,1024261,28201,13696,1215
2020-06-12,1043639,28577,13805,1222
2020-06-13,1059202,29017,14104,1237
2020-06-14,1076251,29392,14226,1247
2020-06-15,1086927,29788,14383,1256
2020-06-16,1103330,30195,14654,1272
2020-06-17,1126312,30701,14921,1286
2020-06-18,1147218,31015,15317,1316
2020-06-19,1170761,31316,15698,1334
2020-06-20,1190401,31620,16181,1346
2020-06-21,1208632,31931,16683,1356
2020-06-22,1219673,32227,17076,1359
2020-06-23,1237750,32527,17573,1375
2020-06-24,1257001,32821,18134,1396
2020-06-25,1278454,33119,18654,1412
2020-06-26,1296790,33395,19218,1429
2020-06-27,1315933,33714,19972,1435
2020-06-28,1330751,33907,20548,1438
2020-06-29,1338503,34154,20897,1444
2020-06-30,1356310,34393,21281,1463
2020-07-01,1377374,34775,21791,1477
2020-07-02,1396177,35146,22209,1492
2020-07-03,1419434,35405,22651,1507
2020-07-04,1437849,35719,23127,1512
2020-07-05,1452787,35950,23746,1517
2020-07-06,1464912,36155,23966,1521
2020-07-07,1481219,36412,24238,1528
2020-07-08,1510573,36689,24878,1542
2020-07-09,1529354,36951,25477,1551
2020-07-10,1548706,37216,26048,1562
2020-07-11,1581440,37521,26635,1568
2020-07-12,1594635,37891,27148,1571
2020-07-13,1605344,38190,27515,1576
2020-07-14,1621972,38457,27756,1588
2020-07-15,1641890,38721,28492,1594
2020-07-16,1661906,39054,28928,1605
2020-07-17,1682473,39407,29505,1612
2020-07-18,1701400,39746,29924,1618
2020-07-19,1715356,40104,30292,1624
2020-07-20,1725447,40383,30539,1627
2020-07-21,1741609,40782,30771,1636
2020-07-22,1761265,41162,31139,1642
2020-07-23,1782250,41580,31541,1651
2020-07-24,1800348,42038,31997,1655
2020-07-25,1820358,42622,32419,1664
2020-07-26,1820358,43065,32753,1671
2020-07-27,1847663,43402,32856,1676
2020-07-28,1864103,43904,33043,1682
2020-07-29,1887072,44416,33190,1694
2020-07-30,1909180,45031,33643,1709
2020-07-31,1931574,45688,33987,1716
2020-08-01,1952836,46346,34374,1721
2020-08-02,1969570,46894,34709,1731
2020-08-03,1980641,47469,34881,1732
2020-08-04,1999529,48149,35056,1738
2020-08-05,2027951,48789,35321,1756
2020-08-06,2049229,49515,35642,1774
2020-08-07,2074473,50324,36041,1787
2020-08-08,2102780,51167,36403,1800
2020-08-09,2123622,51791,36691,1807
2020-08-10,2138021,52410,36877,1809
2020-08-11,2158532,52961,37150,1821
2020-08-12,2182027,53676,37611,1830
2020-08-13,2207204,54487,37961,1844
2020-08-14,2232996,55319,38362,1858
2020-08-15,2256726,56090,38853,1869
2020-08-16,2272730,56684,39130,1877
2020-08-17,2285508,57279,39359,1885
2020-08-18,2305392,57876,39643,1896
2020-08-19,2333126,58611,40099,1913
2020-08-20,2357772,59378,40481,1925
2020-08-21,2386438,60281,41029,1938
2020-08-22,2411231,61181,41661,1951
2020-08-23,2430214,61762,42183,1955
2020-08-24,2445546,62310,42448,1960
2020-08-25,2467528,63073,42784,1977
2020-08-26,2495839,63802,43399,1994
2020-08-27,2522949,64689,44097,2010
2020-08-28,2547731,65480,44785,2018
2020-08-29,2568806,66239,45536,2032
2020-08-30,2587559,66870,46192,2033
2020-08-31,2599569,67372,46638,2039
2020-09-01,2628272,67922,47030,2058
2020-09-02,2652626,68517,47865,2078
2020-09-03,2676598,69129,48593,2092
2020-09-04,2698343,69820,49820,2100
2020-09-05,2723162,70387,52346,2113
2020-09-06,2741388,70824,54256,2120
2020-09-07,2751413,71126,55113,2124
2020-09-08,2769608,71526,55910,2136
2020-09-09,2792387,71947,57135,2147
2020-09-10,2810401,72453,58069,2159
2020-09-11,2829116,73047,58848,2169
2020-09-12,2849407,73650,59725,2182
2020-09-13,2863566,74152,60659,2188
2020-09-14,2875675,74529,61097,2203
2020-09-15,2893600,75134,61548,2227
2020-09-16,2914967,75734,62110,2237
2020-09-17,2936840,76571,62725,2253
2020-09-18,2957030,77328,63312,2270
2020-09-19,2976527,78330,63861,2282
2020-09-20,2995131,79240,64302,2293
2020-09-21,3006973,79988,64604,2298
2020-09-22,3027118,80699,64972,2316
2020-09-23,3048348,81673,65561,2344
2020-09-24,3071718,82809,66158,2369
2020-09-25,3095373,84396,66740,2392
2020-09-26,3117767,85980,67326,2424
2020-09-27,3136297,87330,67904,2432
2020-09-28,3149201,88636,68420,2447
