date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,25,0,0,0
2020-03-02,70,2,0,0
2020-03-03,131,4,0,0
2020-03-04,171,6,0,0
2020-03-05,251,9,0,0
2020-03-06,332,13,0,0
2020-03-07,411,21,0,0
2020-03-08,495,30,0,0
2020-03-09,670,39,0,0
2020-03-10,976,41,0,0
2020-03-11,1556,59,0,0
2020-03-12,2494,78,0,0
2020-03-13,4045,112,0,0
2020-03-14,5298,169,1,0
2020-03-15,6249,245,2,0
2020-03-16,7926,331,3,0
2020-03-17,10230,448,3,1
2020-03-18,12688,642,3,1
2020-03-19,15178,785,3,3
2020-03-20,18393,1020,5,6
2020-03-21,20909,1280,5,12
2020-03-22,23018,1600,5,14
2020-03-23,27199,2060,14,23
2020-03-24,32214,2362,22,33
2020-03-25,37523,2995,22,43
2020-03-26,44212,3544,43,60
2020-03-27,52089,4268,43,76
2020-03-28,58982,5170,43,100
2020-03-29,64014,5962,43,119
2020-03-30,71967,6408,43,140
2020-03-31,79909,7443,43,160
2020-04-01,88539,8251,43,187
2020-04-02,97796,9034,68,209
2020-04-03,107234,9886,68,246
2020-04-04,116289,10524,75,266
2020-04-05,123005,11278,75,295
2020-04-06,132191,11730,140,311
2020-04-07,142748,12442,184,345
2020-04-08,154150,13141,196,380
2020-04-09,166359,13956,205,409
2020-04-10,176546,15472,233,435
2020-04-11,185647,15987,266,470
2020-04-12,190857,16585,277,504
2020-04-13,199744,16934,277,535
2020-04-14,211664,17448,347,567
2020-04-15,225292,18091,383,599
2020-04-16,238692,18841,493,629
2020-04-17,253409,19022,519,657
2020-04-18,266188,19685,610,687
2020-04-19,275690,20206,610,714
2020-04-20,286693,20863,610,735
2020-04-21,301522,21379,917,762
2020-04-22,316954,21982,1143,785
2020-04-23,332045,22353,1201,820
2020-04-24,346770,22797,1228,854
2020-04-25,360210,23271,1277,880
2020-04-26,368445,23683,1329,903
2020-04-27,380593,23846,1357,928
2020-04-28,396097,24141,1389,948
2020-04-29,410865,24324,1470,973
2020-04-30,427238,24692,1519,989
2020-05-01,439890,24987,1647,1007
2020-05-02,450423,25190,1671,1023
2020-05-03,458822,25282,1689,1043
2020-05-04,470678,25524,1712,1063
2020-05-05,486797,25702,1743,1074
2020-05-06,502495,26182,2076,1089
2020-05-07,518441,26715,2258,1105
2020-05-08,533783,27268,2422,1114
2020-05-09,547236,27406,2499,1126
2020-05-10,554718,27581,2549,1135
2020-05-11,567407,27679,2549,1144
2020-05-12,583912,27913,3013,1163
2020-05-13,602081,28132,3182,1175
2020-05-14,620363,28319,3198,1184
2020-05-15,640811,28583,3328,1190
2020-05-16,656774,28810,3822,1203
2020-05-17,665719,29036,4636,1218
2020-05-18,677767,29209,6430,1231
2020-05-19,693888,29432,6431,1247
2020-05-20,709278,29660,6452,1263
2020-05-21,724525,29912,6452,1277
2020-05-22,739679,30200,7590,1289
2020-05-23,750414,30471,7705,1302
2020-05-24,756124,30623,17549,1316
2020-05-25,767967,30788,17822,1330
2020-05-26,782980,31007,18096,1342
2020-05-27,800144,31292,18349,1356
2020-05-28,817013,31596,18637,1369
2020-05-29,833042,31946,18911,1383
2020-05-30,845647,32203,19186,1396
2020-05-31,852169,32500,19409,1410
2020-06-01,863692,32700,19552,1424
2020-06-02,879234,32895,19869,1436
2020-06-03,896313,33261,20079,1447
2020-06-04,913419,33592,20323,1455
2020-06-05,928672,33969,20526,1465
2020-06-06,940020,34351,20807,1474
2020-06-07,946590,34693,20995,1479
2020-06-08,957749,34885,21156,1485
2020-06-09,971207,35306,21339,1492
2020-06-10,978885,35600,21742,1497
2020-06-11,983646,35910,22002,1504
2020-06-12,994396,36180,22200,1505
2020-06-13,1002282,36463,22438,1512
2020-06-14,1007033,36690,22669,1517
2020-06-15,1018083,37036,22852,1520
2020-06-16,1032750,37336,23212,1522
2020-06-17,1047757,37672,23580,1523
2020-06-18,1061377,38089,24010,1524
2020-06-19,1075971,38464,24477,1527
2020-06-20,1084949,38841,24906,1528
2020-06-21,1091542,39133,25376,1530
2020-06-22,1103489,39392,25548,1534
2020-06-23,1119294,39737,25829,1540
2020-06-24,1133102,40104,26083,1543
2020-06-25,1146556,40415,26382,1549
2020-06-26,1162294,40866,26633,1555
2020-06-27,1172548,41189,26864,1561
2020-06-28,1178854,41646,27066,1564
2020-06-29,1191268,41912,27205,1568
2020-06-30,1207055,42171,27505,1576
2020-07-01,1223344,42523,27798,1579
2020-07-02,1238740,42901,28097,1587
2020-07-03,1253542,43356,28424,1598
2020-07-04,1266343,43769,28772,1605
2020-07-05,1273340,44097,29017,1614
2020-07-06,1285465,44329,29166,1620
2020-07-07,1302003,44616,29445,1629
2020-07-08,1319034,45059,29714,1631
2020-07-09,1334207,45477,30049,1644
2020-07-10,1349835,45879,30350,1646
2020-07-11,1361948,46221,30655,1654
2020-07-12,1368527,46512,30907,1660
2020-07-13,1381594,46818,31065,1662
2020-07-14,1399703,47051,31550,1668
2020-07-15,1415779,47426,32110,1676
2020-07-16,1431240,47765,32476,1679
2020-07-17,1447217,48077,32790,1682
2020-07-18,1459666,48390,33153,1684
2020-07-19,1467057,48636,33369,1689
2020-07-20,1480582,48771,33547,1691
2020-07-21,1497604,48898,33769,1697
2020-07-22,1513232,49150,33999,1702
2020-07-23,1528833,49379,34369,1705
2020-07-24,1543963,49692,34687,1712
2020-07-25,1555697,49955,35010,1716
2020-07-26,1561949,50164,35217,1717
2020-07-27,1575150,50299,35375,1719
2020-07-28,1591899,50410,35626,1722
2020-07-29,1608515,50613,35875,1725
2020-07-30,1623017,50868,36140,1727
2020-07-31,1638301,51072,36483,1735
2020-08-01,1650353,51310,36783,1737
2020-08-02,1657370,51463,36984,1738
2020-08-03,1671566,51569,37111,1738
2020-08-04,1688695,51681,37318,1739
2020-08-05,1705661,51848,37565,1740
2020-08-06,1720035,52061,37840,1743
2020-08-07,1734804,52351,38087,1746
2020-08-08,1745450,52537,38364,1750
2020-08-09,1753674,52668,38511,1756
2020-08-10,1766631,52825,38600,1759
2020-08-11,1783491,52945,38760,1761
2020-08-12,1799518,53223,38940,1764
2020-08-13,1814022,53548,39177,1770
2020-08-14,1830274,53783,39374,1772
2020-08-15,1840668,53981,39585,1775
2020-08-16,1848441,54102,39697,1778
2020-08-17,1862504,54234,39800,1779
2020-08-18,1880746,54448,39936,1784
2020-08-19,1897268,54701,40129,1786
2020-08-20,1911383,54992,40264,1788
2020-08-21,1925957,55211,40473,1792
2020-08-22,1937163,55452,40652,1794
2020-08-23,1945456,55597,40774,1796
2020-08-24,1959130,55720,40880,1801
2020-08-25,1976837,55912,41021,1805
2020-08-26,1992940,56274,41184,1807
2020-08-27,2007661,56671,41357,1809
2020-08-28,2024069,57074,41556,1815
2020-08-29,2035840,57448,41766,1818
2020-08-30,2044096,57768,41885,1819
2020-08-31,2059499,58012,41961,1822
2020-09-01,2078112,58243,42104,1824
2020-09-02,2096057,58633,42233,1827
2020-09-03,2112861,59051,42427,1829
2020-09-04,2130061,59457,42576,1833
2020-09-05,2143697,59943,42793,1838
2020-09-06,2153174,60258,42953,1840
2020-09-07,2168518,60507,43016,1843
2020-09-08,2189248,60895,43146,1846
2020-09-09,2210626,61541,43284,1849
2020-09-10,2230279,62126,43441,1852
2020-09-11,2252332,62813,43644,1855
2020-09-12,2268398,63310,43894,1860
2020-09-13,2280490,63983,44069,1867
2020-09-14,2299508,64596,44185,1871
2020-09-15,2322807,65021,44362,1875
2020-09-16,2346318,65626,44528,1878
2020-09-17,2367620,66396,44794,1888
2020-09-18,2389420,67176,45053,1894
2020-09-19,2405243,68025,45404,1899
2020-09-20,2416259,68577,45596,1912
2020-09-21,2435812,69200,45736,1920
2020-09-22,2459249,69663,45974,1925
2020-09-23,2481563,70465,46290,1928
2020-09-24,2502432,71156,46676,1931
2020-09-25,2526026,72055,47003,1936
