date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,3,0,0
2020-03-14,0,4,0,0
2020-03-15,0,5,0,0
2020-03-16,0,5,0,0
2020-03-17,0,5,0,0
2020-03-18,0,5,0,0
2020-03-19,0,6,0,0
2020-03-20,0,14,0,0
2020-03-21,0,21,0,1
2020-03-22,0,23,0,1
2020-03-23,0,31,0,2
2020-03-24,0,39,0,2
2020-03-25,0,51,0,2
2020-03-26,0,64,0,2
2020-03-27,0,79,0,3
2020-03-28,0,100,0,3
2020-03-29,0,127,0,5
2020-03-30,0,174,0,6
2020-03-31,0,239,0,8
2020-04-01,0,286,0,11
2020-04-02,0,316,0,12
2020-04-03,0,378,0,15
2020-04-04,0,452,0,18
2020-04-05,0,475,0,20
2020-04-06,0,513,0,21
2020-04-07,0,573,0,23
2020-04-08,0,620,0,24
2020-04-09,0,683,0,33
2020-04-10,0,725,0,39
2020-04-11,0,788,0,42
2020-04-12,0,897,0,44
2020-04-13,0,903,0,45
2020-04-14,0,923,0,45
2020-04-15,0,974,0,51
2020-04-16,0,1043,0,56
2020-04-17,0,1068,0,58
2020-04-18,0,1118,0,60
2020-04-19,0,1213,0,41
2020-04-20,0,1252,0,42
2020-04-21,0,915,0,43
2020-04-22,0,915,0,46
2020-04-23,0,1230,0,69
2020-04-24,0,1276,0,77
2020-04-25,0,1307,0,83
2020-04-26,0,1371,0,84
2020-04-27,0,1388,0,84
2020-04-28,0,1400,0,86
2020-04-29,0,1465,0,86
2020-04-30,0,1537,0,92
2020-05-01,0,1573,0,94
2020-05-02,0,1755,0,95
2020-05-03,0,1806,0,97
2020-05-04,0,1875,0,97
2020-05-05,0,1924,0,99
2020-05-06,0,1968,0,99
2020-05-07,0,2031,0,102
2020-05-08,0,2156,0,107
2020-05-09,0,2173,0,108
2020-05-10,0,2198,0,111
2020-05-11,0,2256,0,113
2020-05-12,0,2299,0,114
2020-05-13,0,2329,0,115
2020-05-14,0,2427,0,117
2020-05-15,0,2542,0,122
2020-05-16,0,2589,0,122
2020-05-17,0,2646,0,123
2020-05-18,0,2710,0,124
2020-05-19,0,2805,0,124
2020-05-20,0,2866,0,125
2020-05-21,0,2913,0,126
2020-05-22,0,3030,0,126
2020-05-23,0,3100,0,127
2020-05-24,0,3189,0,127
2020-05-25,0,3260,0,129
2020-05-26,0,3324,0,129
2020-05-27,0,3397,0,129
2020-05-28,0,3486,0,131
2020-05-29,0,3647,0,132
2020-05-30,0,3718,0,133
2020-05-31,0,3776,0,136
2020-06-01,0,3873,0,136
2020-06-02,0,3935,0,138
2020-06-03,0,4023,0,140
2020-06-04,0,4508,0,140
2020-06-05,0,4620,0,141
2020-06-06,0,4915,0,142
2020-06-07,0,4985,0,142
2020-06-08,0,5046,0,142
2020-06-09,0,5185,0,142
2020-06-10,0,5329,0,143
2020-06-11,0,5352,0,144
2020-06-12,0,5536,0,146
2020-06-13,0,5690,0,146
2020-06-14,0,5811,0,147
2020-06-15,0,5890,0,147
2020-06-16,0,5951,0,147
2020-06-17,0,6003,0,147
2020-06-18,0,6111,0,147
2020-06-19,0,6195,0,147
2020-06-20,0,6463,0,147
2020-06-21,0,6525,0,149
2020-06-22,0,6564,0,149
2020-06-23,0,6685,0,149
2020-06-24,0,6820,0,149
2020-06-25,0,6877,0,151
2020-06-26,0,6922,0,151
2020-06-27,0,7066,0,152
2020-06-28,0,7189,0,153
2020-06-29,0,7250,0,153
2020-06-30,0,7465,0,153
2020-07-01,0,7537,0,153
2020-07-02,0,7608,0,153
2020-07-03,0,7683,0,154
2020-07-04,0,7787,0,155
2020-07-05,0,7916,0,155
2020-07-06,0,8585,0,155
2020-07-07,0,8714,0,157
2020-07-08,0,8745,0,159
2020-07-09,0,8862,0,159
2020-07-10,0,9137,0,159
2020-07-11,0,9366,0,167
2020-07-12,0,9654,0,167
2020-07-13,0,10010,0,167
2020-07-14,0,10123,0,169
2020-07-15,0,10379,0,171
2020-07-16,0,10574,0,172
2020-07-17,0,11120,0,177
2020-07-18,0,11453,0,178
2020-07-19,0,12063,0,178
2020-07-20,0,12461,0,180
2020-07-21,0,12940,0,180
2020-07-22,0,13038,0,185
2020-07-23,0,13473,0,188
2020-07-24,0,13967,0,191
2020-07-25,0,14540,0,201
2020-07-26,0,15143,0,201
2020-07-27,0,15431,0,201
2020-07-28,0,15840,0,209
2020-07-29,0,16061,0,211
2020-07-30,0,16572,0,214
2020-07-31,0,16781,0,219
2020-08-01,0,17872,0,225
2020-08-02,0,18411,0,230
2020-08-03,0,18791,0,230
2020-08-04,0,19324,0,237
2020-08-05,0,19651,0,246
2020-08-06,0,19934,0,258
2020-08-07,0,20686,0,265
2020-08-08,0,21424,0,274
2020-08-09,0,22121,0,279
2020-08-10,0,22821,0,279
2020-08-11,0,23403,0,287
2020-08-12,0,24074,0,295
2020-08-13,0,24446,0,306
2020-08-14,0,25128,0,317
2020-08-15,0,25695,0,329
2020-08-16,0,26006,0,335
2020-08-17,0,26760,0,335
2020-08-18,0,27713,0,346
2020-08-19,0,27934,0,356
2020-08-20,0,28143,0,367
2020-08-21,0,28846,0,374
2020-08-22,0,29577,0,381
2020-08-23,0,29896,0,390
2020-08-24,0,30618,0,390
2020-08-25,0,30720,0,395
2020-08-26,0,30744,0,404
2020-08-27,0,31383,0,412
2020-08-28,0,31988,0,424
2020-08-29,0,32550,0,428
2020-08-30,0,32848,0,434
2020-08-31,0,33199,0,434
2020-09-01,0,33421,0,435
2020-09-02,0,34003,0,443
2020-09-03,0,34198,0,448
2020-09-04,0,34241,0,455
2020-09-05,0,34492,0,464
2020-09-06,0,34533,0,477
2020-09-07,0,35375,0,477
2020-09-08,0,35504,0,482
2020-09-09,0,35507,0,500
2020-09-10,0,36279,0,512
2020-09-11,0,36581,0,523
2020-09-12,0,37092,0,535
2020-09-13,0,37380,0,539
2020-09-14,0,37750,0,542
2020-09-15,0,38172,0,551
2020-09-16,0,38284,0,570
2020-09-17,0,38867,0,588
2020-09-18,0,39684,0,599
2020-09-19,0,40993,0,605
2020-09-20,0,41838,0,608
2020-09-21,0,42476,0,609
2020-09-22,0,42596,0,613
2020-09-23,0,42660,0,617
2020-09-24,0,43842,0,627
2020-09-25,0,44905,0,635
2020-09-26,0,45413,0,642
2020-09-27,0,46304,0,644
2020-09-28,0,47422,0,648
2020-09-29,0,48467,0,654
2020-09-30,0,48755,0,661
2020-10-01,0,49067,0,665
2020-10-02,0,49747,0,673
2020-10-03,0,50375,0,681
2020-10-04,0,50675,0,686
2020-10-05,0,51305,0,695
2020-10-06,0,51737,0,696
2020-10-07,0,51768,0,705
2020-10-08,0,51768,0,705
