date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,1,0,0
2020-03-01,0,3,0,0
2020-03-02,0,3,0,0
2020-03-03,0,7,0,0
2020-03-04,0,8,0,0
2020-03-05,0,8,0,0
2020-03-06,0,8,0,0
2020-03-07,0,8,0,0
2020-03-08,0,15,0,0
2020-03-09,0,18,0,0
2020-03-10,0,24,0,0
2020-03-11,0,262,0,0
2020-03-12,5309,262,0,0
2020-03-13,5309,320,0,0
2020-03-14,6788,337,4,0
2020-03-15,7950,401,4,0
2020-03-16,8375,439,4,0
2020-03-17,8547,439,4,0
2020-03-18,8873,452,4,0
2020-03-19,9460,460,4,0
2020-03-20,9916,470,10,0
2020-03-21,10358,481,27,0
2020-03-22,10857,494,33,0
2020-03-23,11354,501,33,0
2020-03-24,11531,526,41,0
2020-03-25,12258,537,41,0
2020-03-26,13681,549,43,0
2020-03-27,14845,562,43,0
2020-03-28,16582,590,45,1
2020-03-29,18877,634,48,1
2020-03-30,20058,693,51,1
2020-03-31,22349,781,62,2
2020-04-01,24825,835,71,2
2020-04-02,26260,949,72,3
2020-04-03,28413,1075,93,3
2020-04-04,31951,1325,109,3
2020-04-05,35757,1604,123,4
2020-04-06,38108,1832,131,4
2020-04-07,41818,2057,150,6
2020-04-08,41818,2210,178,6
2020-04-09,43144,2376,206,6
2020-04-10,45339,2512,227,6
2020-04-11,47751,2728,247,6
2020-04-12,49102,2979,275,7
2020-04-13,50828,3231,334,7
2020-04-14,52622,3428,373,7
2020-04-15,54484,3711,406,7
2020-04-16,56381,4103,415,7
2020-04-17,58328,4663,464,7
2020-04-18,60139,5008,510,8
2020-04-19,62538,5448,518,8
2020-04-20,64620,6015,555,9
2020-04-21,66725,6533,614,9
2020-04-22,70012,7141,689,10
2020-04-23,73457,7764,750,10
2020-04-24,75888,8525,809,10
2020-04-25,79705,9358,929,10
2020-04-26,82289,10287,1012,10
2020-04-27,85709,11244,1066,10
2020-04-28,88607,11921,1134,10
2020-04-29,91415,12564,1243,10
2020-04-30,94500,13409,1372,10
2020-05-01,97726,14096,1436,12
2020-05-02,101728,14872,1534,12
2020-05-03,104435,15551,1664,12
2020-05-04,106795,16191,1810,12
2020-05-05,109762,17142,1924,12
2020-05-06,112963,17972,2070,12
2020-05-07,116495,18890,2286,12
2020-05-08,120458,20201,2370,12
2020-05-09,124554,21331,2449,13
2020-05-10,127769,22520,2753,14
2020-05-11,131044,23623,2840,14
2020-05-12,135294,25149,3019,14
2020-05-13,139127,26539,3143,14
2020-05-14,143938,28272,3356,14
2020-05-15,148173,29425,3546,14
2020-05-16,152704,30972,3788,15
2020-05-17,157570,32604,4370,15
2020-05-18,161695,33969,4899,15
2020-05-19,166182,35606,5634,15
2020-05-20,170437,37097,6600,16
2020-05-21,175482,38651,7288,17
2020-05-22,180642,40481,7893,19
2020-05-23,184794,42213,8513,21
2020-05-24,188143,43714,9170,23
2020-05-25,192484,45465,10363,26
2020-05-26,196411,47207,11844,28
2020-05-27,201180,48947,13283,30
2020-05-28,207033,50914,15399,33
2020-05-29,212897,52907,20604,36
2020-05-30,217988,55262,25839,36
2020-05-31,222069,56910,30290,38
2020-06-01,225919,58433,33437,40
2020-06-02,231098,60259,36036,43
2020-06-03,236437,62160,37542,45
2020-06-04,241086,63741,39468,45
2020-06-05,246362,65495,40935,49
2020-06-06,251391,67195,42527,51
2020-06-07,255533,68790,44338,54
2020-06-08,259646,70158,45935,57
2020-06-09,265035,71879,47569,62
2020-06-10,269964,73595,49413,66
2020-06-11,274793,75071,51331,69
2020-06-12,280655,76588,53296,70
2020-06-13,286830,78416,55252,70
2020-06-14,290714,79602,56898,73
2020-06-15,295338,80876,58681,76
2020-06-16,300499,82077,60461,80
2020-06-17,304801,83174,62172,82
2020-06-18,309670,84441,63642,86
2020-06-19,313501,85462,65409,93
2020-06-20,317694,86488,66763,94
2020-06-21,320792,87369,68319,98
2020-06-22,324570,88403,69956,99
2020-06-23,328941,89579,71501,99
2020-06-24,333172,90778,73083,104
2020-06-25,337496,91838,74544,106
2020-06-26,341914,92784,76072,109
2020-06-27,345691,93663,77225,110
2020-06-28,349153,94413,78702,110
2020-06-29,352659,95106,80170,113
2020-06-30,356832,96088,81564,113
2020-07-01,360502,97003,83965,115
2020-07-02,366095,97897,86597,118
2020-07-03,372005,98653,88583,121
2020-07-04,376881,99183,90387,123
2020-07-05,381434,99799,92284,128
2020-07-06,386111,100345,93898,133
2020-07-07,390997,100945,94903,134
2020-07-08,396199,101553,96107,138
2020-07-09,400767,102110,97272,142
2020-07-10,404868,102630,98233,146
2020-07-11,409119,103128,98934,146
2020-07-12,412682,103598,99743,147
2020-07-13,416327,104016,100627,149
2020-07-14,420649,104533,101160,150
2020-07-15,424858,104983,101637,151
2020-07-16,430661,105477,102168,152
2020-07-17,435584,105898,102597,153
2020-07-18,438990,106308,103023,154
2020-07-19,441700,106648,103377,157
2020-07-20,446036,107037,103782,159
2020-07-21,451168,107430,104191,160
2020-07-22,455798,107871,104641,163
2020-07-23,459323,108244,105018,164
2020-07-24,464674,108638,105420,164
2020-07-25,469000,109036,105750,164
2020-07-26,472442,109305,106024,165
2020-07-27,477194,109597,106328,165
2020-07-28,481930,109880,106603,167
2020-07-29,487435,110153,106849,169
2020-07-30,492569,110460,107135,171
2020-07-31,495377,110695,107377,174
2020-08-01,498666,110911,107578,174
2020-08-02,500536,111107,107779,177
2020-08-03,502792,111322,108002,177
2020-08-04,505148,111538,108254,177
2020-08-05,508079,111805,108539,178
2020-08-06,511000,112092,108831,178
2020-08-07,513930,112383,109142,180
2020-08-08,516825,112650,109438,182
2020-08-09,520360,112947,109709,184
2020-08-10,524466,113262,109993,188
2020-08-11,529289,113646,110324,188
2020-08-12,533995,113938,110627,190
2020-08-13,538602,114281,110957,190
2020-08-14,542518,114532,111258,190
2020-08-15,546285,114809,111505,192
2020-08-16,551273,115080,111794,193
2020-08-17,555970,115368,112088,193
2020-08-18,560990,115661,112355,193
2020-08-19,566013,115956,112658,193
2020-08-20,572273,116224,112924,193
2020-08-21,577122,116481,113216,193
2020-08-22,584123,116765,113531,193
2020-08-23,589920,117008,113808,193
2020-08-24,594215,117266,114099,194
2020-08-25,599447,117498,114318,194
2020-08-26,604112,117742,114558,194
2020-08-27,609258,117988,114797,195
2020-08-28,614354,118196,115017,196
2020-08-29,620128,118407,115251,196
2020-08-30,624609,118575,115430,197
2020-08-31,629831,118778,115667,197
2020-09-01,634745,118994,115895,198
2020-09-02,639742,119206,116111,199
2020-09-03,644904,119420,116313,201
2020-09-04,650248,119637,116538,201
2020-09-05,654973,119864,116780,202
2020-09-06,660008,120095,116998,203
2020-09-07,663648,120348,117241,205
2020-09-08,667936,120579,117497,205
2020-09-09,672099,120846,117746,205
2020-09-10,676170,121052,117978,205
2020-09-11,680633,121287,118199,205
2020-09-12,685839,121523,118475,205
2020-09-13,691031,121740,118682,205
2020-09-14,695427,121975,118931,207
2020-09-15,700414,122214,119144,208
2020-09-16,704982,122449,119400,208
2020-09-17,709132,122693,119613,208
2020-09-18,714183,122917,119822,209
2020-09-19,719057,123146,120089,209
2020-09-20,724077,123376,120303,210
2020-09-21,729545,123604,120540,211
2020-09-22,734141,123917,120766,211
2020-09-23,739091,124175,121006,212
2020-09-24,745130,124425,121263,212
2020-09-25,751104,124650,121512,212
2020-09-26,755365,124850,121738,214
2020-09-27,760267,125084,121995,214
2020-09-28,764925,125311,122209,214
2020-09-29,770213,125533,122448,214
2020-09-30,775914,125760,122699,214
2020-10-01,781128,125959,122911,214
2020-10-02,786224,126164,123108,215
2020-10-03,791424,126339,123302,216
2020-10-04,795768,126498,123475,216
2020-10-05,800519,126692,123664,216
2020-10-06,805365,126943,123893,216
2020-10-07,805365,126943,123893,216
