date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,1,0,0
2020-02-27,0,1,0,0
2020-02-28,0,3,0,0
2020-02-29,0,3,0,0
2020-03-01,0,3,0,0
2020-03-02,0,3,0,0
2020-03-03,0,3,0,0
2020-03-04,0,4,1,0
2020-03-05,0,6,1,0
2020-03-06,0,9,1,0
2020-03-07,0,9,3,0
2020-03-08,0,15,3,0
2020-03-09,0,15,3,0
2020-03-10,0,25,3,0
2020-03-11,0,45,6,0
2020-03-12,1921,49,6,0
2020-03-13,2545,89,7,0
2020-03-14,2929,123,9,0
2020-03-15,3205,131,9,0
2020-03-16,3708,158,9,0
2020-03-17,4150,184,16,0
2020-03-18,4670,260,19,0
2020-03-19,4973,277,25,0
2020-03-20,8284,308,25,0
2020-03-21,8915,367,52,0
2020-03-22,9967,433,64,3
2020-03-23,11223,576,64,7
2020-03-24,12624,794,79,11
2020-03-25,14466,906,86,17
2020-03-26,15998,1029,94,23
2020-03-27,17453,1292,115,26
2020-03-28,19663,1452,139,37
2020-03-29,21460,1815,206,43
2020-03-30,23103,2109,209,65
2020-03-31,24654,2245,220,82
2020-04-01,26609,2460,252,92
2020-04-02,28483,2738,267,115
2020-04-03,31657,3183,283,133
2020-04-04,36092,3613,329,146
2020-04-05,38623,3864,374,151
2020-04-06,40987,4057,406,176
2020-04-07,43578,4417,460,197
2020-04-08,47207,4761,528,220
2020-04-09,51802,5202,647,248
2020-04-10,55430,5467,729,270
2020-04-11,59272,5990,758,291
2020-04-12,62328,6300,852,316
2020-04-13,67204,6633,914,331
2020-04-14,70097,6879,1051,351
2020-04-15,74827,7216,1217,372
2020-04-16,79629,7707,1357,392
2020-04-17,85805,8067,1508,411
2020-04-18,90991,8418,1730,421
2020-04-19,93611,8746,1892,451
2020-04-20,98491,8936,2017,478
2020-04-21,101552,9242,2153,498
2020-04-22,106357,9710,2406,524
2020-04-23,113336,10096,2478,545
2020-04-24,121602,10417,2817,567
2020-04-25,126645,10635,2890,601
2020-04-26,136518,11036,3054,619
2020-04-27,143834,11339,3141,641
2020-04-28,150309,11616,3404,663
2020-04-29,166993,11978,3569,693
2020-04-30,175374,12240,4017,717
2020-05-01,183688,12567,4328,744
2020-05-02,190540,12732,4547,771
2020-05-03,195508,13163,4869,790
2020-05-04,199068,13512,5269,818
2020-05-05,205842,13837,5454,841
2020-05-06,217139,14107,5788,864
2020-05-07,226613,14499,6144,888
2020-05-08,237280,14811,6423,923
2020-05-09,248056,15131,6912,939
2020-05-10,256749,15362,7051,961
2020-05-11,262219,15588,7245,982
2020-05-12,269183,15778,7685,1002
2020-05-13,277804,16002,7961,1036
2020-05-14,286217,16247,9053,1053
2020-05-15,294601,16437,9370,1070
2020-05-16,303734,16704,9574,1094
2020-05-17,310407,16871,9890,1107
2020-05-18,313621,17036,9930,1120
2020-05-19,322074,17191,10166,1137
2020-05-20,332487,17387,10356,1147
2020-05-21,342466,17585,10581,1156
2020-05-22,352647,17712,10777,1166
2020-05-23,361566,17857,11187,1176
2020-05-24,368482,18070,11399,1185
2020-05-25,377191,18283,11630,1205
2020-05-26,385728,18429,11874,1216
2020-05-27,397563,18594,12162,1227
2020-05-28,410000,18791,12629,1235
2020-05-29,421451,18982,12829,1248
2020-05-30,425819,19133,13046,1259
2020-05-31,439197,19257,13256,1266
2020-06-01,443252,19398,13426,1276
2020-06-02,443252,19517,13526,1288
2020-06-03,459405,19669,13800,1296
2020-06-04,472850,19907,13919,1305
2020-06-05,484782,20103,14145,1316
2020-06-06,496408,20290,14419,1322
2020-06-07,503200,20479,14638,1333
2020-06-08,506115,20604,14826,1339
2020-06-09,511295,20749,14910,1354
2020-06-10,520564,20945,15103,1360
2020-06-11,531619,21182,15283,1369
2020-06-12,531619,21404,15445,1380
2020-06-13,552670,21679,15635,1394
2020-06-14,560596,21999,15719,1410
2020-06-15,564278,22165,15817,1427
2020-06-16,573638,22415,16071,1437
2020-06-17,585353,22760,16117,1451
2020-06-18,597696,23080,16308,1473
2020-06-19,608771,23400,16555,1484
2020-06-20,619997,23730,16735,1500
2020-06-21,626330,24045,16911,1512
2020-06-22,630374,24291,17031,1523
2020-06-23,639322,24505,17187,1539
2020-06-24,639322,24826,17391,1555
2020-06-25,663558,25286,17906,1565
2020-06-26,675382,25697,18181,1579
2020-06-27,677259,26022,18530,1589
2020-06-28,694909,26313,18814,1612
2020-06-29,699688,26582,18912,1634
2020-06-30,710112,26970,19050,1651
2020-07-01,722697,27296,19314,1667
2020-07-02,735221,27746,19363,1687
2020-07-03,747592,28166,19545,1708
2020-07-04,759037,28582,19854,1731
2020-07-05,759037,28973,20026,1750
2020-07-06,766868,29223,20213,1768
2020-07-07,783337,29620,20534,1799
2020-07-08,796484,30175,20799,1817
2020-07-09,809663,30789,20969,1834
2020-07-10,824343,31381,21129,1847
2020-07-11,838953,32079,21414,1871
2020-07-12,847586,32535,21545,1884
2020-07-13,854241,32948,21692,1901
2020-07-14,854241,33585,21803,1931
2020-07-15,886918,34226,22049,1952
2020-07-16,906015,35003,22189,1971
2020-07-17,925001,35802,22312,1988
2020-07-18,943733,36691,22488,2009
2020-07-19,958622,37458,22617,2026
2020-07-20,967192,38139,22747,2038
2020-07-21,984396,39133,24454,2074
2020-07-22,1009273,40163,24663,2101
2020-07-23,1030692,41275,24862,2126
2020-07-24,1053656,42394,25349,2150
2020-07-25,1087783,43678,25373,2165
2020-07-26,1102901,44798,25643,2187
2020-07-27,1131699,45902,25794,2206
2020-07-28,1154228,47053,26128,2239
2020-07-29,1177630,48235,26446,2269
2020-07-30,1202607,49591,26609,2304
2020-07-31,1226058,50886,27007,2343
2020-08-01,1240273,52111,27346,2379
2020-08-02,1248318,53186,27592,2413
2020-08-03,1268899,54009,27750,2432
2020-08-04,1268899,55241,28006,2480
2020-08-05,1295222,56550,28584,2521
2020-08-06,1319369,57895,28992,2566
2020-08-07,1343315,59273,29289,2616
2020-08-08,1364759,60623,29872,2659
2020-08-09,1378727,61768,30119,2700
2020-08-10,1385334,62547,30311,2729
2020-08-11,1404845,63762,30585,2764
2020-08-12,1427626,65177,31048,2807
2020-08-13,1450269,66631,31547,2860
2020-08-14,1478056,68046,31920,2904
2020-08-15,1502042,69374,32334,2954
2020-08-16,1513888,70461,32587,2991
2020-08-17,1520750,71194,32759,3029
2020-08-18,1542094,72208,33135,3074
2020-08-19,1566632,73617,33566,3106
2020-08-20,1591015,74963,34196,3154
2020-08-21,1616378,76355,34523,3196
2020-08-22,1639370,77544,35079,3233
2020-08-23,1652644,78505,35287,3272
2020-08-24,1659135,79330,35517,3309
2020-08-25,1679614,80390,35816,3367
2020-08-26,1705368,81646,36286,3421
2020-08-27,1730420,83150,36677,3459
2020-08-28,1756920,84468,37056,3507
2020-08-29,1780963,85833,37388,3539
2020-08-30,1795633,86785,37665,3578
2020-08-31,1802946,87540,37869,3621
2020-09-01,1825272,88593,38454,3681
2020-09-02,1852088,89891,38701,3721
2020-09-03,1876063,91256,39275,3765
2020-09-04,1876063,92595,39626,3812
2020-09-05,1901240,93864,40028,3850
2020-09-06,1938491,95014,40307,3893
2020-09-07,1945738,95897,40454,3926
2020-09-08,1966290,97033,40838,3967
2020-09-09,1990587,98304,41002,4018
2020-09-10,2015772,99684,41010,4065
2020-09-11,2041921,101075,41010,4100
2020-09-12,2066860,102386,42811,4127
2020-09-13,2081644,103495,43025,4163
2020-09-14,2088975,104187,43244,4185
2020-09-15,2110024,105298,43244,4236
2020-09-16,2136544,107011,43244,4285
2020-09-17,2136544,108690,43244,4312
2020-09-18,2185923,110217,88235,4360
2020-09-19,2210071,111550,89119,4402
2020-09-20,2223462,112781,89771,4435
2020-09-21,2231402,113589,90649,4458
2020-09-22,2253380,114648,92169,4503
2020-09-23,2278125,116415,93558,4550
2020-09-24,2302828,118054,94877,4591
2020-09-25,2328322,119683,96158,4633
2020-09-26,2352650,121235,97554,4687
2020-09-27,2366178,122673,98607,4718
