date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,2,0,0
2020-02-01,0,2,0,0
2020-02-02,0,2,0,0
2020-02-03,0,2,0,0
2020-02-04,0,2,0,0
2020-02-05,0,2,0,0
2020-02-06,0,2,0,0
2020-02-07,0,2,0,0
2020-02-08,0,2,0,0
2020-02-09,0,2,0,0
2020-02-10,0,2,0,0
2020-02-11,0,2,0,0
2020-02-12,0,2,2,0
2020-02-13,0,2,2,0
2020-02-14,0,2,2,0
2020-02-15,0,2,2,0
2020-02-16,0,2,2,0
2020-02-17,0,2,2,0
2020-02-18,0,2,2,0
2020-02-19,0,2,2,0
2020-02-20,0,2,2,0
2020-02-21,0,2,2,0
2020-02-22,0,2,2,0
2020-02-23,0,2,2,0
2020-02-24,0,2,2,0
2020-02-25,0,2,2,0
2020-02-26,0,2,2,0
2020-02-27,0,2,2,0
2020-02-28,0,2,2,0
2020-02-29,0,2,2,0
2020-03-01,0,2,2,0
2020-03-02,0,3,2,0
2020-03-03,0,3,2,0
2020-03-04,46414,3,2,0
2020-03-05,51366,4,2,0
2020-03-06,55688,13,2,0
2020-03-07,59960,13,2,0
2020-03-08,63191,17,3,0
2020-03-09,63191,17,3,0
2020-03-10,70601,20,3,0
2020-03-11,76963,20,3,0
2020-03-12,76963,28,3,0
2020-03-13,94852,45,3,0
2020-03-14,104883,59,8,0
2020-03-15,109939,63,8,0
2020-03-16,116061,90,8,0
2020-03-17,122854,114,8,0
2020-03-18,133101,147,8,0
2020-03-19,143519,199,9,1
2020-03-20,156016,253,9,1
2020-03-21,163529,306,12,1
2020-03-22,165772,367,16,1
2020-03-23,185918,438,16,1
2020-03-24,192824,495,22,1
2020-03-25,197251,658,29,3
2020-03-26,223509,840,38,3
2020-03-27,243377,1036,45,4
2020-03-28,263888,1264,49,4
2020-03-29,343523,1534,64,8
2020-03-30,343523,1836,66,9
2020-03-31,406500,2337,121,17
2020-04-01,536000,2777,190,24
2020-04-02,575103,3548,235,30
2020-04-03,639606,4149,281,34
2020-04-04,697004,4731,333,43
2020-04-05,758401,5389,355,45
2020-04-06,795523,6343,406,47
2020-04-07,910221,7497,494,58
2020-04-08,1004719,8672,580,63
2020-04-09,1092811,10131,698,76
2020-04-10,1184442,11917,795,94
2020-04-11,1278747,13584,1045,106
2020-04-12,1359993,15770,1291,130
2020-04-13,1426014,18328,1470,148
2020-04-14,1517992,21102,1694,170
2020-04-15,1613413,24490,1986,198
2020-04-16,1718019,27938,2304,232
2020-04-17,1831892,32008,2590,273
2020-04-18,1949813,36793,3057,313
2020-04-19,2053319,42853,3291,361
2020-04-20,2142604,47121,3446,405
2020-04-21,2252539,52763,3873,456
2020-04-22,2401616,57999,4420,513
2020-04-23,2552000,62773,4891,555
2020-04-24,2721500,68622,5568,615
2020-04-25,2877699,74588,6250,681
2020-04-26,3019434,80949,6767,747
2020-04-27,3139258,87147,7346,794
2020-04-28,3303717,93558,8456,867
2020-04-29,3498308,99399,10286,972
2020-04-30,3723807,106498,11619,1073
2020-05-01,3945518,114431,13220,1169
2020-05-02,4099999,124054,15013,1222
2020-05-03,4303243,134687,16639,1280
2020-05-04,4460357,145268,18095,1356
2020-05-05,4633731,155370,19865,1451
2020-05-06,4803192,165929,21327,1537
2020-05-07,4987468,177160,23803,1625
2020-05-08,5221964,187859,26608,1723
2020-05-09,5448463,198676,31916,1827
2020-05-10,5636763,209688,34306,1915
2020-05-11,5805404,221344,39801,2009
2020-05-12,5982558,232243,43512,2116
2020-05-13,6188102,242271,48003,2212
2020-05-14,6413948,252245,53530,2305
2020-05-15,6656340,262843,58226,2418
2020-05-16,6916088,272043,63166,2537
2020-05-17,7147014,281752,67373,2631
2020-05-18,7352316,290678,70209,2722
2020-05-19,7578029,299941,76130,2837
2020-05-20,7840880,308705,85392,2972
2020-05-21,8126626,317554,92681,3099
2020-05-22,8402747,326448,99825,3249
2020-05-23,8685305,335882,107936,3388
2020-05-24,8945384,344481,113299,3541
2020-05-25,9160590,353427,118798,3633
2020-05-26,9415992,362342,131129,3807
2020-05-27,9701280,370680,142208,3968
2020-05-28,10000061,379051,150993,4142
2020-05-29,10316200,387623,159257,4374
2020-05-30,10643124,396575,167469,4555
2020-05-31,10923108,405843,171883,4693
2020-06-01,11151622,414328,175514,4849
2020-06-02,11426045,423186,186602,5031
2020-06-03,11733051,431715,195559,5208
2020-06-04,12053663,440538,204197,5376
2020-06-05,12388968,449256,212237,5520
2020-06-06,12721549,458102,220935,5717
2020-06-07,13016023,467073,226272,5851
2020-06-08,13254678,476043,230226,5963
2020-06-09,13545303,484630,241917,6134
2020-06-10,13875097,493023,252295,6350
2020-06-11,14218674,501800,260649,6522
2020-06-12,14574117,510761,268862,6705
2020-06-13,14880172,519458,274128,6819
2020-06-14,15161152,528267,279536,6938
2020-06-15,15395417,536484,284021,7081
2020-06-16,15679724,544725,293780,7274
2020-06-17,15991697,552549,303800,7468
2020-06-18,16321964,560321,313409,7650
2020-06-19,16661287,568292,323851,7831
2020-06-20,16998453,576162,334024,7992
2020-06-21,17289691,583879,339142,8101
2020-06-22,17522752,591465,343847,8196
2020-06-23,17803955,598878,355847,8349
2020-06-24,18115830,606043,368222,8503
2020-06-25,18402719,613148,374557,8594
2020-06-26,18707946,619936,383524,8770
2020-06-27,19044954,626779,392703,8958
2020-06-28,19334442,633563,398436,9060
2020-06-29,19562440,640246,402778,9152
2020-06-30,19852167,646929,411973,9306
2020-07-01,20168904,653479,422235,9521
2020-07-02,20451110,660231,428276,9668
2020-07-03,20752406,666941,437155,9844
2020-07-04,20752406,673564,446127,10011
2020-07-05,21335394,680283,449995,10145
2020-07-06,21537771,686852,453570,10280
2020-07-07,21790705,693215,463103,10478
2020-07-08,22079294,699749,471718,10650
2020-07-09,22388195,706240,480494,10826
2020-07-10,22708416,712863,488234,11000
2020-07-11,23031056,719449,496594,11188
2020-07-12,23292630,726036,500208,11318
2020-07-13,23495752,732547,503168,11422
2020-07-14,23754645,738787,511958,11597
2020-07-15,24053516,745197,522375,11753
2020-07-16,24364568,751612,530801,11920
2020-07-17,24676930,758001,538467,12106
2020-07-18,24991740,764215,545909,12228
2020-07-19,25251614,770311,549387,12323
2020-07-20,25449167,776212,552644,12408
2020-07-21,25704372,782040,561397,12561
2020-07-22,26000908,787890,571049,12726
2020-07-23,26300652,793720,579295,12873
2020-07-24,26610623,799499,587728,13026
2020-07-25,26902291,805332,596064,13172
2020-07-26,27141966,811073,599172,13249
2020-07-27,27327570,816680,602249,13334
2020-07-28,27569646,822060,611109,13483
2020-07-29,27857850,827509,619204,13650
2020-07-30,28161461,832993,628482,13778
2020-07-31,28478012,838461,637217,13939
2020-08-01,28793260,843890,645316,14034
2020-08-02,29029900,849277,648961,14104
2020-08-03,29201862,854641,652372,14183
2020-08-04,29433890,859762,660235,14327
2020-08-05,29716907,864948,667769,14465
2020-08-06,30038123,870187,675069,14579
2020-08-07,30341344,875378,682278,14698
2020-08-08,30640020,880563,688856,14827
2020-08-09,30886160,885718,692059,14903
2020-08-10,31063187,890799,695317,14973
2020-08-11,31307764,895691,701796,15103
2020-08-12,31598302,900745,708900,15231
2020-08-13,31903055,905762,714934,15353
2020-08-14,32221546,910778,721473,15467
2020-08-15,32533818,915808,727895,15585
2020-08-16,32784478,920719,731444,15653
2020-08-17,32968759,925558,734573,15707
2020-08-18,33217468,930276,741045,15836
2020-08-19,33509273,935066,747802,15951
2020-08-20,33814105,939833,753868,16058
2020-08-21,33814105,944671,759639,16148
2020-08-22,34447560,949531,765754,16268
2020-08-23,34695406,954328,768906,16341
2020-08-24,34883220,959016,771357,16406
2020-08-25,35128661,963655,777960,16524
2020-08-26,35423783,968297,784277,16638
2020-08-27,35751747,972972,790629,16758
2020-08-28,36086182,977730,796498,16866
2020-08-29,36426850,982573,802365,16977
2020-08-30,36696382,987470,804941,17045
2020-08-31,36901215,992402,807339,17128
2020-09-01,37176827,997072,813603,17250
2020-09-02,37484146,1001965,819043,17365
2020-09-03,37818366,1006923,824783,17479
2020-09-04,38154556,1011987,830532,17598
2020-09-05,38488127,1017131,835884,17707
2020-09-06,38758184,1022228,838680,17768
2020-09-07,38960761,1027334,840997,17818
2020-09-08,39289176,1032354,847746,17939
2020-09-09,39575311,1037526,854069,18080
2020-09-10,39912526,1042836,859961,18207
2020-09-11,40268897,1048257,865646,18309
2020-09-12,40624075,1053663,871000,18426
2020-09-13,40903551,1059024,873684,18517
2020-09-14,41122307,1064438,876152,18573
2020-09-15,41424006,1069873,881693,18723
2020-09-16,41748928,1075485,887457,18853
2020-09-17,42095246,1081152,893145,18996
2020-09-18,42457169,1086955,898420,19128
2020-09-19,42821891,1092915,903545,19270
2020-09-20,43103912,1098958,906431,19349
