date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,5,0,0
2020-03-17,0,7,0,0
2020-03-18,0,8,0,0
2020-03-19,0,8,0,0
2020-03-20,0,17,0,0
2020-03-21,0,17,0,0
2020-03-22,0,19,0,0
2020-03-23,0,36,0,0
2020-03-24,0,40,0,0
2020-03-25,0,41,0,0
2020-03-26,0,50,0,0
2020-03-27,0,54,0,0
2020-03-28,0,60,0,0
2020-03-29,0,70,0,0
2020-03-30,0,70,0,0
2020-03-31,0,75,0,0
2020-04-01,0,82,0,0
2020-04-02,0,84,0,0
2020-04-03,0,89,0,0
2020-04-04,0,102,0,0
2020-04-05,0,104,4,0
2020-04-06,5701,105,4,0
2020-04-07,6507,105,7,0
2020-04-08,7279,110,7,0
2020-04-09,7999,110,7,0
2020-04-10,9035,118,7,0
2020-04-11,9877,120,18,0
2020-04-12,11037,126,25,0
2020-04-13,11938,127,42,0
2020-04-14,12921,134,49,0
2020-04-15,13844,136,54,0
2020-04-16,14508,138,60,0
2020-04-17,15268,143,65,0
2020-04-18,15980,144,69,0
2020-04-19,16702,147,76,0
2020-04-20,18001,147,76,0
2020-04-21,19450,150,84,0
2020-04-22,20488,153,84,0
2020-04-23,21831,154,87,0
2020-04-24,22877,176,87,0
2020-04-25,24152,183,88,0
2020-04-26,25177,191,92,0
2020-04-27,26391,207,93,0
2020-04-28,27896,212,95,0
2020-04-29,29601,225,98,0
2020-04-30,30741,243,104,0
2020-05-01,32106,249,109,0
2020-05-02,33303,255,120,0
2020-05-03,34350,259,124,0
2020-05-04,35096,261,128,0
2020-05-05,35992,261,129,0
2020-05-06,37315,268,130,0
2020-05-07,38834,271,133,0
2020-05-08,40187,273,136,0
2020-05-09,41385,280,140,0
2020-05-10,42425,284,140,0
2020-05-11,42805,285,150,0
2020-05-12,43379,286,153,0
2020-05-13,44245,287,164,0
2020-05-14,45140,287,168,0
2020-05-15,46198,287,177,0
2020-05-16,48239,289,178,0
2020-05-17,49374,292,197,0
2020-05-18,51118,297,203,0
2020-05-19,52335,308,209,0
2020-05-20,53317,314,216,0
2020-05-21,54400,320,217,0
2020-05-22,55968,321,222,0
2020-05-23,57077,325,227,0
2020-05-24,58477,327,237,0
2020-05-25,59369,336,238,0
2020-05-26,60443,339,244,0
2020-05-27,62502,346,245,0
2020-05-28,64268,349,245,0
2020-05-29,65608,355,247,0
2020-05-30,66976,359,250,1
2020-05-31,68068,370,256,1
2020-06-01,69151,377,262,1
2020-06-02,70108,384,269,2
2020-06-03,71141,397,271,2
2020-06-04,72510,410,280,2
2020-06-05,74068,420,282,2
2020-06-06,75013,431,283,2
2020-06-07,76331,439,290,2
2020-06-08,78259,451,297,2
2020-06-09,80129,463,300,2
2020-06-10,82239,476,307,2
2020-06-11,84029,494,313,2
2020-06-12,85613,510,321,2
2020-06-13,87656,541,332,2
2020-06-14,91151,582,332,2
2020-06-15,94059,612,338,2
2020-06-16,96801,636,338,2
2020-06-17,99309,639,347,2
2020-06-18,101856,646,350,2
2020-06-19,104889,661,351,2
2020-06-20,108005,702,357,2
2020-06-21,111257,728,359,2
2020-06-22,113544,787,370,2
2020-06-23,118112,798,371,2
2020-06-24,121527,830,376,2
2020-06-25,126284,850,385,2
2020-06-26,130047,858,398,2
2020-06-27,134749,878,413,2
2020-06-28,137751,900,443,2
2020-06-29,140249,1001,443,2
2020-06-30,143943,1025,447,2
2020-07-01,147904,1042,480,3
2020-07-02,151641,1063,493,3
2020-07-03,153857,1081,512,3
2020-07-04,157271,1092,523,3
2020-07-05,160550,1105,567,3
2020-07-06,163384,1113,575,3
2020-07-07,166255,1172,595,3
2020-07-08,168899,1194,610,3
2020-07-09,172362,1210,623,3
2020-07-10,176260,1252,635,3
2020-07-11,180320,1299,663,4
2020-07-12,183341,1337,684,4
2020-07-13,186674,1378,710,4
2020-07-14,192379,1416,737,4
2020-07-15,194802,1435,752,4
2020-07-16,200358,1473,770,4
2020-07-17,203790,1485,811,4
2020-07-18,207022,1539,819,5
2020-07-19,210236,1582,834,5
2020-07-20,214000,1629,838,5
2020-07-21,221039,1655,848,5
2020-07-22,225652,1689,867,5
2020-07-23,231186,1710,889,5
2020-07-24,233677,1729,900,5
2020-07-25,238007,1752,907,5
2020-07-26,242129,1821,918,5
2020-07-27,248294,1879,975,5
2020-07-28,251815,1926,1005,5
2020-07-29,255959,1963,1036,5
2020-07-30,260025,1994,1085,5
2020-07-31,263399,2022,1106,5
2020-08-01,269261,2042,1119,5
2020-08-02,271894,2062,1144,5
2020-08-03,275385,2092,1169,5
2020-08-04,278457,2099,1222,5
2020-08-05,283055,2104,1237,5
2020-08-06,286251,2111,1258,5
2020-08-07,289153,2128,1297,5
2020-08-08,293605,2134,1300,6
2020-08-09,298780,2140,1346,7
2020-08-10,304500,2152,1392,7
2020-08-11,309653,2171,1478,7
2020-08-12,314539,2189,1524,8
2020-08-13,319295,2200,1558,8
2020-08-14,323905,2293,1604,8
2020-08-15,329474,2352,1631,8
2020-08-16,334270,2453,1648,8
2020-08-17,338288,2540,1661,8
2020-08-18,342614,2577,1683,10
2020-08-19,345920,2644,1698,10
2020-08-20,351383,2717,1705,11
2020-08-21,357083,2780,1712,11
2020-08-22,361842,2889,1754,11
2020-08-23,368244,3089,1755,12
2020-08-24,371886,3306,1785,14
2020-08-25,378014,3537,1806,15
2020-08-26,383481,3625,1810,15
2020-08-27,388078,3672,1863,15
2020-08-28,393237,3742,1866,16
2020-08-29,399400,3843,1904,16
2020-08-30,404944,4020,1918,16
2020-08-31,409707,4063,2013,16
2020-09-01,415329,4142,2044,16
2020-09-02,421121,4218,2071,17
2020-09-03,426200,4255,2163,18
2020-09-04,431992,4304,2191,18
2020-09-05,436412,4349,2199,18
2020-09-06,439893,4374,2235,19
2020-09-07,444350,4409,2271,19
2020-09-08,447603,4439,2307,20
2020-09-09,451408,4460,2325,21
2020-09-10,454246,4479,2352,22
2020-09-11,457273,4534,2450,22
2020-09-12,460174,4565,2544,22
2020-09-13,462896,4591,2556,22
2020-09-14,464583,4602,2736,22
2020-09-15,466518,4624,2767,22
2020-09-16,468121,4634,2789,22
2020-09-17,470218,4653,2817,23
2020-09-18,471767,4671,2845,25
2020-09-19,474039,4689,2910,26
2020-09-20,475931,4711,2961,26
2020-09-21,477379,4722,2973,27
2020-09-22,479010,4738,2991,27
2020-09-23,481283,4779,2995,27
2020-09-24,483441,4789,3050,27
2020-09-25,484841,4798,3080,29
2020-09-26,486735,4811,3091,29
2020-09-27,488942,4820,3099,29
2020-09-28,490225,4832,3117,29
2020-09-29,492986,4836,3125,29
2020-09-30,495793,4840,3154,29
2020-10-01,498376,4843,3181,29
2020-10-02,500249,4847,3197,29
2020-10-03,502817,4852,3211,29
2020-10-04,504670,4866,3216,29
2020-10-05,506658,4867,3226,29
2020-10-06,506658,4873,3246,29
2020-10-07,506658,4883,3408,29
2020-10-08,506658,4883,3408,29
