date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,1,0,0
2020-02-28,0,1,0,0
2020-02-29,0,1,0,0
2020-03-01,0,1,0,0
2020-03-02,0,8,0,1
2020-03-03,0,10,0,1
2020-03-04,0,16,0,1
2020-03-05,0,21,0,1
2020-03-06,0,21,0,1
2020-03-07,0,23,0,1
2020-03-08,0,36,0,1
2020-03-09,0,36,0,1
2020-03-10,0,51,0,2
2020-03-11,0,62,0,2
2020-03-12,0,69,0,3
2020-03-13,0,80,0,5
2020-03-14,0,80,4,5
2020-03-15,0,101,4,5
2020-03-16,0,109,4,7
2020-03-17,0,109,4,7
2020-03-18,0,119,4,11
2020-03-19,0,119,4,11
2020-03-20,0,144,4,14
2020-03-21,0,144,4,20
2020-03-22,0,175,4,20
2020-03-23,0,187,4,20
2020-03-24,0,187,4,21
2020-03-25,0,208,4,21
2020-03-26,0,208,4,21
2020-03-27,0,223,4,21
2020-03-28,0,224,6,22
2020-03-29,0,224,6,22
2020-03-30,0,230,13,25
2020-03-31,0,236,13,26
2020-04-01,0,236,13,26
2020-04-02,0,245,21,30
2020-04-03,0,245,21,30
2020-04-04,0,259,27,32
2020-04-05,0,266,35,32
2020-04-06,0,266,35,32
2020-04-07,0,279,40,34
2020-04-08,0,279,40,34
2020-04-09,0,333,49,34
2020-04-10,0,344,50,34
2020-04-11,0,356,53,35
2020-04-12,0,356,53,35
2020-04-13,0,356,53,35
2020-04-14,0,371,53,36
2020-04-15,0,372,53,36
2020-04-16,0,426,55,38
2020-04-17,0,435,57,39
2020-04-18,0,455,60,39
2020-04-19,0,461,60,39
2020-04-20,0,462,61,39
2020-04-21,0,476,62,40
2020-04-22,0,488,62,40
2020-04-23,0,501,63,40
2020-04-24,0,513,64,40
2020-04-25,0,513,64,40
2020-04-26,0,538,64,41
2020-04-27,0,538,64,41
2020-04-28,0,553,64,41
2020-04-29,0,563,69,41
2020-04-30,0,569,78,41
2020-05-01,0,580,82,41
2020-05-02,0,580,83,41
2020-05-03,0,582,86,41
2020-05-04,0,582,86,41
2020-05-05,0,589,92,41
2020-05-06,0,608,97,41
2020-05-07,0,622,106,41
2020-05-08,0,623,114,41
2020-05-09,0,637,126,41
2020-05-10,0,628,126,41
2020-05-11,0,628,130,41
2020-05-12,0,638,161,41
2020-05-13,0,643,161,41
2020-05-14,0,648,172,41
2020-05-15,0,652,189,41
2020-05-16,0,653,198,41
2020-05-17,0,654,201,41
2020-05-18,0,654,203,41
2020-05-19,0,655,211,41
2020-05-20,0,656,220,41
2020-05-21,0,658,235,41
2020-05-22,0,661,254,41
2020-05-23,0,665,266,42
2020-05-24,0,665,266,42
2020-05-25,0,666,270,42
2020-05-26,0,666,275,42
2020-05-27,0,667,294,42
2020-05-28,0,670,322,42
2020-05-29,0,671,344,42
2020-05-30,0,671,357,42
2020-05-31,0,671,357,42
2020-06-01,0,671,359,42
2020-06-02,0,672,384,42
2020-06-03,0,674,391,42
2020-06-04,0,678,408,42
2020-06-05,0,680,428,42
2020-06-06,0,680,428,42
2020-06-07,0,680,428,42
2020-06-08,0,687,478,42
2020-06-09,0,688,483,42
2020-06-10,0,691,496,42
2020-06-11,0,691,496,42
2020-06-12,0,694,520,42
2020-06-13,0,694,520,42
2020-06-14,0,694,520,42
2020-06-15,0,694,575,42
2020-06-16,0,694,590,42
2020-06-17,0,696,591,42
2020-06-18,0,696,609,42
2020-06-19,0,696,610,42
2020-06-20,0,696,610,42
2020-06-21,0,696,610,42
2020-06-22,0,697,627,42
2020-06-23,0,698,632,42
2020-06-24,0,698,647,42
2020-06-25,0,698,653,42
2020-06-26,0,698,656,42
2020-06-27,0,698,656,42
2020-06-28,0,698,656,42
2020-06-29,0,698,656,42
2020-06-30,0,698,656,42
2020-07-01,0,698,656,42
2020-07-02,0,698,656,42
2020-07-03,0,698,656,42
2020-07-04,0,698,656,42
2020-07-05,0,698,656,42
2020-07-06,0,698,656,42
2020-07-07,0,698,656,42
2020-07-08,0,698,656,42
2020-07-09,0,699,656,42
2020-07-10,0,699,656,42
2020-07-11,0,699,656,42
2020-07-12,0,699,656,42
2020-07-13,0,699,656,42
2020-07-14,0,699,656,42
2020-07-15,0,699,656,42
2020-07-16,0,699,656,42
2020-07-17,0,699,656,42
2020-07-18,0,699,656,42
2020-07-19,0,699,656,42
2020-07-20,0,699,656,42
2020-07-21,0,699,656,42
2020-07-22,0,699,656,42
2020-07-23,0,699,656,42
2020-07-24,0,699,657,42
2020-07-25,0,699,657,42
2020-07-26,0,699,657,42
2020-07-27,0,699,657,42
2020-07-28,0,699,657,42
2020-07-29,0,699,657,42
2020-07-30,0,699,657,42
2020-07-31,0,699,657,42
2020-08-01,0,699,657,42
2020-08-02,0,699,657,42
2020-08-03,0,699,657,42
2020-08-04,0,699,657,42
2020-08-05,0,699,657,42
2020-08-06,0,699,657,42
2020-08-07,0,699,657,42
2020-08-08,0,699,657,42
2020-08-09,0,699,657,42
2020-08-10,0,699,657,42
2020-08-11,0,699,657,42
2020-08-12,0,699,657,42
2020-08-13,0,699,657,42
2020-08-14,0,699,657,42
2020-08-15,0,699,657,42
2020-08-16,0,699,657,42
2020-08-17,0,699,657,42
2020-08-18,0,702,657,42
2020-08-19,0,704,657,42
2020-08-20,0,704,657,42
2020-08-21,0,704,657,42
2020-08-22,0,704,657,42
2020-08-23,0,704,657,42
2020-08-24,0,704,657,42
2020-08-25,0,710,658,42
2020-08-26,0,710,658,42
2020-08-27,0,710,658,42
2020-08-28,0,710,658,42
2020-08-29,0,710,658,42
2020-08-30,0,710,658,42
2020-08-31,0,715,660,42
2020-09-01,0,715,660,42
2020-09-02,0,735,660,42
2020-09-03,0,735,660,42
2020-09-04,0,735,660,42
2020-09-05,0,716,660,42
2020-09-06,0,716,660,42
2020-09-07,0,716,660,42
2020-09-08,0,716,660,42
2020-09-09,0,722,662,42
2020-09-10,0,722,662,42
2020-09-11,0,722,662,42
2020-09-12,0,722,662,42
2020-09-13,0,722,662,42
2020-09-14,0,722,662,42
2020-09-15,0,723,663,42
2020-09-16,0,723,663,42
2020-09-17,0,723,663,42
2020-09-18,0,723,669,42
2020-09-19,0,723,669,42
2020-09-20,0,723,669,42
2020-09-21,0,723,669,42
2020-09-22,0,723,669,42
2020-09-23,0,723,669,42
2020-09-24,0,727,676,42
2020-09-25,0,727,676,42
2020-09-26,0,727,676,42
2020-09-27,0,727,676,42
2020-09-28,0,727,676,42
2020-09-29,0,727,676,42
2020-09-30,0,732,680,42
2020-10-01,0,732,680,42
2020-10-02,0,732,680,42
2020-10-03,0,732,680,42
2020-10-04,0,732,680,42
2020-10-05,0,732,680,42
2020-10-06,0,732,680,42
2020-10-07,0,732,680,42
2020-10-08,0,732,680,42
