date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,4,0,0
2020-04-07,0,4,0,0
2020-04-08,0,4,0,0
2020-04-09,0,4,0,0
2020-04-10,0,4,0,0
2020-04-11,0,4,0,0
2020-04-12,0,4,0,0
2020-04-13,0,4,0,0
2020-04-14,0,4,0,0
2020-04-15,0,4,0,0
2020-04-16,0,4,0,0
2020-04-17,0,4,0,0
2020-04-18,0,4,0,0
2020-04-19,0,4,0,0
2020-04-20,0,4,0,0
2020-04-21,0,4,0,0
2020-04-22,0,4,0,0
2020-04-23,0,4,0,0
2020-04-24,0,4,0,0
2020-04-25,0,4,0,0
2020-04-26,0,4,0,0
2020-04-27,0,4,0,0
2020-04-28,0,8,4,0
2020-04-29,0,8,4,0
2020-04-30,0,14,4,0
2020-05-01,0,16,4,1
2020-05-02,0,16,4,1
2020-05-03,0,16,4,1
2020-05-04,0,23,4,3
2020-05-05,0,174,4,3
2020-05-06,0,174,4,3
2020-05-07,0,187,4,4
2020-05-08,0,208,4,5
2020-05-09,0,208,4,5
2020-05-10,0,208,4,5
2020-05-11,0,208,4,5
2020-05-12,0,208,4,5
2020-05-13,0,220,4,6
2020-05-14,0,235,4,7
2020-05-15,0,235,4,7
2020-05-16,0,235,4,7
2020-05-17,0,235,4,7
2020-05-18,0,246,4,7
2020-05-19,0,251,4,8
2020-05-20,0,251,4,8
2020-05-21,0,251,4,8
2020-05-22,0,251,4,8
2020-05-23,0,251,4,8
2020-05-24,0,251,4,8
2020-05-25,0,299,4,11
2020-05-26,0,441,68,12
2020-05-27,0,443,68,12
2020-05-28,0,458,68,12
2020-05-29,0,463,68,12
2020-05-30,0,479,68,12
2020-05-31,0,483,68,12
2020-06-01,0,484,68,12
2020-06-02,0,484,68,12
2020-06-03,0,484,68,12
2020-06-04,0,485,68,12
2020-06-05,0,499,68,12
2020-06-06,0,499,68,12
2020-06-07,0,513,68,12
2020-06-08,0,513,68,12
2020-06-09,0,514,76,12
2020-06-10,0,611,135,12
2020-06-11,0,632,146,12
2020-06-12,0,639,156,12
2020-06-13,0,659,176,12
2020-06-14,0,661,177,12
2020-06-15,0,662,177,12
2020-06-16,0,671,182,12
2020-06-17,0,683,188,12
2020-06-18,0,688,191,12
2020-06-19,0,693,199,12
2020-06-20,0,698,203,12
2020-06-21,0,698,203,12
2020-06-22,0,702,203,12
2020-06-23,0,707,208,12
2020-06-24,0,710,211,13
2020-06-25,0,711,214,13
2020-06-26,0,712,219,13
2020-06-27,0,713,219,13
2020-06-28,0,713,219,13
2020-06-29,0,713,235,13
2020-06-30,0,714,236,13
2020-07-01,0,715,252,13
2020-07-02,0,717,260,13
2020-07-03,0,719,267,13
2020-07-04,0,719,267,13
2020-07-05,0,720,268,13
2020-07-06,0,721,269,13
2020-07-07,0,724,279,13
2020-07-08,0,724,283,13
2020-07-09,0,726,283,14
2020-07-10,0,727,284,14
2020-07-11,0,727,284,14
2020-07-12,0,729,286,14
2020-07-13,0,732,286,14
2020-07-14,0,732,286,14
2020-07-15,0,737,322,14
2020-07-16,0,740,325,14
2020-07-17,0,741,325,14
2020-07-18,0,743,337,14
2020-07-19,0,746,451,14
2020-07-20,0,746,536,14
2020-07-21,0,746,588,14
2020-07-22,0,747,601,14
2020-07-23,0,749,604,14
2020-07-24,0,860,610,14
2020-07-25,0,862,662,14
2020-07-26,0,863,696,14
2020-07-27,0,865,734,14
2020-07-28,0,867,759,14
2020-07-29,0,868,766,15
2020-07-30,0,870,771,15
2020-07-31,0,871,778,15
2020-08-01,0,874,782,15
2020-08-02,0,874,787,15
2020-08-03,0,874,787,15
2020-08-04,0,875,794,15
2020-08-05,0,878,795,15
2020-08-06,0,878,797,15
2020-08-07,0,878,799,15
2020-08-08,0,878,800,15
2020-08-09,0,878,800,15
2020-08-10,0,878,800,15
2020-08-11,0,881,804,15
2020-08-12,0,882,807,15
2020-08-13,0,883,808,15
2020-08-14,0,885,809,15
2020-08-15,0,885,815,15
2020-08-16,0,885,818,15
2020-08-17,0,885,821,15
2020-08-18,0,885,821,15
2020-08-19,0,885,826,15
2020-08-20,0,888,829,15
2020-08-21,0,891,830,15
2020-08-22,0,892,831,15
2020-08-23,0,892,831,15
2020-08-24,0,892,832,15
2020-08-25,0,892,833,15
2020-08-26,0,892,842,15
2020-08-27,0,894,846,15
2020-08-28,0,895,848,15
2020-08-29,0,895,848,15
2020-08-30,0,896,851,15
2020-08-31,0,896,851,15
2020-09-01,0,896,853,15
2020-09-02,0,896,855,15
2020-09-03,0,897,857,15
2020-09-04,0,897,859,15
2020-09-05,0,898,859,15
2020-09-06,0,898,859,15
2020-09-07,0,898,859,15
2020-09-08,0,898,859,15
2020-09-09,0,898,862,15
2020-09-10,0,901,866,15
2020-09-11,0,906,866,15
2020-09-12,0,906,866,15
2020-09-13,0,906,870,15
2020-09-14,0,906,870,15
2020-09-15,0,907,871,15
2020-09-16,0,907,871,15
2020-09-17,0,907,873,15
2020-09-18,0,908,873,15
2020-09-19,0,908,876,15
2020-09-20,0,908,878,15
2020-09-21,0,908,880,15
2020-09-22,0,908,880,15
2020-09-23,0,908,880,15
2020-09-24,0,910,881,15
2020-09-25,0,911,881,15
2020-09-26,0,911,883,15
2020-09-27,0,911,883,15
2020-09-28,0,911,885,15
2020-09-29,0,911,885,15
2020-09-30,0,911,886,15
2020-10-01,0,911,886,15
2020-10-02,0,911,886,15
2020-10-03,0,913,886,15
2020-10-04,0,913,887,15
2020-10-05,0,913,888,15
2020-10-06,0,914,888,15
2020-10-07,0,914,888,15
