date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,160,1,0,0
2020-03-03,400,1,0,0
2020-03-04,698,1,0,0
2020-03-05,1185,5,0,0
2020-03-06,2209,5,0,0
2020-03-07,4191,5,0,0
2020-03-08,5979,11,0,0
2020-03-09,8180,15,0,0
2020-03-10,11835,20,1,0
2020-03-11,14834,21,1,0
2020-03-12,18478,45,1,0
2020-03-13,22368,86,1,0
2020-03-14,25351,103,1,0
2020-03-15,28055,103,1,0
2020-03-16,31610,118,2,0
2020-03-17,35818,171,6,0
2020-03-18,39423,171,6,0
2020-03-19,43661,274,6,0
2020-03-20,48437,344,8,0
2020-03-21,54135,392,16,0
2020-03-22,60168,511,16,0
2020-03-23,67170,562,16,0
2020-03-24,73081,767,28,1
2020-03-25,78078,900,29,2
2020-03-26,83751,1012,33,3
2020-03-27,89860,1104,35,3
2020-03-28,95804,1203,37,4
2020-03-29,102069,1299,66,8
2020-03-30,108963,1453,115,8
2020-03-31,116325,1563,165,10
2020-04-01,123706,1720,264,16
2020-04-02,131394,1885,328,21
2020-04-03,139406,2039,351,25
2020-04-04,147185,2179,420,29
2020-04-05,153963,2402,488,34
2020-04-06,160795,2605,551,38
2020-04-07,167179,2795,615,41
2020-04-08,173566,2932,631,41
2020-04-09,180385,3287,666,44
2020-04-10,187826,3651,685,47
2020-04-11,196819,4033,720,52
2020-04-12,204184,4462,761,59
2020-04-13,212403,4934,805,65
2020-04-14,220791,5369,889,73
2020-04-15,228460,5862,931,79
2020-04-16,236716,6380,990,83
2020-04-17,245722,7142,1049,87
2020-04-18,254455,8274,1329,92
2020-04-19,264033,9362,1398,97
2020-04-20,273293,10484,1490,103
2020-04-21,282515,11631,1640,109
2020-04-22,292855,12772,1812,114
2020-04-23,301402,13930,1925,121
2020-04-24,311605,15102,2049,127
2020-04-25,320660,16299,2215,136
2020-04-26,329627,17522,2357,139
2020-04-27,338952,18811,2531,144
2020-04-28,349839,20077,2784,152
2020-04-29,359497,21402,2953,157
2020-04-30,368785,22753,3163,162
2020-05-01,381605,24097,3555,169
2020-05-02,394385,25459,3765,176
2020-05-03,406391,27011,4134,184
2020-05-04,417905,28656,4476,191
2020-05-05,430957,30251,5431,200
2020-05-06,446983,31938,6783,209
2020-05-07,460020,33731,7798,219
2020-05-08,474798,35432,9120,229
2020-05-09,490942,37136,10144,239
2020-05-10,508667,39048,11457,246
2020-05-11,523672,41014,12737,255
2020-05-12,538246,42925,15257,264
2020-05-13,554885,44830,17622,273
2020-05-14,571563,46869,19051,283
2020-05-15,589321,49176,21869,292
2020-05-16,627703,52016,23666,302
2020-05-17,643252,54752,25722,312
2020-05-18,659382,57345,28748,320
2020-05-19,677476,59854,31634,329
2020-05-20,692456,62545,33478,339
2020-05-21,708355,65077,36040,351
2020-05-22,725913,67719,39003,364
2020-05-23,744832,70161,41236,379
2020-05-24,763377,72560,43520,390
2020-05-25,780041,74795,45668,399
2020-05-26,795566,76726,48450,411
2020-05-27,811994,78541,51022,425
2020-05-28,828763,80185,54553,441
2020-05-29,847867,81766,57013,458
2020-05-30,864067,83384,58883,480
2020-05-31,879921,85261,62442,503
2020-06-01,895285,87142,64306,525
2020-06-02,912261,89011,65790,549
2020-06-03,928507,91182,68159,579
2020-06-04,950270,93157,68965,611
2020-06-05,974499,95748,70616,642
2020-06-06,999535,98869,71791,676
2020-06-07,1018113,101914,72817,712
2020-06-08,1038971,105283,74524,746
2020-06-09,1061110,108571,76339,783
2020-06-10,1083610,112288,77954,819
2020-06-11,1110934,116021,80019,857
2020-06-12,1128319,119942,81029,893
2020-06-13,1147696,123308,82548,932
2020-06-14,1167951,127541,84720,972
2020-06-15,1185580,132048,87890,1011
2020-06-16,1209064,136315,89540,1052
2020-06-17,1239571,141234,91662,1091
2020-06-18,1265587,145991,93915,1139
2020-06-19,1290295,150292,95764,1184
2020-06-20,1325951,154233,98917,1230
2020-06-21,1359565,157612,101130,1267
2020-06-22,1386818,161005,105175,1307
2020-06-23,1421329,164144,109885,1346
2020-06-24,1459069,167267,112797,1387
2020-06-25,1497539,170639,117882,1428
2020-06-26,1541814,174577,120471,1474
2020-06-27,1587335,178504,122128,1511
2020-06-28,1632439,182493,124755,1551
2020-06-29,1680612,186436,127118,1599
2020-06-30,1715785,190823,130766,1649
2020-07-01,1768999,194225,132760,1698
2020-07-02,1812926,197608,137669,1752
2020-07-03,1865061,201801,140614,1802
2020-07-04,1915625,205929,143256,1858
2020-07-05,1975689,209509,145236,1916
2020-07-06,2018657,213716,149634,1968
2020-07-07,2071823,217108,154839,2017
2020-07-08,2124976,220144,158050,2059
2020-07-09,2179448,223327,161096,2100
2020-07-10,2226290,226486,163026,2151
2020-07-11,2270719,229480,165396,2181
2020-07-12,2336874,232259,167138,2223
2020-07-13,2377673,235111,169842,2243
2020-07-14,2436683,237803,177560,2283
2020-07-15,2494873,240474,183048,2325
2020-07-16,2560422,243238,187622,2370
2020-07-17,2622786,245851,191161,2407
2020-07-18,2670926,248416,194218,2447
2020-07-19,2728424,250920,197735,2486
2020-07-20,2784874,253349,203259,2523
2020-07-21,2837054,255825,207259,2557
2020-07-22,2894426,258156,210398,2601
2020-07-23,2946928,260394,213490,2635
2020-07-24,2999740,262772,215731,2672
2020-07-25,3056956,264973,217782,2703
2020-07-26,3110749,266941,220323,2733
2020-07-27,3174886,268934,222936,2760
2020-07-28,3237731,270831,225624,2789
2020-07-29,3289692,272590,228569,2816
2020-07-30,3350541,274219,231198,2842
2020-07-31,3395688,275905,235658,2866
2020-08-01,3432354,277478,237548,2887
2020-08-02,3473715,278835,240081,2917
2020-08-03,3528040,280093,242055,2949
2020-08-04,3580139,281456,243713,2984
2020-08-05,3635705,282824,245314,3020
2020-08-06,3694004,284226,247089,3055
2020-08-07,3754850,285793,248948,3093
2020-08-08,3813274,287262,250440,3130
2020-08-09,3872599,288690,252039,3167
2020-08-10,3933427,289947,253478,3199
2020-08-11,4001103,291468,255118,3233
2020-08-12,4071857,293037,257269,3269
2020-08-13,4138204,294519,260393,3303
2020-08-14,4202076,295902,262959,3338
2020-08-15,4262092,297315,264487,3369
2020-08-16,4317705,298542,266953,3408
2020-08-17,4378417,299914,268385,3436
2020-08-18,4439484,301323,272911,3470
2020-08-19,4501104,302686,274091,3506
2020-08-20,4563517,303973,275476,3548
2020-08-21,4622637,305186,277067,3580
2020-08-22,4674950,306370,278441,3619
2020-08-23,4733485,307479,280143,3649
2020-08-24,4792192,308654,282888,3691
2020-08-25,4850659,309768,283932,3722
2020-08-26,4913924,310836,284945,3755
2020-08-27,4974119,311855,286255,3785
2020-08-28,5026127,312924,287403,3813
2020-08-29,5063593,313911,288441,3840
2020-08-30,5110529,314821,289667,3870
2020-08-31,5160518,315772,290796,3897
2020-09-01,5213161,316670,291514,3929
2020-09-02,5261814,317486,292510,3956
2020-09-03,5314461,318319,293964,3982
2020-09-04,5364471,319141,295063,4015
2020-09-05,5406136,319932,295842,4049
2020-09-06,5450307,320688,296737,4081
2020-09-07,5498997,321456,297623,4107
2020-09-08,5548202,322237,298246,4137
2020-09-09,5589493,323012,298966,4165
2020-09-10,5645077,323720,299998,4189
2020-09-11,5686255,324407,300933,4213
2020-09-12,5722477,325050,301836,4240
2020-09-13,5766502,325651,302870,4268
2020-09-14,5817955,326258,303930,4305
2020-09-15,5868149,326930,305022,4338
2020-09-16,5917184,327551,306004,4369
2020-09-17,5966884,328144,307207,4399
2020-09-18,6009916,328720,308352,4430
2020-09-19,6049949,329271,309430,4458
2020-09-20,6093601,329754,310439,4485
2020-09-21,6141968,330246,311499,4512
2020-09-22,6190822,330798,312684,4542
2020-09-23,6236859,331359,313786,4569
2020-09-24,6275557,331857,314793,4599
2020-09-25,6314085,332329,315636,4625
2020-09-26,6348385,332790,316405,4655
2020-09-27,6392497,333193,317005,4683
