date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,16,0,0,0
2020-02-27,25,0,0,0
2020-02-28,30,0,0,0
2020-02-29,33,0,0,0
2020-03-01,36,0,0,0
2020-03-02,45,0,0,0
2020-03-03,46,0,0,0
2020-03-04,50,0,0,0
2020-03-05,50,0,0,0
2020-03-06,67,1,0,0
2020-03-07,91,1,0,0
2020-03-08,94,1,0,0
2020-03-09,101,1,0,0
2020-03-10,117,5,0,0
2020-03-11,151,12,0,0
2020-03-12,185,19,0,0
2020-03-13,239,35,0,0
2020-03-14,268,46,0,0
2020-03-15,283,48,0,0
2020-03-16,316,55,1,0
2020-03-17,374,65,1,0
2020-03-18,440,83,1,0
2020-03-19,506,103,1,0
2020-03-20,585,135,1,1
2020-03-21,672,171,1,1
2020-03-22,761,222,1,2
2020-03-23,822,249,1,3
2020-03-24,916,303,15,3
2020-03-25,1161,384,15,4
2020-03-26,1456,384,15,1
2020-03-27,1715,457,15,1
2020-03-28,2086,659,15,10
2020-03-29,2462,741,15,13
2020-03-30,3084,785,15,16
2020-03-31,3561,900,15,16
2020-04-01,4371,1060,15,28
2020-04-02,5008,1171,15,31
2020-04-03,5756,1476,15,39
2020-04-04,6401,1624,15,44
2020-04-05,7360,1908,15,51
2020-04-06,8552,2200,15,58
2020-04-07,9626,2447,15,61
2020-04-08,10761,2666,15,65
2020-04-09,12347,2867,15,66
2020-04-10,14240,3105,15,71
2020-04-11,16399,3380,15,74
2020-04-12,18312,3630,15,80
2020-04-13,20958,4054,15,85
2020-04-14,23398,4465,15,94
2020-04-15,26278,4873,15,99
2020-04-16,29472,5318,15,103
2020-04-17,32566,5690,534,110
2020-04-18,36028,5994,637,117
2020-04-19,38701,6318,753,122
2020-04-20,41812,6630,870,125
2020-04-21,45355,6890,977,130
2020-04-22,48636,7144,1025,134
2020-04-23,51324,7276,1067,139
2020-04-24,54887,7483,1094,144
2020-04-25,59938,7779,1152,151
2020-04-26,64303,8042,1182,156
2020-04-27,67917,8275,1209,162
2020-04-28,73363,8497,1260,168
2020-04-29,78942,8724,1292,173
2020-04-30,85645,9009,1343,179
2020-05-01,91551,9009,1343,179
2020-05-02,96637,9362,1426,189
2020-05-03,101911,9464,1551,193
2020-05-04,106461,9557,1574,197
2020-05-05,111278,9677,1723,200
2020-05-06,117474,9791,1971,203
2020-05-07,122995,9848,2160,206
2020-05-08,128805,9943,2453,209
2020-05-09,134533,10032,2732,215
2020-05-10,140592,10032,2732,215
2020-05-11,145604,10176,3290,218
2020-05-12,151304,10243,3600,220
2020-05-13,156603,10295,3824,222
2020-05-14,162797,10374,4084,224
2020-05-15,168670,10438,4301,225
2020-05-16,174746,10496,4479,228
2020-05-17,181272,10610,4713,230
2020-05-18,185385,10699,4799,231
2020-05-19,190683,10733,4904,234
2020-05-20,196881,10833,5067,235
2020-05-21,203799,10919,5370,237
2020-05-22,209797,11024,5541,237
2020-05-23,214212,11092,5699,238
2020-05-24,217856,11159,5857,238
2020-05-25,220344,11193,5920,239
2020-05-26,223771,11227,6067,239
2020-05-27,229485,11275,6277,240
2020-05-28,234019,11300,6438,241
2020-05-29,239234,11354,6524,242
2020-05-30,242782,11381,6606,242
2020-05-31,245445,11412,6698,243
2020-06-01,247760,11430,6726,244
2020-06-02,252132,11454,6766,245
2020-06-03,257242,11523,6852,245
2020-06-04,261266,11571,6910,246
2020-06-05,266061,11667,6931,247
2020-06-06,269185,11741,11056,248
2020-06-07,272502,11823,11348,249
2020-06-08,276810,11896,11189,250
2020-06-09,282049,11965,11268,250
2020-06-10,287064,12031,11348,251
2020-06-11,291996,12102,11362,252
2020-06-12,297789,12175,11411,252
2020-06-13,301126,12251,11465,253
2020-06-14,302928,12310,11511,254
2020-06-15,308013,12367,11561,255
2020-06-16,313483,12426,11624,256
2020-06-17,319581,12522,11697,257
2020-06-18,325613,12616,11769,258
2020-06-19,332342,12709,11822,259
2020-06-20,336553,12803,11889,260
2020-06-21,339822,12894,11947,261
2020-06-22,345260,12990,11997,262
2020-06-23,351285,13092,12054,263
2020-06-24,359069,13235,12111,263
2020-06-25,366380,13372,12154,264
2020-06-26,374875,13565,12232,265
2020-06-27,380808,13792,12338,267
2020-06-28,385713,14046,12464,270
2020-06-29,392863,14288,12581,274
2020-06-30,401240,14564,12662,277
2020-07-01,409866,14836,12772,281
2020-07-02,418879,15195,12912,287
2020-07-03,426981,15504,13064,298
2020-07-04,434415,15829,13176,306
2020-07-05,439445,16131,13267,311
2020-07-06,447317,16420,13366,317
2020-07-07,455604,16719,13447,330
2020-07-08,464171,17076,13562,341
2020-07-09,471700,17342,13651,352
2020-07-10,480346,17728,13719,370
2020-07-11,487378,18073,13780,382
2020-07-12,491428,18360,13876,393
2020-07-13,498343,18639,13940,405
2020-07-14,507002,18983,13991,418
2020-07-15,515395,19334,14047,429
2020-07-16,524578,19717,14417,442
2020-07-17,534488,20109,14799,452
2020-07-18,542136,20498,15179,461
2020-07-19,550091,20894,15564,472
2020-07-20,558440,21253,15564,482
2020-07-21,568750,21605,15564,491
2020-07-22,580271,22031,15564,499
2020-07-23,591350,22443,15564,508
2020-07-24,601984,22852,15564,518
2020-07-25,611333,22852,15564,518
2020-07-26,621714,23730,15564,534
2020-07-27,631274,24141,15564,543
2020-07-28,641091,24520,15564,551
2020-07-29,650744,24892,15564,558
2020-07-30,659548,25213,15564,565
2020-07-31,668984,25552,15564,573
2020-08-01,678093,25882,15564,582
2020-08-02,686488,26193,15564,590
2020-08-03,693656,26451,15564,598
2020-08-04,703246,26738,15564,605
2020-08-05,713104,27033,15564,614
2020-08-06,723137,27332,15564,621
2020-08-07,733059,27608,15564,626
2020-08-08,741073,27863,15564,632
2020-08-09,747324,28099,15564,641
2020-08-10,754143,28262,15564,646
2020-08-11,762229,28497,15564,652
2020-08-12,770997,28751,15564,658
2020-08-13,780097,28998,15564,661
2020-08-14,789480,29233,15564,665
2020-08-15,798009,29471,15564,670
2020-08-16,804568,29682,15564,674
2020-08-17,811920,29782,15564,677
2020-08-18,821106,29890,15564,681
2020-08-19,831677,30048,15564,684
2020-08-20,842441,30209,15564,689
2020-08-21,854059,30378,15564,692
2020-08-22,862729,30548,15564,695
2020-08-23,869668,30657,15564,698
2020-08-24,876929,30714,15564,701
2020-08-25,885575,30820,15564,705
2020-08-26,895507,30974,15564,707
2020-08-27,904343,31099,15564,707
2020-08-28,913856,31207,15564,709
2020-08-29,920852,31282,15564,710
2020-08-30,925208,31365,15564,711
2020-08-31,931037,31406,15564,713
2020-09-01,938546,31482,15564,715
2020-09-02,947298,31581,15564,716
2020-09-03,955730,31676,15564,718
2020-09-04,966563,31772,15564,721
2020-09-05,974411,31849,15564,723
2020-09-06,978600,31905,15564,724
2020-09-07,984798,31941,15564,725
2020-09-08,993140,31994,15564,727
2020-09-09,1001425,32078,15564,728
2020-09-10,1009401,32136,15564,729
2020-09-11,1018908,32228,15564,730
2020-09-12,1024976,32300,15564,731
2020-09-13,1028058,32408,15564,733
2020-09-14,1033988,32437,15564,733
2020-09-15,1041697,32511,15564,735
2020-09-16,1049379,32613,15564,736
2020-09-17,1056256,32695,15564,738
2020-09-18,1063667,32757,15564,739
2020-09-19,1069626,32840,15564,740
2020-09-20,1072801,32908,15564,741
2020-09-21,1078079,32938,15564,743
2020-09-22,1084893,32999,15564,743
2020-09-23,1092359,33080,15564,744
2020-09-24,1099022,33163,15564,745
2020-09-25,1106444,33238,15564,746
2020-09-26,1111957,33312,15564,746
2020-09-27,1115095,33384,15564,747
2020-09-28,1120363,33414,15564,748
2020-09-29,1127678,33479,15564,749
2020-09-30,1134239,33551,15564,749
2020-10-01,1140378,33662,15564,750
2020-10-02,1147039,33735,15564,751
2020-10-03,1151790,33842,15564,753
2020-10-04,1154457,33901,15564,754
2020-10-05,1159806,33952,15564,756
2020-10-06,1166882,34072,15564,757
2020-10-07,1173582,34193,15564,758
2020-10-08,1173582,34193,15564,758
