date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,1,0,0
2020-04-01,0,2,0,0
2020-04-02,0,2,0,0
2020-04-03,0,2,0,0
2020-04-04,0,4,0,0
2020-04-05,0,6,0,0
2020-04-06,0,6,0,0
2020-04-07,0,6,0,0
2020-04-08,0,7,0,0
2020-04-09,0,7,0,0
2020-04-10,0,8,0,0
2020-04-11,0,8,0,0
2020-04-12,0,10,0,0
2020-04-13,0,10,0,0
2020-04-14,0,11,0,0
2020-04-15,0,13,0,0
2020-04-16,0,15,0,0
2020-04-17,0,26,0,0
2020-04-18,0,30,0,0
2020-04-19,0,35,6,0
2020-04-20,0,43,6,0
2020-04-21,0,50,6,0
2020-04-22,0,61,6,0
2020-04-23,0,64,10,1
2020-04-24,0,82,10,2
2020-04-25,0,82,10,2
2020-04-26,0,93,10,4
2020-04-27,0,93,10,4
2020-04-28,0,104,12,4
2020-04-29,0,104,12,4
2020-04-30,0,124,21,7
2020-05-01,0,136,21,7
2020-05-02,0,155,21,8
2020-05-03,0,166,29,8
2020-05-04,0,178,37,9
2020-05-05,0,199,43,11
2020-05-06,0,225,54,14
2020-05-07,0,231,54,16
2020-05-08,0,257,54,17
2020-05-09,0,291,58,18
2020-05-10,0,307,67,18
2020-05-11,0,338,72,19
2020-05-12,0,338,72,19
2020-05-13,0,387,97,26
2020-05-14,0,408,97,26
2020-05-15,0,447,97,27
2020-05-16,0,462,106,29
2020-05-17,0,505,141,32
2020-05-18,0,519,148,33
2020-05-19,0,534,167,33
2020-05-20,0,570,205,34
2020-05-21,0,585,205,35
2020-05-22,0,606,230,38
2020-05-23,0,621,241,39
2020-05-24,0,707,241,40
2020-05-25,0,735,293,42
2020-05-26,0,754,297,44
2020-05-27,0,782,297,45
2020-05-28,0,812,361,45
2020-05-29,0,829,386,45
2020-05-30,0,852,415,46
2020-05-31,0,861,454,46
2020-06-01,0,865,475,46
2020-06-02,0,896,480,46
2020-06-03,0,909,491,47
2020-06-04,0,914,491,47
2020-06-05,0,929,580,47
2020-06-06,0,946,600,48
2020-06-07,0,969,608,48
2020-06-08,0,1001,611,49
2020-06-09,0,1025,621,50
2020-06-10,0,1062,637,50
2020-06-11,0,1085,642,50
2020-06-12,0,1103,648,51
2020-06-13,0,1132,670,51
2020-06-14,0,1169,680,51
2020-06-15,0,1176,683,51
2020-06-16,0,1225,686,51
2020-06-17,0,1249,707,51
2020-06-18,0,1272,710,51
2020-06-19,0,1298,732,53
2020-06-20,0,1309,746,53
2020-06-21,0,1327,788,55
2020-06-22,0,1340,788,55
2020-06-23,0,1347,853,55
2020-06-24,0,1354,869,55
2020-06-25,0,1354,869,56
2020-06-26,0,1394,914,59
2020-06-27,0,1410,937,59
2020-06-28,0,1427,943,60
2020-06-29,0,1450,961,60
2020-06-30,0,1462,974,60
2020-07-01,0,1498,999,60
2020-07-02,0,1518,1007,60
2020-07-03,0,1524,1042,62
2020-07-04,0,1533,1051,62
2020-07-05,0,1542,1062,62
2020-07-06,0,1547,1086,62
2020-07-07,0,1572,1088,63
2020-07-08,0,1584,1122,63
2020-07-09,0,1598,1123,63
2020-07-10,0,1613,1133,63
2020-07-11,0,1618,1141,63
2020-07-12,0,1635,1154,63
2020-07-13,0,1642,1175,63
2020-07-14,0,1651,1190,64
2020-07-15,0,1668,1200,64
2020-07-16,0,1678,1213,64
2020-07-17,0,1688,1219,65
2020-07-18,0,1701,1237,65
2020-07-19,0,1711,1237,65
2020-07-20,0,1711,1261,66
2020-07-21,0,1727,1273,66
2020-07-22,0,1731,1288,66
2020-07-23,0,1752,1292,66
2020-07-24,0,1765,1297,66
2020-07-25,0,1768,1297,66
2020-07-26,0,1783,1313,66
2020-07-27,0,1783,1317,66
2020-07-28,0,1786,1336,66
2020-07-29,0,1803,1355,67
2020-07-30,0,1818,1362,67
2020-07-31,0,1823,1362,67
2020-08-01,0,1823,1362,67
2020-08-02,0,1843,1375,67
2020-08-03,0,1848,1375,67
2020-08-04,0,1855,1397,67
2020-08-05,0,1860,1401,67
2020-08-06,0,1877,1427,67
2020-08-07,0,1887,1435,68
2020-08-08,0,1895,1442,68
2020-08-09,0,1916,1445,68
2020-08-10,0,1917,1447,69
2020-08-11,0,1932,1478,69
2020-08-12,0,1937,1483,69
2020-08-13,0,1940,1496,69
2020-08-14,0,1947,1502,69
2020-08-15,0,1954,1505,69
2020-08-16,0,1956,1506,69
2020-08-17,0,1956,1506,69
2020-08-18,0,1959,1529,69
2020-08-19,0,1961,1531,69
2020-08-20,0,1969,1536,69
2020-08-21,0,1972,1542,69
2020-08-22,0,1980,1545,69
2020-08-23,0,1992,1550,69
2020-08-24,0,1997,1557,69
2020-08-25,0,2001,1569,69
2020-08-26,0,2003,1577,69
2020-08-27,0,2013,1581,70
2020-08-28,0,2013,1581,70
2020-08-29,0,2019,1591,70
2020-08-30,0,2022,1594,70
2020-08-31,0,2022,1594,70
2020-09-01,0,2028,1594,71
2020-09-02,0,2029,1600,71
2020-09-03,0,2035,1600,71
2020-09-04,0,2041,1602,71
2020-09-05,0,2041,1602,71
2020-09-06,0,2054,1611,71
2020-09-07,0,2055,1611,71
2020-09-08,0,2064,1613,72
2020-09-09,0,2067,1622,72
2020-09-10,0,2069,1622,72
2020-09-11,0,2087,1622,72
2020-09-12,0,2096,1634,72
2020-09-13,0,2109,1636,72
2020-09-14,0,2111,1636,72
2020-09-15,0,2126,1640,72
2020-09-16,0,2133,1646,72
2020-09-17,0,2133,1646,72
2020-09-18,0,2153,1649,72
2020-09-19,0,2159,1650,72
2020-09-20,0,2168,1650,72
2020-09-21,0,2168,1650,72
2020-09-22,0,2174,1652,72
2020-09-23,0,2183,1665,72
2020-09-24,0,2188,1666,72
2020-09-25,0,2199,1678,72
2020-09-26,0,2208,1679,72
2020-09-27,0,2215,1681,72
2020-09-28,0,2215,1681,72
2020-09-29,0,2222,1685,72
2020-09-30,0,2231,1687,72
2020-10-01,0,2238,1695,72
2020-10-02,0,2252,1697,72
2020-10-03,0,2259,1704,72
2020-10-04,0,2269,1706,72
2020-10-05,0,2269,1706,72
2020-10-06,0,2277,1710,72
2020-10-07,0,2277,1710,72
