date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,1,0,0
2020-01-24,0,3,0,0
2020-01-25,0,3,0,0
2020-01-26,0,4,0,0
2020-01-27,0,5,0,0
2020-01-28,0,7,0,0
2020-01-29,0,7,0,0
2020-01-30,0,10,0,0
2020-01-31,0,13,0,0
2020-02-01,0,16,0,0
2020-02-02,0,18,0,0
2020-02-03,0,18,0,0
2020-02-04,0,24,0,0
2020-02-05,0,28,0,0
2020-02-06,0,28,0,0
2020-02-07,0,30,0,0
2020-02-08,0,33,2,0
2020-02-09,0,40,2,0
2020-02-10,0,45,2,0
2020-02-11,0,47,9,0
2020-02-12,0,50,15,0
2020-02-13,0,58,15,0
2020-02-14,0,67,17,0
2020-02-15,0,72,18,0
2020-02-16,0,75,18,0
2020-02-17,0,77,24,0
2020-02-18,0,81,29,0
2020-02-19,0,84,34,0
2020-02-20,0,84,34,0
2020-02-21,0,85,37,0
2020-02-22,0,85,37,0
2020-02-23,0,89,51,0
2020-02-24,0,89,51,0
2020-02-25,0,91,53,0
2020-02-26,0,93,62,0
2020-02-27,0,93,62,0
2020-02-28,0,93,62,0
2020-02-29,0,102,72,0
2020-03-01,0,106,72,0
2020-03-02,0,108,78,0
2020-03-03,0,110,78,0
2020-03-04,0,110,78,0
2020-03-05,0,117,78,0
2020-03-06,0,130,78,0
2020-03-07,0,138,78,0
2020-03-08,0,150,78,0
2020-03-09,0,150,78,0
2020-03-10,0,160,78,0
2020-03-11,0,178,96,0
2020-03-12,0,178,96,0
2020-03-13,0,200,97,0
2020-03-14,0,212,105,0
2020-03-15,0,226,105,0
2020-03-16,0,243,109,0
2020-03-17,0,266,114,0
2020-03-18,0,313,114,0
2020-03-19,0,345,114,0
2020-03-20,0,385,124,0
2020-03-21,0,432,140,2
2020-03-22,0,455,144,2
2020-03-23,0,509,144,2
2020-03-24,0,558,156,2
2020-03-25,0,631,160,2
2020-03-26,0,683,172,2
2020-03-27,0,732,183,2
2020-03-28,0,802,198,2
2020-03-29,0,844,212,3
2020-03-30,0,879,228,3
2020-03-31,0,926,240,3
2020-04-01,0,1000,245,3
2020-04-02,0,1049,266,4
2020-04-03,0,1114,282,5
2020-04-04,0,1189,297,6
2020-04-05,0,1309,320,6
2020-04-06,0,1375,344,6
2020-04-07,72680,1481,377,6
2020-04-08,72680,1623,406,6
2020-04-09,72680,1910,460,6
2020-04-10,72680,2108,492,7
2020-04-11,72680,2299,528,8
2020-04-12,72680,2532,560,8
2020-04-13,72680,2918,586,9
2020-04-14,94796,3252,611,10
2020-04-15,94796,3699,652,10
2020-04-16,94796,4427,683,10
2020-04-17,94796,5050,708,11
2020-04-18,94796,5992,740,11
2020-04-19,94796,6588,768,11
2020-04-20,121774,8014,801,11
2020-04-21,121774,9125,839,11
2020-04-22,121774,10141,896,12
2020-04-23,121774,11178,924,12
2020-04-24,121774,12075,956,12
2020-04-25,121774,12693,1002,12
2020-04-26,121774,13624,1060,12
2020-04-27,143919,14423,1095,14
2020-04-28,143919,14951,1128,14
2020-04-29,143919,15641,1188,14
2020-04-30,143919,16169,1244,15
2020-05-01,143919,17101,1268,16
2020-05-02,143919,17548,1347,17
2020-05-03,143919,18205,1408,18
2020-05-04,175604,18778,1457,18
2020-05-05,175604,19410,1519,18
2020-05-06,175604,20198,1634,20
2020-05-07,175604,20939,1712,20
2020-05-08,175604,21707,2040,20
2020-05-09,175604,22460,2296,20
2020-05-10,246254,23336,2721,20
2020-05-11,246254,23822,3225,21
2020-05-12,246254,24671,3851,21
2020-05-13,246254,25346,4809,21
2020-05-14,246254,26098,5973,21
2020-05-15,246254,26891,7248,21
2020-05-16,246254,27356,8342,22
2020-05-17,246254,28038,9340,22
2020-05-18,294414,28343,9835,22
2020-05-19,294414,28794,10365,22
2020-05-20,294414,29364,11207,22
2020-05-21,294414,29812,12117,23
2020-05-22,294414,30426,12995,23
2020-05-23,294414,31068,13882,23
2020-05-24,294414,31616,14876,23
2020-05-25,334691,31960,15738,23
2020-05-26,334691,32343,16444,23
2020-05-27,334691,32876,17276,23
2020-05-28,334691,33249,18294,23
2020-05-29,334691,33860,19631,23
2020-05-30,334691,34366,20727,23
2020-05-31,334691,34884,21699,23
2020-06-01,408495,35292,22466,24
2020-06-02,408495,35836,23175,24
2020-06-03,408495,36405,23582,24
2020-06-04,408495,36922,23904,24
2020-06-05,408495,37183,24209,24
2020-06-06,408495,37527,24559,25
2020-06-07,408495,37910,24886,25
2020-06-08,488695,38296,25368,25
2020-06-09,488695,38514,25877,25
2020-06-10,488695,38965,26532,25
2020-06-11,488695,39387,27286,25
2020-06-12,488695,39850,28040,25
2020-06-13,488695,40197,28808,26
2020-06-14,488695,40604,29589,26
2020-06-15,576189,40818,30366,26
2020-06-16,576189,40969,31163,26
2020-06-17,576189,41216,31938,26
2020-06-18,576189,41473,32712,26
2020-06-19,576189,41615,33459,26
2020-06-20,576189,41833,34224,26
2020-06-21,576189,42095,34942,26
2020-06-22,684359,42313,35590,26
2020-06-23,684359,42432,35995,26
2020-06-24,684359,42623,36299,26
2020-06-25,684359,42736,36604,26
2020-06-26,684359,42955,36825,26
2020-06-27,684359,43246,37163,26
2020-06-28,684359,43459,37508,26
2020-06-29,757746,43661,37985,26
2020-06-30,757746,43907,38500,26
2020-07-01,757746,44122,39011,26
2020-07-02,757746,44310,39429,26
2020-07-03,757746,44479,39769,26
2020-07-04,757746,44664,40117,26
2020-07-05,757746,44800,40441,26
2020-07-06,866414,44983,40717,26
2020-07-07,866414,45140,41002,26
2020-07-08,866414,45298,41323,26
2020-07-09,866414,45423,41645,26
2020-07-10,866414,45614,41780,26
2020-07-11,866414,45783,42026,26
2020-07-12,866414,45961,42285,26
2020-07-13,1009532,46283,42541,26
2020-07-14,1009532,46630,42737,27
2020-07-15,1009532,46878,42988,27
2020-07-16,1009532,47126,43256,27
2020-07-17,1009532,47453,43577,27
2020-07-18,1009532,47655,43833,27
2020-07-19,1009532,47912,44086,27
2020-07-20,1170049,48035,44371,27
2020-07-21,1170049,48434,44584,27
2020-07-22,1170049,48744,44795,27
2020-07-23,1170049,49098,45015,27
2020-07-24,1170049,49375,45172,27
2020-07-25,1170049,49888,45352,27
2020-07-26,1170049,50369,45521,27
2020-07-27,1321094,50838,45692,27
2020-07-28,1321094,51197,45893,27
2020-07-29,1321094,51531,46098,27
2020-07-30,1321094,51809,46308,27
2020-07-31,1321094,52205,46491,27
2020-08-01,1321094,52512,46740,27
2020-08-02,1321094,52825,46926,27
2020-08-03,1474372,53051,47179,27
2020-08-04,1474372,53346,47454,27
2020-08-05,1474372,54254,47768,27
2020-08-06,1474372,54555,48031,27
2020-08-07,1474372,54797,48312,27
2020-08-08,1474372,54929,48583,27
2020-08-09,1474372,55104,48915,27
2020-08-10,1474372,55292,49609,27
2020-08-11,1610906,55353,50128,27
2020-08-12,1610906,55395,50520,27
2020-08-13,1610906,55497,50736,27
2020-08-14,1610906,55580,51049,27
2020-08-15,1610906,55661,51521,27
2020-08-16,1610906,55747,51953,27
2020-08-17,1610906,55838,52350,27
2020-08-18,1745928,55938,52533,27
2020-08-19,1745928,56031,52810,27
2020-08-20,1745928,56099,53119,27
2020-08-21,1745928,56216,53651,27
2020-08-22,1745928,56266,53920,27
2020-08-23,1745928,56353,54164,27
2020-08-24,1832813,56404,54587,27
2020-08-25,1832813,56435,54816,27
2020-08-26,1832813,56495,54971,27
2020-08-27,1832813,56572,55139,27
2020-08-28,1832813,56666,55337,27
2020-08-29,1832813,56717,55447,27
2020-08-30,1832813,56771,55586,27
2020-08-31,2068284,56812,55658,27
2020-09-01,2068284,56852,55749,27
2020-09-02,2068284,56860,55891,27
2020-09-03,2068284,56908,56028,27
2020-09-04,2068284,56948,56174,27
2020-09-05,2068284,56982,56267,27
2020-09-06,2068284,57022,56333,27
2020-09-07,2281104,57044,56408,27
2020-09-08,2281104,57091,56461,27
2020-09-09,2281104,57166,56492,27
2020-09-10,2281104,57229,56558,27
2020-09-11,2281104,57315,56607,27
2020-09-12,2281104,57357,56699,27
2020-09-13,2281104,57406,56764,27
2020-09-14,2281104,57454,56802,27
2020-09-15,2498073,57488,56884,27
2020-09-16,2498073,57514,56955,27
2020-09-17,2498073,57532,57039,27
2020-09-18,2498073,57543,57071,27
2020-09-19,2498073,57558,57142,27
2020-09-20,2498073,57576,57181,27
2020-09-21,2692047,57606,57241,27
2020-09-22,2692047,57627,57262,27
2020-09-23,2692047,57639,57291,27
2020-09-24,2692047,57654,57333,27
2020-09-25,2692047,57665,57341,27
2020-09-26,2692047,57685,57359,27
2020-09-27,2692047,57700,57367,27
2020-09-28,2885545,57715,57393,27
2020-09-29,2885545,57742,57466,27
2020-09-30,2885545,57765,57488,27
2020-10-01,2885545,57784,57512,27
2020-10-02,2885545,57794,57534,27
2020-10-03,2885545,57800,57562,27
2020-10-04,2885545,57812,57575,27
2020-10-05,3072368,57819,57597,27
2020-10-06,3072368,57830,57612,27
