date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,3863,131,0,0
2020-03-13,5060,179,0,0
2020-03-14,5976,215,0,1
2020-03-15,6566,250,0,1
2020-03-16,7437,277,0,1
2020-03-17,8558,287,0,1
2020-03-18,9584,319,0,1
2020-03-19,10768,342,0,1
2020-03-20,12010,368,0,1
2020-03-21,12882,406,0,1
2020-03-22,13613,440,0,1
2020-03-23,14870,476,0,3
2020-03-24,16113,526,0,4
2020-03-25,17294,562,10,5
2020-03-26,18369,632,10,7
2020-03-27,19756,684,10,9
2020-03-28,20753,730,10,11
2020-03-29,21349,756,10,11
2020-03-30,22474,802,10,13
2020-03-31,23762,841,10,15
2020-04-01,24857,897,10,16
2020-04-02,25921,934,70,20
2020-04-03,27109,977,70,22
2020-04-04,27764,997,79,28
2020-04-05,28253,1021,79,30
2020-04-06,29455,1055,102,36
2020-04-07,30669,1091,102,40
2020-04-08,31813,1124,120,43
2020-04-09,33047,1160,128,45
2020-04-10,34279,1188,137,50
2020-04-11,34851,1205,148,53
2020-04-12,35405,1212,150,55
2020-04-13,35946,1220,152,56
2020-04-14,37114,1247,152,61
2020-04-15,38137,1268,165,61
2020-04-16,39330,1304,174,66
2020-04-17,40580,1317,174,70
2020-04-18,41265,1330,190,74
2020-04-19,41802,1335,192,77
2020-04-20,42976,1344,193,77
2020-04-21,44435,1353,197,79
2020-04-22,45703,1366,205,79
2020-04-23,47018,1373,211,80
2020-04-24,48179,1388,211,81
2020-04-25,48973,1396,219,82
2020-04-26,49607,1402,221,83
2020-04-27,50290,1408,221,86
2020-04-28,51607,1418,223,89
2020-04-29,52948,1429,230,91
2020-04-30,54300,1434,233,93
2020-05-01,55020,1439,233,94
2020-05-02,55520,1439,239,96
2020-05-03,56136,1439,241,97
2020-05-04,57474,1445,241,98
2020-05-05,58923,1448,244,99
2020-05-06,59978,1449,246,99
2020-05-07,61027,1450,247,100
2020-05-08,62203,1454,252,101
2020-05-09,62828,1457,255,102
2020-05-10,63365,1460,256,102
2020-05-11,64547,1461,256,102
2020-05-12,65694,1463,259,103
2020-05-13,66678,1464,260,103
2020-05-14,67701,1465,267,103
2020-05-15,68852,1465,270,103
2020-05-16,69363,1466,272,104
2020-05-17,69842,1466,273,104
2020-05-18,70970,1467,1335,104
2020-05-19,71951,1468,1338,105
2020-05-20,72860,1468,1340,106
2020-05-21,73742,1468,1340,106
2020-05-22,74419,1468,1340,106
2020-05-23,74760,1468,1340,107
2020-05-24,75016,1469,1340,107
2020-05-25,75770,1469,1346,108
2020-05-26,76579,1471,1346,108
2020-05-27,77210,1473,1354,108
2020-05-28,77916,1473,1356,108
2020-05-29,78529,1473,1357,108
2020-05-30,78793,1473,1357,108
2020-05-31,79039,1473,1358,109
2020-06-01,79698,1475,1358,109
2020-06-02,80505,1477,1358,109
2020-06-03,81333,1477,1358,109
2020-06-04,82161,1479,1359,109
2020-06-05,82876,1484,1359,109
2020-06-06,83105,1485,1359,109
2020-06-07,83316,1485,1359,109
2020-06-08,84130,1486,1359,109
2020-06-09,84868,1488,1359,109
2020-06-10,85626,1488,1359,109
2020-06-11,86328,1490,1359,109
2020-06-12,87095,1492,1359,109
2020-06-13,87386,1495,1359,109
2020-06-14,87598,1496,1359,109
2020-06-15,88165,1499,1359,109
2020-06-16,89151,1503,1359,109
2020-06-17,90103,1511,1359,109
2020-06-18,91005,1513,1359,109
2020-06-19,92152,1519,1359,109
2020-06-20,92919,1520,1359,109
2020-06-21,93181,1521,1376,109
2020-06-22,94165,1534,1376,111
2020-06-23,95387,1541,1376,111
2020-06-24,96599,1547,1376,111
2020-06-25,97442,1558,1376,111
2020-06-26,98320,1572,1376,111
2020-06-27,98945,1581,1376,111
2020-06-28,99245,1585,1384,111
2020-06-29,100330,1600,1384,111
2020-06-30,101729,1613,1384,111
2020-07-01,102927,1633,1384,111
2020-07-02,104201,1649,1384,111
2020-07-03,105652,1679,1384,111
2020-07-04,106368,1700,1384,111
2020-07-05,106898,1716,1384,111
2020-07-06,108228,1739,1384,111
2020-07-07,109835,1763,1423,111
2020-07-08,111106,1776,1429,111
2020-07-09,112496,1793,1429,111
2020-07-10,113665,1827,1429,111
2020-07-11,114215,1841,1429,111
2020-07-12,114665,1849,1469,111
2020-07-13,115873,1859,1473,111
2020-07-14,116985,1878,1488,111
2020-07-15,118017,1897,1501,111
2020-07-16,119029,1916,1522,111
2020-07-17,120056,1940,1522,111
2020-07-18,120536,1946,1568,112
2020-07-19,120907,1953,1568,113
2020-07-20,121821,1977,1603,114
2020-07-21,122971,2006,1625,115
2020-07-22,123906,2033,1648,115
2020-07-23,124754,2052,1661,115
2020-07-24,125672,2066,1678,116
2020-07-25,126237,2082,1678,116
2020-07-26,126572,2087,1678,116
2020-07-27,127446,2101,1733,117
2020-07-28,128365,2115,1742,117
2020-07-29,129244,2139,1761,118
2020-07-30,130161,2156,1780,119
2020-07-31,131053,2171,1797,119
2020-08-01,131427,2180,1821,120
2020-08-02,131699,2181,1826,122
2020-08-03,132589,2190,1831,123
2020-08-04,133563,2208,1854,124
2020-08-05,134334,2223,1884,125
2020-08-06,135087,2233,1909,125
2020-08-07,135916,2247,1927,126
2020-08-08,136220,2249,1927,127
2020-08-09,136542,2255,1927,128
2020-08-10,137600,2272,1960,129
2020-08-11,138718,2303,1960,129
2020-08-12,139574,2332,1960,129
2020-08-13,140511,2369,1960,129
2020-08-14,141545,2401,2027,129
2020-08-15,141927,2416,2042,129
2020-08-16,142320,2429,2051,129
2020-08-17,143463,2456,2052,129
2020-08-18,144555,2493,2052,129
2020-08-19,145723,2536,2079,129
2020-08-20,146819,2574,2079,130
2020-08-21,148022,2617,2079,131
2020-08-22,148782,2651,2079,131
2020-08-23,149235,2665,2079,133
2020-08-24,150695,2686,2122,133
2020-08-25,152134,2722,2139,133
2020-08-26,153433,2755,2170,133
2020-08-27,154771,2797,2199,133
2020-08-28,156099,2834,2236,133
2020-08-29,156868,2865,2268,133
2020-08-30,157456,2883,2283,133
2020-08-31,158871,2924,2296,133
2020-09-01,160479,2979,2323,134
2020-09-02,162132,3032,2359,134
2020-09-03,163865,3079,2402,134
2020-09-04,165573,3122,2440,135
2020-09-05,166785,3165,2483,135
2020-09-06,167491,3190,2483,135
2020-09-07,169072,3232,2530,135
2020-09-08,171632,3312,2533,135
2020-09-09,174121,3388,2587,135
2020-09-10,176879,3498,2620,135
2020-09-11,180070,3603,2662,135
2020-09-12,181863,3702,2699,135
2020-09-13,182973,3749,2730,135
2020-09-14,185220,3831,2730,135
2020-09-15,188343,3954,2789,135
2020-09-16,191413,4058,2844,136
2020-09-17,194970,4195,2897,140
2020-09-18,198040,4309,2939,141
2020-09-19,200328,4420,2981,142
2020-09-20,201312,4470,3023,142
2020-09-21,203647,4558,3048,142
2020-09-22,206263,4694,3048,143
2020-09-23,209111,4816,3168,145
2020-09-24,212756,5007,3245,145
2020-09-25,215531,5191,3353,146
2020-09-26,217448,5360,3457,147
2020-09-27,218357,5388,3555,149
2020-09-28,220739,5487,3600,149
2020-09-29,224130,5690,3682,150
2020-09-30,227029,5865,3804,152
2020-10-01,230310,6103,3906,154
2020-10-02,233203,6330,4041,155
2020-10-03,235143,6498,4041,155
2020-10-04,236177,6574,4265,157
2020-10-05,238686,6764,4265,160
2020-10-06,242687,7120,4399,160
2020-10-07,242687,7120,4399,160
