date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,61,0,0,0
2020-02-12,61,0,0,0
2020-02-13,67,0,0,0
2020-02-14,71,0,0,0
2020-02-15,71,0,0,0
2020-02-16,71,0,0,0
2020-02-17,71,0,0,0
2020-02-18,71,0,0,0
2020-02-19,95,0,0,0
2020-02-20,106,0,0,0
2020-02-21,106,0,0,0
2020-02-22,106,0,0,0
2020-02-23,106,0,0,0
2020-02-24,116,0,0,0
2020-02-25,116,0,0,0
2020-02-26,121,0,0,0
2020-02-27,121,0,0,0
2020-02-28,121,0,0,0
2020-02-29,121,0,0,0
2020-03-01,121,0,0,0
2020-03-02,160,0,0,0
2020-03-03,164,0,0,0
2020-03-04,164,0,0,0
2020-03-05,164,1,0,0
2020-03-06,200,1,0,0
2020-03-07,241,2,0,0
2020-03-08,241,3,0,0
2020-03-09,241,7,0,0
2020-03-10,241,7,0,0
2020-03-11,645,13,0,0
2020-03-12,848,16,0,0
2020-03-13,924,24,0,0
2020-03-14,1017,38,0,0
2020-03-15,1476,51,0,0
2020-03-16,2405,62,0,0
2020-03-17,2911,85,0,0
2020-03-18,3070,116,0,0
2020-03-19,4832,150,0,0
2020-03-20,6438,202,0,0
2020-03-21,7425,240,0,0
2020-03-22,9315,274,1,0
2020-03-23,12815,402,1,0
2020-03-24,15529,554,2,0
2020-03-25,15529,709,4,0
2020-03-26,20471,927,4,0
2020-03-27,28537,1170,31,1
2020-03-28,31963,1187,31,1
2020-03-29,35593,1280,31,2
2020-03-30,38409,1326,31,3
2020-03-31,41072,1353,31,5
2020-04-01,44292,1380,31,5
2020-04-02,47965,1462,45,5
2020-04-03,50361,1505,45,9
2020-04-04,53937,1585,45,9
2020-04-05,56873,1655,45,11
2020-04-06,58098,1686,45,12
2020-04-07,58098,1749,45,13
2020-04-08,63776,1845,45,18
2020-04-09,68874,1934,45,18
2020-04-10,73028,2003,410,24
2020-04-11,75053,2028,410,25
2020-04-12,80085,2173,410,25
2020-04-13,83663,2272,410,27
2020-04-14,87022,2415,410,27
2020-04-15,90515,2506,410,34
2020-04-16,95060,2605,903,48
2020-04-17,100827,2783,903,50
2020-04-18,108201,3034,903,52
2020-04-19,114711,3158,903,54
2020-04-20,121510,3300,1055,58
2020-04-21,126937,3465,1055,58
2020-04-22,133774,3635,1055,65
2020-04-23,143570,3953,1473,75
2020-04-24,152390,4220,1473,79
2020-04-25,161004,4361,1473,86
2020-04-26,168643,4546,1473,87
2020-04-27,178470,4793,1473,90
2020-04-28,185497,4996,1473,93
2020-04-29,197127,5350,2073,103
2020-04-30,207530,5647,2073,103
2020-05-01,217522,5951,2382,116
2020-05-02,230686,6336,2549,123
2020-05-03,245747,6783,2549,131
2020-05-04,257541,7220,2746,138
2020-05-05,268064,7572,2746,148
2020-05-06,279379,7808,3153,153
2020-05-07,292153,8232,3153,161
2020-05-08,307752,8895,3153,178
2020-05-09,324079,9420,3983,186
2020-05-10,341336,10015,4173,194
2020-05-11,356067,10652,4357,206
2020-05-12,369697,11350,4357,206
2020-05-13,386352,12074,4745,219
2020-05-14,403018,12739,5676,238
2020-05-15,421555,13524,6083,247
2020-05-16,439559,14355,6478,261
2020-05-17,460873,15515,7006,264
2020-05-18,475071,16433,7298,286
2020-05-19,488609,17200,7960,312
2020-05-20,505861,18003,8950,339
2020-05-21,525433,19137,8950,369
2020-05-22,543032,20125,10104,397
2020-05-23,564370,21343,10104,407
2020-05-24,583855,22583,11100,429
2020-05-25,596777,23615,11917,481
2020-05-26,605991,24264,12741,524
2020-05-27,634996,25937,13451,552
2020-05-28,655723,27403,14370,577
2020-05-29,680175,29240,15093,611
2020-05-30,701883,30967,16116,643
2020-05-31,725125,32683,16809,683
2020-06-01,742742,34357,17291,705
2020-06-02,761534,35812,18313,755
2020-06-03,785979,37525,19682,792
2020-06-04,820675,40792,21311,848
2020-06-05,850871,43434,23088,908
2020-06-06,891668,45973,24258,952
2020-06-07,920064,48285,24364,998
2020-06-08,943059,50879,26099,1080
2020-06-09,968070,52991,29006,1162
2020-06-10,998400,55421,31505,1210
2020-06-11,1028399,58568,33252,1284
2020-06-12,1060425,61927,35008,1354
2020-06-13,1087887,65736,36850,1423
2020-06-14,1121958,70038,38531,1480
2020-06-15,1148933,73533,39867,1568
2020-06-16,1172513,76334,42063,1625
2020-06-17,1207360,80412,44343,1674
2020-06-18,1228098,83890,44920,1737
2020-06-19,1260434,87715,47825,1831
2020-06-20,1293608,92681,50326,1877
2020-06-21,1328060,97302,51608,1930
2020-06-22,1353176,101590,53444,1991
2020-06-23,1382772,106108,55045,2102
2020-06-24,1416894,111796,56874,2205
2020-06-25,1460012,118375,59974,2292
2020-06-26,1493104,124590,64111,2340
2020-06-27,1529009,131800,67094,2413
2020-06-28,1567084,138134,68925,2456
2020-06-29,1596995,144264,70614,2529
2020-06-30,1630008,151209,73543,2657
2020-07-01,1666939,159333,76025,2749
2020-07-02,1706127,168061,81999,2844
2020-07-03,1745153,177124,86298,2952
2020-07-04,1792078,187977,91227,3026
2020-07-05,1830161,196750,93315,3199
2020-07-06,1864111,205721,97848,3310
2020-07-07,1907532,215855,102299,3502
2020-07-08,1944399,224665,106842,3602
2020-07-09,2000569,238339,113061,3720
2020-07-10,2057232,250687,118232,3860
2020-07-11,2108570,264184,127715,3971
2020-07-12,2154391,276242,134874,4079
2020-07-13,2194624,287796,138241,4172
2020-07-14,2232738,298292,146279,4346
2020-07-15,2278127,311049,160693,4453
2020-07-16,2324923,324221,165591,4669
2020-07-17,2373053,337594,178183,4804
2020-07-18,2422741,350879,182230,4948
2020-07-19,2471747,364328,191059,5033
2020-07-20,2505646,373628,194865,5173
2020-07-21,2536921,381798,208144,5368
2020-07-22,2585474,394948,229175,5940
2020-07-23,2632106,408052,236260,6093
2020-07-24,2684488,421996,245771,6343
2020-07-25,2730812,434200,263054,6655
2020-07-26,2773778,445433,265077,6769
2020-07-27,2802211,452529,274925,7067
2020-07-28,2830635,459761,287313,7257
2020-07-29,2873163,471123,297967,7497
2020-07-30,2918049,482169,309601,7812
2020-07-31,2959535,493183,326171,8005
2020-08-01,3001985,503290,342461,8153
2020-08-02,3036779,511485,347227,8366
2020-08-03,3058695,516862,358037,8539
2020-08-04,3078202,521318,363751,8884
2020-08-05,3113191,529877,377266,9298
2020-08-06,3149807,538184,387316,9604
2020-08-07,3183658,545476,394759,9909
2020-08-08,3220265,553188,404568,10210
2020-08-09,3250583,559858,411147,10408
2020-08-10,3267494,563598,417200,10621
2020-08-11,3278977,566109,426125,10751
2020-08-12,3295434,568919,432029,11010
2020-08-13,3315497,572865,437617,11270
2020-08-14,3351111,579140,461734,11556
2020-08-15,3378029,583653,466941,11677
2020-08-16,3400638,587345,472377,11839
2020-08-17,3415670,589886,477671,11982
2020-08-18,3430347,592144,485468,12264
2020-08-19,3455671,596060,491441,12423
2020-08-20,3480283,599940,497169,12618
2020-08-21,3504507,603338,500102,12843
2020-08-22,3535067,607045,504127,12987
2020-08-23,3553425,609773,506470,13059
2020-08-24,3564065,611450,516494,13159
2020-08-25,3578836,613017,520381,13308
2020-08-26,3598973,615701,525242,13502
2020-08-27,3617982,618286,531338,13628
2020-08-28,3632311,620123,533935,13743
2020-08-29,3652970,622551,536694,13981
2020-08-30,3674872,625056,538604,14028
2020-08-31,3693721,627041,540923,14149
2020-09-01,3705408,628259,549993,14263
2020-09-02,3726721,630595,553456,14389
2020-09-03,3747101,633015,554887,14563
2020-09-04,3765700,635078,557818,14678
2020-09-05,3783823,636884,561204,14779
2020-09-06,3800190,638517,563891,14889
2020-09-07,3808949,639362,566555,15004
2020-09-08,3821162,640441,567729,15086
2020-09-09,3842898,642431,569935,15168
2020-09-10,3863453,644438,573003,15265
2020-09-11,3884166,646398,574587,15378
2020-09-12,3902786,648214,576423,15427
2020-09-13,3918478,649793,577906,15447
2020-09-14,3928614,650749,579289,15499
2020-09-15,3940217,651521,583126,15641
2020-09-16,3961179,653444,584195,15705
2020-09-17,3983533,655572,585303,15772
2020-09-18,4003590,657627,586844,15857
2020-09-19,4024659,659656,589434,15940
2020-09-20,4041543,661211,590071,15953
2020-09-21,4047723,661936,591208,15992
2020-09-22,4064117,663282,592904,16118
2020-09-23,4083757,665188,594229,16206
2020-09-24,4102162,667049,595916,16283
2020-09-25,4117079,668529,599149,16312
2020-09-26,4128438,669498,601818,16376
2020-09-27,4143466,670766,603721,16398
