date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,1,0,0
2020-04-06,0,1,0,0
2020-04-07,0,2,0,0
2020-04-08,0,2,0,0
2020-04-09,0,3,0,0
2020-04-10,0,4,0,0
2020-04-11,0,4,0,0
2020-04-12,0,4,0,0
2020-04-13,0,4,0,0
2020-04-14,0,4,0,0
2020-04-15,0,4,0,0
2020-04-16,0,4,0,0
2020-04-17,0,4,0,0
2020-04-18,0,4,0,0
2020-04-19,0,4,0,0
2020-04-20,0,4,0,0
2020-04-21,0,4,0,0
2020-04-22,0,4,0,0
2020-04-23,0,5,0,0
2020-04-24,0,5,0,0
2020-04-25,0,5,0,0
2020-04-26,0,6,0,0
2020-04-27,0,6,0,0
2020-04-28,0,34,0,0
2020-04-29,0,34,0,0
2020-04-30,0,35,0,0
2020-05-01,0,45,0,0
2020-05-02,0,45,0,0
2020-05-03,0,46,0,0
2020-05-04,0,46,0,0
2020-05-05,0,52,0,0
2020-05-06,0,58,0,0
2020-05-07,0,74,0,0
2020-05-08,0,120,2,0
2020-05-09,0,120,2,0
2020-05-10,0,120,2,0
2020-05-11,0,156,2,0
2020-05-12,0,194,2,0
2020-05-13,0,203,2,0
2020-05-14,0,203,3,0
2020-05-15,0,236,4,4
2020-05-16,0,236,4,4
2020-05-17,0,290,4,4
2020-05-18,0,290,4,4
2020-05-19,0,290,4,4
2020-05-20,0,290,4,4
2020-05-21,0,481,4,4
2020-05-22,0,563,6,6
2020-05-23,0,655,6,8
2020-05-24,0,655,6,8
2020-05-25,0,806,6,8
2020-05-26,0,806,6,8
2020-05-27,0,994,6,10
2020-05-28,0,994,6,10
2020-05-29,0,994,6,10
2020-05-30,0,994,6,10
2020-05-31,0,994,6,10
2020-06-01,0,994,6,10
2020-06-02,0,994,6,10
2020-06-03,0,994,6,10
2020-06-04,0,994,6,10
2020-06-05,0,994,6,10
2020-06-06,0,994,6,10
2020-06-07,0,1317,6,14
2020-06-08,0,1604,15,19
2020-06-09,0,1604,15,19
2020-06-10,0,1604,15,19
2020-06-11,0,1670,48,24
2020-06-12,0,1670,48,24
2020-06-13,0,1693,49,27
2020-06-14,0,1693,49,27
2020-06-15,0,1693,49,27
2020-06-16,0,1776,58,30
2020-06-17,0,1813,89,31
2020-06-18,0,1830,117,32
2020-06-19,0,1864,122,34
2020-06-20,0,1882,122,34
2020-06-21,0,1892,169,34
2020-06-22,0,1916,190,35
2020-06-23,0,1930,217,36
2020-06-24,0,1942,224,36
2020-06-25,0,1942,224,36
2020-06-26,0,1942,224,36
2020-06-27,0,1942,224,36
2020-06-28,0,1989,246,36
2020-06-29,0,1989,246,36
2020-06-30,0,2007,279,38
2020-07-01,0,2021,333,38
2020-07-02,0,2021,333,38
2020-07-03,0,2021,333,38
2020-07-04,0,2021,333,38
2020-07-05,0,2021,333,38
2020-07-06,0,2021,333,38
2020-07-07,0,2021,333,38
2020-07-08,0,2021,333,38
2020-07-09,0,2021,333,38
2020-07-10,0,2021,333,38
2020-07-11,0,2021,333,38
2020-07-12,0,2021,333,38
2020-07-13,0,2148,333,41
2020-07-14,0,2148,333,41
2020-07-15,0,2153,1175,41
2020-07-16,0,2171,1175,41
2020-07-17,0,2191,1175,43
2020-07-18,0,2191,1175,43
2020-07-19,0,2200,1175,43
2020-07-20,0,2211,1175,45
2020-07-21,0,2211,1175,45
2020-07-22,0,2211,1175,45
2020-07-23,0,2239,1175,45
2020-07-24,0,2258,1175,45
2020-07-25,0,2258,1175,45
2020-07-26,0,2262,1175,45
2020-07-27,0,2305,1175,46
2020-07-28,0,2305,1175,46
2020-07-29,0,2322,1175,46
2020-07-30,0,2322,1175,46
2020-07-31,0,2322,1175,46
2020-08-01,0,2352,1175,46
2020-08-02,0,2429,1175,46
2020-08-03,0,2429,1175,46
2020-08-04,0,2437,1175,47
2020-08-05,0,2437,1175,47
2020-08-06,0,2450,1175,47
2020-08-07,0,2450,1175,47
2020-08-08,0,2463,1175,47
2020-08-09,0,2470,1175,47
2020-08-10,0,2470,1175,47
2020-08-11,0,2472,1175,47
2020-08-12,0,2477,1175,47
2020-08-13,0,2478,1175,47
2020-08-14,0,2482,1175,47
2020-08-15,0,2488,1175,47
2020-08-16,0,2489,1175,47
2020-08-17,0,2490,1175,47
2020-08-18,0,2490,1175,47
2020-08-19,0,2494,1290,47
2020-08-20,0,2494,1290,47
2020-08-21,0,2497,1290,47
2020-08-22,0,2497,1290,47
2020-08-23,0,2499,1290,47
2020-08-24,0,2504,1290,47
2020-08-25,0,2507,1290,47
2020-08-26,0,2510,1290,47
2020-08-27,0,2514,1290,47
2020-08-28,0,2518,1290,47
2020-08-29,0,2519,1290,47
2020-08-30,0,2519,1290,47
2020-08-31,0,2527,1290,47
2020-09-01,0,2527,1290,47
2020-09-02,0,2532,1290,47
2020-09-03,0,2533,1290,47
2020-09-04,0,2536,1290,47
2020-09-05,0,2544,1290,48
2020-09-06,0,2544,1290,48
2020-09-07,0,2545,1290,48
2020-09-08,0,2552,1290,49
2020-09-09,0,2555,1290,49
2020-09-10,0,2555,1290,49
2020-09-11,0,2568,1290,49
2020-09-12,0,2578,1290,49
2020-09-13,0,2578,1290,49
2020-09-14,0,2587,1290,49
2020-09-15,0,2592,1290,49
2020-09-16,0,2594,1290,49
2020-09-17,0,2599,1290,49
2020-09-18,0,2609,1290,49
2020-09-19,0,2642,1290,49
2020-09-20,0,2642,1290,49
2020-09-21,0,2649,1290,49
2020-09-22,0,2660,1290,49
2020-09-23,0,2664,1290,49
2020-09-24,0,2669,1290,49
2020-09-25,0,2676,1290,49
2020-09-26,0,2676,1290,49
2020-09-27,0,2686,1290,49
2020-09-28,0,2692,1290,49
2020-09-29,0,2700,1290,49
2020-09-30,0,2704,1290,49
2020-10-01,0,2704,1290,49
2020-10-02,0,2715,1290,50
2020-10-03,0,2715,1290,50
2020-10-04,0,2726,1290,50
2020-10-05,0,2726,1290,50
2020-10-06,0,2734,1290,50
2020-10-07,0,2748,1290,50
2020-10-08,0,2748,1290,50
