date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1,0,0
2020-01-28,0,1,0,0
2020-01-29,0,1,0,0
2020-01-30,0,1,0,0
2020-01-31,0,1,0,0
2020-02-01,0,1,0,0
2020-02-02,0,1,0,0
2020-02-03,0,1,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,1,0
2020-02-09,0,1,1,0
2020-02-10,0,1,1,0
2020-02-11,0,1,1,0
2020-02-12,0,1,1,0
2020-02-13,0,1,1,0
2020-02-14,0,1,1,0
2020-02-15,0,1,1,0
2020-02-16,0,1,1,0
2020-02-17,0,1,1,0
2020-02-18,1,1,1,0
2020-02-19,1,1,1,0
2020-02-20,2,1,1,0
2020-02-21,2,1,1,0
2020-02-22,2,1,1,0
2020-02-23,2,1,1,0
2020-02-24,2,1,1,0
2020-02-25,2,1,1,0
2020-02-26,4,1,1,0
2020-02-27,6,1,1,0
2020-02-28,11,1,1,0
2020-02-29,14,1,1,0
2020-03-01,15,1,1,0
2020-03-02,25,1,1,0
2020-03-03,31,1,1,0
2020-03-04,40,1,1,0
2020-03-05,41,1,1,0
2020-03-06,45,1,1,0
2020-03-07,52,1,1,0
2020-03-08,55,1,1,0
2020-03-09,56,1,1,0
2020-03-10,68,1,1,0
2020-03-11,78,2,1,0
2020-03-12,95,2,1,0
2020-03-13,120,6,1,0
2020-03-14,208,10,1,0
2020-03-15,273,18,1,0
2020-03-16,362,28,1,0
2020-03-17,513,44,1,0
2020-03-18,621,51,1,0
2020-03-19,783,60,3,0
2020-03-20,902,73,3,0
2020-03-21,1051,77,1,0
2020-03-22,1225,82,3,0
2020-03-23,1368,97,3,0
2020-03-24,1532,102,2,0
2020-03-25,1660,102,3,0
2020-03-26,1791,106,7,0
2020-03-27,1943,106,7,0
2020-03-28,2051,113,9,1
2020-03-29,2187,117,11,1
2020-03-30,2342,122,15,2
2020-03-31,2566,143,17,2
2020-04-01,2785,146,21,3
2020-04-02,3035,151,21,4
2020-04-03,3346,159,24,4
2020-04-04,3641,166,27,5
2020-04-05,3965,176,33,5
2020-04-06,4359,178,38,5
2020-04-07,4712,185,42,6
2020-04-08,5088,189,44,7
2020-04-09,5375,190,49,7
2020-04-10,5772,190,54,7
2020-04-11,6165,198,54,7
2020-04-12,6774,210,56,7
2020-04-13,7205,217,56,7
2020-04-14,7547,233,61,7
2020-04-15,8012,238,63,7
2020-04-16,8560,238,68,7
2020-04-17,9270,244,77,7
2020-04-18,9792,254,86,7
2020-04-19,10494,271,96,7
2020-04-20,11136,304,98,7
2020-04-21,11786,310,102,7
2020-04-22,12560,330,105,7
2020-04-23,13701,368,107,7
2020-04-24,14577,420,109,7
2020-04-25,15393,460,118,7
2020-04-26,16468,523,120,7
2020-04-27,18337,588,126,7
2020-04-28,19476,619,134,7
2020-04-29,21021,649,136,7
2020-04-30,22418,663,154,7
2020-05-01,23525,690,162,7
2020-05-02,25206,705,172,7
2020-05-03,26842,718,184,7
2020-05-04,27887,751,194,8
2020-05-05,29378,771,213,9
2020-05-06,30525,797,215,9
2020-05-07,32078,824,232,9
2020-05-08,33899,835,240,9
2020-05-09,35323,847,260,9
2020-05-10,36605,863,321,9
2020-05-11,37662,869,343,9
2020-05-12,38740,889,366,9
2020-05-13,39629,915,382,9
2020-05-14,41118,925,445,9
2020-05-15,42056,935,477,9
2020-05-16,43137,960,520,9
2020-05-17,44391,981,538,9
2020-05-18,45351,992,559,9
2020-05-19,46413,1027,569,9
2020-05-20,47521,1028,584,9
2020-05-21,49124,1055,604,9
2020-05-22,51094,1068,620,9
2020-05-23,53092,1089,660,9
2020-05-24,54834,1141,674,9
2020-05-25,56181,1182,695,10
2020-05-26,57327,1319,712,10
2020-05-27,59165,1469,732,10
2020-05-28,60878,1530,745,10
2020-05-29,62208,1558,754,10
2020-05-30,63935,1620,781,10
2020-05-31,65355,1633,801,10
2020-06-01,66421,1643,811,11
2020-06-02,68204,1683,823,11
2020-06-03,70290,1749,836,11
2020-06-04,72180,1797,839,11
2020-06-05,73996,1801,858,11
2020-06-06,75239,1814,891,11
2020-06-07,76957,1835,941,11
2020-06-08,78723,1857,990,11
2020-06-09,80302,1859,1057,11
2020-06-10,81735,1869,1122,11
2020-06-11,83412,1877,1150,11
2020-06-12,84802,1880,1196,11
2020-06-13,85967,1884,1252,11
2020-06-14,87083,1889,1287,11
2020-06-15,88734,1905,1342,11
2020-06-16,90010,1915,1371,11
2020-06-17,91391,1924,1397,11
2020-06-18,92765,1947,1421,11
2020-06-19,94260,1950,1446,11
2020-06-20,95087,1950,1472,11
2020-06-21,96268,1950,1498,11
2020-06-22,97402,1951,1526,11
2020-06-23,98634,1991,1548,11
2020-06-24,99983,2001,1562,11
2020-06-25,101226,2010,1602,11
2020-06-26,102665,2014,1619,11
2020-06-27,104272,2033,1639,11
2020-06-28,105105,2037,1661,11
2020-06-29,106445,2039,1678,11
2020-06-30,107810,2047,1711,11
2020-07-01,109106,2054,1748,11
2020-07-02,110505,2066,1827,11
2020-07-03,112024,2069,1863,11
2020-07-04,112876,2074,1885,11
2020-07-05,113475,2076,1903,11
2020-07-06,114765,2077,1917,11
2020-07-07,116375,2081,1955,11
2020-07-08,117557,2094,1967,11
2020-07-09,118981,2154,1979,11
2020-07-10,120730,2454,1980,11
2020-07-11,122071,2511,1980,11
2020-07-12,124322,2617,1981,11
2020-07-13,125632,2646,1981,11
2020-07-14,127920,2665,1988,11
2020-07-15,130390,2671,2001,11
2020-07-16,132796,2687,2007,11
2020-07-17,135519,2697,2012,11
2020-07-18,137407,2703,2023,11
2020-07-19,139591,2724,2035,11
2020-07-20,141515,2730,2041,11
2020-07-21,143673,2730,2048,11
2020-07-22,145373,2752,2064,11
2020-07-23,147385,2753,2077,11
2020-07-24,149196,2764,2094,11
2020-07-25,151214,2770,2103,11
2020-07-26,153065,2782,2106,11
2020-07-27,154191,2805,2121,11
2020-07-28,155540,2810,2296,11
2020-07-29,156943,2810,2317,11
2020-07-30,158626,2814,2333,11
2020-07-31,160226,2815,2391,11
2020-08-01,162090,2815,2439,11
2020-08-02,163630,2823,2514,11
2020-08-03,165342,2828,2517,11
2020-08-04,166737,2834,2524,11
2020-08-05,167672,2839,2537,11
2020-08-06,168757,2839,2541,11
2020-08-07,169826,2839,2564,11
2020-08-08,171169,2841,2576,11
2020-08-09,172972,2844,2579,11
2020-08-10,174491,2871,2593,11
2020-08-11,177400,2880,2622,11
2020-08-12,179949,2881,2638,11
2020-08-13,182681,2882,2646,11
2020-08-14,185118,2886,2658,11
2020-08-15,187957,2890,2666,11
2020-08-16,189518,2893,2670,11
2020-08-17,191507,2900,2676,11
2020-08-18,195025,2902,2755,11
2020-08-19,197272,2902,2760,11
2020-08-20,200148,2918,2765,11
2020-08-21,202907,2941,2789,11
2020-08-22,205707,2947,2798,12
2020-08-23,208397,2953,2805,12
2020-08-24,211090,2959,2811,12
2020-08-25,213462,2971,2816,12
2020-08-26,216309,2984,2819,12
2020-08-27,219162,2986,2830,12
2020-08-28,221910,2989,2842,12
2020-08-29,223982,2995,2849,12
2020-08-30,226111,3012,2860,12
2020-08-31,228052,3049,2868,12
2020-09-01,230547,3092,2879,12
2020-09-02,232710,3101,2883,12
2020-09-03,235221,3111,2883,12
2020-09-04,237610,3115,2907,12
2020-09-05,239907,3121,2918,12
2020-09-06,241631,3123,2925,12
2020-09-07,242984,3123,2926,12
2020-09-08,245112,3140,2935,12
2020-09-09,246888,3147,2946,12
2020-09-10,249328,3155,2955,12
2020-09-11,251792,3169,2969,12
2020-09-12,253842,3195,2983,12
2020-09-13,256043,3234,2996,12
2020-09-14,257477,3262,3005,13
2020-09-15,259778,3271,3016,13
2020-09-16,262378,3271,3021,13
2020-09-17,264343,3276,3043,13
2020-09-18,266057,3281,3060,13
2020-09-19,268371,3283,3070,13
2020-09-20,269483,3287,3088,13
2020-09-21,270881,3299,3100,13
2020-09-22,273708,3313,3118,13
2020-09-23,275590,3324,3129,13
2020-09-24,278145,3333,3142,13
2020-09-25,279740,3345,3158,13
2020-09-26,282197,3349,3186,13
2020-09-27,284059,3360,3208,13
2020-09-28,285457,3363,3210,13
2020-09-29,287864,3374,3230,13
2020-09-30,289588,3380,3230,13
2020-10-01,291105,3382,3233,13
2020-10-02,293219,3388,3245,13
2020-10-03,295463,3395,3254,13
2020-10-04,296611,3402,3258,13
2020-10-05,298501,3513,3259,13
2020-10-06,303381,4252,3266,13
2020-10-07,303381,4252,3266,13
