date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,4,0,0
2020-03-21,0,4,0,0
2020-03-22,0,5,0,0
2020-03-23,0,5,0,0
2020-03-24,0,7,0,0
2020-03-25,0,8,0,0
2020-03-26,0,8,0,0
2020-03-27,0,8,0,0
2020-03-28,0,8,0,0
2020-03-29,0,8,0,0
2020-03-30,0,8,0,0
2020-03-31,0,9,0,0
2020-04-01,0,10,0,0
2020-04-02,0,10,0,0
2020-04-03,0,10,0,1
2020-04-04,0,10,0,1
2020-04-05,0,10,0,1
2020-04-06,0,10,0,1
2020-04-07,0,10,0,1
2020-04-08,0,10,3,1
2020-04-09,0,10,4,1
2020-04-10,0,10,4,1
2020-04-11,0,10,4,1
2020-04-12,0,10,4,1
2020-04-13,0,10,6,1
2020-04-14,0,10,6,1
2020-04-15,0,10,6,1
2020-04-16,0,10,6,1
2020-04-17,0,10,6,1
2020-04-18,0,10,6,1
2020-04-19,0,10,6,1
2020-04-20,0,10,6,1
2020-04-21,0,10,6,1
2020-04-22,0,10,6,1
2020-04-23,0,10,6,1
2020-04-24,0,10,7,1
2020-04-25,0,10,7,1
2020-04-26,0,10,7,1
2020-04-27,0,10,7,1
2020-04-28,0,10,7,1
2020-04-29,0,10,8,1
2020-04-30,0,10,8,1
2020-05-01,0,10,8,1
2020-05-02,0,10,8,1
2020-05-03,0,10,9,1
2020-05-04,0,10,9,1
2020-05-05,0,10,9,1
2020-05-06,0,10,9,1
2020-05-07,0,10,9,1
2020-05-08,0,10,9,1
2020-05-09,0,10,9,1
2020-05-10,0,10,9,1
2020-05-11,0,10,9,1
2020-05-12,0,10,9,1
2020-05-13,0,10,9,1
2020-05-14,0,10,9,1
2020-05-15,0,10,9,1
2020-05-16,0,10,9,1
2020-05-17,0,10,9,1
2020-05-18,0,11,9,1
2020-05-19,0,11,9,1
2020-05-20,0,11,9,1
2020-05-21,0,11,9,1
2020-05-22,0,11,9,1
2020-05-23,0,11,9,1
2020-05-24,0,11,9,1
2020-05-25,0,11,9,1
2020-05-26,0,11,9,1
2020-05-27,0,12,9,1
2020-05-28,0,12,9,1
2020-05-29,0,12,9,1
2020-05-30,0,14,9,1
2020-05-31,0,23,9,1
2020-06-01,0,44,9,1
2020-06-02,0,54,9,1
2020-06-03,0,74,9,1
2020-06-04,0,82,9,1
2020-06-05,0,90,9,1
2020-06-06,0,100,9,1
2020-06-07,0,122,9,1
2020-06-08,0,128,9,2
2020-06-09,0,137,9,2
2020-06-10,0,144,9,2
2020-06-11,0,168,9,2
2020-06-12,0,187,9,3
2020-06-13,0,196,9,3
2020-06-14,0,208,9,3
2020-06-15,0,229,48,5
2020-06-16,0,236,48,6
2020-06-17,0,261,48,6
2020-06-18,0,277,74,7
2020-06-19,0,293,74,8
2020-06-20,0,303,74,8
2020-06-21,0,314,106,8
2020-06-22,0,319,132,8
2020-06-23,0,319,132,9
2020-06-24,0,357,154,10
2020-06-25,0,373,176,10
2020-06-26,0,389,181,10
2020-06-27,0,467,191,11
2020-06-28,0,490,199,11
2020-06-29,0,501,217,13
2020-06-30,0,515,227,13
2020-07-01,0,535,242,13
2020-07-02,0,547,252,13
2020-07-03,0,561,267,13
2020-07-04,0,565,276,14
2020-07-05,0,594,292,14
2020-07-06,0,614,315,14
2020-07-07,0,634,405,15
2020-07-08,0,665,434,17
2020-07-09,0,694,456,17
2020-07-10,0,726,481,18
2020-07-11,0,741,495,18
2020-07-12,0,741,495,18
2020-07-13,0,780,526,18
2020-07-14,0,801,543,18
2020-07-15,0,837,573,18
2020-07-16,0,904,581,18
2020-07-17,0,943,600,19
2020-07-18,0,1001,610,20
2020-07-19,0,1029,627,21
2020-07-20,0,1079,656,21
2020-07-21,0,1131,705,21
2020-07-22,0,1176,739,21
2020-07-23,0,1234,774,23
2020-07-24,0,1305,804,23
2020-07-25,0,1381,853,23
2020-07-26,0,1439,890,23
2020-07-27,0,1483,925,24
2020-07-28,0,1510,965,24
2020-07-29,0,1607,1003,26
2020-07-30,0,1607,1003,26
2020-07-31,0,1650,1080,26
2020-08-01,0,1760,1161,26
2020-08-02,0,1849,1194,27
2020-08-03,0,1893,1227,27
2020-08-04,0,1981,1278,27
2020-08-05,0,2050,1327,27
2020-08-06,0,2096,1446,29
2020-08-07,0,2203,1505,29
2020-08-08,0,2306,1558,29
2020-08-09,0,2391,1635,29
2020-08-10,0,2489,1674,30
2020-08-11,0,2559,1712,39
2020-08-12,0,2653,1789,39
2020-08-13,0,2761,1830,40
2020-08-14,0,2838,1894,41
2020-08-15,0,2961,1990,42
2020-08-16,0,3016,2036,47
2020-08-17,0,3077,2138,48
2020-08-18,0,3216,2196,54
2020-08-19,0,3295,2227,54
2020-08-20,0,3366,2383,55
2020-08-21,0,3460,2498,56
2020-08-22,0,3569,2559,57
2020-08-23,0,3607,2688,58
2020-08-24,0,3632,2758,60
2020-08-25,0,3698,2818,61
2020-08-26,0,3724,2863,62
2020-08-27,0,3793,2893,66
2020-08-28,0,3848,2971,66
2020-08-29,0,3954,2991,67
2020-08-30,0,4009,3073,67
2020-08-31,0,4034,3140,71
2020-09-01,0,4089,3171,72
2020-09-02,0,4149,3272,72
2020-09-03,0,4215,3318,73
2020-09-04,0,4252,3366,75
2020-09-05,0,4320,3426,76
2020-09-06,0,4346,3494,85
2020-09-07,0,4360,3544,91
2020-09-08,0,4419,3595,91
2020-09-09,0,4447,3622,92
2020-09-10,0,4477,3706,93
2020-09-11,0,4529,3747,93
2020-09-12,0,4579,3788,93
2020-09-13,0,4582,3850,93
2020-09-14,0,4611,3935,95
2020-09-15,0,4625,3996,95
2020-09-16,0,4645,4089,95
2020-09-17,0,4671,4160,95
2020-09-18,0,4691,4280,96
2020-09-19,0,4709,4383,97
2020-09-20,0,4723,4488,97
2020-09-21,0,4740,4525,97
2020-09-22,0,4759,4541,100
2020-09-23,0,4779,4560,101
2020-09-24,0,4789,4578,102
2020-09-25,0,4817,4596,102
2020-09-26,0,4831,4620,102
2020-09-27,0,4835,4661,102
2020-09-28,0,4836,4667,102
2020-09-29,0,4863,4676,104
2020-09-30,0,4877,4695,104
2020-10-01,0,4891,4702,105
2020-10-02,0,4899,4715,105
2020-10-03,0,4924,4723,106
2020-10-04,0,4941,4741,106
2020-10-05,0,4954,4755,106
2020-10-06,0,4965,4766,106
2020-10-07,0,4979,4781,106
2020-10-08,0,4979,4781,106
