date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,1,0,0
2020-03-15,0,1,0,0
2020-03-16,0,1,0,0
2020-03-17,0,1,0,0
2020-03-18,0,1,0,0
2020-03-19,0,1,0,0
2020-03-20,0,1,0,0
2020-03-21,0,1,0,0
2020-03-22,0,4,0,0
2020-03-23,0,4,0,0
2020-03-24,0,4,0,0
2020-03-25,0,4,0,0
2020-03-26,0,6,0,0
2020-03-27,0,9,0,0
2020-03-28,0,9,0,0
2020-03-29,0,9,0,0
2020-03-30,0,9,0,0
2020-03-31,0,9,0,0
2020-04-01,0,9,0,0
2020-04-02,0,9,0,0
2020-04-03,0,9,0,0
2020-04-04,0,9,0,0
2020-04-05,0,9,0,0
2020-04-06,0,10,4,0
2020-04-07,0,10,4,0
2020-04-08,0,12,7,0
2020-04-09,0,12,7,0
2020-04-10,0,12,7,0
2020-04-11,0,12,7,0
2020-04-12,0,14,7,0
2020-04-13,0,15,7,0
2020-04-14,0,15,8,0
2020-04-15,0,15,8,0
2020-04-16,0,16,8,1
2020-04-17,0,16,8,1
2020-04-18,0,22,8,1
2020-04-19,0,22,8,1
2020-04-20,0,24,8,1
2020-04-21,0,31,8,1
2020-04-22,0,31,8,1
2020-04-23,0,31,8,1
2020-04-24,0,36,10,1
2020-04-25,0,56,10,1
2020-04-26,0,59,10,1
2020-04-27,0,65,10,1
2020-04-28,0,71,10,1
2020-04-29,0,91,10,1
2020-04-30,0,100,12,1
2020-05-01,0,106,12,1
2020-05-02,0,108,12,1
2020-05-03,0,112,12,1
2020-05-04,0,116,12,1
2020-05-05,0,119,12,1
2020-05-06,0,123,12,2
2020-05-07,0,153,12,2
2020-05-08,0,159,12,2
2020-05-09,0,163,14,2
2020-05-10,0,172,27,2
2020-05-11,0,175,28,2
2020-05-12,0,184,28,2
2020-05-13,0,187,48,2
2020-05-14,0,187,51,2
2020-05-15,0,190,66,2
2020-05-16,0,202,72,2
2020-05-17,0,203,73,2
2020-05-18,0,205,78,2
2020-05-19,0,208,87,2
2020-05-20,0,217,97,2
2020-05-21,0,220,112,2
2020-05-22,0,225,119,2
2020-05-23,0,238,119,2
2020-05-24,0,250,156,2
2020-05-25,0,256,158,2
2020-05-26,0,261,164,2
2020-05-27,0,272,168,2
2020-05-28,0,279,168,2
2020-05-29,0,279,168,2
2020-05-30,0,283,168,2
2020-05-31,0,285,189,2
2020-06-01,0,293,194,3
2020-06-02,0,294,198,3
2020-06-03,0,295,201,3
2020-06-04,0,300,201,3
2020-06-05,0,305,221,3
2020-06-06,0,322,224,3
2020-06-07,0,333,225,3
2020-06-08,0,340,229,3
2020-06-09,0,371,232,3
2020-06-10,0,398,236,3
2020-06-11,0,449,238,3
2020-06-12,0,472,246,3
2020-06-13,0,486,247,3
2020-06-14,0,490,249,4
2020-06-15,0,506,249,4
2020-06-16,0,520,259,4
2020-06-17,0,563,262,4
2020-06-18,0,586,267,4
2020-06-19,0,623,276,4
2020-06-20,0,627,285,5
2020-06-21,0,635,285,5
2020-06-22,0,643,291,6
2020-06-23,0,674,319,7
2020-06-24,0,690,331,7
2020-06-25,0,706,347,8
2020-06-26,0,728,367,8
2020-06-27,0,745,370,8
2020-06-28,0,781,372,11
2020-06-29,0,795,380,11
2020-06-30,0,812,408,11
2020-07-01,0,840,418,11
2020-07-02,0,873,452,11
2020-07-03,0,909,515,13
2020-07-04,0,954,535,13
2020-07-05,0,988,547,13
2020-07-06,0,1011,564,13
2020-07-07,0,1056,570,14
2020-07-08,0,1138,588,14
2020-07-09,0,1213,609,17
2020-07-10,0,1257,633,18
2020-07-11,0,1311,656,18
2020-07-12,0,1351,668,20
2020-07-13,0,1389,688,20
2020-07-14,0,1434,695,20
2020-07-15,0,1489,724,20
2020-07-16,0,1552,736,21
2020-07-17,0,1619,769,21
2020-07-18,0,1729,788,21
2020-07-19,0,1793,822,21
2020-07-20,0,1826,850,23
2020-07-21,0,1894,855,24
2020-07-22,0,1938,876,25
2020-07-23,0,2021,882,28
2020-07-24,0,2073,929,28
2020-07-25,0,2142,940,28
2020-07-26,0,2207,986,32
2020-07-27,0,2316,1025,34
2020-07-28,0,2404,1025,39
2020-07-29,0,2551,1070,40
2020-07-30,0,2577,1134,40
2020-07-31,0,2648,1214,41
2020-08-01,0,2706,1214,43
2020-08-02,0,2775,1214,43
2020-08-03,0,2838,1253,45
2020-08-04,0,2856,1258,49
2020-08-05,0,2909,1385,53
2020-08-06,0,2968,1476,55
2020-08-07,0,3036,1476,56
2020-08-08,0,3128,1565,56
2020-08-09,0,3236,1607,58
2020-08-10,0,3309,1634,61
2020-08-11,0,3410,1720,63
2020-08-12,0,3525,1910,63
2020-08-13,0,3599,1991,65
2020-08-14,0,3670,1991,68
2020-08-15,0,3745,2268,69
2020-08-16,0,3839,2268,70
2020-08-17,0,3894,2371,73
2020-08-18,0,3989,2587,76
2020-08-19,0,4058,2611,79
2020-08-20,0,4110,2643,81
2020-08-21,0,4128,2682,81
2020-08-22,0,4189,2762,83
2020-08-23,0,4225,2898,85
2020-08-24,0,4304,2936,85
2020-08-25,0,4327,2959,86
2020-08-26,0,4387,3078,88
2020-08-27,0,4433,3115,89
2020-08-28,0,4461,3210,91
2020-08-29,0,4510,3359,91
2020-08-30,0,4561,3478,91
2020-08-31,0,4577,3529,91
2020-09-01,0,4618,3562,94
2020-09-02,0,4668,3585,94
2020-09-03,0,4720,3789,94
2020-09-04,0,4780,3844,94
2020-09-05,0,4819,3903,94
2020-09-06,0,4853,3951,94
2020-09-07,0,4884,4029,94
2020-09-08,0,4904,4059,96
2020-09-09,0,4936,4077,97
2020-09-10,0,4994,4103,98
2020-09-11,0,5025,4165,98
2020-09-12,0,5050,4188,98
2020-09-13,0,5075,4229,98
2020-09-14,0,5104,4374,101
2020-09-15,0,5128,4401,101
2020-09-16,0,5155,4418,101
2020-09-17,0,5191,4439,103
2020-09-18,0,5215,4478,103
2020-09-19,0,5245,4571,104
2020-09-20,0,5269,4624,104
2020-09-21,0,5282,4647,104
2020-09-22,0,5307,4672,106
2020-09-23,0,5343,4693,108
2020-09-24,0,5375,4724,108
2020-09-25,0,5399,4767,108
2020-09-26,0,5419,4802,108
2020-09-27,0,5431,4821,108
2020-09-28,0,5452,4844,108
2020-09-29,0,5462,4859,108
2020-09-30,0,5482,4912,109
2020-10-01,0,5500,5000,111
2020-10-02,0,5521,5061,111
2020-10-03,0,5530,5076,111
2020-10-04,0,5569,5127,111
2020-10-05,0,5579,5141,112
2020-10-06,0,5598,5169,112
2020-10-07,0,5598,5169,112
