date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,1,0,0
2020-02-05,0,1,0,0
2020-02-06,0,1,0,0
2020-02-07,0,1,0,0
2020-02-08,0,1,0,0
2020-02-09,0,1,0,0
2020-02-10,0,1,0,0
2020-02-11,0,1,0,0
2020-02-12,0,1,0,0
2020-02-13,0,1,0,0
2020-02-14,0,1,0,0
2020-02-15,0,1,0,0
2020-02-16,0,1,0,0
2020-02-17,0,1,0,0
2020-02-18,0,1,0,0
2020-02-19,0,1,0,0
2020-02-20,0,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-24,0,1,0,0
2020-02-25,0,1,0,0
2020-02-26,0,2,0,0
2020-02-27,0,3,0,0
2020-02-28,0,11,0,0
2020-02-29,0,14,0,0
2020-03-01,0,14,0,0
2020-03-02,0,19,0,0
2020-03-03,0,32,0,0
2020-03-04,0,62,0,0
2020-03-05,0,87,0,0
2020-03-06,0,146,0,0
2020-03-07,0,179,0,0
2020-03-08,0,225,0,0
2020-03-09,0,326,0,0
2020-03-10,0,424,0,0
2020-03-11,0,620,0,1
2020-03-12,0,771,0,1
2020-03-13,0,923,0,2
2020-03-14,0,994,0,3
2020-03-15,0,1063,0,5
2020-03-16,0,1146,0,7
2020-03-17,0,1265,0,8
2020-03-18,0,1410,0,14
2020-03-19,0,1553,0,21
2020-03-20,0,1733,0,30
2020-03-21,0,1869,0,38
2020-03-22,0,1987,0,49
2020-03-23,0,2169,0,60
2020-03-24,0,2399,0,81
2020-03-25,0,2713,0,103
2020-03-26,0,2999,0,134
2020-03-27,0,3364,0,166
2020-03-28,0,3664,0,201
2020-03-29,0,3944,0,239
2020-03-30,0,4360,0,284
2020-03-31,0,4835,0,332
2020-04-01,0,5321,0,385
2020-04-02,0,5875,0,455
2020-04-03,0,6476,0,535
2020-04-04,0,6833,0,605
2020-04-05,0,7173,0,690
2020-04-06,0,7562,0,780
2020-04-07,0,8300,0,864
2020-04-08,0,8954,0,979
2020-04-09,0,9599,0,1065
2020-04-10,0,10053,0,1155
2020-04-11,0,10448,0,1257
2020-04-12,0,10912,0,1354
2020-04-13,0,11349,0,1438
2020-04-14,0,11828,0,1530
2020-04-15,0,12432,0,1645
2020-04-16,0,13055,0,1756
2020-04-17,0,13743,0,1839
2020-04-18,0,14275,0,1925
2020-04-19,0,14663,0,2012
2020-04-20,0,15124,0,2097
2020-04-21,0,15831,0,2159
2020-04-22,0,16553,0,2236
2020-04-23,0,17311,0,2322
2020-04-24,0,18091,0,2411
2020-04-25,0,18564,0,2484
2020-04-26,0,18864,0,2558
2020-04-27,0,19427,0,2632
2020-04-28,0,20169,0,2715
2020-04-29,0,20968,0,2798
2020-04-30,0,21603,0,2876
2020-05-01,0,22135,0,2954
2020-05-02,0,22434,0,3027
2020-05-03,0,22695,0,3102
2020-05-04,0,23172,0,3186
2020-05-05,0,23829,0,3258
2020-05-06,0,24574,0,3331
2020-05-07,0,25358,0,3411
2020-05-08,0,26058,0,3471
2020-05-09,0,26567,0,3540
2020-05-10,0,26846,0,3613
2020-05-11,0,27301,0,3678
2020-05-12,0,28055,0,3739
2020-05-13,0,28753,0,3789
2020-05-14,0,29410,0,3835
2020-05-15,0,30098,0,3894
2020-05-16,0,30456,0,3943
2020-05-17,0,30715,0,3996
2020-05-18,0,31145,0,4055
2020-05-19,0,31811,0,4097
2020-05-20,0,32619,0,4149
2020-05-21,0,33229,0,4204
2020-05-22,0,33761,0,4260
2020-05-23,0,34164,0,4315
2020-05-24,0,34374,0,4360
2020-05-25,0,34865,0,4402
2020-05-26,0,35611,0,4430
2020-05-27,0,36411,0,4468
2020-05-28,0,37185,0,4508
2020-05-29,0,37958,0,4549
2020-05-30,0,38390,0,4588
2020-05-31,0,38655,0,4634
2020-06-01,0,39303,0,4673
2020-06-02,0,40204,0,4710
2020-06-03,0,41250,0,4738
2020-06-04,0,42289,0,4781
2020-06-05,0,43435,0,4818
2020-06-06,0,44215,0,4848
2020-06-07,0,44677,0,4881
2020-06-08,0,45354,0,4919
2020-06-09,0,46290,0,4952
2020-06-10,0,47727,0,4992
2020-06-11,0,49020,0,5028
2020-06-12,0,50349,0,5058
2020-06-13,0,51381,0,5091
2020-06-14,0,51799,0,5118
2020-06-15,0,52484,0,5149
2020-06-16,0,53693,0,5177
2020-06-17,0,55150,0,5210
2020-06-18,0,56644,0,5239
2020-06-19,0,57853,0,5269
2020-06-20,0,58551,0,5298
2020-06-21,0,58872,0,5320
2020-06-22,0,59672,0,5340
2020-06-23,0,60981,0,5365
2020-06-24,0,62679,0,5387
2020-06-25,0,63958,0,5411
2020-06-26,0,65162,0,5422
2020-06-27,0,65917,0,5436
2020-06-28,0,66332,0,5459
2020-06-29,0,67059,0,5475
2020-06-30,0,67862,0,5496
2020-07-01,0,68546,0,5512
2020-07-02,0,69233,0,5527
2020-07-03,0,69927,0,5535
2020-07-04,0,70291,0,5550
2020-07-05,0,70606,0,5559
2020-07-06,0,70857,0,5574
2020-07-07,0,71135,0,5586
2020-07-08,0,71668,0,5597
2020-07-09,0,72002,0,5612
2020-07-10,0,72371,0,5626
2020-07-11,0,72679,0,5636
2020-07-12,0,72785,0,5645
2020-07-13,0,72955,0,5659
2020-07-14,0,73267,0,5667
2020-07-15,0,73554,0,5673
2020-07-16,0,73822,0,5679
2020-07-17,0,74106,0,5686
2020-07-18,0,74297,0,5697
2020-07-19,0,74407,0,5705
2020-07-20,0,74538,0,5712
2020-07-21,0,74764,0,5719
2020-07-22,0,75061,0,5725
2020-07-23,0,75281,0,5730
2020-07-24,0,75543,0,5733
2020-07-25,0,75681,0,5734
2020-07-26,0,75723,0,5736
2020-07-27,0,75794,0,5742
2020-07-28,0,76077,0,5748
2020-07-29,0,76378,0,5750
2020-07-30,0,76680,0,5750
2020-07-31,0,76938,0,5753
2020-08-01,0,77241,0,5756
2020-08-02,0,77279,0,5759
2020-08-03,0,77444,0,5763
2020-08-04,0,77777,0,5765
2020-08-05,0,78202,0,5768
2020-08-06,0,78580,0,5772
2020-08-07,0,78960,0,5775
2020-08-08,0,79220,0,5776
2020-08-09,0,79293,0,5780
2020-08-10,0,79489,0,5782
2020-08-11,0,79906,0,5786
2020-08-12,0,80350,0,5789
2020-08-13,0,80713,0,5795
2020-08-14,0,81057,0,5797
2020-08-15,0,81283,0,5798
2020-08-16,0,81346,0,5798
2020-08-17,0,81520,0,5801
2020-08-18,0,81834,0,5806
2020-08-19,0,82185,0,5807
2020-08-20,0,82518,0,5809
2020-08-21,0,82816,0,5814
2020-08-22,0,82976,0,5815
2020-08-23,0,83033,0,5818
2020-08-24,0,83207,0,5819
2020-08-25,0,83429,0,5820
2020-08-26,0,83673,0,5822
2020-08-27,0,83875,0,5823
2020-08-28,0,84054,0,5824
2020-08-29,0,84185,0,5825
2020-08-30,0,84233,0,5828
2020-08-31,0,84395,0,5830
2020-09-01,0,84566,0,5833
2020-09-02,0,84779,0,5835
2020-09-03,0,85065,0,5837
2020-09-04,0,85327,0,5837
2020-09-05,0,85498,0,5837
2020-09-06,0,85565,0,5840
2020-09-07,0,85750,0,5841
2020-09-08,0,85986,0,5842
2020-09-09,0,86300,0,5844
2020-09-10,0,86557,0,5846
2020-09-11,0,86849,0,5850
2020-09-12,0,87055,0,5851
2020-09-13,0,87161,0,5853
2020-09-14,0,87381,0,5855
2020-09-15,0,87673,0,5856
2020-09-16,0,88003,0,5858
2020-09-17,0,88392,0,5859
2020-09-18,0,88829,0,5860
2020-09-19,0,89108,0,5861
2020-09-20,0,89241,0,5865
2020-09-21,0,89508,0,5867
2020-09-22,0,89946,0,5868
2020-09-23,0,90499,0,5868
2020-09-24,0,91039,0,5869
2020-09-25,0,91669,0,5873
2020-09-26,0,91994,0,5875
2020-09-27,0,92161,0,5876
2020-09-28,0,92539,0,5877
2020-09-29,0,93152,0,5878
2020-09-30,0,93840,0,5880
2020-10-01,0,94475,0,5881
2020-10-02,0,95186,0,5883
2020-10-03,0,95647,0,5883
2020-10-04,0,95802,0,5885
2020-10-05,0,96176,0,5886
2020-10-06,0,96677,0,5887
2020-10-07,0,96677,0,5887
