date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,3,0,0,0
2020-01-25,7,0,0,0
2020-01-26,7,0,0,0
2020-01-27,20,0,0,0
2020-01-28,36,0,0,0
2020-01-29,65,0,0,0
2020-01-30,105,0,0,0
2020-01-31,137,0,0,0
2020-02-01,156,0,0,0
2020-02-02,167,0,0,0
2020-02-03,181,0,0,0
2020-02-04,207,0,0,0
2020-02-05,235,0,0,0
2020-02-06,248,0,0,0
2020-02-07,263,0,0,0
2020-02-08,270,0,0,0
2020-02-09,279,0,0,0
2020-02-10,292,0,0,0
2020-02-11,314,0,0,0
2020-02-12,334,0,0,0
2020-02-13,341,0,0,0
2020-02-14,350,0,0,0
2020-02-15,355,0,0,0
2020-02-16,360,0,0,0
2020-02-17,360,0,0,0
2020-02-18,369,0,0,0
2020-02-19,383,0,0,0
2020-02-20,393,0,0,0
2020-02-21,407,0,0,0
2020-02-22,409,0,0,0
2020-02-23,414,0,0,0
2020-02-24,462,0,0,0
2020-02-25,632,1,0,0
2020-02-26,949,1,0,0
2020-02-27,1228,8,0,0
2020-02-28,1678,8,0,0
2020-02-29,1935,18,0,0
2020-03-01,2308,27,0,0
2020-03-02,2786,42,0,0
2020-03-03,3502,56,2,0
2020-03-04,4094,90,3,0
2020-03-05,4681,114,3,1
2020-03-06,5638,214,3,1
2020-03-07,6365,268,3,1
2020-03-08,7109,337,3,2
2020-03-09,8740,374,3,2
2020-03-10,10912,491,3,3
2020-03-11,13636,652,4,4
2020-03-12,18270,652,4,4
2020-03-13,22959,1139,4,11
2020-03-14,28203,1359,4,13
2020-03-15,30726,2200,4,14
2020-03-16,36005,2200,4,14
2020-03-17,45358,2700,4,27
2020-03-18,55949,3028,15,28
2020-03-19,65630,4075,15,41
2020-03-20,73783,5294,15,54
2020-03-21,80212,6575,15,75
2020-03-22,83501,7474,131,98
2020-03-23,90141,8795,131,120
2020-03-24,95954,9877,131,122
2020-03-25,103646,10897,131,153
2020-03-26,111507,11811,131,191
2020-03-27,118704,12928,1530,231
2020-03-28,124469,14076,1530,264
2020-03-29,127236,14829,1595,300
2020-03-30,131725,15922,1823,359
2020-03-31,138885,16605,1823,433
2020-04-01,145587,17768,2967,488
2020-04-02,152608,18827,4013,536
2020-04-03,159125,19606,4846,591
2020-04-04,164329,20505,6415,666
2020-04-05,167634,21100,6415,715
2020-04-06,171746,21657,8056,765
2020-04-07,178616,22253,8704,821
2020-04-08,185177,23280,9800,895
2020-04-09,191193,24051,10600,948
2020-04-10,195174,24551,11100,1002
2020-04-11,197972,25107,12100,1036
2020-04-12,200272,25415,12700,1106
2020-04-13,202469,25688,13700,1138
2020-04-14,206392,25936,13700,1174
2020-04-15,211982,26336,15400,1239
2020-04-16,217119,26732,15900,1281
2020-04-17,221717,27078,16400,1327
2020-04-18,225366,27404,17100,1368
2020-04-19,227485,27740,17800,1393
2020-04-20,230912,27944,18600,1429
2020-04-21,235885,28063,19400,1478
2020-04-22,240538,28268,19900,1509
2020-04-23,245100,28496,20600,1549
2020-04-24,249893,28677,21000,1589
2020-04-25,253926,28894,21300,1599
2020-04-26,256289,29061,21800,1610
2020-04-27,260038,29164,22200,1665
2020-04-28,265632,29264,22600,1699
2020-04-29,271442,29407,22600,1716
2020-04-30,276292,29586,23400,1737
2020-05-01,280743,29705,23900,1754
2020-05-02,283863,29817,24200,1762
2020-05-03,286382,29905,24500,1762
2020-05-04,290244,29981,25200,1784
2020-05-05,296134,30009,25400,1795
2020-05-06,301510,30060,25700,1805
2020-05-07,306174,30126,25900,1810
2020-05-08,310530,30207,26100,1823
2020-05-09,313666,30251,26400,1830
2020-05-10,315097,30305,26600,1833
2020-05-11,320173,30344,26800,1845
2020-05-12,325740,30380,26800,1867
2020-05-13,331971,30413,27100,1870
2020-05-14,337677,30463,27100,1872
2020-05-15,343275,30514,27100,1878
2020-05-16,346545,30572,27400,1879
2020-05-17,348289,30587,27500,1881
2020-05-18,352703,30597,27600,1886
2020-05-19,358702,30618,27700,1891
2020-05-20,363566,30658,27800,1892
2020-05-21,365683,30694,27900,1898
2020-05-22,369248,30707,27900,1903
2020-05-23,371776,30725,28000,1905
2020-05-24,373436,30736,28100,1906
2020-05-25,377440,30746,28200,1913
2020-05-26,383135,30761,28200,1915
2020-05-27,388136,30776,28300,1917
2020-05-28,392329,30796,28300,1919
2020-05-29,396041,30828,28300,1919
2020-05-30,398629,30845,28400,1919
2020-05-31,400201,30862,28500,1920
2020-06-01,401983,30871,28500,1920
2020-06-02,406265,30874,28500,1920
2020-06-03,411532,30893,28600,1921
2020-06-04,416749,30913,28600,1921
2020-06-05,421570,30936,28600,1921
2020-06-06,424691,30956,28700,1921
2020-06-07,426233,30965,28700,1921
2020-06-08,430946,30972,28700,1923
2020-06-09,437439,30988,28700,1934
2020-06-10,444039,31011,28700,1936
2020-06-11,449649,31044,28800,1937
2020-06-12,456105,31063,28800,1938
2020-06-13,460463,31094,28800,1938
2020-06-14,462258,31117,28800,1938
2020-06-15,468764,31131,28900,1939
2020-06-16,478809,31154,28900,1954
2020-06-17,488426,31187,28900,1956
2020-06-18,496859,31200,28900,1956
2020-06-19,504445,31235,28900,1956
2020-06-20,509143,31243,28900,1956
2020-06-21,510922,31292,29000,1956
2020-06-22,519126,31310,29000,1956
2020-06-23,530800,31332,29000,1956
2020-06-24,539951,31376,29000,1958
2020-06-25,549214,31428,29000,1958
2020-06-26,559407,31486,29000,1962
2020-06-27,565854,31555,29100,1962
2020-06-28,568390,31617,29100,1962
2020-06-29,582479,31652,29100,1962
2020-06-30,597513,31714,29200,1963
2020-07-01,608755,31851,29200,1965
2020-07-02,619647,31967,29200,1965
2020-07-03,630027,32101,29200,1965
2020-07-04,636243,32198,29200,1965
2020-07-05,638764,32268,29300,1965
2020-07-06,646590,32315,29300,1965
2020-07-07,656588,32369,29300,1966
2020-07-08,665457,32498,29400,1966
2020-07-09,673990,32586,29400,1966
2020-07-10,681688,32690,29400,1966
2020-07-11,686433,32817,29500,1968
2020-07-12,688379,32883,29600,1968
2020-07-13,695225,32946,29600,1968
2020-07-14,704037,33016,29800,1968
2020-07-15,711788,33148,29800,1968
2020-07-16,719073,33290,29900,1969
2020-07-17,725796,33382,29900,1969
2020-07-18,729565,33492,29900,1969
2020-07-19,731341,33591,30300,1969
2020-07-20,737027,33634,30300,1971
2020-07-21,743859,33742,30300,1972
2020-07-22,750582,33883,30500,1972
2020-07-23,756096,34000,30500,1975
2020-07-24,761640,34154,30500,1977
2020-07-25,765272,34302,30500,1977
2020-07-26,767061,34412,30700,1977
2020-07-27,772597,34477,30900,1978
2020-07-28,779936,34609,31000,1978
2020-07-29,786788,34802,31100,1979
2020-07-30,793876,35022,31100,1980
2020-07-31,799587,35232,31100,1981
2020-08-01,802643,35412,31300,1981
2020-08-02,804775,35550,31500,1981
2020-08-03,811012,35616,31500,1981
2020-08-04,818338,35746,31600,1981
2020-08-05,825133,35927,31600,1984
2020-08-06,831755,36108,31600,1985
2020-08-07,837924,36269,31600,1986
2020-08-08,841652,36451,31900,1986
2020-08-09,843687,36603,32300,1986
2020-08-10,849746,36708,32400,1987
2020-08-11,857123,36895,32400,1990
2020-08-12,863853,37169,32700,1991
2020-08-13,871214,37403,32700,1991
2020-08-14,878563,37671,32900,1991
2020-08-15,883425,37924,33200,1991
2020-08-16,885874,38124,33300,1991
2020-08-17,894123,38252,33300,1991
2020-08-18,904705,38449,33500,1992
2020-08-19,914149,38760,33500,1996
2020-08-20,924290,39026,33900,1998
2020-08-21,934285,39332,33900,2000
2020-08-22,940440,39627,34100,2000
2020-08-23,943755,39903,34400,2001
2020-08-24,953745,40060,34400,2001
2020-08-25,966953,40262,34400,2002
2020-08-26,979833,40645,34800,2003
2020-08-27,992991,41006,34800,2003
2020-08-28,1005567,41346,34800,2004
2020-08-29,1013974,41722,35200,2005
2020-08-30,1017835,42014,35800,2005
2020-08-31,1029248,42177,36100,2006
2020-09-01,1045700,42393,36300,2011
2020-09-02,1061759,42763,36500,2011
2020-09-03,1077302,43127,36500,2013
2020-09-04,1091806,43532,36500,2013
2020-09-05,1101338,43957,37100,2013
2020-09-06,1105678,44401,37100,2013
2020-09-07,1119106,44592,37700,2014
2020-09-08,1136672,44837,37700,2018
2020-09-09,1153119,45306,38100,2019
2020-09-10,1168841,45711,38100,2020
2020-09-11,1183038,46239,38100,2020
2020-09-12,1192911,46704,38500,2020
2020-09-13,1197080,47179,38900,2021
2020-09-14,1209931,47436,39600,2025
2020-09-15,1226752,47751,39900,2028
2020-09-16,1242210,48265,39900,2039
2020-09-17,1257384,48795,39900,2042
2020-09-18,1270776,49283,40500,2045
2020-09-19,1278586,49283,40500,2045
2020-09-20,1282168,49283,40500,2045
2020-09-21,1292536,50378,40500,2050
2020-09-22,1305961,50664,42100,2054
2020-09-23,1318893,51101,42100,2060
2020-09-24,1330803,51492,42600,2061
2020-09-25,1342049,51864,42600,2064
