date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,4,0,0,0
2020-01-17,4,0,0,0
2020-01-18,5,0,0,0
2020-01-19,6,0,0,0
2020-01-20,8,0,0,0
2020-01-21,20,0,0,0
2020-01-22,64,1,0,0
2020-01-23,134,1,0,0
2020-01-24,191,3,0,0
2020-01-25,282,3,0,0
2020-01-26,399,4,0,0
2020-01-27,522,5,0,0
2020-01-28,617,8,0,0
2020-01-29,723,8,0,0
2020-01-30,823,9,0,0
2020-01-31,916,10,0,0
2020-02-01,1003,10,0,0
2020-02-02,1067,10,0,0
2020-02-03,1198,10,0,0
2020-02-04,1301,11,0,0
2020-02-05,1458,11,0,0
2020-02-06,1535,14,1,0
2020-02-07,1734,16,1,0
2020-02-08,1959,17,1,0
2020-02-09,2087,18,1,0
2020-02-10,2292,18,1,0
2020-02-11,2460,18,1,0
2020-02-12,2588,18,1,0
2020-02-13,2703,18,1,0
2020-02-14,2775,18,2,0
2020-02-15,2864,18,2,0
2020-02-16,2976,20,2,1
2020-02-17,3789,20,2,1
2020-02-18,4621,22,2,1
2020-02-19,5317,23,2,1
2020-02-20,6113,24,2,1
2020-02-21,6827,26,2,1
2020-02-22,7271,26,2,1
2020-02-23,7599,28,2,1
2020-02-24,8297,30,5,1
2020-02-25,8906,31,5,1
2020-02-26,9427,32,5,1
2020-02-27,9947,32,5,1
2020-02-28,10318,34,6,1
2020-02-29,10829,39,9,1
2020-03-01,11259,40,9,1
2020-03-02,11859,41,12,1
2020-03-03,12365,42,12,1
2020-03-04,12850,42,12,1
2020-03-05,13147,44,12,1
2020-03-06,13528,45,12,1
2020-03-07,13835,45,12,1
2020-03-08,14133,45,13,1
2020-03-09,14609,45,15,1
2020-03-10,14941,47,17,1
2020-03-11,15386,48,17,1
2020-03-12,16063,49,20,1
2020-03-13,16502,50,20,1
2020-03-14,16881,53,20,1
2020-03-15,17187,58,20,1
2020-03-16,17917,66,20,1
2020-03-17,18790,77,22,1
2020-03-18,19987,100,22,1
2020-03-19,21350,108,26,1
2020-03-20,22721,134,26,2
2020-03-21,23768,153,28,2
2020-03-22,24579,169,28,2
2020-03-23,25718,195,28,2
2020-03-24,26642,216,29,2
2020-03-25,27580,235,29,2
2020-03-26,28509,252,29,2
2020-03-27,29373,267,29,2
2020-03-28,29900,283,30,2
2020-03-29,30735,298,30,2
2020-03-30,31758,306,39,5
2020-03-31,32682,322,39,5
2020-04-01,33691,329,39,5
2020-04-02,34513,339,45,5
2020-04-03,35393,348,50,5
2020-04-04,36257,355,50,5
2020-04-05,37169,363,50,5
2020-04-06,38983,373,57,5
2020-04-07,40668,376,57,5
2020-04-08,42296,379,61,5
2020-04-09,43872,380,67,5
2020-04-10,45436,382,91,6
2020-04-11,46527,385,99,6
2020-04-12,47191,388,109,6
2020-04-13,48531,393,109,6
2020-04-14,49735,393,124,6
2020-04-15,50687,395,124,6
2020-04-16,51590,395,155,6
2020-04-17,52428,395,166,6
2020-04-18,52985,398,178,6
2020-04-19,53609,420,189,6
2020-04-20,55444,422,203,6
2020-04-21,56815,425,217,6
2020-04-22,57969,426,236,6
2020-04-23,58983,427,253,6
2020-04-24,59810,428,264,6
2020-04-25,60429,429,275,6
2020-04-26,60924,429,281,6
2020-04-27,61664,429,290,6
2020-04-28,62358,429,307,6
2020-04-29,62842,429,311,6
2020-04-30,63337,429,322,6
2020-05-01,63711,429,324,6
2020-05-02,64091,432,324,6
2020-05-03,64433,435,332,6
2020-05-04,64961,438,334,6
2020-05-05,65593,438,334,6
2020-05-06,66044,439,339,6
2020-05-07,66461,440,347,6
2020-05-08,66863,440,355,6
2020-05-09,67132,440,361,6
2020-05-10,67399,440,366,6
2020-05-11,67761,440,368,7
2020-05-12,68110,440,372,7
2020-05-13,68387,440,375,7
2020-05-14,68661,440,383,7
2020-05-15,68984,440,387,7
2020-05-16,69204,440,389,7
2020-05-17,69389,440,395,7
2020-05-18,69658,440,398,7
2020-05-19,69881,440,398,7
2020-05-20,70107,440,398,7
2020-05-21,70343,441,398,7
2020-05-22,70530,441,408,7
2020-05-23,70700,441,411,7
2020-05-24,70883,441,414,7
2020-05-25,71105,441,415,7
2020-05-26,71404,441,416,7
2020-05-27,71587,441,419,7
2020-05-28,71757,441,420,7
2020-05-29,71913,442,420,7
2020-05-30,72087,442,421,7
2020-05-31,72324,442,423,7
2020-06-01,72510,443,427,7
2020-06-02,72688,443,427,7
2020-06-03,72876,443,428,7
2020-06-04,73046,443,428,7
2020-06-05,73230,443,429,7
2020-06-06,73368,443,429,7
2020-06-07,73476,443,430,7
2020-06-08,73605,443,430,7
2020-06-09,73757,443,431,7
2020-06-10,73909,443,431,7
2020-06-11,74044,443,431,7
2020-06-12,74186,443,431,7
2020-06-13,74304,443,431,7
2020-06-14,74415,443,431,7
2020-06-15,74560,445,433,7
2020-06-16,74707,445,433,7
2020-06-17,74853,445,434,7
2020-06-18,74988,446,434,7
2020-06-19,75147,446,434,7
2020-06-20,75261,446,434,7
2020-06-21,75365,446,434,7
2020-06-22,75521,446,435,7
2020-06-23,75647,446,435,7
2020-06-24,75820,446,435,7
2020-06-25,76037,447,435,7
2020-06-26,76213,447,435,7
2020-06-27,76367,447,435,7
2020-06-28,76494,447,435,7
2020-06-29,76678,447,435,7
2020-06-30,76888,447,437,7
2020-07-01,77029,447,438,7
2020-07-02,77158,448,438,7
2020-07-03,77298,449,438,7
2020-07-04,77417,449,438,7
2020-07-05,77568,449,438,7
2020-07-06,77745,449,438,7
2020-07-07,77881,449,438,7
2020-07-08,78022,449,438,7
2020-07-09,78210,449,438,7
2020-07-10,78375,451,438,7
2020-07-11,78493,451,438,7
2020-07-12,78619,451,438,7
2020-07-13,78745,451,438,7
2020-07-14,78900,451,440,7
2020-07-15,79064,451,440,7
2020-07-16,79255,452,440,7
2020-07-17,79400,454,440,7
2020-07-18,79511,454,440,7
2020-07-19,79646,455,440,7
2020-07-20,79807,455,440,7
2020-07-21,79950,455,440,7
2020-07-22,80106,455,440,7
2020-07-23,80269,455,440,7
2020-07-24,80404,458,440,7
2020-07-25,80499,458,440,7
2020-07-26,80622,458,440,7
2020-07-27,80823,462,440,7
2020-07-28,81164,467,440,7
2020-07-29,81384,467,440,7
2020-07-30,81587,467,440,7
2020-07-31,81822,467,440,7
2020-08-01,81926,474,441,7
2020-08-02,82058,475,441,7
2020-08-03,82331,475,441,7
2020-08-04,82523,476,441,7
2020-08-05,82735,476,441,7
2020-08-06,82949,477,441,7
2020-08-07,83113,477,441,7
2020-08-08,83286,479,441,7
2020-08-09,83428,480,441,7
2020-08-10,83675,480,441,7
2020-08-11,83822,480,443,7
2020-08-12,84012,481,450,7
2020-08-13,84241,481,450,7
2020-08-14,84439,481,450,7
2020-08-15,84572,482,450,7
2020-08-16,84696,483,450,7
2020-08-17,84956,485,450,7
2020-08-18,85121,486,450,7
2020-08-19,85343,486,457,7
2020-08-20,85557,486,457,7
2020-08-21,85774,487,457,7
2020-08-22,85902,487,457,7
2020-08-23,86019,487,457,7
2020-08-24,86261,487,457,7
2020-08-25,86416,487,457,7
2020-08-26,86598,487,462,7
2020-08-27,86802,487,462,7
2020-08-28,86979,487,462,7
2020-08-29,87127,488,462,7
2020-08-30,87284,488,462,7
2020-08-31,87499,488,462,7
2020-09-01,87643,488,462,7
2020-09-02,87795,489,471,7
2020-09-03,88027,489,471,7
2020-09-04,88269,490,471,7
2020-09-05,88381,492,473,7
2020-09-06,88554,493,473,7
2020-09-07,88742,494,475,7
2020-09-08,88929,495,475,7
2020-09-09,89084,495,475,7
2020-09-10,89308,496,475,7
2020-09-11,89494,498,475,7
2020-09-12,89620,498,475,7
2020-09-13,89830,498,475,7
2020-09-14,89984,499,476,7
2020-09-15,90144,499,476,7
2020-09-16,90426,500,477,7
2020-09-17,91106,503,478,7
2020-09-18,91457,503,478,7
2020-09-19,91552,506,479,7
2020-09-20,91650,507,479,7
2020-09-21,91933,509,479,7
2020-09-22,92108,509,479,7
2020-09-23,92367,509,480,7
2020-09-24,92565,509,480,7
2020-09-25,92702,510,480,7
2020-09-26,92977,510,480,7
2020-09-27,93181,510,480,7
2020-09-28,93440,513,482,7
2020-09-29,93651,513,482,7
2020-09-30,93912,514,483,7
2020-10-01,94065,515,484,7
2020-10-02,94458,517,484,7
2020-10-03,94567,517,484,7
2020-10-04,94734,517,484,7
2020-10-05,95090,518,485,7
2020-10-06,95262,521,485,7
2020-10-07,95262,521,485,7
