date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,1,0,0
2020-01-13,0,1,0,0
2020-01-14,0,1,0,0
2020-01-15,0,1,0,0
2020-01-16,0,1,0,0
2020-01-17,0,2,0,0
2020-01-18,0,2,1,0
2020-01-19,0,2,1,0
2020-01-20,0,2,1,0
2020-01-21,0,2,2,0
2020-01-22,0,4,2,0
2020-01-23,0,4,2,0
2020-01-24,0,5,3,0
2020-01-25,0,6,3,0
2020-01-26,0,8,6,0
2020-01-27,0,8,6,0
2020-01-28,0,14,6,0
2020-01-29,0,14,6,0
2020-01-30,0,14,7,0
2020-01-31,0,19,8,0
2020-02-01,0,19,8,0
2020-02-02,0,19,9,0
2020-02-03,0,19,9,0
2020-02-04,0,25,10,0
2020-02-05,0,25,10,0
2020-02-06,0,25,10,0
2020-02-07,0,25,10,0
2020-02-08,0,32,10,0
2020-02-09,0,32,11,0
2020-02-10,0,32,11,0
2020-02-11,0,33,11,0
2020-02-12,0,33,11,0
2020-02-13,0,33,11,0
2020-02-14,0,33,11,0
2020-02-15,0,34,13,0
2020-02-16,0,34,15,0
2020-02-17,0,35,15,0
2020-02-18,0,35,15,0
2020-02-19,0,35,15,0
2020-02-20,0,35,17,0
2020-02-21,0,35,19,0
2020-02-22,0,35,20,0
2020-02-23,0,35,21,0
2020-02-24,0,35,21,0
2020-02-25,0,37,22,0
2020-02-26,0,40,24,0
2020-02-27,0,40,24,0
2020-02-28,0,41,28,0
2020-02-29,0,42,28,0
2020-03-01,0,42,30,1
2020-03-02,0,43,31,1
2020-03-03,3680,43,31,1
2020-03-04,3895,43,31,1
2020-03-05,4023,47,31,1
2020-03-06,4234,48,31,1
2020-03-07,4366,50,31,1
2020-03-08,4518,50,33,1
2020-03-09,4682,50,33,1
2020-03-10,4848,53,33,1
2020-03-11,5232,59,34,1
2020-03-12,5496,70,35,1
2020-03-13,5713,75,35,1
2020-03-14,5713,82,35,1
2020-03-15,6545,114,37,1
2020-03-16,7045,147,38,1
2020-03-17,7045,177,41,1
2020-03-18,8157,212,42,1
2020-03-19,8729,272,42,1
2020-03-20,9670,322,43,1
2020-03-21,10343,411,44,1
2020-03-22,10925,599,45,1
2020-03-23,11807,721,52,1
2020-03-24,13027,827,57,4
2020-03-25,14022,934,70,4
2020-03-26,15292,1045,88,4
2020-03-27,16473,1136,97,5
2020-03-28,17140,1245,100,6
2020-03-29,17779,1388,111,7
2020-03-30,18696,1524,127,9
2020-03-31,20097,1651,342,10
2020-04-01,21008,1771,416,12
2020-04-02,22453,1875,505,15
2020-04-03,23669,1978,581,19
2020-04-04,24474,2067,612,20
2020-04-05,25071,2169,674,23
2020-04-06,25857,2220,793,26
2020-04-07,27049,2258,824,27
2020-04-08,28709,2369,888,30
2020-04-09,30542,2423,940,32
2020-04-10,31984,2473,1013,33
2020-04-11,32830,2518,1135,35
2020-04-12,33810,2551,1218,38
2020-04-13,34786,2579,1288,40
2020-04-14,35452,2613,1405,41
2020-04-15,36495,2643,1497,43
2020-04-16,37462,2672,1593,46
2020-04-17,37462,2700,1689,47
2020-04-18,37462,2733,1787,47
2020-04-19,40897,2765,1928,47
2020-04-20,42257,2792,1999,47
2020-04-21,44056,2811,2108,48
2020-04-22,44056,2826,2352,49
2020-04-23,44056,2839,2430,50
2020-04-24,44056,2854,2490,50
2020-04-25,51694,2907,2547,51
2020-04-26,53238,2922,2594,51
2020-04-27,55486,2931,2609,52
2020-04-28,57922,2938,2652,54
2020-04-29,62018,2947,2665,54
2020-04-30,66371,2954,2687,54
2020-05-01,70535,2960,2719,54
2020-05-02,72745,2966,2732,54
2020-05-03,75268,2969,2739,54
2020-05-04,78768,2987,2740,54
2020-05-05,82627,2988,2747,54
2020-05-06,86320,2989,2761,55
2020-05-07,89791,2992,2772,55
2020-05-08,93644,3000,2784,55
2020-05-09,96995,3004,2787,56
2020-05-10,100404,3009,2794,56
2020-05-11,103858,3015,2796,56
2020-05-12,103858,3017,2798,56
2020-05-13,111288,3017,2844,56
2020-05-14,114405,3018,2850,56
2020-05-15,118068,3025,2854,56
2020-05-16,118274,3025,2855,56
2020-05-17,123092,3028,2856,56
2020-05-18,127108,3031,2857,56
2020-05-19,127108,3033,2857,56
2020-05-20,127108,3034,2888,56
2020-05-21,127108,3037,2897,56
2020-05-22,147104,3037,2910,56
2020-05-23,150455,3040,2916,56
2020-05-24,153991,3040,2921,56
2020-05-25,160320,3042,2928,57
2020-05-26,167961,3045,2929,57
2020-05-27,176045,3054,2931,57
2020-05-28,181468,3065,2945,57
2020-05-29,187747,3076,2945,57
2020-05-30,191920,3077,2961,57
2020-05-31,194911,3081,2963,57
2020-06-01,200411,3082,2965,57
2020-06-02,207693,3083,2966,58
2020-06-03,212098,3084,2968,58
2020-06-04,212098,3101,2968,58
2020-06-05,224386,3102,2971,58
2020-06-06,228349,3104,2971,58
2020-06-07,231111,3112,2972,58
2020-06-08,236941,3119,2973,58
2020-06-09,243464,3121,2973,58
2020-06-10,250076,3125,2981,58
2020-06-11,254860,3125,2987,58
2020-06-12,261606,3129,2987,58
2020-06-13,264371,3134,2987,58
2020-06-14,267564,3135,2987,58
2020-06-15,271701,3135,2987,58
2020-06-16,276573,3135,2993,58
2020-06-17,280461,3135,2996,58
2020-06-18,284577,3141,2997,58
2020-06-19,288088,3146,3008,58
2020-06-20,290451,3147,3018,58
2020-06-21,292160,3148,3018,58
2020-06-22,294824,3151,3022,58
2020-06-23,297820,3156,3023,58
2020-06-24,300149,3157,3026,58
2020-06-25,302670,3158,3038,58
2020-06-26,302822,3162,3040,58
2020-06-27,305324,3162,3053,58
2020-06-28,305324,3162,3053,58
2020-06-29,309371,3169,3053,58
2020-06-30,312395,3171,3056,58
2020-07-01,313813,3173,3059,58
2020-07-02,315445,3179,3059,58
2020-07-03,317273,3180,3066,58
2020-07-04,318619,3185,3066,58
2020-07-05,319669,3190,3071,58
2020-07-06,320990,3195,3072,58
2020-07-07,322306,3195,3072,58
2020-07-08,323642,3197,3074,58
2020-07-09,326073,3202,3085,58
2020-07-10,328444,3202,3087,58
2020-07-11,329887,3216,3088,58
2020-07-12,331018,3217,3088,58
2020-07-13,332565,3220,3090,58
2020-07-14,335323,3227,3091,58
2020-07-15,337552,3232,3092,58
2020-07-16,340622,3236,3095,58
2020-07-17,342698,3239,3096,58
2020-07-18,346628,3246,3096,58
2020-07-19,348650,3249,3096,58
2020-07-20,350522,3250,3096,58
2020-07-21,352837,3255,3105,58
2020-07-22,355830,3261,3105,58
2020-07-23,359160,3269,3105,58
2020-07-24,361862,3279,3107,58
2020-07-25,364062,3282,3109,58
2020-07-26,365469,3291,3109,58
2020-07-27,366539,3295,3111,58
2020-07-28,368207,3297,3111,58
2020-07-29,370078,3298,3111,58
2020-07-30,372664,3304,3111,58
2020-07-31,375346,3310,3125,58
2020-08-01,376640,3312,3135,58
2020-08-02,377680,3317,3142,58
2020-08-03,379104,3320,3142,58
2020-08-04,380630,3321,3142,58
2020-08-05,381770,3328,3144,58
2020-08-06,383217,3330,3148,58
2020-08-07,384399,3345,3148,58
2020-08-08,385860,3348,3150,58
2020-08-09,386931,3351,3151,58
2020-08-10,387762,3351,3160,58
2020-08-11,389247,3351,3163,58
2020-08-12,389752,3356,3169,58
2020-08-13,391136,3359,3169,58
2020-08-14,391504,3376,3173,58
2020-08-15,393117,3376,3193,58
2020-08-16,394115,3377,3194,58
2020-08-17,395408,3378,3194,58
2020-08-18,397276,3381,3198,58
2020-08-19,399394,3382,3199,58
2020-08-20,401680,3389,3218,58
2020-08-21,403525,3390,3219,58
2020-08-22,404647,3390,3220,58
2020-08-23,406172,3395,3221,58
2020-08-24,407412,3397,3222,58
2020-08-25,409632,3402,3229,58
2020-08-26,411200,3403,3237,58
2020-08-27,413006,3404,3237,58
2020-08-28,414897,3410,3237,58
2020-08-29,415933,3411,3242,58
2020-08-30,417044,3411,3252,58
2020-08-31,418371,3412,3252,58
2020-09-01,419970,3417,3274,58
2020-09-02,421343,3425,3274,58
2020-09-03,421343,3427,3277,58
2020-09-04,423352,3431,3277,58
2020-09-05,424001,3438,3279,58
2020-09-06,424545,3444,3281,58
2020-09-07,425153,3445,3281,58
2020-09-08,425153,3446,3284,58
2020-09-09,427990,3447,3286,58
2020-09-10,429062,3454,3310,58
2020-09-11,430235,3461,3312,58
2020-09-12,431741,3466,3312,58
2020-09-13,432753,3473,3312,58
2020-09-14,433807,3475,3312,58
2020-09-15,434849,3480,3315,58
2020-09-16,435822,3490,3316,58
2020-09-17,436894,3490,3325,58
2020-09-18,437790,3497,3328,58
2020-09-19,437790,3500,3338,59
2020-09-20,439769,3506,3342,59
2020-09-21,440708,3506,3342,59
2020-09-22,441755,3511,3343,59
2020-09-23,443206,3514,3345,59
2020-09-24,444855,3516,3353,59
2020-09-25,446247,3519,3360,59
2020-09-26,447189,3522,3362,59
2020-09-27,447877,3523,3367,59
2020-09-28,448693,3545,3369,59
2020-09-29,450010,3559,3370,59
2020-09-30,451067,3564,3374,59
2020-10-01,452419,3569,3379,59
2020-10-02,453437,3575,3384,59
2020-10-03,454385,3583,3386,59
2020-10-04,454861,3585,3388,59
2020-10-05,455785,3590,3390,59
2020-10-06,456703,3600,3390,59
2020-10-07,456703,3615,3391,59
