date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,2,0,0,0
2020-03-05,4,0,0,0
2020-03-06,4,1,0,0
2020-03-07,5,1,0,0
2020-03-08,5,1,0,0
2020-03-09,9,1,0,0
2020-03-10,13,1,0,0
2020-03-11,13,1,0,0
2020-03-12,17,1,0,0
2020-03-13,17,1,0,0
2020-03-14,19,1,0,0
2020-03-15,19,1,0,0
2020-03-16,22,1,0,0
2020-03-17,34,1,0,0
2020-03-18,54,1,0,0
2020-03-19,84,1,0,0
2020-03-20,105,9,1,0
2020-03-21,130,16,1,0
2020-03-22,145,16,1,0
2020-03-23,175,18,1,0
2020-03-24,208,20,1,0
2020-03-25,248,23,1,0
2020-03-26,290,23,1,0
2020-03-27,319,25,1,1
2020-03-28,362,25,1,1
2020-03-29,410,25,1,1
2020-03-30,482,30,1,1
2020-03-31,573,34,10,1
2020-04-01,630,36,10,2
2020-04-02,724,39,17,2
2020-04-03,1018,40,17,3
2020-04-04,1167,41,17,3
2020-04-05,1334,44,20,3
2020-04-06,1484,58,23,3
2020-04-07,1634,65,23,3
2020-04-08,1764,70,23,3
2020-04-09,1894,73,24,3
2020-04-10,2086,76,25,3
2020-04-11,2250,76,25,3
2020-04-12,2549,76,29,3
2020-04-13,2756,77,29,3
2020-04-14,2823,77,32,3
2020-04-15,3053,81,35,3
2020-04-16,3635,81,45,5
2020-04-17,3943,83,48,5
2020-04-18,4208,84,49,5
2020-04-19,4312,84,52,5
2020-04-20,4398,84,53,6
2020-04-21,4617,86,56,6
2020-04-22,4750,88,56,6
2020-04-23,5040,88,59,6
2020-04-24,5262,90,59,6
2020-04-25,5601,96,62,6
2020-04-26,5968,98,62,6
2020-04-27,6158,98,62,6
2020-04-28,6251,99,63,6
2020-04-29,6692,109,64,7
2020-04-30,6899,116,65,9
2020-05-01,7117,123,66,9
2020-05-02,7117,123,66,9
2020-05-03,7442,124,67,9
2020-05-04,7908,126,74,9
2020-05-05,8379,128,74,9
2020-05-06,8852,128,77,9
2020-05-07,9284,135,85,9
2020-05-08,9674,145,85,10
2020-05-09,10111,153,87,10
2020-05-10,10394,174,89,11
2020-05-11,10578,181,89,11
2020-05-12,11058,199,92,11
2020-05-13,11391,219,96,11
2020-05-14,11813,238,96,11
2020-05-15,12057,263,96,11
2020-05-16,12527,298,99,11
2020-05-17,12630,301,104,11
2020-05-18,13469,330,106,12
2020-05-19,13842,338,107,12
2020-05-20,14213,340,110,12
2020-05-21,14784,354,118,12
2020-05-22,15174,363,121,12
2020-05-23,16004,373,133,12
2020-05-24,16764,381,141,12
2020-05-25,17066,386,161,13
2020-05-26,17518,391,177,13
2020-05-27,18046,395,183,13
2020-05-28,18713,422,197,13
2020-05-29,19179,428,202,13
2020-05-30,19722,433,206,13
2020-05-31,20096,442,211,13
2020-06-01,20517,443,215,13
2020-06-02,20965,445,230,13
2020-06-03,21532,452,236,13
2020-06-04,21829,465,239,13
2020-06-05,22173,485,240,13
2020-06-06,22444,487,240,13
2020-06-07,23035,495,248,13
2020-06-08,23272,497,251,13
2020-06-09,23518,501,260,13
2020-06-10,24005,522,265,13
2020-06-11,24375,524,271,13
2020-06-12,24819,525,279,13
2020-06-13,25418,530,291,13
2020-06-14,25543,530,291,13
2020-06-15,25606,531,299,13
2020-06-16,26037,537,344,13
2020-06-17,26461,544,353,13
2020-06-18,26776,547,353,13
2020-06-19,27355,555,361,13
2020-06-20,27841,561,366,13
2020-06-21,28003,569,375,13
2020-06-22,28082,569,380,13
2020-06-23,28526,576,384,13
2020-06-24,28704,583,392,14
2020-06-25,28928,588,394,14
2020-06-26,29364,591,395,14
2020-06-27,29899,615,396,14
2020-06-28,30333,642,401,14
2020-06-29,30374,643,401,14
2020-06-30,30781,650,402,14
2020-07-01,31291,661,414,14
2020-07-02,32001,667,424,14
2020-07-03,32284,671,424,14
2020-07-04,32775,676,432,15
2020-07-05,32916,680,447,15
2020-07-06,32967,680,450,15
2020-07-07,33349,689,467,15
2020-07-08,33610,695,475,15
2020-07-09,34118,704,483,15
2020-07-10,34627,710,494,15
2020-07-11,35173,710,494,15
2020-07-12,35474,720,513,15
2020-07-13,35858,721,517,15
2020-07-14,36294,731,528,15
2020-07-15,36723,740,534,15
2020-07-16,37102,749,543,15
2020-07-17,37404,766,546,15
2020-07-18,37744,774,548,15
2020-07-19,38063,778,551,15
2020-07-20,38166,783,554,15
2020-07-21,38467,790,560,15
2020-07-22,38792,806,578,16
2020-07-23,39373,828,584,16
2020-07-24,39829,839,585,17
2020-07-25,40406,853,587,17
2020-07-26,40780,868,599,18
2020-07-27,40873,874,607,18
2020-07-28,41262,896,612,18
2020-07-29,41674,896,612,18
2020-07-30,42059,908,626,18
2020-07-31,42533,941,641,19
2020-08-01,42943,958,647,19
2020-08-02,43361,961,660,19
2020-08-03,43725,976,663,19
2020-08-04,44554,988,673,19
2020-08-05,44969,1001,690,21
2020-08-06,45784,1012,697,22
2020-08-07,46430,1028,710,22
2020-08-08,47492,1046,721,23
2020-08-09,48075,1060,729,23
2020-08-10,48448,1067,729,25
2020-08-11,49407,1070,752,26
2020-08-12,50235,1092,782,26
2020-08-13,50901,1104,791,26
2020-08-14,51540,1124,806,26
2020-08-15,52303,1130,836,27
2020-08-16,53034,1147,843,27
2020-08-17,53492,1154,858,27
2020-08-18,54261,1173,868,27
2020-08-19,55123,1190,875,27
2020-08-20,55758,1212,878,27
2020-08-21,56444,1239,891,27
2020-08-22,57411,1275,903,27
2020-08-23,58067,1277,910,27
2020-08-24,59196,1295,914,27
2020-08-25,60360,1309,919,27
2020-08-26,61130,1326,946,27
2020-08-27,62138,1326,946,27
2020-08-28,63130,1365,981,27
2020-08-29,64109,1390,990,27
2020-08-30,64696,1396,996,27
2020-08-31,65197,1400,1005,28
2020-09-01,66158,1416,1035,28
2020-09-02,67096,1434,1055,30
2020-09-03,67801,1443,1071,31
2020-09-04,68597,1457,1079,31
2020-09-05,69850,1477,1094,32
2020-09-06,70577,1488,1106,32
2020-09-07,71159,1493,1114,33
2020-09-08,72571,1513,1127,34
2020-09-09,73572,1528,1144,36
2020-09-10,74512,1537,1145,37
2020-09-11,75496,1548,1166,37
2020-09-12,76651,1555,1189,37
2020-09-13,77229,1572,1190,37
2020-09-14,77767,1578,1204,40
2020-09-15,78651,1595,1219,40
2020-09-16,79652,1608,1230,40
2020-09-17,80539,1618,1243,41
2020-09-18,81531,1640,1251,41
2020-09-19,82628,1659,1259,41
2020-09-20,83130,1666,1269,41
2020-09-21,83645,1669,1274,41
2020-09-22,84640,1683,1290,41
2020-09-23,85439,1701,1297,41
2020-09-24,86229,1707,1307,44
2020-09-25,87175,1722,1312,44
2020-09-26,88391,1736,1319,46
2020-09-27,89076,1743,1330,46
2020-09-28,89532,1749,1336,47
2020-09-29,90519,1759,1341,48
2020-09-30,91585,1784,1348,48
2020-10-01,92483,1809,1353,48
2020-10-02,94301,1818,1365,48
2020-10-03,95452,1840,1375,48
2020-10-04,96117,1854,1392,48
2020-10-05,96665,1864,1403,48
2020-10-06,96665,1881,1410,49
2020-10-07,96665,1881,1410,49
