date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,1,0,0
2020-03-22,0,1,0,0
2020-03-23,0,9,0,0
2020-03-24,0,9,0,0
2020-03-25,0,14,0,0
2020-03-26,0,14,0,0
2020-03-27,0,23,0,0
2020-03-28,0,30,0,0
2020-03-29,0,33,0,0
2020-03-30,0,33,0,0
2020-03-31,0,44,0,0
2020-04-01,1510,44,0,0
2020-04-02,1510,45,0,0
2020-04-03,1510,48,0,0
2020-04-04,1510,48,0,0
2020-04-05,1510,52,0,0
2020-04-06,3160,52,0,0
2020-04-07,3310,52,0,0
2020-04-08,3524,53,0,0
2020-04-09,3862,53,0,0
2020-04-10,4301,53,0,0
2020-04-11,4301,53,4,0
2020-04-12,5025,54,4,0
2020-04-13,5664,54,7,0
2020-04-14,6661,55,8,0
2020-04-15,6661,55,12,0
2020-04-16,6661,55,20,0
2020-04-17,6661,56,20,0
2020-04-18,6661,55,22,0
2020-04-19,6661,55,28,0
2020-04-20,6661,56,38,0
2020-04-21,6661,61,38,0
2020-04-22,6661,63,45,0
2020-04-23,6661,74,46,0
2020-04-24,6661,75,46,0
2020-04-25,6661,75,46,0
2020-04-26,6661,79,46,0
2020-04-27,6661,79,47,0
2020-04-28,6661,79,52,0
2020-04-29,6661,81,52,0
2020-04-30,6661,83,52,0
2020-05-01,6661,85,52,0
2020-05-02,6661,88,52,0
2020-05-03,6661,89,52,0
2020-05-04,6661,97,55,0
2020-05-05,6661,98,55,0
2020-05-06,6661,100,55,0
2020-05-07,6661,101,55,0
2020-05-08,6661,101,55,0
2020-05-09,6661,116,55,0
2020-05-10,6661,121,55,0
2020-05-11,6661,121,55,0
2020-05-12,6661,129,55,0
2020-05-13,6661,139,55,0
2020-05-14,6661,160,63,0
2020-05-15,6661,203,63,0
2020-05-16,6661,227,63,0
2020-05-17,6661,227,63,0
2020-05-18,6661,248,63,0
2020-05-19,6661,260,63,0
2020-05-20,6661,264,65,0
2020-05-21,6661,160,66,0
2020-05-22,6661,175,68,0
2020-05-23,6661,198,68,0
2020-05-24,6661,198,68,0
2020-05-25,6661,222,69,0
2020-05-26,6661,253,69,0
2020-05-27,6661,281,69,0
2020-05-28,6661,317,69,0
2020-05-29,6661,329,72,0
2020-05-30,6661,413,72,0
2020-05-31,6661,417,72,0
2020-06-01,6661,457,72,0
2020-06-02,6661,489,82,0
2020-06-03,6661,507,82,0
2020-06-04,6661,522,82,0
2020-06-05,6661,557,82,0
2020-06-06,6661,593,82,0
2020-06-07,6661,616,96,0
2020-06-08,6661,646,103,0
2020-06-09,6661,657,118,0
2020-06-10,6661,665,119,0
2020-06-11,6661,679,161,0
2020-06-12,6661,686,161,0
2020-06-13,6661,694,219,0
2020-06-14,6661,696,240,0
2020-06-15,6661,705,299,0
2020-06-16,6661,724,351,0
2020-06-17,6661,732,420,0
2020-06-18,6661,741,486,0
2020-06-19,6661,755,492,0
2020-06-20,6661,763,492,0
2020-06-21,6661,770,578,0
2020-06-22,6661,774,631,0
2020-06-23,6661,797,699,0
2020-06-24,6661,805,717,0
2020-06-25,6661,821,731,0
2020-06-26,6661,833,761,0
2020-06-27,6661,848,761,0
2020-06-28,6661,859,794,0
2020-06-29,6661,870,808,0
2020-06-30,194872,889,819,0
2020-07-01,194872,893,837,0
2020-07-02,200179,902,847,0
2020-07-03,200179,911,849,0
2020-07-04,200179,927,868,0
2020-07-05,210446,939,891,0
2020-07-06,212860,953,892,0
2020-07-07,216311,971,896,0
2020-07-08,219627,977,904,0
2020-07-09,221675,1000,908,0
2020-07-10,221675,1006,938,0
2020-07-11,221675,1013,952,0
2020-07-12,228105,1025,972,0
2020-07-13,230680,1029,977,0
2020-07-14,230680,1040,984,0
2020-07-15,235015,1043,1004,0
2020-07-16,238709,1051,1014,0
2020-07-17,238709,1056,1023,0
2020-07-18,238709,1062,1023,0
2020-07-19,247646,1065,1023,0
2020-07-20,250029,1069,1071,0
2020-07-21,252127,1072,958,0
2020-07-22,254255,1075,958,0
2020-07-23,256040,1079,971,0
2020-07-24,256040,1089,975,1
2020-07-25,260465,1103,982,1
2020-07-26,262277,1115,982,2
2020-07-27,264162,1128,986,2
2020-07-28,266856,1135,989,2
2020-07-29,266856,1140,1028,2
2020-07-30,272805,1147,1028,2
2020-07-31,275355,1154,1028,3
2020-08-01,275355,1176,1045,4
2020-08-02,280747,1182,1045,4
2020-08-03,282512,1195,1070,5
2020-08-04,284790,1203,1073,5
2020-08-05,288367,1213,1102,5
2020-08-06,290701,1223,1102,5
2020-08-07,290701,1254,1113,6
2020-08-08,296601,1267,1115,6
2020-08-09,299036,1283,1115,7
2020-08-10,301286,1297,1137,9
2020-08-11,304485,1313,1138,9
2020-08-12,308503,1332,1139,9
2020-08-13,312792,1353,1141,11
2020-08-14,312792,1385,1142,12
2020-08-15,312792,1434,1142,13
2020-08-16,325637,1500,1142,13
2020-08-17,329542,1560,1165,15
2020-08-18,333667,1603,1165,15
2020-08-19,336713,1656,1188,16
2020-08-20,340844,1750,1194,19
2020-08-21,340844,1848,1199,19
2020-08-22,340844,2166,1199,20
2020-08-23,351845,2263,1199,20
2020-08-24,355057,2362,1248,22
2020-08-25,359289,2426,1267,25
2020-08-26,363802,2524,1268,26
2020-08-27,367423,2679,1268,28
2020-08-28,367423,2756,1288,28
2020-08-29,367423,2847,1288,29
2020-08-30,378185,2928,1288,30
2020-08-31,381749,2972,1288,32
2020-09-01,385882,3037,1489,32
2020-09-02,391335,3112,1528,32
2020-09-03,395875,3288,1532,33
2020-09-04,395875,3353,1564,35
2020-09-05,395875,3539,1564,39
2020-09-06,411666,3667,1564,41
2020-09-07,415908,3776,1741,44
2020-09-08,417897,3900,1817,46
2020-09-09,420198,4101,1876,46
2020-09-10,423214,4291,1998,48
2020-09-11,423214,4377,1998,49
2020-09-12,423214,4703,1998,52
2020-09-13,434243,4799,2256,55
2020-09-14,436246,4978,2317,56
2020-09-15,439025,5123,2333,58
2020-09-16,441710,5266,2404,60
2020-09-17,444346,5380,2489,60
2020-09-18,444346,5594,2544,61
2020-09-19,451737,6017,2581,63
2020-09-20,453593,6287,2616,63
2020-09-21,457128,6468,2731,63
2020-09-22,460690,6712,2778,64
2020-09-23,463618,6879,2961,69
2020-09-24,465600,7064,3226,70
2020-09-25,469003,7218,3611,71
2020-09-26,473456,7364,3647,71
2020-09-27,477473,7530,3647,73
2020-09-28,478687,7777,4033,75
2020-09-29,480037,8017,4033,75
2020-09-30,482658,8129,4260,75
2020-10-01,486658,8287,4430,75
2020-10-02,489264,8491,4470,79
2020-10-03,491547,8662,4546,79
2020-10-04,493595,8808,4736,81
2020-10-05,495696,8965,5078,82
2020-10-06,495696,9082,5457,84
2020-10-07,495696,9082,5457,84
