date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,1,0,0
2020-01-28,0,1,0,0
2020-01-29,75,4,0,0
2020-01-30,75,4,0,0
2020-01-31,75,4,0,0
2020-02-01,258,4,0,0
2020-02-02,258,5,0,0
2020-02-03,258,5,0,0
2020-02-04,258,5,0,0
2020-02-05,258,5,0,0
2020-02-06,258,5,0,0
2020-02-07,258,5,0,0
2020-02-08,832,7,0,0
2020-02-09,2192,7,0,0
2020-02-10,2629,8,0,0
2020-02-11,2629,8,0,0
2020-02-12,2629,8,1,0
2020-02-13,2629,8,1,0
2020-02-14,2935,8,1,0
2020-02-15,2935,8,3,0
2020-02-16,5042,9,4,0
2020-02-17,5042,9,4,0
2020-02-18,6693,9,4,0
2020-02-19,6693,9,4,0
2020-02-20,6693,9,4,0
2020-02-21,8894,9,4,0
2020-02-22,12990,13,4,0
2020-02-23,12990,13,4,0
2020-02-24,12990,13,4,0
2020-02-25,12990,13,4,0
2020-02-26,12990,13,4,0
2020-02-27,14315,13,4,0
2020-02-28,22921,19,5,0
2020-02-29,22921,21,5,0
2020-03-01,22921,21,5,0
2020-03-02,22921,21,5,0
2020-03-03,25034,27,5,0
2020-03-04,37758,27,5,0
2020-03-05,37758,29,5,0
2020-03-06,48511,29,5,0
2020-03-07,52991,45,7,0
2020-03-08,52991,45,7,0
2020-03-09,59940,45,7,0
2020-03-10,63558,74,12,0
2020-03-11,63558,74,17,0
2020-03-12,73531,85,17,0
2020-03-13,73531,85,17,0
2020-03-14,83571,85,17,0
2020-03-15,90187,98,23,0
2020-03-16,90187,98,23,0
2020-03-17,100712,98,23,0
2020-03-18,100712,113,26,0
2020-03-19,114569,140,31,0
2020-03-20,114569,140,31,2
2020-03-21,127275,153,38,2
2020-03-22,127275,153,38,2
2020-03-23,144023,198,38,2
2020-03-24,153116,248,45,2
2020-03-25,162652,333,52,2
2020-03-26,162652,333,52,2
2020-03-27,181534,405,52,2
2020-03-28,189750,468,52,2
2020-03-29,198848,570,58,3
2020-03-30,206542,611,61,5
2020-03-31,220000,664,61,6
2020-04-01,240480,814,61,8
2020-04-02,262913,1024,96,8
2020-04-03,294315,1264,108,9
2020-04-04,334265,1505,125,10
2020-04-05,392613,1799,144,10
2020-04-06,432483,2076,167,11
2020-04-07,490777,2359,186,12
2020-04-08,539195,2659,239,12
2020-04-09,579195,2990,268,14
2020-04-10,628195,3360,418,16
2020-04-11,648195,3736,588,20
2020-04-12,670195,4123,680,22
2020-04-13,693575,4521,852,25
2020-04-14,725575,4933,933,28
2020-04-15,767000,5365,1034,33
2020-04-16,792000,5825,1095,35
2020-04-17,816000,6302,1188,37
2020-04-18,837806,6302,1188,37
2020-04-19,863601,6781,1286,41
2020-04-20,886408,7265,1360,43
2020-04-21,906573,7755,1443,46
2020-04-22,929626,8238,1546,52
2020-04-23,955132,8756,1637,56
2020-04-24,981406,9281,1760,64
2020-04-25,1003390,9813,1887,71
2020-04-26,1028476,10349,1978,76
2020-04-27,1054671,10839,2090,82
2020-04-28,1082576,11380,2181,89
2020-04-29,1109100,11929,2329,98
2020-04-30,1145366,12481,2429,105
2020-05-01,1172043,13038,2543,111
2020-05-02,1190471,13599,2664,119
2020-05-03,1218510,14163,2763,126
2020-05-04,1243741,14730,2966,137
2020-05-05,1277735,15192,3153,146
2020-05-06,1318869,15738,3359,157
2020-05-07,1352022,16240,3572,165
2020-05-08,1381888,16793,3837,174
2020-05-09,1408651,17417,4295,185
2020-05-10,1441248,18198,4804,198
2020-05-11,1476117,18878,5381,201
2020-05-12,1513229,19661,6012,203
2020-05-13,1551706,20386,6523,206
2020-05-14,1587441,21084,6930,208
2020-05-15,1628161,21831,7328,210
2020-05-16,1666005,22627,7931,214
2020-05-17,1704909,23358,8512,220
2020-05-18,1748641,24190,9577,224
2020-05-19,1792634,25063,10791,227
2020-05-20,1843011,26004,11809,233
2020-05-21,1882802,26898,12755,237
2020-05-22,1918488,27892,13798,241
2020-05-23,1959690,28704,14495,244
2020-05-24,1987972,29485,15056,245
2020-05-25,2015512,30307,15657,248
2020-05-26,2054140,31086,15982,253
2020-05-27,2090271,31969,16371,255
2020-05-28,2132895,32532,16685,258
2020-05-29,2170048,33170,17097,260
2020-05-30,2200195,33896,17546,262
2020-05-31,2235232,34557,17932,264
2020-06-01,2276994,35192,18338,266
2020-06-02,2331817,35788,18726,269
2020-06-03,2376058,36359,19153,270
2020-06-04,2429054,37018,19572,273
2020-06-05,2473255,37642,20337,274
2020-06-06,2505934,38268,21061,275
2020-06-07,2543574,38808,21806,276
2020-06-08,2590775,39376,22275,281
2020-06-09,2636153,39904,22740,283
2020-06-10,2680320,40507,24017,284
2020-06-11,2721044,40986,25234,286
2020-06-12,2764057,41499,25946,287
2020-06-13,2791098,41990,26761,288
2020-06-14,2829134,42294,27462,289
2020-06-15,2869021,42636,28129,291
2020-06-16,2909499,42982,28861,293
2020-06-17,2948001,43364,29537,295
2020-06-18,2982365,43752,30241,298
2020-06-19,3030889,44145,30996,300
2020-06-20,3071765,44533,31754,301
2020-06-21,3112721,44925,32415,302
2020-06-22,3157012,45303,33046,303
2020-06-23,3206662,45683,33703,305
2020-06-24,3255814,46133,34405,307
2020-06-25,3308341,46563,35165,308
2020-06-26,3367082,46973,35469,310
2020-06-27,3410633,47360,35834,311
2020-06-28,3474603,47797,36411,313
2020-06-29,3536631,48246,37076,314
2020-06-30,3592808,48667,37566,315
2020-07-01,3647166,49069,38160,316
2020-07-02,3718863,49469,38664,317
2020-07-03,3766793,50141,39153,318
2020-07-04,3794802,50857,39857,321
2020-07-05,3838994,51540,40297,323
2020-07-06,3890424,52068,40721,324
2020-07-07,3940201,52600,41714,326
2020-07-08,3987523,53045,42282,327
2020-07-09,4046027,53577,43570,328
2020-07-10,4096166,54050,43969,330
2020-07-11,4130644,54453,44648,331
2020-07-12,4180969,54854,45140,333
2020-07-13,4215447,55198,45513,334
2020-07-14,4268229,55573,46025,335
2020-07-15,4316763,55848,46418,335
2020-07-16,4365694,56129,47412,335
2020-07-17,4414255,56422,48448,337
2020-07-18,4461205,56711,48917,338
2020-07-19,4508928,56922,49269,339
2020-07-20,4536152,57193,49621,340
2020-07-21,4576202,57498,49964,341
2020-07-22,4623216,57734,50354,342
2020-07-23,4677312,57988,50848,342
2020-07-24,4724277,58249,51235,343
2020-07-25,4776904,58562,51628,343
2020-07-26,4828066,58913,52182,344
2020-07-27,4875295,59177,52510,345
2020-07-28,4918917,59546,52905,347
2020-07-29,4966400,59921,53202,347
2020-07-30,5021657,60223,53626,349
2020-07-31,5076384,60506,53909,351
2020-08-01,5119652,60760,54255,351
2020-08-02,5162080,60999,54615,351
2020-08-03,5189891,61163,54863,351
2020-08-04,5219289,61352,55090,351
2020-08-05,5262658,61606,55385,353
2020-08-06,5313387,61845,55739,354
2020-08-07,5375365,62061,56015,356
2020-08-08,5439157,62300,56245,356
2020-08-09,5500701,62525,56568,357
2020-08-10,5559654,62704,56766,357
2020-08-11,5623764,62966,56961,358
2020-08-12,5696394,63212,57193,358
2020-08-13,5765358,63489,57372,358
2020-08-14,5847702,63819,57473,359
2020-08-15,5925342,64102,57571,361
2020-08-16,5990528,64312,57694,364
2020-08-17,6061850,64541,57794,364
2020-08-18,6121609,64906,57909,366
2020-08-19,6193635,65341,58022,367
2020-08-20,6265918,65802,58153,369
2020-08-21,6348109,66193,58296,370
2020-08-22,6418188,66617,58408,372
2020-08-23,6489404,67007,58488,375
2020-08-24,6560686,67282,58582,376
2020-08-25,6629995,67621,58754,377
2020-08-26,6687414,68020,59070,378
2020-08-27,6755457,68511,59472,378
2020-08-28,6835137,68901,59861,379
2020-08-29,6923940,69328,60202,379
2020-08-30,7011895,69690,60600,382
2020-08-31,7094658,70231,60931,384
2020-09-01,7177430,70805,61491,384
2020-09-02,7257053,71540,62029,387
2020-09-03,7324874,72154,62668,387
2020-09-04,7405809,72766,63158,387
2020-09-05,7488142,73471,63652,388
2020-09-06,7575478,73984,66095,388
2020-09-07,7632984,74454,66533,390
2020-09-08,7704318,75098,66943,391
2020-09-09,7790235,75981,67359,393
2020-09-10,7872311,76911,67945,398
2020-09-11,7947488,77842,68462,398
2020-09-12,8042775,78849,68983,399
2020-09-13,8127417,79489,69451,399
2020-09-14,8191501,80266,69981,399
2020-09-15,8278380,80940,70635,401
2020-09-16,8372062,81782,71456,402
2020-09-17,8464974,82568,72117,402
2020-09-18,8562443,83433,72790,403
2020-09-19,8665567,84242,73512,404
2020-09-20,8762818,84916,74273,404
2020-09-21,8835206,85595,75086,405
2020-09-22,8933734,86447,76025,405
2020-09-23,9036933,87530,76995,406
2020-09-24,9130551,88532,77937,407
2020-09-25,9222609,89540,78819,409
2020-09-26,9320777,90618,79676,411
2020-09-27,9426811,91469,80544,412
2020-09-28,9503699,92095,81462,413
2020-09-29,9602111,93090,82538,416
