date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,2,0,0
2020-02-01,0,2,0,0
2020-02-02,0,2,0,0
2020-02-03,0,2,0,0
2020-02-04,0,2,0,0
2020-02-05,0,2,0,0
2020-02-06,0,3,0,0
2020-02-07,0,3,0,0
2020-02-08,0,3,0,0
2020-02-09,0,4,0,0
2020-02-10,0,8,0,0
2020-02-11,0,8,0,0
2020-02-12,0,8,1,0
2020-02-13,0,9,1,0
2020-02-14,0,9,1,0
2020-02-15,0,9,1,0
2020-02-16,0,9,8,0
2020-02-17,0,9,8,0
2020-02-18,0,9,8,0
2020-02-19,0,9,8,0
2020-02-20,0,9,8,0
2020-02-21,0,9,8,0
2020-02-22,0,9,8,0
2020-02-23,0,9,8,0
2020-02-24,0,13,8,0
2020-02-25,0,13,8,0
2020-02-26,0,13,8,0
2020-02-27,0,13,8,0
2020-02-28,0,19,8,0
2020-02-29,0,23,8,0
2020-03-01,0,35,8,0
2020-03-02,0,40,8,0
2020-03-03,0,51,8,0
2020-03-04,0,85,8,0
2020-03-05,0,114,8,0
2020-03-06,0,160,8,1
2020-03-07,0,206,18,2
2020-03-08,0,271,18,2
2020-03-09,0,321,18,3
2020-03-10,0,373,18,7
2020-03-11,0,456,18,7
2020-03-12,0,590,18,9
2020-03-13,0,797,18,10
2020-03-14,0,1061,18,29
2020-03-15,0,1391,18,43
2020-03-16,0,1543,20,65
2020-03-17,0,1950,52,82
2020-03-18,0,2626,65,116
2020-03-19,0,3269,65,162
2020-03-20,0,3983,65,194
2020-03-21,0,5018,65,252
2020-03-22,0,5683,65,288
2020-03-23,0,6650,65,364
2020-03-24,0,8077,135,512
2020-03-25,0,9529,135,703
2020-03-26,0,11658,135,884
2020-03-27,0,14548,135,1172
2020-03-28,0,17104,135,1464
2020-03-29,0,19606,135,1676
2020-03-30,0,22271,135,2050
2020-03-31,0,25521,135,2453
2020-04-01,155174,30088,135,3125
2020-04-02,167237,34610,135,3782
2020-04-03,182352,39282,135,4518
2020-04-04,223578,43282,135,5274
2020-04-05,239658,49481,135,5873
2020-04-06,252896,53624,135,6440
2020-04-07,267303,57512,135,7545
2020-04-08,281726,63377,135,8575
2020-04-09,298169,68052,135,9691
2020-04-10,316836,73758,344,10813
2020-04-11,334974,78991,344,11656
2020-04-12,352974,84279,344,12313
2020-04-13,367667,88621,344,13037
2020-04-14,382650,93873,344,14113
2020-04-15,398916,98476,344,14993
2020-04-16,417649,103093,344,16029
2020-04-17,438991,108692,344,16942
2020-04-18,460437,114217,344,18047
2020-04-19,482063,120067,344,18479
2020-04-20,501379,124743,344,19049
2020-04-21,537121,129044,344,20273
2020-04-22,559935,133495,344,21120
2020-04-23,583496,138078,344,21802
2020-04-24,612031,143464,344,22812
2020-04-25,640792,148377,344,23627
2020-04-26,669850,152840,344,23991
2020-04-27,701460,157149,344,24311
2020-04-28,734860,161145,344,25280
2020-04-29,780366,165221,344,26049
2020-04-30,849296,171253,344,26683
2020-05-01,933455,177454,344,27381
2020-05-02,1008348,182260,344,27965
2020-05-03,1071909,186599,344,28218
2020-05-04,1140726,190584,344,28490
2020-05-05,1220764,194990,344,29216
2020-05-06,1283443,201101,344,29863
2020-05-07,1360595,206715,344,30321
2020-05-08,1439506,211364,344,30900
2020-05-09,1517402,215260,344,31175
2020-05-10,1594604,219183,344,31392
2020-05-11,1671546,223060,344,31579
2020-05-12,1741989,226463,344,32193
2020-05-13,1816848,229705,344,32640
2020-05-14,1901014,233151,344,32992
2020-05-15,1986193,236711,344,33342
2020-05-16,2082174,240161,344,33753
2020-05-17,2175527,243723,344,33820
2020-05-18,2257668,246406,344,33966
2020-05-19,2330252,248818,344,34466
2020-05-20,2410097,248293,344,34794
2020-05-21,2497915,250908,344,35067
2020-05-22,2605843,254195,344,35358
2020-05-23,2697987,257154,344,35578
2020-05-24,2790296,259559,344,35957
2020-05-25,2849932,261184,344,36061
2020-05-26,2998370,265227,344,36192
2020-05-27,3076645,267240,344,36614
2020-05-28,3159661,269127,344,36957
2020-05-29,3262396,271222,344,37231
2020-05-30,3368948,272826,344,37385
2020-05-31,3466338,274762,344,37445
2020-06-01,3638278,276332,344,37531
2020-06-02,3739808,277985,344,37780
2020-06-03,3869621,279856,344,38034
2020-06-04,4011931,281661,344,38164
2020-06-05,4157311,283311,344,38422
2020-06-06,4304282,284868,344,38565
2020-06-07,4422335,286194,344,38619
2020-06-08,4527480,287399,344,38666
2020-06-09,4662107,289140,344,38861
2020-06-10,4795468,290143,344,39025
2020-06-11,4941550,291409,344,39101
2020-06-12,5092695,292950,344,39232
2020-06-13,5241174,294375,344,39339
2020-06-14,5364875,295889,344,39366
2020-06-15,5449760,296857,344,39395
2020-06-16,5552801,298136,344,39515
2020-06-17,5675283,299251,344,39625
2020-06-18,5808862,300469,344,39692
2020-06-19,5948476,301815,344,39776
2020-06-20,6082480,303110,344,39847
2020-06-21,6201735,304331,344,39878
2020-06-22,6278432,305289,344,39892
2020-06-23,6384549,306210,344,39986
2020-06-24,6507342,306862,344,40073
2020-06-25,6648415,307980,344,40172
2020-06-26,6847145,309360,344,40249
2020-06-27,6992073,310250,344,40289
2020-06-28,7109814,311151,344,40320
2020-06-29,7208646,311965,344,40341
2020-06-30,7331986,312654,344,40394
2020-07-01,7486285,313483,344,40491
2020-07-02,7643831,283757,344,40532
2020-07-03,7812218,284276,344,40581
2020-07-04,7985271,284900,344,40613
2020-07-05,8111677,285416,344,40632
2020-07-06,8210372,285768,344,40643
2020-07-07,8305032,286349,344,40697
2020-07-08,8431626,286979,344,40754
2020-07-09,8584627,287621,344,40785
2020-07-10,8746603,288133,344,40819
2020-07-11,8901570,288953,344,40836
2020-07-12,9036673,289603,344,40845
2020-07-13,9139226,290133,344,40855
2020-07-14,9235686,291373,344,40899
2020-07-15,9368703,291911,344,40925
2020-07-16,9524251,292552,344,40949
2020-07-17,9690514,293239,344,40975
2020-07-18,9868579,294066,344,40984
2020-07-19,10009148,294792,344,40995
2020-07-20,10130116,295372,344,41005
2020-07-21,10232901,295817,344,41030
2020-07-22,10375459,296377,344,41047
2020-07-23,10523054,297146,344,41056
2020-07-24,10675176,297914,344,41088
2020-07-25,10832984,298681,344,41103
2020-07-26,10975936,299426,344,41111
2020-07-27,11095717,300111,344,41114
2020-07-28,11195038,300692,344,41135
2020-07-29,11349983,301455,344,41169
2020-07-30,11515652,302301,344,41169
2020-07-31,11722733,303181,344,41189
2020-08-01,11912950,303942,344,41202
2020-08-02,12075267,304685,344,41207
2020-08-03,12250937,305623,344,41208
2020-08-04,12407146,306293,344,41226
2020-08-05,12571991,307184,344,41240
2020-08-06,12748043,308134,344,41258
2020-08-07,12938980,309005,344,41270
2020-08-08,13121091,309763,344,41273
2020-08-09,13286362,310825,344,41278
2020-08-10,13453361,311641,344,41296
2020-08-11,13618470,312789,344,41309
2020-08-12,13785297,313798,344,41329
2020-08-13,13971512,314927,344,41347
2020-08-14,14142736,316367,344,41358
2020-08-15,14320621,317444,344,41361
2020-08-16,14503645,318484,344,41366
2020-08-17,14674841,319197,344,41369
2020-08-18,14825051,320286,344,41381
2020-08-19,14988134,321098,344,41397
2020-08-20,15177265,322280,344,41403
2020-08-21,15363416,323313,344,41405
2020-08-22,15554879,324601,344,41423
2020-08-23,15736334,325761,344,41429
2020-08-24,15912155,326614,344,41433
2020-08-25,16065561,327798,344,41449
2020-08-26,16273209,328846,344,41465
2020-08-27,16483449,330368,344,41477
2020-08-28,16698964,331644,344,41486
2020-08-29,16896834,332752,344,41498
2020-08-30,17080344,334467,344,41499
2020-08-31,17262409,335873,344,41501
2020-09-01,17444343,337168,344,41504
2020-09-02,17619897,338676,344,41514
2020-09-03,17823349,340411,344,41527
2020-09-04,18031292,342351,344,41537
2020-09-05,18240704,344164,344,41549
2020-09-06,18432292,347152,344,41551
2020-09-07,18625666,350100,344,41554
2020-09-08,18823212,352560,344,41586
2020-09-09,19060505,355219,344,41594
2020-09-10,19293329,358138,344,41608
2020-09-11,19542389,361677,344,41614
2020-09-12,19832981,365174,344,41623
2020-09-13,20064950,368504,344,41628
2020-09-14,20292025,371125,344,41637
2020-09-15,20521243,374228,344,41664
2020-09-16,20811196,378219,344,41684
2020-09-17,21099610,381614,344,41705
2020-09-18,21368297,385936,344,41732
2020-09-19,21659184,390358,344,41759
2020-09-20,21924881,394257,344,41777
2020-09-21,22171979,398625,344,41788
2020-09-22,22390038,403551,344,41825
2020-09-23,22616796,409729,344,41862
2020-09-24,22901019,416363,344,41902
2020-09-25,23188836,423236,344,41937
2020-09-26,23488976,429277,344,41971
2020-09-27,23749273,434969,344,41988
2020-09-28,24016711,439013,344,42001
2020-09-29,24249112,446156,344,42072
2020-09-30,24507007,453264,344,42143
