date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,4,0,0
2020-03-14,0,6,0,0
2020-03-15,0,8,0,0
2020-03-16,0,29,0,0
2020-03-17,0,50,0,0
2020-03-18,0,79,0,0
2020-03-19,0,94,0,0
2020-03-20,0,110,0,0
2020-03-21,0,135,0,0
2020-03-22,0,158,0,0
2020-03-23,0,162,0,0
2020-03-24,0,189,0,0
2020-03-25,0,217,0,0
2020-03-26,0,238,0,0
2020-03-27,0,274,0,0
2020-03-28,2926,303,0,1
2020-03-29,3126,309,0,1
2020-03-30,3425,320,0,1
2020-03-31,3819,338,41,1
2020-04-01,4108,350,62,2
2020-04-02,4464,369,68,4
2020-04-03,4786,386,86,4
2020-04-04,5063,400,93,5
2020-04-05,5208,406,104,6
2020-04-06,5385,415,123,6
2020-04-07,5727,424,150,7
2020-04-08,6175,456,192,7
2020-04-09,6856,473,206,7
2020-04-10,7496,494,214,7
2020-04-11,8114,501,224,7
2020-04-12,8774,480,231,7
2020-04-13,9236,483,248,8
2020-04-14,9929,492,260,8
2020-04-15,10448,493,272,9
2020-04-16,11239,502,286,9
2020-04-17,11749,508,294,9
2020-04-18,12478,517,298,9
2020-04-19,12826,528,298,10
2020-04-20,12826,535,313,10
2020-04-21,13396,543,324,12
2020-04-22,13923,549,337,12
2020-04-23,14532,557,354,12
2020-04-24,15142,563,369,12
2020-04-25,15834,596,370,14
2020-04-26,16496,606,375,15
2020-04-27,17063,620,386,15
2020-04-28,17505,625,394,15
2020-04-29,18140,630,412,15
2020-04-30,19016,643,417,17
2020-05-01,19747,648,435,17
2020-05-02,20554,652,440,17
2020-05-03,21164,655,442,17
2020-05-04,21939,657,447,17
2020-05-05,22805,670,468,17
2020-05-06,23811,673,486,17
2020-05-07,24656,684,492,17
2020-05-08,25698,694,506,18
2020-05-09,26838,702,513,18
2020-05-10,27461,707,517,19
2020-05-11,28697,711,523,19
2020-05-12,28697,717,532,19
2020-05-13,29500,719,545,19
2020-05-14,30209,724,547,19
2020-05-15,31209,732,553,19
2020-05-16,32225,733,558,19
2020-05-17,33036,734,564,20
2020-05-18,33861,737,569,20
2020-05-19,34384,738,579,20
2020-05-20,34794,746,588,20
2020-05-21,34794,749,594,20
2020-05-22,35537,753,603,20
2020-05-23,37178,764,616,22
2020-05-24,37178,769,618,22
2020-05-25,38146,787,629,22
2020-05-26,38695,789,638,22
2020-05-27,39469,803,650,22
2020-05-28,40229,811,654,22
2020-05-29,41469,816,680,22
2020-05-30,42624,821,682,22
2020-05-31,43479,823,685,22
2020-06-01,43479,825,689,23
2020-06-02,44511,826,691,23
2020-06-03,45226,828,698,23
2020-06-04,45777,832,709,23
2020-06-05,46512,834,721,23
2020-06-06,47433,845,726,23
2020-06-07,48029,845,730,23
2020-06-08,48432,845,738,23
2020-06-09,48896,846,754,23
2020-06-10,49653,847,758,23
2020-06-11,50473,847,772,23
2020-06-12,51313,847,780,23
2020-06-13,52078,847,784,23
2020-06-14,52862,848,788,23
2020-06-15,53265,848,792,23
2020-06-16,53725,849,801,24
2020-06-17,54486,849,810,24
2020-06-18,55896,850,814,24
2020-06-19,56234,853,814,24
2020-06-20,56877,859,815,25
2020-06-21,57289,876,814,25
2020-06-22,57687,882,815,25
2020-06-23,58845,885,815,25
2020-06-24,60318,902,815,26
2020-06-25,61608,907,818,26
2020-06-26,62765,919,818,26
2020-06-27,64183,924,818,26
2020-06-28,64586,929,818,27
2020-06-29,65626,932,822,27
2020-06-30,66300,936,824,27
2020-07-01,66300,943,825,28
2020-07-02,68449,947,828,28
2020-07-03,68449,952,837,28
2020-07-04,68449,955,840,28
2020-07-05,68449,956,849,28
2020-07-06,72553,960,858,29
2020-07-07,73609,965,865,29
2020-07-08,74568,974,871,29
2020-07-09,76035,977,878,29
2020-07-10,77259,985,886,29
2020-07-11,78117,986,896,30
2020-07-12,78586,987,896,31
2020-07-13,79963,989,903,31
2020-07-14,81446,997,905,31
2020-07-15,81446,1009,909,31
2020-07-16,82772,1026,916,32
2020-07-17,82772,1037,917,32
2020-07-18,82772,1044,921,33
2020-07-19,88616,1054,922,33
2020-07-20,90649,1064,927,33
2020-07-21,92056,1096,929,33
2020-07-22,95156,1117,934,34
2020-07-23,97472,1141,940,34
2020-07-24,99572,1166,946,34
2020-07-25,101060,1174,947,34
2020-07-26,103003,1192,948,34
2020-07-27,104958,1202,951,35
2020-07-28,107321,1218,958,35
2020-07-29,109311,1237,967,35
2020-07-30,110951,1243,978,35
2020-07-31,113537,1264,994,35
2020-08-01,115200,1278,1004,35
2020-08-02,117053,1286,1011,36
2020-08-03,119042,1291,1023,36
2020-08-04,119042,1300,1048,37
2020-08-05,124098,1309,1065,37
2020-08-06,124098,1318,1079,37
2020-08-07,128814,1325,1095,37
2020-08-08,130767,1335,1112,37
2020-08-09,130767,1353,1125,37
2020-08-10,133237,1364,1146,37
2020-08-11,135429,1385,1157,37
2020-08-12,137186,1393,1163,37
2020-08-13,138700,1409,1180,37
2020-08-14,142599,1421,1182,38
2020-08-15,144228,1434,1194,38
2020-08-16,146266,1440,1200,38
2020-08-17,146266,1457,1205,40
2020-08-18,147594,1485,1219,40
2020-08-19,152121,1493,1228,40
2020-08-20,154431,1506,1242,41
2020-08-21,154431,1516,1249,42
2020-08-22,158702,1521,1264,42
2020-08-23,160216,1527,1276,42
2020-08-24,160216,1533,1295,42
2020-08-25,163129,1536,1309,43
2020-08-26,164738,1543,1322,43
2020-08-27,166117,1551,1333,43
2020-08-28,167716,1556,1352,43
2020-08-29,171237,1570,1364,44
2020-08-30,172081,1585,1378,44
2020-08-31,173187,1595,1409,44
2020-09-01,175080,1611,1419,44
2020-09-02,175080,1626,1433,44
2020-09-03,178629,1636,1437,44
2020-09-04,178629,1653,1446,45
2020-09-05,178629,1669,1459,45
2020-09-06,178629,1679,1459,45
2020-09-07,178629,1693,1466,45
2020-09-08,188636,1712,1476,45
2020-09-09,190356,1741,1478,45
2020-09-10,192578,1759,1484,45
2020-09-11,195199,1773,1490,45
2020-09-12,196892,1780,1502,45
2020-09-13,198041,1808,1513,45
2020-09-14,201435,1812,1528,45
2020-09-15,203232,1827,1545,45
2020-09-16,205278,1856,1559,45
2020-09-17,208293,1876,1582,46
2020-09-18,210199,1890,1603,46
2020-09-19,210199,1904,1612,46
2020-09-20,212901,1917,1621,46
2020-09-21,216358,1927,1634,46
2020-09-22,218239,1934,1645,46
2020-09-23,221313,1946,1661,47
2020-09-24,224322,1959,1679,47
2020-09-25,225803,1967,1710,47
2020-09-26,228335,1998,1716,47
2020-09-27,229518,2008,1728,47
2020-09-28,232359,2010,1755,47
2020-09-29,233902,2033,1771,48
2020-09-30,236255,2046,1791,48
2020-10-01,238916,2061,1809,48
2020-10-02,242136,2097,1824,48
2020-10-03,245197,2122,1831,48
2020-10-04,246766,2145,1844,48
2020-10-05,246766,2155,1862,48
2020-10-06,246766,2177,1878,49
2020-10-07,246766,2177,1878,49
