date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,1,0,0
2020-03-16,0,6,0,0
2020-03-17,0,10,0,0
2020-03-18,0,15,0,0
2020-03-19,0,23,0,0
2020-03-20,0,33,0,0
2020-03-21,0,43,0,0
2020-03-22,0,43,0,0
2020-03-23,0,46,0,0
2020-03-24,0,50,0,0
2020-03-25,0,60,0,0
2020-03-26,0,75,0,0
2020-03-27,0,88,5,1
2020-03-28,0,104,5,2
2020-03-29,0,144,7,2
2020-03-30,0,149,7,2
2020-03-31,0,172,7,2
2020-04-01,0,181,12,2
2020-04-02,0,205,25,2
2020-04-03,0,227,25,2
2020-04-04,0,266,25,2
2020-04-05,0,342,30,2
2020-04-06,0,457,30,2
2020-04-07,0,520,30,2
2020-04-08,0,545,30,3
2020-04-09,0,582,38,3
2020-04-10,0,624,42,3
2020-04-11,0,767,42,4
2020-04-12,0,865,66,4
2020-04-13,0,998,85,4
2020-04-14,0,1165,99,4
2020-04-15,0,1302,107,4
2020-04-16,0,1349,129,4
2020-04-17,0,1405,156,4
2020-04-18,0,1490,194,5
2020-04-19,0,1565,225,5
2020-04-20,0,1627,261,5
2020-04-21,0,1678,357,6
2020-04-22,0,1716,450,7
2020-04-23,0,1758,561,7
2020-04-24,0,1804,621,8
2020-04-25,0,1862,707,8
2020-04-26,0,1869,789,8
2020-04-27,0,1904,892,8
2020-04-28,0,1939,992,8
2020-04-29,0,2002,1096,9
2020-04-30,0,2039,1133,9
2020-05-01,0,2086,1212,9
2020-05-02,0,2118,1271,9
2020-05-03,0,2149,1319,10
2020-05-04,0,2189,1405,10
2020-05-05,0,2207,1501,10
2020-05-06,0,2233,1577,10
2020-05-07,0,2298,1656,10
2020-05-08,0,2325,1775,10
2020-05-09,0,2349,1846,10
2020-05-10,0,2418,1881,10
2020-05-11,0,2486,1988,10
2020-05-12,0,2519,2010,10
2020-05-13,0,2612,2076,11
2020-05-14,0,2645,2136,11
2020-05-15,0,2686,2158,11
2020-05-16,0,2738,2213,11
2020-05-17,0,2753,2247,12
2020-05-18,0,2791,2314,13
2020-05-19,0,2855,2338,13
2020-05-20,0,2939,2372,13
2020-05-21,0,2964,2407,13
2020-05-22,0,3028,2492,13
2020-05-23,0,3115,2532,13
2020-05-24,0,3164,2565,13
2020-05-25,0,3189,2607,13
2020-05-26,0,3290,2636,14
2020-05-27,0,3369,2668,14
2020-05-28,0,3444,2694,14
2020-05-29,0,3468,2728,14
2020-05-30,0,3546,2783,14
2020-05-31,0,3623,2837,15
2020-06-01,0,3702,2859,15
2020-06-02,0,3760,2908,15
2020-06-03,0,3843,3014,16
2020-06-04,0,3939,3087,16
2020-06-05,0,4007,3247,16
2020-06-06,0,4094,3268,17
2020-06-07,0,4331,3354,17
2020-06-08,0,4440,3357,18
2020-06-09,0,4520,3459,18
2020-06-10,0,4623,3532,19
2020-06-11,0,4741,3637,19
2020-06-12,0,4869,3758,19
2020-06-13,0,4966,3874,19
2020-06-14,0,5080,3943,19
2020-06-15,0,5263,4019,19
2020-06-16,0,5493,4096,19
2020-06-17,0,5682,4131,19
2020-06-18,0,5767,4166,19
2020-06-19,0,5946,4273,19
2020-06-20,0,6153,4290,19
2020-06-21,0,6315,4377,19
2020-06-22,0,6461,4450,19
2020-06-23,0,6662,4560,19
2020-06-24,0,6990,4685,19
2020-06-25,0,7177,4877,20
2020-06-26,0,7427,5038,20
2020-06-27,0,7682,5240,20
2020-06-28,0,7948,5329,22
2020-06-29,0,8222,5496,23
2020-06-30,0,8503,5682,26
2020-07-01,0,8781,5847,26
2020-07-02,0,9078,6034,27
2020-07-03,0,9396,6251,29
2020-07-04,0,9708,6425,31
2020-07-05,0,10020,6584,34
2020-07-06,0,10362,6628,37
2020-07-07,0,10838,6811,41
2020-07-08,0,11092,7060,45
2020-07-09,0,11564,7287,51
2020-07-10,0,12027,7530,54
2020-07-11,0,12513,7723,57
2020-07-12,0,12997,7852,60
2020-07-13,0,13591,8030,64
2020-07-14,0,14085,8327,67
2020-07-15,0,14581,8655,71
2020-07-16,0,15066,8783,75
2020-07-17,0,15607,9003,79
2020-07-18,0,16186,9127,83
2020-07-19,0,16752,9279,87
2020-07-20,0,17149,9387,90
2020-07-21,0,17881,9521,95
2020-07-22,0,18379,9872,98
2020-07-23,0,18986,10149,103
2020-07-24,0,19360,10472,106
2020-07-25,0,19952,10831,111
2020-07-26,0,20531,11105,116
2020-07-27,0,21209,11674,121
2020-07-28,0,21699,12026,124
2020-07-29,0,22585,12937,131
2020-07-30,0,23271,13680,136
2020-07-31,0,24009,14464,141
2020-08-01,0,24783,15299,147
2020-08-02,0,25336,15833,151
2020-08-03,0,26066,16838,157
2020-08-04,0,27047,18051,165
2020-08-05,0,27793,18783,171
2020-08-06,0,28315,19291,175
2020-08-07,0,29057,20059,181
2020-08-08,0,29652,21006,187
2020-08-09,0,30609,22042,194
2020-08-10,0,31304,22992,200
2020-08-11,0,31747,23704,204
2020-08-12,0,32654,25659,211
2020-08-13,0,33323,27213,216
2020-08-14,0,33821,27825,220
2020-08-15,0,34528,29328,225
2020-08-16,0,35329,30973,232
2020-08-17,0,35702,30973,236
2020-08-18,0,36352,32062,242
2020-08-19,0,37112,32944,248
2020-08-20,0,37547,33261,252
2020-08-21,0,38074,33989,260
2020-08-22,0,38532,34576,267
2020-08-23,0,38946,34987,273
2020-08-24,0,39348,35551,280
2020-08-25,0,39641,35869,284
2020-08-26,0,39964,36402,291
2020-08-27,0,40447,37200,298
2020-08-28,0,40720,37873,302
2020-08-29,0,41067,38250,307
2020-08-30,0,41424,38655,313
2020-08-31,0,41893,39275,320
2020-09-01,0,42127,39538,323
2020-09-02,0,42437,39664,327
2020-09-03,0,42688,40081,331
2020-09-04,0,42998,40392,338
2020-09-05,0,43293,40774,343
2020-09-06,0,43587,41225,347
2020-09-07,0,43893,41531,352
2020-09-08,0,44281,41594,358
2020-09-09,0,44930,42212,366
2020-09-10,0,45473,42509,370
2020-09-11,0,46160,42857,377
2020-09-12,0,46721,43359,384
2020-09-13,0,47287,43866,390
2020-09-14,0,47836,44375,396
2020-09-15,0,48429,44942,402
2020-09-16,0,49015,45422,407
2020-09-17,0,49627,45970,413
2020-09-18,0,50253,46527,419
2020-09-19,0,50992,47271,427
2020-09-20,0,51640,47932,433
2020-09-21,0,52070,48369,437
2020-09-22,0,52685,49067,442
2020-09-23,0,53275,49649,444
2020-09-24,0,53834,50230,446
2020-09-25,0,54392,50879,449
2020-09-26,0,54819,51322,452
2020-09-27,0,55320,51829,458
2020-09-28,0,55776,52324,460
2020-09-29,0,56354,52970,466
2020-09-30,0,56717,53366,470
2020-10-01,0,57190,53835,471
2020-10-02,0,57454,53955,472
2020-10-03,0,58238,54854,477
2020-10-04,0,58612,55281,480
2020-10-05,0,58946,55633,485
2020-10-06,0,59343,56058,489
2020-10-07,0,59343,56058,489
