date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,2,0,0
2020-03-15,0,10,0,0
2020-03-16,0,17,0,0
2020-03-17,0,33,0,0
2020-03-18,0,36,0,0
2020-03-19,0,42,0,0
2020-03-20,0,42,0,0
2020-03-21,0,70,0,0
2020-03-22,0,70,15,0
2020-03-23,0,77,15,0
2020-03-24,0,84,15,0
2020-03-25,0,91,15,0
2020-03-26,0,107,15,0
2020-03-27,0,107,31,1
2020-03-28,0,119,39,2
2020-03-29,0,119,39,2
2020-03-30,0,135,39,3
2020-03-31,0,135,39,3
2020-04-01,0,143,41,3
2020-04-02,0,146,43,5
2020-04-03,0,153,52,7
2020-04-04,0,155,52,7
2020-04-05,0,159,52,7
2020-04-06,0,165,65,7
2020-04-07,0,165,65,7
2020-04-08,0,167,65,9
2020-04-09,0,171,84,9
2020-04-10,0,171,84,9
2020-04-11,0,175,93,9
2020-04-12,0,181,93,9
2020-04-13,0,189,110,9
2020-04-14,0,189,110,9
2020-04-15,0,197,111,9
2020-04-16,0,204,111,9
2020-04-17,0,204,111,9
2020-04-18,0,227,113,9
2020-04-19,0,256,117,9
2020-04-20,0,256,117,9
2020-04-21,0,285,117,10
2020-04-22,0,288,122,10
2020-04-23,0,311,126,10
2020-04-24,0,318,132,10
2020-04-25,0,323,132,10
2020-04-26,0,325,137,10
2020-04-27,0,329,142,10
2020-04-28,0,329,142,10
2020-04-29,0,331,142,10
2020-04-30,0,333,142,16
2020-05-01,0,335,148,10
2020-05-02,0,345,148,10
2020-05-03,0,357,158,10
2020-05-04,0,357,158,10
2020-05-05,0,361,158,10
2020-05-06,0,379,176,10
2020-05-07,0,381,185,10
2020-05-08,0,388,190,10
2020-05-09,0,402,190,10
2020-05-10,0,414,193,10
2020-05-11,0,422,205,10
2020-05-12,0,423,220,10
2020-05-13,0,423,220,10
2020-05-14,0,455,220,10
2020-05-15,0,459,229,10
2020-05-16,0,504,241,10
2020-05-17,0,541,241,10
2020-05-18,0,618,253,10
2020-05-19,0,749,253,10
2020-05-20,0,824,262,10
2020-05-21,0,882,262,10
2020-05-22,0,944,262,10
2020-05-23,0,1010,262,10
2020-05-24,0,1121,262,10
2020-05-25,0,1177,302,10
2020-05-26,0,1211,302,11
2020-05-27,0,1245,302,11
2020-05-28,0,1325,302,11
2020-05-29,0,1370,302,14
2020-05-30,0,1459,302,14
2020-05-31,0,1510,302,14
2020-06-01,0,1662,302,17
2020-06-02,0,1819,334,18
2020-06-03,0,1952,334,20
2020-06-04,0,2087,334,20
2020-06-05,0,2145,334,20
2020-06-06,0,2316,385,22
2020-06-07,0,2377,487,22
2020-06-08,0,2473,487,22
2020-06-09,0,2632,487,23
2020-06-10,0,2738,487,23
2020-06-11,0,2814,487,23
2020-06-12,0,2879,487,23
2020-06-13,0,2904,487,24
2020-06-14,0,2978,835,25
2020-06-15,0,3062,835,26
2020-06-16,0,3150,835,27
2020-06-17,0,3386,835,28
2020-06-18,0,3483,835,28
2020-06-19,0,3591,835,30
2020-06-20,0,3789,835,33
2020-06-21,0,3917,835,33
2020-06-22,0,4048,1327,35
2020-06-23,0,4187,1327,35
2020-06-24,0,4366,1327,38
2020-06-25,0,4563,1327,39
2020-06-26,0,4779,1327,41
2020-06-27,0,5130,1327,42
2020-06-28,0,5297,1649,44
2020-06-29,0,5530,1649,48
2020-06-30,0,5832,1649,51
2020-07-01,0,6062,1649,54
2020-07-02,0,6273,2100,57
2020-07-03,0,6537,2100,59
2020-07-04,0,6750,2100,62
2020-07-05,0,7169,2100,65
2020-07-06,0,7411,2100,68
2020-07-07,0,7693,2100,71
2020-07-08,0,8008,2100,75
2020-07-09,0,8372,2544,80
2020-07-10,0,8803,2671,83
2020-07-11,0,9178,2671,85
2020-07-12,0,9465,2671,89
2020-07-13,0,9707,2671,93
2020-07-14,0,10010,2671,96
2020-07-15,0,10428,3050,100
2020-07-16,0,10854,3255,104
2020-07-17,0,11191,3852,107
2020-07-18,0,11483,3972,110
2020-07-19,0,11891,3972,112
2020-07-20,0,12334,6844,116
2020-07-21,0,12774,6983,120
2020-07-22,0,13164,7471,124
2020-07-23,0,13613,7752,129
2020-07-24,0,14263,8127,134
2020-07-25,0,14929,8795,138
2020-07-26,0,15463,9746,142
2020-07-27,0,15988,9959,146
2020-07-28,0,16571,10195,151
2020-07-29,0,17158,10421,156
2020-07-30,0,17859,10421,158
2020-07-31,0,18574,10421,164
2020-08-01,0,19443,11129,169
2020-08-02,0,20206,11404,174
2020-08-03,0,20754,11622,180
2020-08-04,0,21438,11875,187
2020-08-05,0,22299,12146,195
2020-08-06,0,23280,12470,202
2020-08-07,0,24166,12470,208
2020-08-08,0,24961,13356,215
2020-08-09,0,25805,13356,223
2020-08-10,0,26800,16930,229
2020-08-11,0,27938,19706,238
2020-08-12,0,29088,21042,247
2020-08-13,0,30369,21385,259
2020-08-14,0,31381,21580,266
2020-08-15,0,32607,21747,276
2020-08-16,0,33755,22700,281
2020-08-17,0,34802,23575,288
2020-08-18,0,35697,24561,297
2020-08-19,0,36868,25416,303
2020-08-20,0,37567,26330,311
2020-08-21,0,38219,27306,317
2020-08-22,0,38957,28453,323
2020-08-23,0,39564,29966,329
2020-08-24,0,40338,31080,337
2020-08-25,0,41158,32015,343
2020-08-26,0,41965,32931,351
2020-08-27,0,42898,34147,358
2020-08-28,0,43879,34972,366
2020-08-29,0,44946,36175,375
2020-08-30,0,45868,37091,381
2020-08-31,0,46728,38112,386
2020-09-01,0,47756,39027,391
2020-09-02,0,48883,39912,398
2020-09-03,0,49877,40574,402
2020-09-04,0,50973,41249,412
2020-09-05,0,52165,42006,420
2020-09-06,0,53289,42006,428
2020-09-07,0,54350,43753,436
2020-09-08,0,55563,44435,444
2020-09-09,0,56751,45318,452
2020-09-10,0,57823,46125,460
2020-09-11,0,58663,46960,468
2020-09-12,0,59630,47729,477
2020-09-13,0,60540,48644,485
2020-09-14,0,61569,49371,494
2020-09-15,0,62655,50361,502
2020-09-16,0,63416,51274,511
2020-09-17,0,64284,52564,520
2020-09-18,0,65174,54218,530
2020-09-19,0,65949,55155,539
2020-09-20,0,66656,56096,547
2020-09-21,0,67443,56726,555
2020-09-22,0,68453,57774,564
2020-09-23,0,69439,58759,574
2020-09-24,0,70406,59745,581
2020-09-25,0,71273,60709,591
2020-09-26,0,71940,61528,600
2020-09-27,0,72691,62427,606
2020-09-28,0,73528,63346,614
2020-09-29,0,74363,64200,621
2020-09-30,0,75122,65225,628
2020-10-01,0,76029,66245,635
2020-10-02,0,76820,67216,643
2020-10-03,0,77646,68098,649
2020-10-04,0,78434,68917,653
2020-10-05,0,79117,69832,658
2020-10-06,0,79796,70719,665
2020-10-07,0,80404,71531,671
2020-10-08,0,80404,71531,671
