date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,2,0,0
2020-01-24,0,2,0,0
2020-01-25,0,2,0,0
2020-01-26,0,2,0,0
2020-01-27,0,2,0,0
2020-01-28,0,2,0,0
2020-01-29,0,2,0,0
2020-01-30,0,2,0,0
2020-01-31,0,2,0,0
2020-02-01,0,6,1,0
2020-02-02,0,6,1,0
2020-02-03,0,8,1,0
2020-02-04,0,8,1,0
2020-02-05,0,8,1,0
2020-02-06,0,10,1,0
2020-02-07,0,10,1,0
2020-02-08,0,13,1,0
2020-02-09,0,13,1,0
2020-02-10,0,14,1,0
2020-02-11,0,15,6,0
2020-02-12,0,15,6,0
2020-02-13,0,16,7,0
2020-02-14,0,16,7,0
2020-02-15,0,16,7,0
2020-02-16,0,16,7,0
2020-02-17,0,16,7,0
2020-02-18,0,16,7,0
2020-02-19,0,16,7,0
2020-02-20,0,16,7,0
2020-02-21,0,16,14,0
2020-02-22,0,16,14,0
2020-02-23,0,16,14,0
2020-02-24,0,16,14,0
2020-02-25,0,16,16,0
2020-02-26,0,16,16,0
2020-02-27,0,16,16,0
2020-02-28,0,16,16,0
2020-02-29,0,16,16,0
2020-03-01,0,16,16,0
2020-03-02,1753,16,16,0
2020-03-03,1785,16,16,0
2020-03-04,1785,16,16,0
2020-03-05,1924,16,16,0
2020-03-06,2008,16,16,0
2020-03-07,2008,18,16,0
2020-03-08,2008,30,16,0
2020-03-09,2589,30,16,0
2020-03-10,2589,31,16,0
2020-03-11,4471,38,16,0
2020-03-12,4588,39,16,0
2020-03-13,4789,47,16,0
2020-03-14,5235,53,16,0
2020-03-15,7515,56,16,0
2020-03-16,7522,61,16,0
2020-03-17,9696,66,16,0
2020-03-18,14950,75,16,0
2020-03-19,14950,85,16,0
2020-03-20,15637,91,16,0
2020-03-21,15637,94,17,0
2020-03-22,17148,113,17,0
2020-03-23,17148,123,17,0
2020-03-24,24311,134,17,0
2020-03-25,30548,141,17,0
2020-03-26,31881,153,20,0
2020-03-27,35808,163,20,0
2020-03-28,35808,174,21,0
2020-03-29,35808,188,25,0
2020-03-30,35808,203,55,0
2020-03-31,35808,212,58,0
2020-04-01,67456,218,63,0
2020-04-02,73164,233,75,0
2020-04-03,75458,237,85,0
2020-04-04,75458,240,90,0
2020-04-05,75458,241,90,0
2020-04-06,94305,245,95,0
2020-04-07,106599,249,123,0
2020-04-08,110124,251,126,0
2020-04-09,114241,255,128,0
2020-04-10,118807,257,144,0
2020-04-11,121821,258,144,0
2020-04-12,121821,262,144,0
2020-04-13,121821,265,146,0
2020-04-14,132771,266,169,0
2020-04-15,135938,267,171,0
2020-04-16,135938,268,177,0
2020-04-17,135938,268,198,0
2020-04-18,135938,268,201,0
2020-04-19,163377,268,202,0
2020-04-20,163377,268,214,0
2020-04-21,180067,268,216,0
2020-04-22,180067,268,223,0
2020-04-23,189253,268,224,0
2020-04-24,189253,270,220,0
2020-04-25,212142,270,225,0
2020-04-26,212965,270,225,0
2020-04-27,213743,270,225,0
2020-04-28,213743,270,222,0
2020-04-29,261004,270,222,0
2020-04-30,261004,270,219,0
2020-05-01,261004,270,219,0
2020-05-02,261004,270,219,0
2020-05-03,261004,271,219,0
2020-05-04,261004,271,219,0
2020-05-05,261004,271,232,0
2020-05-06,261004,271,232,0
2020-05-07,261004,288,233,0
2020-05-08,261004,288,241,0
2020-05-09,261004,288,241,0
2020-05-10,261004,288,241,0
2020-05-11,261004,288,249,0
2020-05-12,261004,288,252,0
2020-05-13,261004,288,252,0
2020-05-14,261004,312,260,0
2020-05-15,261004,314,260,0
2020-05-16,261004,318,260,0
2020-05-17,261004,320,260,0
2020-05-18,261004,324,263,0
2020-05-19,261004,324,263,0
2020-05-20,261004,324,263,0
2020-05-21,261004,324,266,0
2020-05-22,261004,324,267,0
2020-05-23,261004,325,267,0
2020-05-24,261004,325,267,0
2020-05-25,261004,326,272,0
2020-05-26,261004,327,272,0
2020-05-27,261004,327,278,0
2020-05-28,261004,327,278,0
2020-05-29,261004,328,279,0
2020-05-30,261004,328,279,0
2020-05-31,261004,328,279,0
2020-06-01,261004,328,293,0
2020-06-02,261004,328,298,0
2020-06-03,261004,328,302,0
2020-06-04,261004,328,302,0
2020-06-05,261004,328,307,0
2020-06-06,261004,329,307,0
2020-06-07,261004,331,307,0
2020-06-08,261004,332,316,0
2020-06-09,261004,332,316,0
2020-06-10,261004,332,320,0
2020-06-11,261004,332,321,0
2020-06-12,261004,333,323,0
2020-06-13,261004,334,323,0
2020-06-14,261004,334,323,0
2020-06-15,261004,334,323,0
2020-06-16,261004,334,325,0
2020-06-17,261004,335,325,0
2020-06-18,261004,342,325,0
2020-06-19,261004,349,326,0
2020-06-20,261004,349,327,0
2020-06-21,261004,349,327,0
2020-06-22,261004,349,328,0
2020-06-23,261004,349,329,0
2020-06-24,261004,352,329,0
2020-06-25,261004,352,329,0
2020-06-26,261004,353,330,0
2020-06-27,261004,355,330,0
2020-06-28,261004,355,330,0
2020-06-29,261004,355,335,0
2020-06-30,261004,355,335,0
2020-07-01,261004,355,336,0
2020-07-02,261004,355,340,0
2020-07-03,261004,355,340,0
2020-07-04,261004,355,340,0
2020-07-05,261004,355,340,0
2020-07-06,261004,369,341,0
2020-07-07,261004,369,342,0
2020-07-08,261004,369,347,0
2020-07-09,261004,369,347,0
2020-07-10,261004,370,350,0
2020-07-11,261004,370,350,0
2020-07-12,261004,372,350,0
2020-07-13,261004,373,352,0
2020-07-14,261004,373,352,0
2020-07-15,261004,381,353,0
2020-07-16,261004,381,356,0
2020-07-17,261004,382,356,0
2020-07-18,261004,382,357,0
2020-07-19,261004,383,357,0
2020-07-20,261004,384,360,0
2020-07-21,261004,401,365,0
2020-07-22,261004,408,365,0
2020-07-23,261004,412,365,0
2020-07-24,261004,415,365,0
2020-07-25,261004,417,365,0
2020-07-26,261004,420,365,0
2020-07-27,261004,431,365,0
2020-07-28,261004,446,369,0
2020-07-29,261004,459,369,0
2020-07-30,261004,509,373,0
2020-07-31,261004,558,373,3
2020-08-01,261004,590,373,3
2020-08-02,261004,621,373,6
2020-08-03,261004,652,374,7
2020-08-04,261004,672,378,8
2020-08-05,261004,717,381,9
2020-08-06,261004,750,392,10
2020-08-07,261004,789,395,10
2020-08-08,261004,812,395,10
2020-08-09,261004,841,395,13
2020-08-10,261004,847,399,15
2020-08-11,261004,866,451,16
2020-08-12,261004,883,409,18
2020-08-13,261004,911,425,21
2020-08-14,261004,930,437,22
2020-08-15,261004,951,447,24
2020-08-16,261004,964,456,24
2020-08-17,261004,983,467,25
2020-08-18,261004,989,526,26
2020-08-19,261004,994,533,25
2020-08-20,261004,1007,542,25
2020-08-21,261004,1009,545,25
2020-08-22,261004,1014,563,26
2020-08-23,261004,1016,568,27
2020-08-24,261004,1022,587,27
2020-08-25,261004,1029,592,27
2020-08-26,261004,1034,632,30
2020-08-27,261004,1036,637,30
2020-08-28,261004,1038,663,30
2020-08-29,261004,1040,677,32
2020-08-30,261004,1040,695,32
2020-08-31,261004,1044,707,34
2020-09-01,261004,1044,735,34
2020-09-02,261004,1046,746,34
2020-09-03,261004,1046,755,35
2020-09-04,261004,1049,772,35
2020-09-05,261004,1049,805,35
2020-09-06,261004,1049,815,35
2020-09-07,261004,1049,853,35
2020-09-08,261004,1054,868,35
2020-09-09,261004,1059,890,35
2020-09-10,261004,1059,893,35
2020-09-11,261004,1060,902,35
2020-09-12,261004,1060,910,35
2020-09-13,261004,1063,918,35
2020-09-14,261004,1063,926,35
2020-09-15,261004,1063,931,35
2020-09-16,261004,1063,936,35
2020-09-17,261004,1066,940,35
2020-09-18,261004,1068,941,35
2020-09-19,261004,1068,942,35
2020-09-20,261004,1068,942,35
2020-09-21,261004,1068,947,35
2020-09-22,261004,1068,957,35
2020-09-23,261004,1069,991,35
2020-09-24,261004,1069,991,35
2020-09-25,261004,1069,999,35
2020-09-26,261004,1069,999,35
2020-09-27,261004,1074,999,35
2020-09-28,261004,1077,999,35
2020-09-29,261004,1094,1007,35
2020-09-30,261004,1094,1010,35
2020-10-01,261004,1095,1010,35
2020-10-02,261004,1096,1020,35
2020-10-03,261004,1096,1020,35
2020-10-04,261004,1096,1020,35
2020-10-05,261004,1097,1022,35
2020-10-06,261004,1098,1023,35
2020-10-07,261004,1098,1023,35
