date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,1,0,0
2020-01-05,0,1,0,0
2020-01-06,0,4,0,0
2020-01-07,0,4,0,0
2020-01-08,0,4,0,0
2020-01-09,0,4,0,0
2020-01-10,0,4,0,0
2020-01-11,0,45,0,1
2020-01-12,0,46,0,1
2020-01-13,0,46,0,1
2020-01-14,0,46,0,1
2020-01-15,0,46,0,1
2020-01-16,4,46,0,1
2020-01-17,4,51,0,2
2020-01-18,5,68,1,2
2020-01-19,6,127,1,3
2020-01-20,8,204,1,4
2020-01-21,20,297,2,6
2020-01-22,758,454,2,9
2020-01-23,874,588,2,17
2020-01-24,989,859,3,25
2020-01-25,1099,1330,3,41
2020-01-26,1379,2027,6,56
2020-01-27,1589,2810,6,80
2020-01-28,1891,4596,8,106
2020-01-29,2142,6073,10,132
2020-01-30,2460,7822,11,170
2020-01-31,2620,9835,15,213
2020-02-01,3045,11946,16,259
2020-02-02,3203,14546,17,305
2020-02-03,3375,17380,18,362
2020-02-04,3753,20635,23,426
2020-02-05,4122,24547,23,492
2020-02-06,5206,28292,29,565
2020-02-07,5901,31491,32,638
2020-02-08,7292,34909,31,724
2020-02-09,9543,37579,37,813
2020-02-10,11065,40645,46,910
2020-02-11,12098,43125,53,1018
2020-02-12,14014,45192,84,1115
2020-02-13,16031,60401,88,1369
2020-02-14,18306,64465,92,1383
2020-02-15,19213,67186,106,1526
2020-02-16,22189,69272,117,1669
2020-02-17,24451,71452,131,1775
2020-02-18,28900,73447,144,1873
2020-02-19,31672,75290,156,2011
2020-02-20,34591,75788,166,2127
2020-02-21,40428,76814,185,2250
2020-02-22,49911,77895,187,2360
2020-02-23,53485,78815,204,2465
2020-02-24,64794,79540,215,2628
2020-02-25,78644,80395,228,2708
2020-02-26,91529,81303,303,2767
2020-02-27,109448,82715,387,2812
2020-02-28,137029,84156,468,2871
2020-02-29,157362,86035,564,2940
2020-03-01,172925,88392,690,2994
2020-03-02,190902,90359,924,3084
2020-03-03,225842,92995,1031,3155
2020-03-04,308296,95378,1576,3253
2020-03-05,336124,98198,2087,3344
2020-03-06,379999,102088,2702,3458
2020-03-07,423152,106206,3713,3559
2020-03-08,576472,109866,4307,3795
2020-03-09,608769,114429,5050,3982
2020-03-10,657925,119369,6442,4252
2020-03-11,719208,127146,8039,4592
2020-03-12,794786,134541,9305,4911
2020-03-13,876072,147087,11157,5394
2020-03-14,957681,159307,13360,5826
2020-03-15,1169963,171306,16399,6489
2020-03-16,1312138,184247,19561,7146
2020-03-17,1441318,202461,25032,8000
2020-03-18,1604162,222775,30481,8980
2020-03-19,1831617,251121,35697,10078
2020-03-20,2035663,280995,42275,11456
2020-03-21,2230506,313748,48467,13156
2020-03-22,2761569,346391,54771,14793
2020-03-23,2981594,387927,58923,16728
2020-03-24,3221922,429640,69425,18951
2020-03-25,3512054,482602,79828,21738
2020-03-26,3826190,543124,91599,24588
2020-03-27,4166399,607427,103979,28086
2020-03-28,4472849,671013,115045,31726
2020-03-29,5184690,727943,124848,35017
2020-03-30,5456676,791314,142756,38909
2020-03-31,5841832,868894,157941,43395
2020-04-01,6471207,945414,176659,52731
2020-04-02,6951671,1025994,196248,59229
2020-04-03,7478762,1109547,214931,65704
2020-04-04,7950570,1189219,237175,72060
2020-04-05,9046955,1260506,250955,77384
2020-04-06,9530615,1333641,271780,83426
2020-04-07,10268960,1410610,293705,91681
2020-04-08,11123016,1495337,317106,98571
2020-04-09,11829216,1582200,339728,106371
2020-04-10,12479832,1670036,362187,113600
2020-04-11,13134065,1748443,386925,119987
2020-04-12,14082374,1818426,404710,125710
2020-04-13,15502664,1886825,429189,131583
2020-04-14,16138760,1961737,452105,138671
2020-04-15,16785752,2042058,486892,146760
2020-04-16,17475419,2128295,515458,153789
2020-04-17,18228371,2214300,536989,161932
2020-04-18,18932006,2290510,567637,167981
2020-04-19,19947748,2367077,597654,173115
2020-04-20,20617630,2441126,617790,178851
2020-04-21,21391381,2517141,650956,185975
2020-04-22,22248558,2597670,678903,192442
2020-04-23,23237607,2684860,706072,199027
2020-04-24,24168689,2769162,751595,205569
2020-04-25,25032518,2852354,780467,211072
2020-04-26,26229369,2924254,807539,214892
2020-04-27,27027137,2994005,833534,219476
2020-04-28,28267863,3067311,864907,225890
2020-04-29,29393724,3144562,905861,232427
2020-04-30,30873885,3229073,969151,238270
2020-05-01,32163087,3317757,1004743,243323
2020-05-02,33211238,3398267,1043938,248784
2020-05-03,34499724,3476051,1074358,252312
2020-05-04,35456062,3553919,1107554,256269
2020-05-05,36596002,3635841,1142846,262209
2020-05-06,37750534,3729139,1185891,268298
2020-05-07,39299667,3819662,1224785,273562
2020-05-08,40650413,3911820,1263095,278926
2020-05-09,41883207,3996006,1319859,283351
2020-05-10,43451885,4072073,1351250,286948
2020-05-11,44565720,4149455,1399015,290398
2020-05-12,45851894,4234044,1436596,295877
2020-05-13,47442778,4319590,1493404,300857
2020-05-14,49234632,4417530,1532929,306024
2020-05-15,50821443,4514990,1582191,311181
2020-05-16,52229585,4607034,1640522,315358
2020-05-17,54006652,4685791,1680623,318522
2020-05-18,55202789,4775228,1735678,322252
2020-05-19,56609304,4871093,1790364,326943
2020-05-20,58111060,4970853,1851683,331669
2020-05-21,59920610,5077162,1904047,336362
2020-05-22,61607142,5184361,2015262,341584
2020-05-23,63093024,5283983,2072663,345483
2020-05-24,64722227,5379615,2130331,348614
2020-05-25,66009016,5466279,2197770,349818
2020-05-26,67523169,5562702,2256147,353901
2020-05-27,69151075,5666342,2320525,359001
2020-05-28,71130768,5785868,2389390,363595
2020-05-29,73190722,5907373,2468759,368177
2020-05-30,74889729,6036104,2542001,372235
2020-05-31,76837253,6143427,2622047,375118
2020-06-01,78354982,6239068,2679291,378214
2020-06-02,79941435,6360833,2746755,382984
2020-06-03,81762105,6480035,2826598,388442
2020-06-04,83955554,6608567,2896051,393565
2020-06-05,85858646,6740046,2966362,398145
2020-06-06,87627886,6867010,3039480,401948
2020-06-07,89556211,6979434,3094895,405245
2020-06-08,91363999,7082101,3247307,408421
2020-06-09,93175085,7207391,3329703,413246
2020-06-10,95110138,7343155,3416090,418324
2020-06-11,97219072,7482265,3496359,423055
2020-06-12,99171814,7616691,3576643,427506
2020-06-13,101148566,7750198,3661158,431682
2020-06-14,103071313,7879238,3729682,434939
2020-06-15,104794530,7998221,3811653,438453
2020-06-16,106666970,8140853,3907903,445222
2020-06-17,108725069,8318183,4005099,450344
2020-06-18,111156509,8458469,4087200,455357
2020-06-19,113418698,8639490,4182844,461513
2020-06-20,115444855,8798378,4293627,465758
2020-06-21,117584435,8927255,4364485,469792
2020-06-22,119449472,9064559,4456329,473427
2020-06-23,121531402,9230203,4559034,478668
2020-06-24,123718659,9400477,4676280,483890
2020-06-25,126110331,9580383,4774714,488559
2020-06-26,128431254,9773057,4877558,493212
2020-06-27,130584590,9952701,4983611,497703
2020-06-28,132946055,10117039,5070327,500749
2020-06-29,135063715,10270652,5168212,504519
2020-06-30,138493888,10444542,5284750,509526
2020-07-01,140936748,10663063,5399145,514443
2020-07-02,143383960,10843094,5684287,519541
2020-07-03,145769946,11046500,5794223,524522
2020-07-04,148275484,11240778,5989749,528870
2020-07-05,150950743,11423790,6108516,532389
2020-07-06,153217284,11589428,6233512,536280
2020-07-07,155483535,11802125,6377573,542376
2020-07-08,157959854,12016586,6536008,547717
2020-07-09,160728404,12244585,6670992,553132
2020-07-10,163314778,12478920,6811142,558421
2020-07-11,165792629,12696841,6937383,563245
2020-07-12,168592317,12891246,7047439,567262
2020-07-13,170826925,13086014,7187227,571190
2020-07-14,173187754,13311027,7331023,576853
2020-07-15,175749762,13543636,7491001,582367
2020-07-16,178803153,13796527,7643135,588140
2020-07-17,181619338,14033686,7822067,594847
2020-07-18,184160930,14267343,7972177,600515
2020-07-19,186940457,14484101,8058787,604610
2020-07-20,189247934,14688821,8232681,608866
2020-07-21,192383557,14926390,8406087,615153
2020-07-22,195201507,15211793,8584477,622187
2020-07-23,198307437,15494160,8752390,632091
2020-07-24,200950592,15777366,8981206,638169
2020-07-25,203832874,16038444,9204939,643898
2020-07-26,206793655,16252647,9340483,647802
2020-07-27,209401322,16474812,9512777,652670
2020-07-28,212124311,16730595,9686416,658999
2020-07-29,214962503,17024893,9890081,665565
2020-07-30,218193451,17313125,10114779,671803
2020-07-31,221329796,17596706,10315228,678004
2020-08-01,224076293,17856821,10500545,683750
2020-08-02,227653837,18071648,10632867,687634
2020-08-03,230028585,18271207,10855160,691969
2020-08-04,232780828,18531683,11076516,698888
2020-08-05,235701182,18805966,11297413,705867
2020-08-06,239152877,19087588,11487088,712381
2020-08-07,242319818,19368014,11680317,718689
2020-08-08,245695489,19638587,11879265,724367
2020-08-09,249298474,19852543,12054420,728728
2020-08-10,251823133,20075350,12225113,733679
2020-08-11,255021179,20336990,12531310,740116
2020-08-12,258300213,20619462,12767940,746836
2020-08-13,262299734,20910798,12939374,756781
2020-08-14,265814158,21200008,13219046,762891
2020-08-15,269519074,21456454,13385780,768379
2020-08-16,273284606,21673473,13615814,772512
2020-08-17,276000042,21876605,13828721,776603
2020-08-18,279365015,22130787,14056326,783460
2020-08-19,282827421,22402709,14275522,790085
2020-08-20,286978458,22662659,14484031,796125
2020-08-21,290075188,22913395,14656926,801428
2020-08-22,294604811,23169038,14872762,806745
2020-08-23,298770802,23367130,15075234,810416
2020-08-24,301456625,23579429,15284690,814554
2020-08-25,304900124,23821815,15519599,820944
2020-08-26,308392096,24089936,15740185,827025
