date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,1,0,0
2020-04-11,0,1,0,0
2020-04-12,0,1,0,0
2020-04-13,0,1,0,0
2020-04-14,0,1,0,0
2020-04-15,0,1,0,0
2020-04-16,0,1,0,0
2020-04-17,0,1,0,0
2020-04-18,0,1,0,0
2020-04-19,0,1,0,0
2020-04-20,0,1,0,0
2020-04-21,0,1,0,0
2020-04-22,0,1,0,0
2020-04-23,0,1,0,0
2020-04-24,0,1,1,0
2020-04-25,0,1,1,0
2020-04-26,0,1,1,0
2020-04-27,0,1,1,0
2020-04-28,0,1,1,0
2020-04-29,0,6,1,0
2020-04-30,0,6,1,2
2020-05-01,0,7,1,2
2020-05-02,0,10,1,2
2020-05-03,0,10,1,2
2020-05-04,0,12,1,2
2020-05-05,0,22,1,4
2020-05-06,0,25,1,5
2020-05-07,0,25,1,5
2020-05-08,0,34,1,7
2020-05-09,0,34,1,7
2020-05-10,0,51,1,8
2020-05-11,0,56,1,9
2020-05-12,0,65,1,10
2020-05-13,0,70,1,12
2020-05-14,0,85,1,12
2020-05-15,0,106,1,15
2020-05-16,0,122,1,18
2020-05-17,0,128,1,20
2020-05-18,0,130,1,20
2020-05-19,0,167,5,28
2020-05-20,0,184,5,30
2020-05-21,0,197,5,33
2020-05-22,0,209,11,33
2020-05-23,0,212,11,39
2020-05-24,0,222,10,42
2020-05-25,0,233,10,44
2020-05-26,0,249,10,49
2020-05-27,0,256,10,53
2020-05-28,0,278,11,57
2020-05-29,0,283,11,65
2020-05-30,0,310,13,77
2020-05-31,0,323,14,80
2020-06-01,0,354,14,84
2020-06-02,0,399,15,87
2020-06-03,0,419,17,95
2020-06-04,0,453,17,103
2020-06-05,0,469,23,111
2020-06-06,0,482,23,111
2020-06-07,0,484,23,112
2020-06-08,0,496,23,112
2020-06-09,0,524,23,127
2020-06-10,0,560,23,129
2020-06-11,0,591,23,136
2020-06-12,0,632,28,139
2020-06-13,0,705,39,160
2020-06-14,0,728,53,164
2020-06-15,0,844,79,208
2020-06-16,0,885,91,214
2020-06-17,0,902,271,244
2020-06-18,0,909,273,248
2020-06-19,0,919,288,251
2020-06-20,0,922,328,254
2020-06-21,0,941,347,256
2020-06-22,0,967,350,257
2020-06-23,0,992,356,261
2020-06-24,0,1015,379,274
2020-06-25,0,1076,386,288
2020-06-26,0,1089,402,293
2020-06-27,0,1103,417,296
2020-06-28,0,1118,430,302
2020-06-29,0,1128,432,304
2020-06-30,0,1158,488,312
2020-07-01,0,1190,504,318
2020-07-02,0,1221,513,325
2020-07-03,0,1240,536,335
2020-07-04,0,1248,537,337
2020-07-05,0,1265,552,338
2020-07-06,0,1284,575,345
2020-07-07,0,1297,591,348
2020-07-08,0,1318,595,351
2020-07-09,0,1356,619,361
2020-07-10,0,1380,630,364
2020-07-11,0,1389,642,365
2020-07-12,0,1465,659,417
2020-07-13,0,1498,675,424
2020-07-14,0,1516,685,429
2020-07-15,0,1526,694,433
2020-07-16,0,1552,695,438
2020-07-17,0,1576,695,440
2020-07-18,0,1581,701,443
2020-07-19,0,1606,712,445
2020-07-20,0,1619,714,447
2020-07-21,0,1629,741,456
2020-07-22,0,1640,751,458
2020-07-23,0,1654,762,461
2020-07-24,0,1674,779,469
2020-07-25,0,1674,780,474
2020-07-26,0,1681,797,479
2020-07-27,0,1691,833,483
2020-07-28,0,1703,840,484
2020-07-29,0,1711,849,485
2020-07-30,0,1726,856,487
2020-07-31,0,1728,862,493
2020-08-01,0,1730,862,494
2020-08-02,0,1734,862,497
2020-08-03,0,1734,863,499
2020-08-04,0,1760,863,506
2020-08-05,0,1763,894,508
2020-08-06,0,1768,898,508
2020-08-07,0,1796,907,512
2020-08-08,0,1797,910,512
2020-08-09,0,1804,913,515
2020-08-10,0,1832,915,518
2020-08-11,0,1831,915,523
2020-08-12,0,1841,937,528
2020-08-13,0,1847,949,528
2020-08-14,0,1858,1009,528
2020-08-15,0,1858,1013,528
2020-08-16,0,1869,1013,530
2020-08-17,0,1882,1045,535
2020-08-18,0,1889,1052,537
2020-08-19,0,1892,1055,539
2020-08-20,0,1899,1058,541
2020-08-21,0,1906,1058,542
2020-08-22,0,1907,1066,546
2020-08-23,0,1911,1086,553
2020-08-24,0,1916,1090,555
2020-08-25,0,1924,1091,557
2020-08-26,0,1930,1097,560
2020-08-27,0,1933,1098,562
2020-08-28,0,1943,1107,563
2020-08-29,0,1946,1113,563
2020-08-30,0,1953,1123,564
2020-08-31,0,1958,1131,566
2020-09-01,0,1962,1160,570
2020-09-02,0,1976,1175,571
2020-09-03,0,1979,1180,571
2020-09-04,0,1983,1194,572
2020-09-05,0,1983,1197,572
2020-09-06,0,1987,1200,572
2020-09-07,0,1989,1201,573
2020-09-08,0,1994,1203,576
2020-09-09,0,1999,1209,576
2020-09-10,0,2003,1211,580
2020-09-11,0,2007,1211,582
2020-09-12,0,2009,1211,582
2020-09-13,0,2011,1212,583
2020-09-14,0,2013,1215,583
2020-09-15,0,2016,1219,583
2020-09-16,0,2019,1221,583
2020-09-17,0,2022,1221,585
2020-09-18,0,2024,1221,585
2020-09-19,0,2026,1221,585
2020-09-20,0,2026,1227,586
2020-09-21,0,2028,1235,586
2020-09-22,0,2028,1240,586
2020-09-23,0,2029,1245,586
2020-09-24,0,2029,1250,586
2020-09-25,0,2029,1255,587
2020-09-26,0,2030,1260,587
2020-09-27,0,2030,1266,587
2020-09-28,0,2031,1266,587
2020-09-29,0,2031,1275,587
2020-09-30,0,2034,1286,587
2020-10-01,0,2039,1297,587
2020-10-02,0,2040,1307,589
2020-10-03,0,2041,1320,589
2020-10-04,0,2041,1320,591
2020-10-05,0,2041,1323,592
2020-10-06,0,2047,1327,593
2020-10-07,0,2049,1328,593
2020-10-08,0,2049,1328,593
