date,tests,confirmed,recovered,deaths
2020-01-01,0,0,0,0
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,2,0,0
2020-03-19,33,2,0,0
2020-03-20,58,2,0,0
2020-03-21,58,2,0,0
2020-03-22,75,3,0,0
2020-03-23,75,3,0,0
2020-03-24,103,3,0,0
2020-03-25,143,12,0,0
2020-03-26,197,16,0,0
2020-03-27,269,22,0,0
2020-03-28,350,28,0,0
2020-03-29,400,29,0,0
2020-03-30,475,35,0,0
2020-03-31,520,35,0,0
2020-04-01,640,36,0,0
2020-04-02,856,39,0,1
2020-04-03,856,39,2,1
2020-04-04,910,39,2,1
2020-04-05,964,39,3,1
2020-04-06,981,39,5,1
2020-04-07,1087,39,7,1
2020-04-08,1222,39,7,1
2020-04-09,1314,39,24,1
2020-04-10,1343,40,25,2
2020-04-11,1454,40,28,2
2020-04-12,1525,43,30,2
2020-04-13,1650,45,30,2
2020-04-14,1695,45,30,2
2020-04-15,1879,48,30,2
2020-04-16,2007,48,30,2
2020-04-17,2225,52,30,2
2020-04-18,2345,57,33,2
2020-04-19,2755,61,33,3
2020-04-20,3236,65,35,3
2020-04-21,3715,70,35,3
2020-04-22,4040,74,35,3
2020-04-23,4245,76,37,3
2020-04-24,4665,84,37,3
2020-04-25,4895,84,37,3
2020-04-26,5284,88,42,3
2020-04-27,5284,88,42,3
2020-04-28,6432,95,42,3
2020-04-29,6614,97,54,3
2020-04-30,6828,106,55,3
2020-05-01,6882,109,74,3
2020-05-02,7277,119,75,3
2020-05-03,8203,124,78,3
2020-05-04,8636,137,78,3
2020-05-05,10095,138,92,3
2020-05-06,10563,146,101,4
2020-05-07,11412,153,103,4
2020-05-08,12095,167,111,4
2020-05-09,12591,252,112,7
2020-05-10,12841,267,117,7
2020-05-11,13127,267,117,7
2020-05-12,13495,441,117,7
2020-05-13,13927,446,124,7
2020-05-14,15487,654,124,7
2020-05-15,15811,654,124,7
2020-05-16,16478,679,183,7
2020-05-17,17354,753,188,7
2020-05-18,17875,761,192,7
2020-05-19,18519,772,192,7
2020-05-20,19014,832,197,7
2020-05-21,19432,866,302,7
2020-05-22,20011,920,336,7
2020-05-23,20011,920,336,7
2020-05-24,20011,920,336,7
2020-05-25,20011,920,336,7
2020-05-26,20011,920,336,7
2020-05-27,24275,1057,779,7
2020-05-28,24275,1057,779,7
2020-05-29,24275,1057,779,7
2020-05-30,24275,1057,779,7
2020-05-31,24275,1057,779,7
2020-06-01,28236,1089,912,7
2020-06-02,28236,1089,912,7
2020-06-03,28236,1089,912,7
2020-06-04,28236,1089,912,7
2020-06-05,28236,1089,912,7
2020-06-06,34987,1089,912,7
2020-06-07,34987,1089,912,7
2020-06-08,34987,1200,912,10
2020-06-09,38448,1200,912,10
2020-06-10,38990,1200,912,10
2020-06-11,38990,1200,912,10
2020-06-12,42273,1321,1104,10
2020-06-13,44126,1357,1104,10
2020-06-14,44428,1358,1122,11
2020-06-15,44428,1382,1142,11
2020-06-16,45425,1405,1142,11
2020-06-17,46174,1412,1142,11
2020-06-18,46549,1416,1144,11
2020-06-19,47968,1430,1194,11
2020-06-20,48772,1430,1194,11
2020-06-21,49393,1430,1194,11
2020-06-22,49393,1430,1194,11
2020-06-23,50771,1477,1213,18
2020-06-24,51626,1489,1223,18
2020-06-25,52195,1497,1223,18
2020-06-26,53370,1531,1233,21
2020-06-27,54023,1531,1233,21
2020-06-28,54300,1557,1311,22
2020-06-29,54663,1568,1311,22
2020-06-30,54890,1594,1329,24
2020-07-01,56825,1632,1348,30
2020-07-02,57155,1632,1348,30
2020-07-03,57672,1632,1348,30
2020-07-04,59622,1632,1348,30
2020-07-05,60250,1632,1348,30
2020-07-06,60630,1632,1348,30
2020-07-07,61304,1895,1348,42
2020-07-08,61638,1895,1348,42
2020-07-09,62161,1895,1348,42
2020-07-10,62463,1895,1348,42
2020-07-11,63624,1895,1348,42
2020-07-12,64139,1895,1412,42
2020-07-13,64870,1895,1412,42
2020-07-14,65808,1895,1412,42
2020-07-15,66376,1895,1412,42
2020-07-16,67096,1895,1412,42
2020-07-17,67944,2810,1450,109
2020-07-18,69296,2980,1462,120
2020-07-19,70648,2980,1462,120
2020-07-20,71607,3326,1620,128
2020-07-21,71976,3386,1620,128
2020-07-22,72820,3583,1677,128
2020-07-23,73396,3789,1677,134
2020-07-24,74231,3856,1677,136
2020-07-25,76072,4328,1953,139
2020-07-26,76518,4481,2350,139
2020-07-27,76727,4552,2815,140
2020-07-28,79269,5002,3195,142
2020-07-29,80239,5249,3285,146
2020-07-30,81482,5555,3289,149
2020-07-31,83093,5963,3803,151
2020-08-01,85001,6228,4130,165
2020-08-02,85560,6347,4493,170
2020-08-03,87380,6580,4701,171
2020-08-04,88471,6793,5109,173
2020-08-05,89583,7022,5667,176
2020-08-06,90307,7164,5786,199
2020-08-07,92341,7486,6264,200
2020-08-08,93344,7903,6431,203
2020-08-09,93995,8085,6698,235
2020-08-10,94449,8210,6802,241
2020-08-11,94811,8275,7004,241
2020-08-12,95593,8501,7233,246
2020-08-13,96610,8663,7401,246
2020-08-14,98178,9021,7586,256
2020-08-15,98766,9186,8065,260
2020-08-16,99835,9343,8412,260
2020-08-17,101384,9839,8575,264
2020-08-18,102178,9981,8776,264
2020-08-19,103023,10218,9126,269
2020-08-20,104178,10372,9126,274
2020-08-21,105664,10627,9126,277
2020-08-22,106449,10831,9942,279
2020-08-23,107964,11082,9942,280
2020-08-24,108310,11148,10208,280
2020-08-25,108961,11285,10400,282
2020-08-26,109560,11376,10693,282
2020-08-27,110960,11601,10840,282
2020-08-28,112184,11779,10945,283
2020-08-29,113355,11902,11092,284
2020-08-30,114401,12025,11454,287
2020-08-31,115570,12097,11469,288
2020-09-01,117761,12381,11479,290
2020-09-02,118490,12415,11494,292
2020-09-03,119567,12523,11562,292
2020-09-04,120967,12639,11572,292
2020-09-05,120967,12709,11668,292
2020-09-06,122234,12776,11674,295
2020-09-07,123346,12836,11748,295
2020-09-08,125070,12952,11787,297
2020-09-09,126138,13112,11839,300
2020-09-10,127529,13214,11899,300
2020-09-11,128662,13323,11899,306
2020-09-12,130052,13466,12007,312
2020-09-13,131034,13539,12260,312
2020-09-14,132642,13720,12380,320
2020-09-15,133389,13819,12590,324
2020-09-16,134236,13887,12869,326
2020-09-17,135021,13928,13029,326
2020-09-18,137017,14022,13207,329
2020-09-19,138427,14070,13365,330
2020-09-20,139948,14131,13365,330
2020-09-21,141492,14175,13629,331
2020-09-22,143184,14389,13629,331
2020-09-23,144624,14443,13629,332
2020-09-24,146329,14491,13643,332
2020-09-25,148066,14515,13643,332
2020-09-26,149728,14612,13727,332
2020-09-27,151397,14641,13784,332
2020-09-28,152555,14660,13821,332
2020-09-29,154214,14715,13937,332
2020-09-30,155551,14759,13959,332
2020-10-01,157173,14802,13961,333
2020-10-02,158496,14830,13980,333
2020-10-03,160387,14974,14094,333
2020-10-04,163179,15052,14187,333
2020-10-05,164951,15089,14306,334
2020-10-06,167185,15170,14313,335
2020-10-07,172435,15224,14342,335
2020-10-08,172435,15224,14342,335
