date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,1,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,2,0,0
2020-03-03,0,2,0,0
2020-03-04,0,7,0,0
2020-03-05,0,0,0,0
2020-03-06,0,5,0,0
2020-03-07,0,0,0,0
2020-03-08,0,2,0,0
2020-03-09,0,1,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,4,8,1
2020-03-13,0,2,0,1
2020-03-14,0,11,4,1
2020-03-15,0,11,0,1
2020-03-16,0,6,0,0
2020-03-17,0,6,0,0
2020-03-18,0,14,0,3
2020-03-19,0,13,20,2
2020-03-20,0,3,0,2
2020-03-21,0,49,0,4
2020-03-22,0,62,33,2
2020-03-23,0,29,0,0
2020-03-24,0,34,-41,2
2020-03-25,0,38,41,2
2020-03-26,0,65,-36,4
2020-03-27,0,42,0,1
2020-03-28,0,45,2,3
2020-03-29,0,57,0,2
2020-03-30,0,73,6,4
2020-03-31,0,132,9,9
2020-04-01,0,131,15,14
2020-04-02,0,139,0,28
2020-04-03,0,185,1,19
2020-04-04,0,80,28,25
2020-04-05,0,69,0,22
2020-04-06,0,103,0,21
2020-04-07,0,45,23,20
2020-04-08,0,104,124,12
2020-04-09,0,94,110,30
2020-04-10,0,95,58,21
2020-04-11,0,64,55,19
2020-04-12,0,89,131,18
2020-04-13,0,69,10,20
2020-04-14,0,87,90,13
2020-04-15,0,90,17,10
2020-04-16,0,108,75,12
2020-04-17,0,150,63,16
2020-04-18,0,116,48,3
2020-04-19,0,95,153,8
2020-04-20,0,89,52,9
2020-04-21,0,93,53,8
2020-04-22,0,99,52,10
2020-04-23,0,97,151,5
2020-04-24,0,120,53,8
2020-04-25,0,129,71,4
2020-04-26,0,126,29,6
2020-04-27,0,135,50,7
2020-04-28,0,132,93,5
2020-04-29,0,199,51,7
2020-04-30,0,158,77,6
2020-05-01,0,148,42,3
2020-05-02,0,141,51,6
2020-05-03,0,179,64,4
2020-05-04,0,174,62,2
2020-05-05,0,190,69,5
2020-05-06,0,159,130,6
2020-05-07,0,185,126,7
2020-05-08,0,187,144,5
2020-05-09,0,189,79,6
2020-05-10,0,165,132,8
2020-05-11,0,168,163,5
2020-05-12,0,176,157,8
2020-05-13,0,186,60,7
2020-05-14,0,189,100,7
2020-05-15,0,187,113,7
2020-05-16,0,192,138,6
2020-05-17,0,198,98,6
2020-05-18,0,182,118,7
2020-05-19,0,176,121,6
2020-05-20,0,165,222,7
2020-05-21,0,186,94,7
2020-05-22,0,190,194,7
2020-05-23,0,195,170,10
2020-05-24,0,193,358,8
2020-05-25,0,197,-37,9
2020-05-26,0,194,171,8
2020-05-27,0,160,211,6
2020-05-28,0,140,148,7
2020-05-29,0,137,145,8
2020-05-30,0,133,127,8
2020-05-31,0,127,199,7
2020-06-01,0,119,146,8
2020-06-02,0,113,173,6
2020-06-03,0,107,151,6
2020-06-04,0,98,79,8
2020-06-05,0,104,156,9
2020-06-06,0,115,178,8
2020-06-07,0,104,86,9
2020-06-08,0,111,82,8
2020-06-09,0,117,152,9
