date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,2,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,2,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,0
2020-02-26,0,0,0,0
2020-02-27,5,0,0,0
2020-02-28,9,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,5,0,0,0
2020-03-03,7,1,0,0
2020-03-04,6,0,0,0
2020-03-05,7,0,0,0
2020-03-06,10,1,0,0
2020-03-07,8,6,0,0
2020-03-08,26,4,0,1
2020-03-09,12,0,0,0
2020-03-10,36,5,0,0
2020-03-11,30,2,0,0
2020-03-12,41,0,0,0
2020-03-13,82,12,0,1
2020-03-14,49,3,1,0
2020-03-15,79,11,0,0
2020-03-16,98,11,0,0
2020-03-17,120,12,2,0
2020-03-18,189,11,0,0
2020-03-19,137,18,0,1
2020-03-20,212,31,0,0
2020-03-21,291,30,0,1
2020-03-22,218,108,0,0
2020-03-23,258,35,0,0
2020-03-24,388,86,49,2
2020-03-25,441,0,0,2
2020-03-26,482,115,11,1
2020-03-27,361,87,9,4
2020-03-28,411,101,0,5
2020-03-29,622,55,0,1
2020-03-30,531,75,156,4
2020-03-31,587,234,12,4
2020-04-01,927,0,8,1
2020-04-02,1286,79,8,8
2020-04-03,1248,132,10,3
2020-04-04,1090,186,13,4
2020-04-05,819,0,1,1
2020-04-06,1090,103,45,4
2020-04-07,1382,74,13,8
2020-04-08,1537,87,20,7
2020-04-09,1437,80,7,9
2020-04-10,1240,180,10,10
2020-04-11,1335,0,65,1
2020-04-12,1067,167,28,7
2020-04-13,1410,66,47,7
2020-04-14,1664,69,44,5
2020-04-15,1690,166,37,9
2020-04-16,1726,128,35,4
2020-04-17,1701,98,35,8
2020-04-18,1637,89,19,6
2020-04-19,1176,81,24,3
2020-04-20,1806,102,28,4
2020-04-21,2270,90,103,11
2020-04-22,1998,113,32,5
2020-04-23,2180,291,47,13
2020-04-24,2450,172,57,11
2020-04-25,2056,173,54,9
2020-04-26,1411,112,77,7
2020-04-27,1781,111,33,5
2020-04-28,2102,124,22,10
2020-04-29,2386,158,30,7
2020-04-30,2176,143,64,4
2020-05-01,1969,104,36,7
2020-05-02,1496,149,28,12
2020-05-03,1321,102,34,9
2020-05-04,1873,104,88,14
2020-05-05,2342,133,30,4
2020-05-06,2162,188,52,9
2020-05-07,2269,163,77,9
2020-05-08,2070,240,58,11
2020-05-09,1939,165,69,7
2020-05-10,1427,258,29,5
2020-05-11,2352,244,80,9
2020-05-12,2440,285,25,5
2020-05-13,2732,316,404,10
2020-05-14,2528,255,119,24
2020-05-15,2801,345,112,3
2020-05-16,2440,326,37,7
2020-05-17,1806,263,35,10
2020-05-18,2768,303,56,9
2020-05-19,3776,438,247,11
2020-05-20,3653,474,61,10
2020-05-21,3898,648,99,13
2020-05-22,3972,718,30,17
2020-05-23,2974,704,468,12
2020-05-24,2424,723,202,7
2020-05-25,2944,552,267,15
2020-05-26,3391,600,168,17
2020-05-27,3961,705,182,16
2020-05-28,4140,769,268,8
2020-05-29,4480,717,171,12
2020-05-30,3502,795,0,8
2020-05-31,2532,637,548,11
2020-06-01,3562,564,185,17
2020-06-02,3996,904,188,13
2020-06-03,4535,949,187,14
2020-06-04,4149,929,97,25
2020-06-05,4521,840,95,24
