date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,1,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,3,0,0
2020-03-13,0,4,0,0
2020-03-14,0,10,0,0
2020-03-15,0,8,0,0
2020-03-16,0,26,0,0
2020-03-17,0,26,1,0
2020-03-18,0,6,0,0
2020-03-19,0,31,0,0
2020-03-20,0,21,0,0
2020-03-21,0,24,0,0
2020-03-22,0,34,1,0
2020-03-23,0,41,0,0
2020-03-24,0,14,12,0
2020-03-25,0,16,2,0
2020-03-26,0,25,2,1
2020-03-27,0,39,10,0
2020-03-28,0,78,2,0
2020-03-29,0,17,0,2
2020-03-30,0,58,0,0
2020-03-31,0,50,0,0
2020-04-01,0,39,1,1
2020-04-02,0,92,2,3
2020-04-03,0,73,10,0
2020-04-04,0,34,0,0
2020-04-05,0,52,14,0
2020-04-06,0,11,5,1
2020-04-07,0,20,25,0
2020-04-08,0,28,27,1
2020-04-09,0,40,24,1
2020-04-10,0,16,11,2
2020-04-11,0,30,24,1
2020-04-12,0,46,24,0
2020-04-13,0,26,14,1
2020-04-14,0,28,54,2
2020-04-15,0,44,32,1
2020-04-16,0,48,61,1
2020-04-17,0,42,44,1
2020-04-18,0,47,121,1
2020-04-19,0,43,22,0
2020-04-20,0,48,35,2
2020-04-21,0,62,29,2
2020-04-22,0,72,24,0
2020-04-23,0,50,26,0
2020-04-24,0,73,69,3
2020-04-25,0,81,75,1
2020-04-26,0,69,30,0
2020-04-27,0,62,15,1
2020-04-28,0,59,18,1
2020-04-29,0,65,34,0
2020-04-30,0,134,29,2
2020-05-01,0,82,48,1
2020-05-02,0,125,33,0
2020-05-03,0,113,25,2
2020-05-04,0,121,36,4
2020-05-05,0,112,40,1
2020-05-06,0,163,24,0
2020-05-07,0,102,50,2
2020-05-08,0,145,33,1
2020-05-09,0,146,49,1
2020-05-10,0,138,58,1
2020-05-11,0,79,34,1
2020-05-12,0,146,71,1
2020-05-13,0,180,70,1
2020-05-14,0,142,72,1
2020-05-15,0,184,94,3
2020-05-16,0,239,125,3
2020-05-17,0,189,134,5
2020-05-18,0,351,94,1
2020-05-19,0,218,145,3
2020-05-20,0,230,255,3
2020-05-21,0,335,162,3
2020-05-22,0,322,293,4
2020-05-23,0,374,62,3
2020-05-24,0,359,128,4
2020-05-25,0,452,81,6
2020-05-26,0,289,75,4
2020-05-27,0,372,35,7
2020-05-28,0,442,32,15
2020-05-29,0,460,10,7
2020-05-30,0,251,20,7
2020-05-31,0,355,69,4
2020-06-01,0,210,16,8
2020-06-02,0,517,25,19
2020-06-03,0,515,27,12
2020-06-04,0,697,14,6
2020-06-05,0,596,45,7
2020-06-06,0,547,207,7
2020-06-07,0,766,294,10
2020-06-08,0,195,85,11
2020-06-09,0,350,352,6
