date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,1,0,0
2020-02-25,0,22,0,0
2020-02-26,0,10,0,0
2020-02-27,0,0,0,0
2020-02-28,0,3,0,0
2020-02-29,0,5,0,0
2020-03-01,0,6,0,0
2020-03-02,0,2,0,0
2020-03-03,0,0,0,0
2020-03-04,0,3,0,0
2020-03-05,5334,3,0,0
2020-03-06,0,5,4,0
2020-03-07,1086,25,0,0
2020-03-08,0,0,0,0
2020-03-09,1410,10,10,0
2020-03-10,524,15,8,0
2020-03-11,456,85,13,0
2020-03-12,232,0,0,0
2020-03-13,0,0,9,0
2020-03-14,0,15,0,0
2020-03-15,0,4,16,0
2020-03-16,3089,0,17,1
2020-03-17,1422,14,4,0
2020-03-18,0,28,7,0
2020-03-19,0,22,12,0
2020-03-20,5545,7,0,0
2020-03-21,0,20,25,0
2020-03-22,0,29,24,1
2020-03-23,6071,43,0,0
2020-03-24,0,15,28,1
2020-03-25,0,27,0,1
2020-03-26,4364,39,27,0
2020-03-27,0,8,23,0
2020-03-28,0,10,38,0
2020-03-29,2362,23,7,0
2020-03-30,701,16,7,0
2020-03-31,0,52,16,0
2020-04-01,0,2,42,0
2020-04-02,0,74,44,0
2020-04-03,5400,29,1,0
2020-04-04,1260,16,41,0
2020-04-05,5130,12,8,0
2020-04-06,3298,56,27,0
2020-04-07,2443,55,0,1
2020-04-08,2677,12,19,0
2020-04-09,2292,64,42,0
2020-04-10,2585,38,20,1
2020-04-11,3025,115,16,0
2020-04-12,3267,96,3,0
2020-04-13,3354,225,33,0
2020-04-14,3486,167,54,1
2020-04-15,2459,143,18,0
2020-04-16,3672,29,40,0
2020-04-17,2668,40,22,0
2020-04-18,2956,33,30,0
2020-04-19,4164,108,4,0
2020-04-20,3575,26,10,0
2020-04-21,4073,66,15,0
2020-04-22,3416,54,242,0
2020-04-23,2235,190,56,1
2020-04-24,5334,301,31,0
2020-04-25,5042,70,47,0
2020-04-26,3703,59,29,0
2020-04-27,3687,76,29,0
2020-04-28,3909,88,92,0
2020-04-29,5199,110,145,0
2020-04-30,2789,119,45,0
2020-05-01,4388,130,55,0
2020-05-02,4196,114,13,0
2020-05-03,5877,99,150,0
2020-05-04,5431,150,26,0
2020-05-05,5915,187,18,0
2020-05-06,4840,214,98,0
2020-05-07,6037,265,140,0
2020-05-08,5780,245,28,0
2020-05-09,6195,330,27,0
2020-05-10,5676,167,15,0
2020-05-11,6751,295,82,0
2020-05-12,7118,295,40,1
2020-05-13,7672,285,13,1
2020-05-14,5557,382,148,0
2020-05-15,11415,385,287,2
2020-05-16,7646,164,122,0
2020-05-17,6640,209,148,0
2020-05-18,6203,228,21,0
2020-05-19,5174,348,21,0
2020-05-20,7428,356,616,0
2020-05-21,0,286,305,0
2020-05-22,13546,240,223,0
2020-05-23,7373,388,369,1
2020-05-24,4652,336,122,1
2020-05-25,2680,33,166,0
2020-05-26,2339,195,185,0
2020-05-27,4904,326,214,1
2020-05-28,6746,360,267,0
2020-05-29,6306,397,281,0
2020-05-30,5394,344,126,2
2020-05-31,7234,605,847,2
2020-06-01,6355,473,397,0
2020-06-02,7571,440,337,0
2020-06-03,7040,504,3,1
2020-06-04,7564,481,318,1
