date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,108,0,0,0
2020-03-04,3,0,0,0
2020-03-05,0,0,0,0
2020-03-06,9,0,0,0
2020-03-07,7,0,0,0
2020-03-08,10,3,0,0
2020-03-09,10,0,0,0
2020-03-10,16,0,0,0
2020-03-11,24,0,0,0
2020-03-12,24,0,0,0
2020-03-13,30,0,0,0
2020-03-14,27,0,0,0
2020-03-15,25,2,0,0
2020-03-16,49,3,2,0
2020-03-17,39,2,1,0
2020-03-18,46,4,0,1
2020-03-19,36,3,0,0
2020-03-20,36,3,0,0
2020-03-21,65,5,0,1
2020-03-22,56,2,0,0
2020-03-23,92,6,0,1
2020-03-24,82,6,2,1
2020-03-25,126,0,2,1
2020-03-26,106,5,4,0
2020-03-27,50,4,0,0
2020-03-28,109,0,4,0
2020-03-29,153,0,0,0
2020-03-30,264,1,4,0
2020-03-31,157,2,6,0
2020-04-01,147,3,0,1
2020-04-02,207,2,0,0
2020-04-03,434,5,1,0
2020-04-04,367,9,4,2
2020-04-05,696,18,3,1
2020-04-06,792,35,0,3
2020-04-07,981,41,0,5
2020-04-08,1097,54,0,3
2020-04-09,1184,112,0,1
2020-04-10,649,94,0,6
2020-04-11,1340,58,3,3
2020-04-12,1570,139,3,4
2020-04-13,1905,182,3,5
2020-04-14,1740,209,0,7
2020-04-15,2135,219,7,4
2020-04-16,2190,341,0,10
2020-04-17,2114,266,9,15
2020-04-18,2634,306,8,9
2020-04-19,2663,312,9,7
2020-04-20,2974,492,10,10
2020-04-21,3096,434,2,9
2020-04-22,3416,390,5,10
2020-04-23,3686,414,16,7
2020-04-24,3337,503,4,4
2020-04-25,3476,309,1,9
2020-04-26,3812,418,9,5
2020-04-27,4332,497,9,7
2020-04-28,4968,549,8,3
2020-04-29,4965,641,11,8
2020-04-30,5573,564,10,5
2020-05-01,5827,571,14,2
2020-05-02,5368,552,3,5
2020-05-03,6260,665,886,2
2020-05-04,5711,688,146,5
2020-05-05,0,786,194,1
2020-05-06,6241,790,0,3
2020-05-07,5867,706,507,13
2020-05-08,5941,709,191,7
2020-05-09,5465,636,313,8
2020-05-10,5738,887,236,14
2020-05-11,7208,1034,252,11
2020-05-12,6773,969,245,11
2020-05-13,7900,1162,214,19
2020-05-14,7392,1041,0,14
2020-05-15,8582,1202,521,15
2020-05-16,6782,930,235,16
2020-05-17,8114,1273,256,14
2020-05-18,9788,1602,212,21
2020-05-19,8449,1251,408,21
2020-05-20,10260,1617,214,16
2020-05-21,10262,1773,395,22
2020-05-22,9727,1694,588,24
2020-05-23,10834,1873,296,20
2020-05-24,8908,1532,415,28
2020-05-25,9451,1975,433,21
2020-05-26,5407,1166,245,21
2020-05-27,8015,1541,346,22
2020-05-28,9310,2029,500,15
2020-05-29,11301,2523,590,23
2020-05-30,9997,1764,360,28
2020-05-31,11876,2545,406,40
2020-06-01,11339,2381,816,22
2020-06-02,12704,2911,523,37
2020-06-03,12510,2695,470,37
2020-06-04,12694,2423,571,35
