date,tests,confirmed,recovered,deaths
2020-01-01,,,,
2020-01-02,0,0,0,0
2020-01-03,0,0,0,0
2020-01-04,0,0,0,0
2020-01-05,0,0,0,0
2020-01-06,0,0,0,0
2020-01-07,0,0,0,0
2020-01-08,0,0,0,0
2020-01-09,0,0,0,0
2020-01-10,0,0,0,0
2020-01-11,0,0,0,0
2020-01-12,0,0,0,0
2020-01-13,0,0,0,0
2020-01-14,0,0,0,0
2020-01-15,0,0,0,0
2020-01-16,0,0,0,0
2020-01-17,0,0,0,0
2020-01-18,0,0,0,0
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,1,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,5000,0,0,0
2020-03-04,0,5,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,1,0
2020-03-10,0,3,2,0
2020-03-11,0,0,0,0
2020-03-12,5500,3,0,0
2020-03-13,0,15,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,5500,9,0,0
2020-03-17,0,0,0,0
2020-03-18,0,15,2,0
2020-03-19,0,0,0,0
2020-03-20,3000,18,0,0
2020-03-21,0,7,10,0
2020-03-22,0,0,0,0
2020-03-23,0,5,0,0
2020-03-24,0,0,7,0
2020-03-25,0,5,7,0
2020-03-26,0,0,0,0
2020-03-27,0,8,3,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,11000,58,0,0
2020-03-31,1000,0,15,1
2020-04-01,1000,11,6,1
2020-04-02,0,141,0,2
2020-04-03,0,47,0,0
2020-04-04,0,89,0,1
2020-04-05,0,122,-1,3
2020-04-06,8000,138,1,5
2020-04-07,0,161,1,0
2020-04-08,6000,205,23,0
2020-04-09,3000,420,62,3
2020-04-10,0,495,30,3
2020-04-11,0,245,3,4
2020-04-12,15000,352,31,3
2020-04-13,4000,341,0,3
2020-04-14,3875,362,0,4
2020-04-15,4323,447,0,3
2020-04-16,0,476,0,4
2020-04-17,10615,575,139,2
2020-04-18,5896,518,0,3
2020-04-19,5522,510,152,2
2020-04-20,4335,457,20,4
2020-04-21,5979,459,63,4
2020-04-22,6410,558,192,3
2020-04-23,7588,741,169,2
2020-04-24,8281,751,182,3
2020-04-25,8471,817,453,4
2020-04-26,8230,873,122,5
2020-04-27,6275,826,45,3
2020-04-28,7228,919,253,4
2020-04-29,7958,973,79,5
2020-04-30,7639,846,314,5
2020-05-01,9637,890,532,4
2020-05-02,9168,911,199,4
2020-05-03,8809,877,79,2
2020-05-04,7130,784,63,4
2020-05-05,0,861,512,4
2020-05-06,0,905,617,5
2020-05-07,18097,913,679,4
2020-05-08,10680,933,417,5
2020-05-09,11625,951,566,5
2020-05-10,11772,921,356,5
2020-05-11,10517,933,125,4
2020-05-12,10385,967,443,7
2020-05-13,11935,952,737,4
2020-05-14,11776,947,457,5
2020-05-15,0,958,639,5
2020-05-16,0,951,691,4
2020-05-17,42359,969,434,5
2020-05-18,0,922,198,6
2020-05-19,0,936,490,4
2020-05-20,37158,918,795,4
2020-05-21,0,945,642,6
2020-05-22,31331,932,776,5
2020-05-23,15614,941,695,4
2020-05-24,0,954,627,5
2020-05-25,28386,946,294,5
2020-05-26,9902,915,637,4
2020-05-27,0,897,837,6
2020-05-28,0,902,737,5
2020-05-29,0,906,730,5
2020-05-30,53653,894,574,5
2020-05-31,14534,898,550,6
2020-06-01,12284,847,262,5
2020-06-02,9568,852,419,3
2020-06-03,0,861,976,5
2020-06-04,0,865,991,5
2020-06-05,0,887,904,6
